SequenceType	ReadsType	USU_ID	CGR_ID
WGS	Std	I3-98005	SC740249
WGS	Std	I3-97948	SC740168
WGS	Std	I3-97931	SC740147
WGS	Std	I3-97783	SC682655
WGS	Std	I3-97800	SC682680
WGS	Std	I8-02134	SC682669
WGS	Std	I3-98113	SC740417
WGS	Std	I8-02219	SC740399
WGS	Std	I3-98024	SC740285
WGS	Std	I3-97880	SC695929
WGS	Std	I3-97816	SC682698
WGS	Std	I3-97968	SC740191
WGS	Std	I8-02217	SC740365
WGS	Std	I3-97781	SC682652
WGS	Std	I3-97897	SC703967
WGS	Std	I3-97840	SC689837
WGS	Std	I3-97866	SC695904
WGS	Std	I3-97786	SC682659
WGS	Std	I3-97933	SC740150
WGS	Std	I3-97814	SC682696
WGS	Std	I8-02211	SC740283
WGS	Std	I3-98050	SC740332
WGS	Std	I8-02170	SC740017
WGS	Std	I3-97779	SC678417
WGS	Std	I3-97791	SC682665
WGS	Std	I8-02218	SC740372
WGS	Std	I3-98063	SC740348
WGS	Std	I8-02143	SC739825
WGS	Std	I3-98114	SC740418
WGS	Std	I3-98115	SC740419
WGS	Std	I3-97806	SC682687
WGS	Std	I8-02189	SC740105
WGS	Std	I8-02135	SC682672
WGS	Std	I3-97835	SC689829
WGS	Std	I3-97939	SC740157
WGS	Std	I3-98046	SC740327
WGS	Std	I3-98047	SC740329
WGS	Std	I8-02215	SC740309
WGS	Std	I3-98085	SC740376
WGS	Std	I3-98120	SC740429
WGS	Std	I3-98020	SC740277
WGS	Std	I3-97828	SC689819
WGS	Std	I3-98019	SC740275
WGS	Std	I3-98118	SC740426
WGS	Std	I3-98052	SC740335
WGS	Std	I3-98078	SC740367
WGS	Std	I3-98126	SC740439
WGS	Std	I8-02179	SC740063
WGS	Std	I3-98083	SC740373
WGS	Std	I8-02174	SC740056
WGS	Std	I3-98089	SC740381
WGS	Std	I8-02159	SC739963
WGS	Std	I3-98094	SC740388
WGS	Std	I3-98087	SC740379
WGS	Std	I3-97953	SC740173
WGS	Std	I3-98035	SC740312
WGS	Std	I3-97966	SC740188
WGS	Std	I8-02128	SC663785
WGS	Std	I8-02181	SC740065
WGS	Std	I8-02155	SC739932
WGS	Std	I3-98037	SC740315
WGS	Std+Topoff	I3-97889+I3-00797	SC695941
WGS	Std	I3-98092	SC740386
WGS	Std	I3-97830	SC689822
WGS	Std	I3-97847	SC689849
WGS	Std	I3-97938	SC740156
WGS	Std	I3-98088	SC740380
WGS	Std	I3-97812	SC682694
WGS	Std	I3-97986	SC740214
WGS	Std	I3-97927	SC740142
WGS	Std	I3-97899	SC704042
WGS	Std	I3-98097	SC740392
WGS	Std	I3-97794	SC682671
WGS	Std	I3-98072	SC740358
WGS	Std	I3-97802	SC682682
WGS	Std	I3-97879	SC695927
WGS	Std	I3-98139	SC740461
WGS	Std	I8-02129	SC666764
WGS	Std	I3-98014	SC740267
WGS	Std	I3-98130	SC740447
WGS	Std	I8-02167	SC740006
WGS	Std	I3-98006	SC740253
WGS	Std	I3-98010	SC740259
WGS	Std	I3-98082	SC740371
WGS	Std	I3-97769	SC666765
WGS	Std	I3-97813	SC682695
WGS	Std	I3-97790	SC682664
WGS	Std	I8-02200	SC740187
WGS	Std	I3-97850	SC689852
WGS	Std	I3-98110	SC740413
WGS	Std	I3-98054	SC740337
WGS	Std	I3-98131	SC740449
WGS	Std	I3-98026	SC740291
WGS	Std	I8-02191	SC740112
WGS	Std	I8-02206	SC740262
WGS	Std	I3-97870	SC695908
WGS	Std	I3-97823	SC682707
WGS	Std	I3-97882	SC695932
WGS	Std	I3-98069	SC740355
WGS	Std	I3-97858	SC690084
WGS	Std	I3-97896	SC699538
WGS	Std	I3-97844	SC689842
WGS	Std	I3-97881	SC695931
WGS	Std	I8-02148	SC739872
WGS	Std	I8-02198	SC740163
WGS	Std	I3-97773	SC666774
WGS	Std	I3-97979	SC740206
WGS	Std	I3-97967	SC740189
WGS	Std	I3-98003	SC740245
WGS	Std	I3-98034	SC740311
WGS	Std	I3-98032	SC740303
WGS	Std	I3-97893	SC695946
WGS	Std	I3-98042	SC740322
WGS	Std	I3-98148	SC740471
WGS	Std	I3-97947	SC740167
WGS	Std	I3-97836	SC689830
WGS	Std	I8-02156	SC739937
WGS	Std	I3-98070	SC740356
WGS	Std	I3-97972	SC740197
WGS	Std	I3-98116	SC740420
WGS	Std	I3-98011	SC740260
WGS	Std	I3-97977	SC740204
WGS	Std	I3-97902	SC706980
WGS	Std	I3-98102	SC740401
WGS	Std	I3-97843	SC689841
WGS	Std	I3-97971	SC740196
WGS	Std	I8-02163	SC739983
WGS	Std	I3-97862	SC690093
WGS	Std	I3-98140	SC740462
WGS	Std	I3-97964	SC740185
WGS	Std	I3-97952	SC740172
WGS	Std	I3-98124	SC740435
WGS	Std+Topoff	I3-98077+I3-00810	SC740366
WGS	Std+Topoff	I3-97876+I3-00800	SC695921
WGS	Std	I3-98086	SC740378
WGS	Std	I8-02150	SC739907
WGS	Std+Topoff	I3-98038+I3-00808	SC740317
WGS	Std	I3-98007	SC740254
WGS	Std	I3-97999	SC740237
WGS	Std	I3-97775	SC666780
WGS	Std	I3-97831	SC689823
WGS	Std	I3-97988	SC740216
WGS	Std	I3-97907	SC707238
WGS	Std	I3-98066	SC740352
WGS	Std	I3-98051	SC740334
WGS	Std	I3-97937	SC740155
WGS	Std	I3-97885	SC695936
WGS	Std	I3-97910	SC740118
WGS	Std	I3-98100	SC740398
WGS	Std	I3-97973	SC740198
WGS	Std	I3-97903	SC707092
WGS	Std+Topoff	I3-97950+I3-00804	SC740170
WGS	Std	I3-98136	SC740456
WGS	Std	I3-98031	SC740297
WGS	Std	I3-98008	SC740255
WGS	Std	I3-97845	SC689845
WGS	Std	I3-97838	SC689835
WGS	Std	I3-98015	SC740268
WGS	Std	I3-97976	SC740203
WGS	Std	I3-98036	SC740313
WGS	Std	I8-02130	SC682651
WGS	Std	I8-02184	SC740082
WGS	Std	I3-97932	SC740149
WGS	Std	I3-97891	SC695944
WGS	Std	I8-02151	SC739911
WGS	Std	I3-98121	SC740430
WGS	Std	I3-98084	SC740375
WGS	Std	I3-97969	SC740193
WGS	Std	I3-98117	SC740424
WGS	Std	I3-97792	SC682668
WGS	Std	I3-98138	SC740460
WGS	Std	I3-97912	SC740123
WGS	Std	I3-97914	SC740125
WGS	Std	I3-97780	SC682650
WGS	Std	I3-97926	SC740141
WGS	Std	I3-97996	SC740230
WGS	Std	I3-98022	SC740280
WGS	Std	I3-98059	SC740344
WGS	Std	I3-97936	SC740154
WGS	Std	I3-98135	SC740453
WGS	Std	I3-97901	SC706945
