GeneSymbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
A1BG	18.2741462608913	NA	NA	0	NA	NA	NA	14.1280495828479	75.9846174465757	NA	NA	0	NA	5.39086745510834	NA	3.02051377625447	26.4080440107991	0	6.47453923467701	0	0	0
A1CF	0.545691798719201	0	0.9141195072483	0.40001075728942	0	1.03227540905788	0	0	0	0	0	1.70091668802137	0.065834886879047	2.82922360257382	1.50162177706869	0.922643727869073	0	0	3.07075432766992	1.33170034689941	5.43894593681961	0.904494212995686
A2BP1	1.68919280594919	NA	0.961413252236513	1.72231311425334	NA	0.931321291819456	1	1	NA	NA	1	1	1.63560848469092	1.28583924796113	1	0.921621567382769	NA	1	0.887865262415164	1	NA	1
A2LD1	NA	NA	NA	0	0	6.36429254792501	NA	NA	NA	NA	NA	NA	NA	8.02347770466316	NA	4.75134169073667	NA	NA	6.89468898943815	NA	NA	NA
A2M	NA	0	NA	NA	12677.5223552433	NA	0	0	0	0	NA	1664.72274959729	NA	0	NA	360.593303104788	0	0	NA	308.459926184657	NA	982.231008145967
A2ML1	NA	0	NA	NA	0	0	NA	0	0	0	0	NA	0	NA	NA	0	NA	153.27498977832	NA	NA	0	0
A4GALT	NA	NA	NA	NA	NA	NA	0	NA	NA	0	51.7748607662479	NA	NA	NA	NA	NA	NA	NA	NA	21.3476306005687	NA	NA
A4GNT	1.01816986955118	1.15396710148893	0.989285470915442	1.04828514573284	1	0.996453894882679	1.02679524355118	0.975449194398425	0.929258974202916	0.90015616122813	0.989300068102619	1.05430032577815	0.983434287700774	0.997798442063386	1.00434235364049	1.00501409013792	1.07356394060027	0.959146880008392	1.00645205993098	0.994989393427239	1	1.02058172291342
AAA1	1	1	1.22426093318351	0.893260360363182	1	1.02215335279069	1	1	1	NA	1	1	1.49975910902661	1.00586889393461	0.8338069568205	1.02538634131757	1	1	0.96433050010319	1.37842633152361	NA	1
AAAS	NA	NA	27.6345684823745	27.9922540638995	NA	22.0951286291118	1	29.6509421684681	NA	NA	NA	NA	NA	22.4285192796632	NA	25.4548533063596	74.4289214841089	NA	28.0006325956372	NA	NA	NA
AACS	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	163.574169229892	NA	NA	NA	0	NA
AACSL	1	1	1.78759996879507	1.05748334140048	1	1.14429035658241	1	1.31975576216991	1	NA	1	1	1	0.929018252356432	1.58063402252642	0.957471299252188	2.4586704666086	1	1.32308570246213	0.885408207292225	1	1.24681301546503
AADAC	0	0	0	0	0	0	NA	0	0	NA	0	NA	NA	0	0	4.221164499765	0	0	NA	NA	NA	NA
