"HKB0040_3002_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0129_3000_T"	"HKB0132_3006_T"	"HKB0155_3000_T"	"HKB0168_3006_T"	"HKB0186_3000_T"	"HKB0214_3006_T"	"HKB0573_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0719_3002_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0056_3002_T"	"HKB0157_3006_T"	"HKB0159_3006_T"	"HKB0186_3002_N"	"HKB0209_3004_T"	"HKB0210_3006_T"	"HKB0233_3000_N"	"HKB0004_3000_N"	"HKB0005_3000_N"	"HKB0006_3000_N"	"HKB0019_3000_N"	"HKB0033_3000_N"	"HKB0040_3000_N"	"HKB0049_3000_N"	"HKB0049_3006_T"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0143_3000_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0161_3001_T"	"HKB0162_3000_N"	"HKB0164_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0207_3001_T"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0225_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0538_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0636_3000_N"	"HKB0648_3000_N"	"HKB0651_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0044_3000_N"	"HKB0079_3000_N"	"HKB0208_3006_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0031_3001_T"	"HKB0035_3006_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0064_3004_T"	"HKB0067_3006_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0091_3001_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0120_3000_T"	"HKB0127_3006_T"	"HKB0134_3006_T"	"HKB0143_3006_T"	"HKB0158_3006_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0216_3000_N"	"HKB0220_3000_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0605_3000_T"	"HKB0620_3000_T"	"HKB0650_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0737_3000_T"	"HKB0752_3000_T"
"MS4A1"	6.8094144442359	2.50080205305716	4.81352468929781	4.25625587320273	3.29425313644451	3.94860084749336	3.10768786931437	2.88166461932035	3.23878685958712	3.51853513898218	3.32048467801769	3.30158764660319	4.91934008244201	5.02147972741045	3.1407786557828	6.15218341905505	4.91886323727459	1.28688114778816	2.43562859405209	0.422233000683048	1.26303440583379	0.263034405833794	0.176322772640463	0.632268215499513	2.01077983875324	1.58976348698498	0.985500430304885	0.992768430768924	0.879705766282288	2.05311133645956	1	0.978195629681652	0.903038270112912	0.659924558402378	0.495695162624069	1.02147972741045	0.650764559116902	0.443606651475615	0.367371065648529	0.910732661902913	0.516015147003665	0.321928094887362	0.790772037862	0.565597175854225	0.925999418556223	0.678071905112638	0.298658315564515	0.7311832415722	0.389566811762726	0.37851162325373	0.31034012061215	0.871843648509318	0.367371065648529	0.678071905112638	0.910732661902913	0.389566811762726	0.807354922057604	0.214124805352847	0.879705766282288	0.475084882948783	0.31034012061215	1.97819562968165	1.10433665981474	1.14404636961671	0.641546029087524	0.84799690655495	0.214124805352847	1.25096157353322	0.286881147788162	1.0071955014042	0.687060688339892	1.18269229751619	0.75702324650746	0.622930350920177	0.650764559116902	2.38128337250378	0.176322772640463	0.411426245726465	2.19219416528334	0.669026765509631	0.992768430768924	0.84799690655495	0.799087306074004	0.485426827170242	0.443606651475615	1.36737106564853	2.34766565630097	1.70487196445635	1.63691458035588	0.356143810225275	0.722466024471091	1.24488705912353	1.34482849699744	1.74846123300404	0.6959938131099	0.400537929583729	0.31034012061215	1.4594316186373	0.150559676575381	1.29278174922785	0.815575428862573	0.970853654340484	1.86393845042397	1.43295940727611	1.44890095114513	1.33342373372519	2.38681094647222	1.47508488294878	3.33199177823206	0.22650852980868	1.61353165291793	1.34482849699744	1.22032995487956	0.895302621333307	0.263034405833794	1.87578006306849	2.98002530023873	2.60407132366886	2.25096157353322	1.94485844580754	2.44095219802964	2.38128337250378	1.41683974191283	1.67807190511264	2.06350294230616	1.07724299893246	3.62175885670973	0.622930350920177	2.68706068833989	0.176322772640463	3.36737106564853	1.58496250072116	0.27500704749987	3.31759350462347	2.56315813040281	2.88752527074159	3.60999129521268	3.06004738366994	1.77820857639809	3.08746284125034	2.1243281350022	3.08236196955747
"FCER2"	4.06091204958787	1.11769504266975	1.83187724119167	1.81147103052984	1.41142624572647	2.04264433740849	1.15055967657538	0.970853654340484	0.53605290024021	1.67355642399014	1.0071955014042	1.06350294230616	1.70043971814109	1.95977015521147	1.21412480535285	3.48542682717024	2.56559717585422	0.0840642647884746	0.650764559116902	0	1.29865831556452	0	0.124328135002202	1.0071955014042	0.27500704749987	1.46988597627446	0.20163386116965	1.62760683812965	1.77399632511117	1.29278174922785	4.51601514700366	2.21412480535285	1.90303827011291	2.5385381636298	3.47378691161437	1.74846123300404	1.4905701304462	1.39506279951758	1.27500704749987	1.97085365434048	1.18903382439002	1.59454854955035	5.30048984436311	3.84297883178833	1.71808758396052	3.28835856219366	1.16349873228288	0.7311832415722	1.81147103052984	1.4276061727819	2.22032995487956	1.1243281350022	3.15218341905505	1.59931779369823	1.26903314645524	0.773996325111173	1.43295940727611	1.66448284036468	0.622930350920177	1.96716860753263	2.32192809488736	2.66448284036468	1.0496307677246	0.839959587489532	1.01435529297707	1.18269229751619	1.91073266190291	0	2.56071495447448	1.94485844580754	2.97819562968165	3.28835856219366	2.20476675065461	1.05658352836637	2.26002565596146	0.903038270112912	1.11103131238874	0.992768430768924	0.887525270741587	2.02856915219677	1.92599941855622	2.16671544496642	1.29278174922785	2.06695024392463	4.0574502721839	1.09085343045111	4.20241772157518	0.978195629681652	0.632268215499513	1.13093086982645	0.6959938131099	1.41683974191283	2.88557436437143	2.38128337250378	1.82374936030827	1.30451104180995	0.650764559116902	1.93734439215023	1.19534759832222	1.13093086982645	0.464668267003444	0.16349873228288	0.176322772640463	0.356143810225275	0.526068811667588	0.37851162325373	0.823749360308273	0.20163386116965	0.918386234446348	0.464668267003444	0.604071323668861	0.263034405833794	0.238786859587116	0	0.0426443374084937	0.604071323668861	0.978195629681652	0.722466024471091	0.565597175854225	0.594548549550354	0.422233000683048	0.545968369105292	0.321928094887362	0.622930350920177	0.6959938131099	0.367371065648529	0.782408564927373	0.111031312388744	1.05658352836637	0.0976107966264223	1.51601514700366	0.505890929729957	0.0426443374084937	1.23878685958712	0.422233000683048	1.28688114778816	1.21412480535285	0.669026765509631	0.367371065648529	0.722466024471091	0.765534746362977	1.05658352836637
"FCRL1"	4.1906148602095	1.06350294230616	2.50842865253186	1.81147103052984	1.31614574229336	2.46205231879643	1.08406426478847	1.16992500144231	1.03562390973072	1.18269229751619	1.25096157353322	1.55581615506164	1.59454854955035	2.55581615506164	1.11103131238874	4.21955576916691	2.45680614923047	0.250961573533219	0.815575428862573	0.0976107966264223	0.070389327891398	0	0.0565835283663675	0.0426443374084937	0.22650852980868	0.613531652917927	0.070389327891398	0.20163386116965	0.0285691521967709	0.879705766282288	0.526068811667588	0.22650852980868	0.0976107966264223	0.0840642647884746	0.070389327891398	0.27500704749987	0.070389327891398	0.124328135002202	0.0976107966264223	0.475084882948783	0.0976107966264223	0.137503523749935	0.150559676575381	0.124328135002202	0.367371065648529	0.0840642647884746	0.0426443374084937	0.464668267003444	0.250961573533219	0.0426443374084937	0.0565835283663675	0.27500704749987	0.0976107966264223	0.0565835283663675	0.27500704749987	0.124328135002202	0.238786859587116	0	0.0840642647884746	0.0565835283663675	0.0285691521967709	0.411426245726465	0.263034405833794	0.545968369105292	0.189033824390017	0.22650852980868	0.0426443374084937	0.263034405833794	0.124328135002202	0.124328135002202	0.263034405833794	0.286881147788162	0.0976107966264223	0.298658315564515	0.0426443374084937	0.526068811667588	0.111031312388744	0.124328135002202	0.422233000683048	0.400537929583729	0.214124805352847	0.622930350920177	0.432959407276106	0.0426443374084937	0.238786859587116	0.22650852980868	0.650764559116902	0.505890929729957	0.321928094887362	0.16349873228288	0.250961573533219	0.111031312388744	0.321928094887362	0.475084882948783	0.321928094887362	0.0565835283663675	0.150559676575381	0.344828496997441	0.0565835283663675	0.584962500721156	0.250961573533219	0.286881147788162	0.31034012061215	0.367371065648529	0.189033824390017	0.584962500721156	0.411426245726465	0.298658315564515	1.04264433740849	0	0.37851162325373	0.454175893185802	0.22650852980868	0.189033824390017	0.0285691521967709	0.411426245726465	1.13750352374994	0.75702324650746	0.443606651475615	0.55581615506164	1.02147972741045	0.422233000683048	0.22650852980868	0.27500704749987	0.516015147003665	0.22650852980868	1.1243281350022	0.070389327891398	0.918386234446348	0.22650852980868	1.41683974191283	0.475084882948783	0.0840642647884746	1.39506279951758	0.604071323668861	1.02856915219677	1.25701061820602	0.918386234446348	0.475084882948783	0.879705766282288	0.963474123974886	0.739848102699327
"CD19"	4.65592421308382	0.903038270112912	2.84398384404833	2.35614381022528	1.15055967657538	1.41142624572647	1.59454854955035	1.36176835941915	0.963474123974886	1.59454854955035	1.42223300068305	1.59931779369823	3.34908214639109	3.26903314645524	0.918386234446348	3.62993940943954	2.87381319835909	0.963474123974886	1.0496307677246	0.137503523749935	0.422233000683048	0.150559676575381	0.432959407276106	0.111031312388744	0.367371065648529	0.505890929729957	0.400537929583729	0.454175893185802	0.22650852980868	0.6959938131099	0.124328135002202	0.443606651475615	0.411426245726465	0.20163386116965	0	0.263034405833794	0.321928094887362	0.0565835283663675	0.111031312388744	0.27500704749987	0.321928094887362	0.176322772640463	0.16349873228288	0.0426443374084937	0.250961573533219	0	0.070389327891398	0.111031312388744	0.137503523749935	0.0426443374084937	0.0840642647884746	0.485426827170242	0.263034405833794	0.070389327891398	0.411426245726465	0.16349873228288	0.464668267003444	0.0840642647884746	0.20163386116965	0.124328135002202	0.070389327891398	1.02856915219677	0.20163386116965	0.176322772640463	0.0976107966264223	0.124328135002202	0.0565835283663675	0.367371065648529	0.0565835283663675	0.189033824390017	0.31034012061215	0.333423733725192	0.333423733725192	0.150559676575381	0.137503523749935	0.773996325111173	0.0565835283663675	0	0.37851162325373	0.20163386116965	0.124328135002202	0.27500704749987	0.0840642647884746	0.150559676575381	0.22650852980868	0.22650852980868	0.7311832415722	0.7311832415722	0.622930350920177	0.214124805352847	0.150559676575381	0.464668267003444	0.22650852980868	0.443606651475615	0.0976107966264223	0.55581615506164	0.238786859587116	0.516015147003665	0.0426443374084937	0.389566811762726	0.739848102699327	0.422233000683048	1.43295940727611	0.356143810225275	0.344828496997441	0.53605290024021	0.855989697308481	1.28095631383106	1.72683121703249	0.150559676575381	0.505890929729957	1.82374936030827	1.7311832415722	0.55581615506164	0.16349873228288	0.773996325111173	1.6507645591169	1.82374936030827	0.526068811667588	0.613531652917927	0.985500430304885	1.44890095114513	0.641546029087524	0.432959407276106	0.739848102699327	0.333423733725192	2.86789646399265	0.137503523749935	1.37295209791183	0.321928094887362	1.50589092972996	0.565597175854225	0.0976107966264223	1	1.0496307677246	0.963474123974886	1.56559717585423	1.38404980679516	1.11103131238874	1.09085343045111	1.30451104180995	1.98550043030488
"TCL1A"	5.38162946703366	0.963474123974886	3.33913738491959	3.44890095114513	1.10433665981474	2.30158764660319	1.48542682717024	1.06350294230616	0.16349873228288	1.38956681176273	1.53106949272595	3.27052894238072	3.47508488294878	2.89336221076387	1.25701061820602	4.28169825009883	3.85399564717639	0.704871964456353	1.11103131238874	0.22650852980868	0.286881147788162	0	0.594548549550354	0.070389327891398	0	0.27500704749987	0	0.238786859587116	0	0.839959587489532	0.37851162325373	0.150559676575381	0.250961573533219	0.0976107966264223	0	0.622930350920177	0.0426443374084937	0.20163386116965	0.31034012061215	0.604071323668861	0	0.214124805352847	0.286881147788162	0.111031312388744	0.7311832415722	0.238786859587116	0	0.613531652917927	0.31034012061215	0	0.189033824390017	0.27500704749987	0.22650852980868	0.214124805352847	0.137503523749935	0.0565835283663675	0.356143810225275	0.22650852980868	0.389566811762726	0	0.0426443374084937	0.31034012061215	0.526068811667588	0.400537929583729	0.238786859587116	0.238786859587116	0.070389327891398	0.189033824390017	0.150559676575381	0.20163386116965	0.0840642647884746	0.464668267003444	0.545968369105292	0.321928094887362	0.137503523749935	0.799087306074004	0.20163386116965	0.286881147788162	0.22650852980868	0.516015147003665	0.263034405833794	0.495695162624069	0.516015147003665	0.356143810225275	0.16349873228288	0	1.0496307677246	0.333423733725192	0.773996325111173	0.0976107966264223	0.495695162624069	0.286881147788162	0.575312330687437	0.505890929729957	0.565597175854225	0	0.238786859587116	0.545968369105292	0	0.411426245726465	0.250961573533219	0.485426827170242	1.34482849699744	0.111031312388744	1.0496307677246	0.16349873228288	0.903038270112912	1.29278174922785	1.13750352374994	0.150559676575381	0.575312330687437	0.485426827170242	1.37851162325373	0.0426443374084937	0.111031312388744	1.58976348698498	1.6959938131099	1.04264433740849	0.31034012061215	1.23266075679027	0.765534746362977	0.565597175854225	0.807354922057604	0.238786859587116	0.333423733725192	0.604071323668861	1.73984810269933	1.62293035092018	2.52105073690096	0.0565835283663675	2.06004738366994	0.432959407276106	0.238786859587116	1.55090066464752	0.604071323668861	1.56559717585423	1.68706068833989	0.933572638261024	0.925999418556223	1.74416109557041	0.526068811667588	1.62293035092018
"FCRLA"	4.4541758931858	1.1243281350022	3.02502879449152	2.30742852519225	1.4541758931858	1.91073266190291	1.48026512205446	1.94485844580754	1.43829285157915	1.90303827011291	1.90303827011291	1.70487196445635	3.11603199344711	3.03913839390696	1.36176835941915	3.36176835941915	2.78659636189081	0.545968369105292	0.910732661902913	0.321928094887362	0.495695162624069	0.0840642647884746	0.604071323668861	0.432959407276106	0.613531652917927	0.807354922057604	0.613531652917927	0.27500704749987	0.298658315564515	0.641546029087524	0.189033824390017	0.298658315564515	0.863938450423971	0.594548549550354	0.137503523749935	0.298658315564515	0.214124805352847	0.0840642647884746	0.22650852980868	0.286881147788162	0.367371065648529	0.124328135002202	0.176322772640463	0.31034012061215	0.27500704749987	0.263034405833794	0.0426443374084937	0.344828496997441	0.111031312388744	0.176322772640463	0.250961573533219	0.250961573533219	0.250961573533219	0.879705766282288	0.516015147003665	0.250961573533219	0.422233000683048	0	0.565597175854225	0.286881147788162	0.0285691521967709	0.807354922057604	0.400537929583729	0.55581615506164	0.238786859587116	0.263034405833794	0.070389327891398	0.879705766282288	0	0.53605290024021	0.214124805352847	0.356143810225275	0.367371065648529	0.27500704749987	0.286881147788162	0.799087306074004	0.189033824390017	0.344828496997441	1.18903382439002	0.443606651475615	0.505890929729957	0.124328135002202	0.137503523749935	0.263034405833794	0.189033824390017	0.321928094887362	1.0071955014042	0.641546029087524	0.669026765509631	0.20163386116965	0.111031312388744	0.464668267003444	0.20163386116965	0.545968369105292	0.321928094887362	0.238786859587116	0.20163386116965	0.659924558402378	0	0.485426827170242	0.604071323668861	0.286881147788162	0.815575428862573	0.475084882948783	0.704871964456353	0.516015147003665	0.650764559116902	0.722466024471091	1.36737106564853	0.238786859587116	0.7311832415722	1.84398384404833	1.47508488294878	0.575312330687437	0.31034012061215	0.985500430304885	1.46466826700344	1.43829285157915	0.7311832415722	1.08406426478847	1.31614574229336	1.49569516262407	0.55581615506164	0.863938450423971	0.748461233004036	0.485426827170242	2.58736499093646	0.137503523749935	1.41683974191283	0.443606651475615	1.56071495447448	0.669026765509631	0.6959938131099	1.37295209791183	0.948600847493356	1.51096191927738	1.61823865559545	1.33342373372519	0.53605290024021	1.87578006306849	1.11103131238874	1.58976348698498
"VPREB3"	4.04614178164472	1.30451104180995	3.55458885167764	3.24184018356467	1.4905701304462	1.4594316186373	1.72683121703249	2.08065766334523	1.56559717585423	2.6667565918848	2.0496307677246	1.41683974191283	3.18269229751619	3.05484847699562	1.18269229751619	3.39231742277876	2.33628338786443	0.475084882948783	1	0	0.565597175854225	0.604071323668861	2.71149490665009	0.20163386116965	0.505890929729957	0.782408564927373	0.321928094887362	0.622930350920177	0.6959938131099	0.214124805352847	0.594548549550354	0.286881147788162	0	0.613531652917927	0.422233000683048	0.321928094887362	0.298658315564515	0.37851162325373	0.485426827170242	0.933572638261024	0.565597175854225	0.475084882948783	0.333423733725192	0.16349873228288	0.765534746362977	0.604071323668861	0.150559676575381	0.565597175854225	0.189033824390017	0.485426827170242	0.622930350920177	0.495695162624069	0.176322772640463	0.650764559116902	0	0.575312330687437	0.344828496997441	0.16349873228288	0.176322772640463	0	0.584962500721156	1.18903382439002	0.400537929583729	0.333423733725192	0	0.604071323668861	0.344828496997441	0.704871964456353	1.18269229751619	0.367371065648529	0.411426245726465	0.963474123974886	0.321928094887362	0.20163386116965	0	1.31034012061215	0.669026765509631	0.565597175854225	0.321928094887362	0.333423733725192	0.16349873228288	0.925999418556223	0.286881147788162	0.189033824390017	0	0	0.970853654340484	0.475084882948783	0.799087306074004	0.411426245726465	0.16349873228288	0.176322772640463	0.863938450423971	0.344828496997441	0.485426827170242	0	0.910732661902913	0	0.31034012061215	0.367371065648529	0.650764559116902	0.333423733725192	1.11103131238874	0.669026765509631	0.678071905112638	0.16349873228288	1.50589092972996	0.773996325111173	1.4905701304462	0.400537929583729	0.53605290024021	0.831877241191673	1.11769504266975	0.238786859587116	0.0840642647884746	1.14404636961671	1.67807190511264	2.56315813040281	0.918386234446348	0.75702324650746	1.37851162325373	0.53605290024021	0.333423733725192	1.04264433740849	1.6507645591169	0.632268215499513	1.98913900736823	0.333423733725192	1.96716860753263	1.11769504266975	2.14730669878029	0.176322772640463	0	0.823749360308273	0.903038270112912	0.739848102699327	1.46988597627446	1.58496250072116	0.704871964456353	1.36176835941915	1.05658352836637	1.36737106564853
"CR2"	5.07937811111865	0.422233000683048	2.05311133645956	3.95512678126137	0.948600847493356	3.14404636961671	1.63691458035588	2.70487196445635	0.669026765509631	1.41142624572647	0.687060688339892	0.773996325111173	3.05658352836637	2.43028527297778	1.64616265715789	3.12598165385472	4.75435307169213	0.150559676575381	0.526068811667588	0.0143552929770701	0.839959587489532	0.0143552929770701	0.956056652412403	0.895302621333307	0.464668267003444	0.286881147788162	0.55581615506164	0.545968369105292	0.286881147788162	0.831877241191673	0.400537929583729	0.0976107966264223	0.286881147788162	0.604071323668861	0.0565835283663675	0.367371065648529	0.790772037862	0	0.238786859587116	0.214124805352847	0.55581615506164	0.0285691521967709	0.250961573533219	0.31034012061215	0	0.250961573533219	0.0143552929770701	0.0565835283663675	0.0426443374084937	0.070389327891398	0.250961573533219	0.214124805352847	0.0426443374084937	0.286881147788162	0.286881147788162	0.0143552929770701	0.0285691521967709	0.0143552929770701	0.475084882948783	0.070389327891398	0.807354922057604	2.11103131238874	0.367371065648529	0.6959938131099	0.389566811762726	0.37851162325373	0.111031312388744	0.070389327891398	1.10433665981474	0.0976107966264223	0.650764559116902	0.250961573533219	0.238786859587116	0.20163386116965	0.298658315564515	1.0496307677246	0	0.20163386116965	1.58976348698498	0.214124805352847	0.189033824390017	0.070389327891398	0.137503523749935	0	0.0426443374084937	0.31034012061215	0.992768430768924	0.659924558402378	0.286881147788162	0.823749360308273	0.176322772640463	0.298658315564515	0.422233000683048	1.05658352836637	0.0285691521967709	0.613531652917927	0.0285691521967709	0.20163386116965	0.344828496997441	0.344828496997441	0.443606651475615	0.0426443374084937	0.823749360308273	0.189033824390017	0.516015147003665	0.815575428862573	0.389566811762726	0.176322772640463	0.815575428862573	0	0.189033824390017	0.584962500721156	0.545968369105292	0.16349873228288	0.137503523749935	0.7311832415722	1.43829285157915	1.60407132366886	0.855989697308481	0.16349873228288	0.799087306074004	0.454175893185802	0.367371065648529	0.321928094887362	0.495695162624069	0.53605290024021	2.85996954822103	0.0143552929770701	1.43295940727611	0.0976107966264223	0.855989697308481	0.84799690655495	0.0976107966264223	0.594548549550354	2.37573453858316	0.790772037862	1.80322703643493	1.15704371014558	0.263034405833794	3.12763327972587	0.678071905112638	2.46205231879643
"BLK"	3.64846544302731	1.51601514700366	2.80322703643493	1.97085365434048	1.26903314645524	1.56559717585423	1.40053792958373	1.36737106564853	1.68706068833989	1.52105073690096	1.4905701304462	1.13750352374994	1.41142624572647	2.54596836910529	0.823749360308273	3.6724253419715	2.32768736417605	0.27500704749987	0.584962500721156	0.070389327891398	0.622930350920177	0.0426443374084937	0.137503523749935	0.263034405833794	0.475084882948783	0.464668267003444	0.495695162624069	0.526068811667588	0.411426245726465	0.84799690655495	0.411426245726465	0.344828496997441	0.713695814843359	0.454175893185802	0.0840642647884746	0.137503523749935	0.565597175854225	0.238786859587116	0.27500704749987	0.20163386116965	0.565597175854225	0.0976107966264223	0.238786859587116	0.137503523749935	0.20163386116965	0.111031312388744	0.111031312388744	0.238786859587116	0.150559676575381	0.238786859587116	0.22650852980868	0.344828496997441	0.0426443374084937	0.422233000683048	0.31034012061215	0.0565835283663675	0.124328135002202	0.150559676575381	0.263034405833794	0.0976107966264223	0.0565835283663675	0.632268215499513	0.485426827170242	0.367371065648529	0.22650852980868	0.298658315564515	0.0285691521967709	0.31034012061215	0.0840642647884746	0.31034012061215	0.238786859587116	0.214124805352847	0.137503523749935	0.505890929729957	0.16349873228288	1	0.20163386116965	0.111031312388744	0.641546029087524	0.137503523749935	0.111031312388744	0.137503523749935	0.137503523749935	0.16349873228288	0.0840642647884746	0.238786859587116	0.839959587489532	0.594548549550354	0.189033824390017	0.333423733725192	0.111031312388744	0.263034405833794	0.485426827170242	0.214124805352847	0.124328135002202	0.137503523749935	0	0.214124805352847	0.0565835283663675	0.584962500721156	0.941106310946431	0.263034405833794	0.641546029087524	0.367371065648529	0.400537929583729	0.263034405833794	0.669026765509631	0.443606651475615	1.64154602908752	0.124328135002202	0.464668267003444	0.545968369105292	0.20163386116965	0.070389327891398	0.111031312388744	0.722466024471091	1.44890095114513	1.11769504266975	0.584962500721156	0.650764559116902	1.07724299893246	0.839959587489532	0.475084882948783	0.933572638261024	0.516015147003665	0.176322772640463	1.91073266190291	0.263034405833794	0.956056652412403	0	1.15055967657538	0.238786859587116	0	0.978195629681652	0.344828496997441	0.622930350920177	1.31034012061215	1.02147972741045	0.37851162325373	0.978195629681652	0.963474123974886	1.39506279951758
"CD79A"	7.24887634283713	3.0408924306469	5.76420813013995	5.05571626351254	3.7771566660045	4.3819754785573	4.16430358309365	4.18665901720211	3.40735275114004	4.32481060342048	4.06436554026363	4.08746284125034	6.53962412155905	5.05874941233552	3.18903382439002	5.48381577726426	5.28651155766423	3.15380533607904	2.60169651648096	1.30451104180995	4.47313748777226	0.575312330687437	2.15380533607904	2.31034012061215	2.72683121703249	2.46205231879643	3.71918344048179	4.01703108052784	3.20320115631661	3.60288440871842	1.58976348698498	2.73552217729654	3.56071495447448	3.60407132366886	1.34482849699744	2.93545974780529	3.69932952567316	0.298658315564515	2.74846123300404	1.54596836910529	3.65191274464578	0.831877241191673	0.855989697308481	2.3305584000308	0.970853654340484	2.3533232911629	0.411426245726465	1.0071955014042	0.855989697308481	0.933572638261024	2.69821847822441	2.09085343045111	0.411426245726465	3.81455042346181	3.79181407116183	1.03562390973072	2.33342373372519	0.189033824390017	2.43829285157915	1.88362081628567	1.08406426478847	2.85996954822103	3.28243980500639	3.10433665981474	2.11103131238874	3.06522762277562	0.545968369105292	2.85598969730848	1.03562390973072	2.38404980679516	2.61588707391606	1.97452931248388	0.7311832415722	1.81557542886257	1.94110631094643	3.15704371014558	0.75702324650746	1.88362081628567	4.20163386116965	1.84398384404833	2.02147972741045	1.74846123300404	0.613531652917927	0.75702324650746	0.632268215499513	2.74631276642546	3.36317107711924	3.96069703930431	2.44890095114513	1.73552217729654	1.24488705912353	2.42492208821069	2.43562859405209	2.38956681176273	0.879705766282288	3.96532254836725	0.910732661902913	1.41142624572647	0.687060688339892	2.91647664443772	3.54966917072649	2.17632277264046	3.78240856492737	2.15055967657538	2.01792190799726	1.70487196445635	2.70043971814109	4.05571626351254	3.81352468929781	0.575312330687437	2.02856915219677	5.60821785302146	5.27388882366849	2.01435529297707	2.26303440583379	3.98185265328974	3.92029330021101	4.51285895444998	2.78868571061353	2.67355642399014	3.58856473740135	4.84498815668261	2.62058641045188	2.57773093149008	3.15218341905505	1.15704371014558	6.30323278525064	1.89141918684608	3.70265754339091	3.4262647547021	4.18348651445939	2.45680614923047	0.526068811667588	3.47767732756531	2.46205231879643	4.07809742302666	4.21179097625254	3.50969584193339	3.114367024952	4.07724299893246	3.62760683812965	4.28762004411207
