"HKB0044_3006_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0134_3006_T"	"HKB0167_3006_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0752_3000_T"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0074_3000_T"	"HKB0094_3006_T"	"HKB0120_3000_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0162_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0651_3000_N"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0719_3002_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0004_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0094_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3002_N"	"HKB0137_3000_N"	"HKB0143_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0196_3000_N"	"HKB0207_3000_N"	"HKB0211_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"	"HKB0005_3000_N"	"HKB0036_3000_N"	"HKB0044_3000_N"	"HKB0079_3000_N"	"HKB0091_3001_T"	"HKB0098_3005_T"	"HKB0149_3000_N"	"HKB0194_3000_N"	"HKB0210_3006_T"	"HKB0214_3000_N"	"HKB0562_3000_N"	"HKB0016_3006_T"	"HKB0084_3000_T"	"HKB0164_3006_T"	"HKB0179_3006_T"	"HKB0208_3006_T"	"HKB0222_3006_T"	"HKB0225_3000_N"	"HKB0538_3000_N"	"HKB0132_3006_T"
"CXCR6"	3.26603689399532	2.54101915313356	3.42223300068305	3.89044669267991	2.73768676140986	4.58916423669977	3.55336050333533	4.1811025507538	4.42290574261218	3.32192809488736	4.26077843189343	4.82017896241519	3.1586601753465	2.6507645591169	3.34766565630097	3.22804904788446	2.9429835981871	2.30742852519225	2.58976348698498	2.611172380044	2.58736499093646	2.93922657772821	2.54843662469604	3.81044310384517	2.55336050333533	3.09929520433778	3.35049724708413	2.46466826700344	2.98185265328974	3.90110824301451	3.13093086982645	1.71808758396052	5.17472598770613	3.51853513898218	2.61353165291793	1.15704371014558	1.29278174922785	1.1243281350022	1.9560566524124	2.18269229751619	1.28095631383106	1.83995958748953	2.84799690655495	1.21412480535285	1.83592407425437	1.89141918684608	0.748461233004036	1.21412480535285	2.114367024952	0.613531652917927	0.871843648509318	1.70043971814109	2.63691458035588	0.333423733725192	1.24488705912353	0.22650852980868	0.565597175854225	0.941106310946431	1.26903314645524	1.0703893278914	1.81557542886257	0.20163386116965	0.704871964456353	1.11103131238874	1.56071495447448	0.333423733725192	0.432959407276106	0.238786859587116	0.903038270112912	2.31903981556254	1.22032995487956	1.58976348698498	1.72246602447109	1.34482849699744	1.85598969730848	1.13093086982645	1.24488705912353	1.56071495447448	0.389566811762726	0.978195629681652	0.918386234446348	1.43295940727611	0.773996325111173	0.400537929583729	0.855989697308481	0.659924558402378	2.01792190799726	1.47508488294878	1.28688114778816	2.23572705983806	1.9297909977186	2.54596836910529	0.124328135002202	1.87970576628229	0.871843648509318	1.82781902461732	0.516015147003665	2.4276061727819	2.60644222813161	1.8073549220576	1.72683121703249	1.98550043030488	2.8073549220576	2.35895882583233	1.53106949272595	2.24488705912353	1.22650852980868	1.57046293102604	2.09085343045111	1.74846123300404	2.87381319835909	1.4594316186373	1.72683121703249	2.16992500144231	1.62293035092018	1.99638874644762	1.68257329734758	2.22032995487956
"CD2"	4.5668151540109	4.8801957289431	4.5765221379205	5.24298351610969	3.9560566524124	6.09000652990382	5.01256867350306	5.52262076104208	5.52732060787705	4.84197311892718	4.70487196445635	6.46825746832314	5.35579154675365	3.94953493301701	5.04395687279021	4.58135124716878	4.32696871158789	4.17072627613155	4.20163386116965	3.95233356636969	4.38956681176273	4.80683958179819	4.83895176695194	5.02768487693716	4.19140472885276	5.32624970083746	5.19179950106508	4.51727569320958	4.39369076418745	6.09021830165332	4.98322165074267	3.57531233068744	6.77991629665499	5.41244282477561	4.15380533607904	2.81966818349646	2.95046841415012	3.01613970265525	3.47767732756531	3.48284828306847	3.13750352374994	3.27202318906105	3.57288966842058	2.1407786557828	2.88166461932035	2.92029330021101	2.62527048937469	2.58014548442338	3.23112515787905	2.09085343045111	2.86393845042397	2.74631276642546	3.6564963705535	2.32481060342048	2.11769504266975	1.65992455840238	2.19534759832222	2.31324585178756	3.07553263116736	2.70043971814109	2.96716860753263	1.31034012061215	1.70043971814109	2.78031009904338	2.8499992594661	1.85598969730848	1.76977173924945	1.08406426478847	2.38128337250378	3.72574115650395	3.16349873228288	3.01970191444255	3.20006486151431	2.30158764660319	4.12928301694497	2.65992455840238	3.12267271882414	3.55090066464752	1.71369581484336	2.21412480535285	2.40871186102943	2.98185265328974	2.13422093976063	1.11103131238874	2.43829285157915	2.31614574229336	3.51475349843975	2.28688114778816	1.97085365434048	3.60169651648096	3.22032995487956	3.80838505065609	1.4905701304462	2.97452931248388	1.85199883711245	2.62058641045188	1.71369581484336	3.60050764534579	3.45022149589718	3.01970191444255	3.31614574229336	2.43829285157915	4.5077946401987	3.84799690655495	2.24184018356467	3.65420637794429	2.29278174922785	3.38128337250378	2.90110824301451	3.73226919950145	3.97544676564096	2.71149490665009	3.36176835941915	3.68818035858693	2.87184364850932	3.22650852980868	3.75595576955096	3.54720302475693
"IL2RB"	4.33485426933163	3.605257262939	3.28243980500639	3.91934008244201	2.63226821549951	5.00809242094872	2.60169651648096	2.81762325751143	3.56803210477128	2.75915583380027	3.33199177823206	4.63633460244218	3.64270157183323	2.30742852519225	3.36737106564853	2.64385618977472	2.62293035092018	2.51349074558812	2.08406426478847	2.49825086752783	2.23572705983806	3.1586601753465	3.71259578044703	2.62993940943954	2.96162332828694	3.63110428236588	2.70043971814109	1.94860084749336	1.78659636189081	5.02281165091563	2.7311832415722	1.65535182861255	4.99050111136325	3.5385381636298	2.32481060342048	1.48542682717024	1.83995958748953	1.58976348698498	1.76553474636298	1.9560566524124	1.90303827011291	2.36176835941915	1.46988597627446	1.54596836910529	1.4541758931858	1.40053792958373	1.73984810269933	1.78240856492737	1.59931779369823	1.31034012061215	1.50080205305716	1.57531233068744	2.15380533607904	1.36737106564853	1.24488705912353	1.20163386116965	1.23266075679027	0.903038270112912	1.35614381022528	1.59931779369823	1.62293035092018	1.30451104180995	1.68257329734758	1.68257329734758	1.7311832415722	1.03562390973072	1.22032995487956	1.32768736417605	1.70929063572336	2.48026512205446	2.08746284125034	1.57046293102604	1.89917563048051	1.55090066464752	1.68706068833989	2.48026512205446	1.54101915313356	1.98913900736823	1.20163386116965	1.68706068833989	1.05658352836637	1.1243281350022	1.98913900736823	0.956056652412403	1.65992455840238	1.08406426478847	1.05658352836637	1.07724299893246	0.53605290024021	1.70929063572336	1.74416109557041	1.87970576628229	1.43295940727611	2.26603689399532	0.765534746362977	1.75702324650746	1.15055967657538	2.13422093976063	1.22650852980868	1.64154602908752	1.91073266190291	2.07724299893246	2.89917563048051	2.70929063572336	1.33342373372519	2.10097764772482	1.62760683812965	1.790772037862	1.35049724708413	2.10097764772482	3.22958792274065	1.77820857639809	2.47248777146274	1.96347412397489	1.4905701304462	1.98913900736823	1.4276061727819	1.70929063572336
"KLRC4"	1.31614574229336	1.18269229751619	0.970853654340484	1.48026512205446	1.0496307677246	2.13093086982645	1.49569516262407	0.963474123974886	2.1407786557828	1.36176835941915	2.43562859405209	3.16349873228288	2	1	2.0036022366802	1.64616265715789	1.09761079662642	0.669026765509631	1.72246602447109	0.790772037862	1.16349873228288	1.04264433740849	1.51601514700366	1.03562390973072	0	1.23878685958712	0.55581615506164	0.978195629681652	1.64154602908752	1.87184364850932	1.61823865559545	0.713695814843359	4.22804904788446	2.40871186102943	1.87578006306849	1.0496307677246	1.60407132366886	0.55581615506164	1.48542682717024	1.71808758396052	1.52105073690096	1.36176835941915	1.43829285157915	1.4905701304462	0.454175893185802	0.137503523749935	1.36737106564853	1.62760683812965	0.807354922057604	0.6959938131099	2.24184018356467	2.16027483140859	1.49569516262407	0.545968369105292	0.823749360308273	0.956056652412403	0.903038270112912	1	0.189033824390017	0.815575428862573	1.19534759832222	0.75702324650746	0.887525270741587	1.23266075679027	1.11103131238874	1.18903382439002	0	0	0	1.58496250072116	1.37851162325373	1.22650852980868	1.76128527336162	1.34482849699744	2.03913839390696	0.863938450423971	0.632268215499513	1.02147972741045	0.613531652917927	0.422233000683048	0.970853654340484	0	2.09423606984577	0	2.16349873228288	1.38956681176273	1.30451104180995	0.443606651475615	0	0	0.485426827170242	0.286881147788162	0	1.02856915219677	1.32768736417605	1.99638874644762	0.367371065648529	1.72246602447109	1.38956681176273	1.23878685958712	0.925999418556223	0.831877241191673	0	0.887525270741587	1.13750352374994	0	0.495695162624069	0.765534746362977	0.956056652412403	1.0071955014042	0.815575428862573	0.16349873228288	0.75702324650746	0.613531652917927	0.650764559116902	1.13093086982645	0.799087306074004	0.344828496997441
"UBD"	7.1006623390052	7.75248100445637	6.35966172233388	7.63335855063711	6.92100780045222	8.48413813120167	8.47597656132805	9.39212419175306	9.78150725433654	7.85343432363353	6.42978332050851	8.14756110196932	8.60399717008549	4.20554891117303	5.8414699994658	5.39163026151743	5.36737106564853	4.49633451341711	5.61765111942733	4.1586601753465	4.1168637576909	5.04745114041639	6.231701199029	5.52512925120397	4.96855160336395	7.94186925352626	5.7679195858018	5.05831649559082	4.10852445677817	7.60110220337641	5.87504280300259	4.05224198118114	8.30309576199304	7.18586654531133	5.76553474636298	3.26603689399532	3.22187708107703	3.02856915219677	4.7457751494858	4.54039930563062	2.92029330021101	3.34340782229781	3.50969584193339	2.08065766334523	5.02812708231714	3.76765479823735	3.53356334821451	2.29278174922785	3.42223300068305	1.11103131238874	2.19849415363908	3.79493566280354	3.90881290773955	0.887525270741587	3.28688114778816	1.78240856492737	0.31034012061215	1.80322703643493	3.18745105402733	2.50589092972996	3.50842865253186	0.464668267003444	1.32768736417605	3.4154882710497	3.72900887033786	2.16349873228288	2.17312743348066	0.0840642647884746	3.33628338786443	6.03276207381379	4.42021289061078	3.4369613378336	5.32553033156756	2.77399632511117	5.25285462595139	3.47508488294878	3.40735275114004	4.4541758931858	1.91073266190291	1.84398384404833	2.40599235967584	2.10433665981474	0	1.75274859140713	2.62293035092018	2.27202318906105	4.70321146739115	3.07382023329167	2.3533232911629	4.29498826769145	4.83289001416474	4.41210404467757	1.56071495447448	3.04788732939655	1.18269229751619	2.81966818349646	2.03210084316702	5.33485426933163	5.60733031374961	3.4995270242151	4.46205231879643	2.11769504266975	7.7814908616581	5.89917563048051	3.99367436175058	3.92504996472736	6.68650052718322	3.80322703643493	5.38991092507167	4.57167680997093	6.0232553523003	5.03518399661834	2.83995958748953	5.58886451819015	3.4594316186373	5.22689381357139	3.73768676140986	5.03165985430805
"TNFSF13B"	3.4235781709818	4.38128337250378	3.67581593117227	4.29645740737124	4.27276973243651	5.25361115194717	2.95977015521147	5.17632277264046	6.15157472976641	3.99909803370561	3.89820835250872	4.98686597232911	3.36597242759338	2.89530262133331	3.88752527074159	3.02680005934372	2.63923216324928	3.4931349223055	2.30451104180995	3.29130885982897	2.73335434061383	3.58976348698498	4.18824265626441	3.84398384404833	3.10601323762212	3.52732060787705	3.49825086752783	3.26153081524341	2.43562859405209	4.83238371654913	3.54225804976692	2.49825086752783	4.57531233068744	3.84699468696557	2.67355642399014	3.00539998774259	2.5033487351675	2.39231742277876	1.93357263826102	3.34624777408278	2.88166461932035	2.55581615506164	2.86393845042397	2.92219784839637	2.6667565918848	2.35895882583233	3.03913839390696	2.93734439215023	2.45680614923047	2.64846544302731	3.81249822533356	2.31034012061215	2.17312743348066	2.52857131887076	2.53356334821451	2.31614574229336	2.51096191927738	2.92029330021101	2.28095631383106	2.4276061727819	2.35614381022528	2.05311133645956	2.99638874644762	2.65992455840238	2.18269229751619	2.25701061820602	2.53106949272595	2.08065766334523	2.77188557851537	2.86987140617771	2.17632277264046	2.43829285157915	3.20163386116965	2.64385618977472	3.8569856897822	4.07296327155522	2.76341157447001	2.52105073690096	2.51853513898218	2.80322703643493	3.11103131238874	2.93922657772821	3	2.84398384404833	2.91647664443772	3.47378691161437	2.86195536414487	2.64616265715789	2.55581615506164	3.86393845042397	2.87970576628229	3.14404636961671	2.33342373372519	2.24184018356467	2.99819550315325	3.05484847699562	2.56071495447448	2.81352468929781	2.46466826700344	2.25096157353322	1.82781902461732	2.4931349223055	4.12350066435096	4.13422093976063	1.82781902461732	1.92599941855622	3.02502879449152	3.38128337250378	2.33342373372519	3.20006486151431	3.85798099512757	2.68706068833989	3.35049724708413	2.04264433740849	2.51349074558812	2.22958792274065	2.59931779369823	1.94860084749336
"GPR25"	0.632268215499513	0.214124805352847	0.7311832415722	0.799087306074004	0.0565835283663675	0.485426827170242	0.773996325111173	0	0.432959407276106	0.238786859587116	0.238786859587116	0.687060688339892	0.176322772640463	0.070389327891398	0.137503523749935	0	0.111031312388744	0.214124805352847	0	0.070389327891398	0.422233000683048	0.070389327891398	0.0565835283663675	0.31034012061215	0.0840642647884746	0.321928094887362	0.124328135002202	0.0840642647884746	0.0840642647884746	0.333423733725192	0	0.176322772640463	0.0976107966264223	0.400537929583729	0.505890929729957	0.263034405833794	0	0	0.137503523749935	0.0976107966264223	0	0.389566811762726	0.124328135002202	0	0	0.0426443374084937	0.124328135002202	0	0	0.0976107966264223	0.0840642647884746	0.0840642647884746	0.565597175854225	0.0840642647884746	0	0	0	0	0.070389327891398	0	0.250961573533219	0.0565835283663675	0	0.124328135002202	0.0976107966264223	0	0	0	0.31034012061215	0.176322772640463	0	0.286881147788162	0	0	0	0	0.0976107966264223	0.526068811667588	0	0	0.298658315564515	0	0.0976107966264223	0	0	0	0.150559676575381	0	0	0.0840642647884746	0.20163386116965	0.0840642647884746	0	0.16349873228288	0	0	0	0	0.070389327891398	0.27500704749987	0.124328135002202	0.0840642647884746	0.0565835283663675	0.20163386116965	0.0565835283663675	0.37851162325373	0.137503523749935	0	0.176322772640463	0	0.356143810225275	0	0	0	0	0	0.0840642647884746	0
"CD7"	3.9174317553901	3.26903314645524	3.54349588342577	3.57288966842058	2.790772037862	4.4093909361377	3.11769504266975	2.82578562746479	3.36876834909033	2.43295940727611	3.30597052098439	4.46205231879643	3.83794324189103	2.114367024952	3.51222688651396	2.44095219802964	2.94485844580754	2.68706068833989	1.94485844580754	2.09085343045111	1.90689059560852	2.56803210477128	3.5909612413426	1.66448284036468	2.4032677223393	3.20163386116965	2.47248777146274	2.0071955014042	1.36737106564853	4.06350294230616	2.35895882583233	0.985500430304885	4.6450098843911	3.17951105027151	3.16188768237689	1.38956681176273	1.89917563048051	1.60407132366886	2.21723071622067	1.89530262133331	1.80322703643493	2.21723071622067	1.54101915313356	1.65535182861255	1.43295940727611	1.15704371014558	1.73552217729654	1.78240856492737	1.30451104180995	1.54596836910529	1.37851162325373	1.98185265328974	2.20476675065461	1.50589092972996	0.910732661902913	0.765534746362977	1.0496307677246	1.09085343045111	1.41142624572647	1.61353165291793	1.40599235967584	1.25701061820602	1.59454854955035	1.91073266190291	1.73552217729654	0.790772037862	0.799087306074004	1.32768736417605	1.58976348698498	2.34482849699744	1.4594316186373	1.67355642399014	1.790772037862	1.09085343045111	2.24488705912353	1.790772037862	1.36176835941915	2.04264433740849	1.09761079662642	0.879705766282288	1.49569516262407	0.963474123974886	1.18903382439002	0.622930350920177	1.59931779369823	1.05658352836637	0.495695162624069	0.782408564927373	0.613531652917927	1.43829285157915	1.78659636189081	1.4594316186373	1.16349873228288	1.14404636961671	0.650764559116902	1.83995958748953	0.713695814843359	1.6915341649192	1.6959938131099	1.91073266190291	1.85996954822103	1.54101915313356	2.96532254836725	2.41142624572647	1.49569516262407	1.55581615506164	1.78240856492737	1.4276061727819	0.978195629681652	2.06695024392463	2.6915341649192	1.43829285157915	1.89530262133331	1.51601514700366	0.584962500721156	1.95977015521147	0.604071323668861	2.13750352374994
"CTLA4"	2.25398926623079	2.64616265715789	2.55336050333533	2.49825086752783	2.611172380044	4.16108148227718	2.12763327972587	3.72574115650395	2.72683121703249	2.28392177230762	2.17632277264046	4.39369076418745	2.74416109557041	1.37295209791183	3.25701061820602	2.24488705912353	2.46466826700344	1.96716860753263	1.75702324650746	1.91838623444635	1.57531233068744	2.17312743348066	2.44360665147561	1.50080205305716	1.89141918684608	2.09761079662642	2.4032677223393	1.40599235967584	0.748461233004036	3.40053792958373	1.75274859140713	1.30451104180995	4.20789285164133	2.77188557851537	0.464668267003444	0.321928094887362	1.21412480535285	1.01435529297707	0.678071905112638	1.26303440583379	0.505890929729957	0.918386234446348	0.632268215499513	0.948600847493356	0.765534746362977	1.73552217729654	1.32192809488736	0.55581615506164	1.34482849699744	0.475084882948783	0.650764559116902	0.516015147003665	0.669026765509631	0.286881147788162	0.37851162325373	0.150559676575381	0.37851162325373	0.855989697308481	1.06350294230616	0.526068811667588	0.7311832415722	0.238786859587116	0.150559676575381	0.464668267003444	0.823749360308273	0.37851162325373	0.356143810225275	0.16349873228288	0.722466024471091	1.63226821549951	1.03562390973072	0.765534746362977	1.06350294230616	0.748461233004036	1.94110631094643	0.887525270741587	0.565597175854225	0.53605290024021	0.150559676575381	1.55581615506164	0.367371065648529	0.622930350920177	0.124328135002202	0.22650852980868	0.137503523749935	0.545968369105292	1.0703893278914	0.150559676575381	0.613531652917927	1.27500704749987	0.432959407276106	1.0496307677246	0.124328135002202	0.545968369105292	0.782408564927373	0.594548549550354	0.0840642647884746	0.321928094887362	0.839959587489532	0.27500704749987	1.09085343045111	0.575312330687437	2.63226821549951	2.18903382439002	0.565597175854225	1.33913738491959	1.58976348698498	0.790772037862	1.13750352374994	1.91838623444635	2.08406426478847	0.895302621333307	1.44360665147561	1.38404980679516	0.748461233004036	0.855989697308481	0.475084882948783	1.96347412397489
"FPR3"	4.80787007829978	5.82883464946806	5.02591469875079	5.48800077083407	5.39882918244463	6.53807250273785	4.67694435910691	6.3212065669699	6.15035658020834	5.44426950241348	5.61235249875266	5.69181329717138	4.49825086752783	3.82068956055921	5.42122329922514	4.32409051603798	3.7158933705476	5.94110631094643	3.5197934862411	4.6507645591169	5.03913839390696	5.17152710603881	5.72601374886015	4.39985467357243	4.52919626799939	5.43429461795993	5.67157644813065	5.14526985665051	2.64616265715789	5.94579495674006	4.97636363573276	3.44493204894218	5.53449743373817	5.33127526714661	3.02147972741045	2.8972404255748	3.58014548442338	4.73335434061383	3.78659636189081	3.95512678126137	6.04264433740849	3.24640808724638	4.51475349843975	5.28466218548316	4.14974711950468	3.5668151540109	4.20163386116965	4.05484847699562	3.38404980679516	3.63575439127776	5.61911951145322	3.86888427302877	2.44890095114513	3.52105073690096	3.93262815702213	2.70708299177171	3.19219416528334	4.43229133824778	3.04439411935845	3.87282875953489	3.55090066464752	3.54101915313356	4.82119997805645	3.2585189247113	3.45154083301783	3.34198574722862	3.97177344719337	2.90110824301451	4.80322703643493	4.30231905094883	3.28688114778816	2.97085365434048	4.48928602262588	4.93687346182423	5.02680005934372	5.83010317592004	4.16188768237689	5.05614996110814	4.87528859822269	3.8011586560937	4.75007048586569	5.59991284218713	5.18705508996806	3.85598969730848	4.70265754339091	4.36667191611176	3.57410150808939	4.09845324630927	3.59693514238723	4.8094144442359	4.25625587320273	4.4032677223393	2.66902676550963	3.23878685958712	5.51285895444998	4.12101540096137	3.72900887033786	3.09254574154357	3.49825086752783	3.5298209465287	2.81147103052984	1.84799690655495	5.3823214071145	4.97498811199193	3.66334461936608	2.83592407425437	4.33342373372519	3.73660487531425	2.70265754339091	4.93073733756289	4.90303827011291	4.32840565895857	4.9923152518612	3.98913900736823	3.67694435910691	2.81352468929781	3.20945336562895	3.87872534148011
