"HKB0016_3006_T"	"HKB0040_3000_N"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0120_3000_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0143_3006_T"	"HKB0155_3000_T"	"HKB0162_3006_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0605_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"HKB0008_3006_T"	"HKB0064_3004_T"	"HKB0067_3000_N"	"HKB0067_3006_T"	"HKB0089_3001_T"	"HKB0109_3000_N"	"HKB0162_3000_N"	"HKB0191_3001_T"	"HKB0207_3000_N"	"HKB0211_3000_N"	"HKB0220_3003_N"	"HKB0574_3000_N"	"HKB0576_3000_T"	"HKB0577_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0648_3000_N"	"HKB0672_3000_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0007_3005_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0091_3001_T"	"HKB0134_3006_T"	"HKB0137_3002_T"	"HKB0216_3000_N"	"HKB0710_3000_T"	"HKB0718_3000_T"
"FCRL3"	1.73552217729654	0.863938450423971	4.01077983875324	2.42223300068305	1.11103131238874	3.09423606984577	2.36737106564853	2.16349873228288	1.44890095114513	1.50589092972996	0.941106310946431	1.23266075679027	2.0036022366802	0.782408564927373	1.29865831556452	1.29278174922785	1.88362081628567	1.0496307677246	2.03562390973072	1.88362081628567	1.46988597627446	1.83187724119167	1.28688114778816	0.613531652917927	1.65535182861255	2.03562390973072	3.31614574229336	1.35614381022528	4.64961545906341	1.20789285164133	2.65764000520782	1.48542682717024	0.790772037862	0.454175893185802	0.27500704749987	0.75702324650746	0.344828496997441	0.454175893185802	0.432959407276106	0.31034012061215	0.250961573533219	0.6959938131099	0.22650852980868	0.27500704749987	0.189033824390017	0.575312330687437	0.613531652917927	0.526068811667588	1.07724299893246	0.526068811667588	0.0976107966264223	0.790772037862	0.485426827170242	1.46988597627446	0.925999418556223	0.918386234446348	0.992768430768924	0.925999418556223	0.773996325111173	0.956056652412403	0.831877241191673	0.286881147788162	0.956056652412403	1.63691458035588
"PLA2G2D"	1.26903314645524	1.27500704749987	5.90183230578549	3.0703893278914	0.839959587489532	2.16349873228288	1.88362081628567	1.77820857639809	2.74416109557041	1.24488705912353	1.09085343045111	0.933572638261024	1.27500704749987	0.839959587489532	1.27500704749987	1.31614574229336	4.72900887033786	1.43829285157915	2.66448284036468	1.4276061727819	2.41142624572647	1.10433665981474	0.823749360308273	1.24488705912353	1.94485844580754	3.56071495447448	4.48607074373567	1.40599235967584	4.97039353791468	0.765534746362977	3.0496307677246	3.93357263826102	0.526068811667588	0.344828496997441	0	0.782408564927373	2.11769504266975	0.344828496997441	0.189033824390017	0.16349873228288	0.0285691521967709	1.50080205305716	0.150559676575381	0.214124805352847	0	0.389566811762726	0.137503523749935	0.0285691521967709	0.20163386116965	0.37851162325373	0.0285691521967709	0.070389327891398	1.83592407425437	2.77188557851537	1.7311832415722	1.70929063572336	1.98185265328974	1.74846123300404	1.91838623444635	1.4276061727819	1.96347412397489	0.432959407276106	2.34766565630097	2.35049724708413
"BTLA"	1.04264433740849	1.55581615506164	4.5668151540109	1.81966818349646	1.31614574229336	2.48542682717024	1.80322703643493	2.23266075679027	1.68706068833989	1.53106949272595	1.23266075679027	1.41683974191283	2.31324585178756	0.713695814843359	1.32192809488736	0.823749360308273	2.42492208821069	1.40053792958373	1.56559717585423	1.06350294230616	1.74416109557041	2.21412480535285	1.34482849699744	1.27500704749987	1.7311832415722	2.84799690655495	2.92409988564074	1.15704371014558	4.68425770505893	0.918386234446348	2.07382023329167	1.92219784839637	0.545968369105292	0.411426245726465	0.344828496997441	0.823749360308273	0.659924558402378	0.55581615506164	0.333423733725192	0.782408564927373	0.298658315564515	1.18269229751619	0.604071323668861	0.748461233004036	0.495695162624069	0.411426245726465	0.356143810225275	0.286881147788162	1	0.75702324650746	0.443606651475615	0.863938450423971	0.903038270112912	0.970853654340484	0.687060688339892	0.815575428862573	1.70929063572336	0.895302621333307	1.58496250072116	1.31034012061215	0.895302621333307	0.575312330687437	1.63691458035588	1.39506279951758
"PVRIG"	1.33913738491959	1.78240856492737	3.5909612413426	2.88947354253111	1.93734439215023	3.19849415363908	2.13750352374994	2.09761079662642	1.9297909977186	1.43295940727611	1.21412480535285	1.81557542886257	2.02856915219677	1.83995958748953	1.87578006306849	1.58976348698498	2.88557436437143	2.30451104180995	2.0071955014042	2.19534759832222	2.9126498648972	2.04264433740849	1.58496250072116	1.11769504266975	1.81147103052984	2.20163386116965	3.80529245560071	2.22032995487956	4.09761079662642	1.53605290024021	2.64846544302731	2.22650852980868	1.29278174922785	0.839959587489532	0.75702324650746	1.14404636961671	1.0703893278914	0.669026765509631	0.678071905112638	1.46988597627446	0.53605290024021	1.6915341649192	1.11103131238874	0.6959938131099	0.687060688339892	1.16992500144231	0.622930350920177	0.604071323668861	1.04264433740849	1.22650852980868	0.389566811762726	0.925999418556223	1.36737106564853	2.02856915219677	0.963474123974886	1.62760683812965	1.61353165291793	2.30451104180995	1.56559717585423	1.76128527336162	1.15704371014558	1.27500704749987	2.26303440583379	1.76553474636298
"GZMK"	3.22958792274065	2.95419631038688	6.24317398347295	5.08576455377831	3.69041709553247	4.90592847817314	3.5385381636298	4.84498815668261	4.4235781709818	3.87282875953489	3.21101219348551	3.65420637794429	4.92124588858559	3.48542682717024	4.12267271882414	3.90689059560852	4.78293270482084	4.5915597458278	4.42492208821069	4.21645486514476	4.8414699994658	4.70210340662939	4.674686619928	3.76341157447001	4.69710657447698	4.90255600534463	5.96786027116915	5.16027483140859	7.06641214573448	3.00539998774259	5.68594014844598	4.92267359284945	3.28392177230762	2.28392177230762	1.6915341649192	2.76553474636298	2.8011586560937	2.22342254993494	1.59931779369823	2.70708299177171	1.85199883711245	4.10433665981474	2.57046293102604	3.1243281350022	2.8972404255748	2.12763327972587	2.65306001710456	2.4541758931858	3.30158764660319	2.89917563048051	1.75274859140713	1.77399632511117	3.28540221886225	3.21101219348551	2.40053792958373	3.03913839390696	3.48284828306847	3.34198574722862	3.24031432933371	3.76128527336162	3.46858331700683	2.91456452349394	3.91647664443772	4.67638025546692
"SPIB"	1.43295940727611	1.13093086982645	4.72465027173297	2.25398926623079	1.35049724708413	3.35895882583233	2.96532254836725	1.75274859140713	1.94110631094643	1.33342373372519	1.790772037862	2.01077983875324	1.78659636189081	0.963474123974886	1.78659636189081	1.08406426478847	2.48542682717024	2.48800077083407	2.50080205305716	1.91838623444635	2.70265754339091	2.67355642399014	1.68706068833989	1.24488705912353	2.09761079662642	3.66448284036468	3.94392132655349	1.55090066464752	3.25550073314839	1.29865831556452	3.13093086982645	1.52105073690096	1.01435529297707	0.333423733725192	0	0.863938450423971	0.250961573533219	0.545968369105292	0.641546029087524	0.879705766282288	0.124328135002202	0.411426245726465	0.970853654340484	0.333423733725192	0.0426443374084937	0.070389327891398	0.238786859587116	0.250961573533219	1.13093086982645	0.505890929729957	0.356143810225275	0.367371065648529	1.88362081628567	1.85598969730848	1.18269229751619	1.68257329734758	1.36737106564853	1.21412480535285	2.70929063572336	1.50589092972996	0.584962500721156	0.333423733725192	6.34482849699744	1.54101915313356
"TTC24"	0.0976107966264223	0.124328135002202	2.40599235967584	0.485426827170242	0.27500704749987	0.871843648509318	0.871843648509318	0.333423733725192	0.367371065648529	0.214124805352847	0.137503523749935	0.189033824390017	0.400537929583729	0.400537929583729	0.432959407276106	0.0976107966264223	0.933572638261024	0.739848102699327	0.782408564927373	0.321928094887362	0.400537929583729	0.475084882948783	0.565597175854225	0.22650852980868	0.516015147003665	0.400537929583729	1.05658352836637	0.400537929583729	2.36176835941915	0.0840642647884746	0.7311832415722	0.286881147788162	0.0976107966264223	0.124328135002202	0	0.176322772640463	0.124328135002202	0.20163386116965	0.16349873228288	0.137503523749935	0.16349873228288	0.124328135002202	0.189033824390017	0.22650852980868	0.124328135002202	0	0	0.0426443374084937	0.356143810225275	0.344828496997441	0.214124805352847	0	0.31034012061215	0.594548549550354	0.111031312388744	0.124328135002202	0.641546029087524	0.584962500721156	0.53605290024021	0.20163386116965	0.070389327891398	0.27500704749987	0.713695814843359	0.464668267003444
"ZNF831"	0.855989697308481	1.02147972741045	3.30451104180995	1.77820857639809	1.23266075679027	2.15704371014558	1.42223300068305	2.04614178164472	1.59931779369823	0.903038270112912	1.23266075679027	1.06350294230616	1.61823865559545	1.07724299893246	1.28095631383106	1.32768736417605	2.28095631383106	1.77820857639809	1.46466826700344	1.15055967657538	1.88752527074159	1.73984810269933	1.18903382439002	0.948600847493356	1.40053792958373	1.40599235967584	2.68032435684402	1.46466826700344	3.82476785314329	0.925999418556223	2.0703893278914	1.67355642399014	0.933572638261024	0.575312330687437	0.687060688339892	0.748461233004036	0.871843648509318	0.823749360308273	0.678071905112638	0.7311832415722	0.37851162325373	1.48026512205446	0.669026765509631	0.584962500721156	0.286881147788162	0.871843648509318	0.748461233004036	0.464668267003444	0.978195629681652	0.985500430304885	0.367371065648529	0.956056652412403	0.879705766282288	1.13093086982645	0.495695162624069	0.704871964456353	1.28688114778816	1.27500704749987	1.09761079662642	1.26903314645524	0.815575428862573	0.565597175854225	1.30451104180995	0.970853654340484
"RTP5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GPR174"	1.68706068833989	2.12763327972587	4.92599941855622	2.92219784839637	2.34198574722862	3.27351588970212	2.75060650483559	3.31034012061215	2.43295940727611	2.26303440583379	2.03913839390696	2.50589092972996	2.64385618977472	2.07382023329167	2.14730669878029	2.39231742277876	3.72246602447109	2.82781902461732	2.86789646399265	2.58255600301406	2.90496571868403	3.17951105027151	2.87184364850932	1.73552217729654	2.95419631038688	3.03913839390696	4.41345868800798	3.10601323762212	5.19337751056436	1.99276843076892	3.8073549220576	2.97452931248388	1.66448284036468	1.11103131238874	0.53605290024021	1.68257329734758	1.83995958748953	1.37851162325373	1.05658352836637	1.11769504266975	0.782408564927373	2.14730669878029	0.925999418556223	0.807354922057604	1.02147972741045	0.985500430304885	0.84799690655495	0.963474123974886	2.58255600301406	1.63226821549951	0.27500704749987	2.25701061820602	2	2.76553474636298	1.83187724119167	1.58014548442338	2.60407132366886	2.68481873755322	2.1407786557828	1.86393845042397	2.10097764772482	2.11769504266975	3.4931349223055	2.68257329734758
