"HKB0004_3000_N"	"HKB0005_3000_N"	"HKB0006_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0035_3000_N"	"HKB0036_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0115_3000_N"	"HKB0120_3000_T"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0137_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0164_3000_N"	"HKB0167_3000_N"	"HKB0168_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0618_3000_N"	"HKB0636_3000_N"	"HKB0648_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0033_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0088_3000_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0143_3006_T"	"HKB0161_3001_T"	"HKB0164_3006_T"	"HKB0182_3006_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0216_3000_N"	"HKB0564_3000_T"	"HKB0573_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0665_3000_T"	"HKB0701_3000_T"	"HKB0737_3000_T"	"HKB0040_3002_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0220_3000_T"	"HKB0674_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0044_3000_N"	"HKB0079_3000_N"	"HKB0127_3000_N"	"HKB0179_3006_T"	"HKB0210_3006_T"	"HKB0211_3002_T"	"HKB0225_3000_N"	"HKB0230_3006_T"	"HKB0233_3000_N"	"HKB0538_3000_N"	"HKB0562_3000_N"	"HKB0585_3000_T"	"HKB0109_3000_N"	"HKB0158_3006_T"	"HKB0162_3006_T"	"HKB0597_3000_N"	"HKB0719_3001_N"
"ADH1B"	9.32732808262995	6.45466943160474	8.46152037422453	9.3286300527563	10.1960364939515	10.5210114643978	8.7644403760564	6.63720448190229	8.88083855251509	9.44101446770791	10.8230009464646	8.43358544115049	9.77419404936844	12.1527348219834	10.6468016888569	10.1056204644742	9.55111222184027	10.7395781120481	10.4125169223187	10.9606029298026	10.209502104503	11.8637952327952	9.52642098914789	10.540912635795	9.67198327209186	11.5676186468019	10.2323489705167	11.6418033980107	11.0525205035739	10.284696883029	11.1226338972168	8.53578081463634	8.91978698169106	10.3138353639846	7.58863968843864	8.6396301231402	10.8348581396542	11.6125920924543	9.55830590538175	10.0496579922383	11.7867515347376	11.467539323155	12.3594805395909	9.32645195883266	6.74011804283313	10.4892759860326	8.54774285452596	9.93482607223564	9.72953577667879	8.03919323984743	9.73406602115488	8.81464654866029	11.0198756255471	10.3292581697762	11.2316951997857	6.13401553005844	10.4855173953051	10.9699476601462	10.4095182271433	8.78806575095779	10.706064267335	9.97540377305502	10.6957589803527	11.3236853088835	10.8344394462418	11.4098204982771	11.4537130475296	9.36060570055842	10.6322227669812	10.2463368248646	9.73369327989434	11.7238059744689	10.6811153996483	10.6531316913496	9.0059893870185	10.0079943475282	11.0089047729179	11.5159166204313	10.9158047032468	8.36273287432728	2.93734439215023	3.67129337248158	6.25342205763654	2.77820857639809	7.06371864015225	6.86839045305445	3.8499992594661	1.83592407425437	4.32984117653063	7.45516280124451	6.39094277280254	4.52669484554198	1.20789285164133	6.79882817809111	4.13996056954546	0.16349873228288	0.0565835283663675	4.17632277264046	7.15845821621677	0.53605290024021	6.55320688623026	1.52105073690096	0.516015147003665	5.96509162479079	3.674686619928	6.30779279612989	8.4023299385598	7.44766184169775	7.03705270164513	6.73674015545321	2.82171021503467	7.69849632031307	7.52880570651973	5.93144668529867	5.59723318908613	7.9902741833186	6.93357263826102	6.14913740122799	6.07146236255662	6.83655536776678	0.903038270112912	3.79181407116183	8.09090634523191	3.33913738491959	7.50398470389761	7.5901378920531	6.69863522129434	2.92789645372882	10.3889644159005	5.8799507684126	6.00988458893184	11.6607937014998	12.0466670318019
"CHRDL1"	5.9126498648972	4.87872534148011	5.76181714250714	6.9174317553901	7.87835751033694	7.49864978776841	6.16551001804135	5.70099449416827	6.44228003525258	6.8174953533453	8.47957819174907	6.24184018356467	7.4463389508575	8.26171884978794	8.37803469210242	7.91247023530837	7.31885910596865	8.40671522735959	7.90147031982427	8.39506279951758	7.24792751344359	7.76168419360221	7.44228003525258	6.6167693662935	6.38335869538511	7.72717169211039	7.25209770303744	8.03683297958548	8.12417302040219	8.75885612912695	8.82489511420639	7.42559357765306	6.17412673742093	7.37242979233409	6.57152513094636	6.88374299057045	8.36097873095246	8.02441941959719	7.53659691755407	7.25936665465885	8.23433844869563	8.38586240064146	8.37799132690588	8.1398071267175	5.92409988564074	6.85137426675727	5.55213110825378	8.08767498668722	6.8860623383456	5.94392132655349	8.30273030300223	6.22631584933549	8.82323984413102	7.58556349845569	8.13329636570058	6.43412778418803	7.82826344846779	8.63284983011771	7.84918613874346	7.3169602873649	8.65764000520782	7.59671156694847	8.64497384539578	8.59208323365389	8.4115957253203	8.74866248780535	8.90008186496302	7.45918568374892	7.14016513459945	6.91874400135231	7.44277765930152	7.98777561614291	7.50874555424447	7.59894576372095	7.38534474902454	6.21529030565123	8.66884953677817	8.00191480808022	7.78555055173926	5.54565954002547	2.77399632511117	2.29572302453997	3.5298209465287	0.970853654340484	5.27909980213375	5.25776496857139	1.70043971814109	1.57046293102604	2.49569516262407	4.28835856219366	4.39917109381982	3.61706334388818	1.84799690655495	4.97407036702403	2.63459326844576	1.18903382439002	0.111031312388744	2.98732086592925	5.33913738491959	0.22650852980868	5.01524777369894	0.704871964456353	0.422233000683048	3.32768736417605	3.13257684267001	4.53294028837287	4.88264304936184	5.23074100262691	6.10643207781693	4.59991284218713	1.59454854955035	6.10202817936731	5.24069594421251	3.51222688651396	3.26453643099903	5.11603199344711	5.16751850373522	4.58676474335514	4.81608765860021	4.67072705449947	0.565597175854225	2.97452931248388	4.77188557851537	2.17632277264046	5.06565847093199	5.52230689287139	4.11186596386756	1.43295940727611	8.11691572703731	4.16349873228288	4.17712050284652	8.36018867006271	8.21495046531563
"LMOD1"	5.69932952567316	5.18428029441938	5.83743871485637	5.91121220155861	6.47427378772256	5.85574059171503	5.30414594120295	5.34553831007001	5.84924870276441	6.24222139509837	4.9923152518612	5.41210404467757	6.1876489953106	5.27388882366849	5.71011763204345	5.75808993420181	6.03804103701151	6.22052343641151	5.66362925881475	6.4846215270986	5.87233628810464	4.1243281350022	5.95628902658394	3.67016051412663	5.31542131594578	4.54039930563062	5.42525787199921	5.13422093976063	4.86245139132558	5.67638025546692	5.82323984413102	5.83743871485637	5.17871464117544	5.53915881110803	4.37225564844579	5.10097764772482	4.95698592461258	4.38128337250378	5.31578357458946	5.89651405396884	5.6915341649192	5.50143914515887	6.29333369530646	5.83592407425437	5.59842476052772	5.23381138429316	5.71011763204345	6.08065766334523	5.98913900736823	4.95373084981149	6.4905701304462	6.41481206056585	6.34819700307791	5.0866139474095	5.15906400881055	5.83035674741922	6.55612281784117	6.114367024952	5.93663793900257	5.92789645372882	5.35614381022528	6.4572987888258	6.37903173202854	5.19377174339668	5.63633460244218	4.57591736111815	4.4276061727819	5.4154882710497	5.20515788392009	4.85449441815488	5.45121111183233	5.08236196955747	5.16390121381454	5.5512083739461	5.40633257782171	5.85773223315767	4.65133876610593	4.34127418369217	4.94204525991605	5.89190518821193	2.76341157447001	3.70043971814109	3.47508488294878	3.15704371014558	2.64385618977472	4.42894634476948	2.51853513898218	3.92789645372882	2.78659636189081	1.87184364850932	4.63459326844576	4.24107745817504	4.03474394932473	4.94626298433245	3.44360665147561	4.12267271882414	4.3819754785573	3.83794324189103	4.12680770314203	3.75488750216347	4.16349873228288	3.67919857056692	4.8972404255748	3.73552217729654	1.76977173924945	3.69041709553247	3.18586654531133	4.92219784839637	4.58074849176377	2.70708299177171	2.03562390973072	4.8444860877578	3.02147972741045	2.50842865253186	1.90303827011291	2.98185265328974	4.9126498648972	5.80245174127562	4.0408924306469	2.13750352374994	0.895302621333307	2.82578562746479	5.83592407425437	2.76765479823735	4.52418907844937	5.40087943628218	5.09676785471469	1.91073266190291	4.16430358309365	4.02945288578697	3.18428029441938	5.15421053058834	4.0408924306469
"HSPB6"	3.82374936030827	2.04614178164472	3.86690797814317	4.52544250601812	5.74389191093657	5.72628628972067	3.96254902292306	3.1811025507538	3.90303827011291	4.66845955691538	5.22149045504206	3.75381844317354	4.53543091487128	4.96670731415032	6.48446041312882	3.98732086592925	4.44095219802964	8.12101540096137	5.43061981095978	5.45746296464855	4.77241355474848	5.22573765346606	4.99909803370561	4.95977015521147	4.89384755813292	5.84323015049655	5.28725064325462	5.55458885167764	5.09423606984577	5.57319272378161	5.10055722078293	4.91981677005279	4.76500424625004	5.47378691161437	3.58736499093646	4.68873986801449	6.05939854397342	6.82311243696523	4.94438996227009	6.00090140274153	5.66959375118833	6.93345461191491	6.82870773545514	6.13134253912326	3.45154083301783	6.26528685756517	4.63923216324928	5.59663703410207	5.25701061820602	4.66959375118833	6.50350775363456	4.97269265400426	6.58781501278806	6.40922119732453	6.26491169307446	4	5.69460165335612	6.10977842907866	6.06738057801906	5.35895882583233	6.95721814916694	6.56742375770728	5.73498052343589	5.1197711619529	6.65406313264398	5.50620838930675	5.6284819943839	3.99548451887751	3.27798474729977	3.16832111573972	4.46270675067016	4.86443379636562	4.20084957463721	5.19258872156664	3.51222688651396	4.12101540096137	4.97911075501579	6.14751022492028	5.55213110825378	3.01970191444255	0.879705766282288	0.400537929583729	1.31614574229336	0.55581615506164	2.51349074558812	2.37573453858316	0.604071323668861	0.516015147003665	0.594548549550354	1.68706068833989	1.72246602447109	1.27500704749987	0.464668267003444	2.26903314645524	1.33913738491959	0.948600847493356	0.344828496997441	1	2.01077983875324	0.584962500721156	1.35049724708413	0.739848102699327	0.356143810225275	0.879705766282288	0.485426827170242	2.06004738366994	3.0408924306469	2.89141918684608	2.95977015521147	2.81147103052984	0.687060688339892	4.3305584000308	2.33913738491959	1.46466826700344	1.41142624572647	2.35049724708413	2.6915341649192	3.25550073314839	3.06695024392463	2.4931349223055	1.4276061727819	0.75702324650746	4.75274859140713	1.52606881166759	3.38681094647222	1.4594316186373	1.85996954822103	0.367371065648529	5.10643207781693	2.11103131238874	1.49569516262407	5.51822038059959	5.62322307589651
"FHL1"	6.91838623444635	6.36282052553426	7.25870735219683	9.07649496252548	10.0426580158085	10.2138575788705	7.52199295640167	7.36780786211585	7.67461600861502	8.02735313393009	10.7033499151664	7.12039341559244	9.55746370159782	9.6499746511581	9.82037045789686	9.9546616208379	9.39544844947066	10.369488294913	9.6998326874895	9.82734270423412	9.18356094988644	10.000070442374	9.61174412059324	9.85290398412003	8.74284834582468	10.1783660739018	9.51024988749149	10.4258557933524	9.32438309488586	11.052126480515	10.1971798264966	9.53877093772462	7.88221506786627	9.27083258651792	7.59208323365389	8.71530997122008	9.70528679027247	9.49984588708321	9.04889551159339	8.18492491920563	9.28463905332233	9.39596248909992	9.95169269223699	10.1578900545435	7.46041493916217	8.82546765011214	6.96843640433479	9.03809592468451	9.03256924617904	7.87535004048504	9.69696752623429	8.08284094314462	10.4633711043254	9.88720538101582	10.3009931074202	6.88080794836281	9.9321113821927	9.60505349899362	9.6637359841313	9.4070765254235	10.3107604515469	9.5190071478334	10.618440565904	11.2116024033757	10.8810298137596	10.2464199639678	10.4858393693017	9.44219708122094	7.66796306639716	7.6991212694417	9.10664145232436	9.97342472785758	9.02344942875391	9.58567615766373	9.2947356085741	8.66714703229141	11.1539066453759	8.95544649207506	10.5319564743381	6.85872702377863	4.44294349584873	4.55949181320504	5.67948009950545	3.96993327469786	7.30706416225537	6.07895134139482	3.23878685958712	3.43162295971329	4.54411440220947	5.7045953476324	5.45811948117451	4.80838505065609	3.77820857639809	5.48413813120167	4.6564963705535	4.19534759832222	4.10349763970334	3.97269265400426	7.03408362661542	4.68537955195908	6.09423606984577	4.21878116778407	4.7839804136838	4.51664555778096	3.81659970653491	4.80632405739003	6.35508676166836	6.5003240492842	7.8743666501409	5.43128865429159	3.18269229751619	7.63248634845977	6.10097764772482	4.90448409790142	4.86294724802092	7.3155118891348	5.43162295971329	5.81429405828283	5.86443379636562	5.67919857056692	6.228626318332	3.8569856897822	6.54843662469604	3.75915583380027	6.63705953841085	6.65234307874022	5.48413813120167	2.39506279951758	10.183833846933	5.26453643099903	5.70735913208088	11.0108427651074	9.71335214418715
"SCARA5"	4.37642931106992	5.32445060465607	4.19455988602261	5.71066869967463	5.07167687375186	5.12474169241965	4.33842441478356	5.12887075946512	3.44757919654888	5.39300425689832	7.93940290679578	5.63894266890881	6.71671659170597	4.82731094394967	6.73362549840823	5.35860724911781	5.88581837198992	4.82374936030827	6.21645486514476	5.55336050333533	5.23419472295381	7.4988890869768	6.51601514700366	4.90977310414164	5.65935375917005	7.34002810238993	5.91097245165513	5.11935617703968	5.79856900355688	6.91993591734946	5.45779126025604	4.2349610948395	4.85349670370232	5.29020320512607	5.02901108665907	5.06608919045777	4.8972404255748	7.28881994409049	5.55826763405574	4.61941301059794	5.38784501296558	7.50064273606281	5.51506901403224	6.37382218722165	5.51947900230724	5.64760232900762	3.23878685958712	5.68116812041669	6.12907690293063	5.94673086014031	5.95977015521147	4.86344293434804	5.35825558670513	5.99638874644762	7.13955135239879	5.97361127551947	5.74254523386605	6.2665991655351	6.38439523838807	6.72301239639237	5.90640961709402	5.02147972741045	5.7001622501066	6.62043978765172	7.87085786436376	5.56224242422107	6.22670118455169	4.39711840904258	5.96324290431883	5.47735352663456	6.19593810042783	5.70956635383999	5.68313498512609	5.18705508996806	4.63284983011771	5.3743439890385	4.80374366850523	5.97636363573276	5.45713459431804	5.24982454861618	1.6959938131099	1.57531233068744	2.03913839390696	0.263034405833794	5.04351949366274	3.5197934862411	0.925999418556223	0.495695162624069	1.02147972741045	2.0036022366802	3.36597242759338	1.92599941855622	0.356143810225275	2.08406426478847	0.871843648509318	0	0.150559676575381	1.31614574229336	3.52606881166759	0.0285691521967709	2.68929916053589	0.137503523749935	0.0426443374084937	1.38956681176273	2.56803210477128	3.08406426478847	4.19377174339668	4.04264433740849	4.77399632511117	3.38956681176273	1.41142624572647	4.71808758396052	4.03210084316702	2.07382023329167	2.47767732756531	2.54843662469604	5.13586316536868	5.35120427725799	4.38887833881199	3.08576455377831	0.422233000683048	0.678071905112638	3.0686708106651	0.910732661902913	4.14812063112396	4.65133876610593	5.33342373372519	0.443606651475615	8.18264264443705	3.06522762277562	1.63691458035588	7.00045077177086	6.81057163474115
"CD300LG"	4.13175409098481	3.83794324189103	3.43162295971329	5.32228872357088	5.87208998933479	5.51884982870769	4.15380533607904	4.30012372456901	4.66448284036468	4.64673869830785	5.58526303088387	3.46597446450407	5.41582625747291	7.24488705912353	6.51143641197723	4.66902676550963	5.07167687375186	7.22920335788675	6.06802583857736	6.64889680647525	6.05158962076266	6.01055607837421	4.81864608282254	4.95093492831454	5.39163026151743	6.35526299022057	5.32048467801769	6.68046501837983	7.21441626871103	6.58240546354078	6.62804448261682	5.13298804262744	4.87676249078156	5.58014548442338	4.18586654531133	4.95791459863299	6.68790052248075	6.166514610409	5.24640808724638	5.26865895502767	6.53465305587746	5.93097382556291	6.70583970588368	5.84649331596456	2.95046841415012	6.01435529297707	4.11186596386756	5.35825558670513	5.26002565596146	3.93357263826102	5.53884852074424	4.4032677223393	6.25342205763654	6.2069166725386	6.0574502721839	4.24792751344359	5.89869207256049	5.94930146832828	5.19534759832222	4.03210084316702	6.16349873228288	5.66760832567372	6.60021027442009	6.65592421308382	6.26040209302579	6.56163163037584	6.31922050252387	4.21179097625254	5.122258567812	4.64038956005495	5.12101540096137	6.45811948117451	5.36806987653208	5.5270077606372	4.91934008244201	4.75381844317354	6.41835863488438	6.10328780841202	5.93993176472761	4.30888505741176	0.356143810225275	0.298658315564515	1.94110631094643	0.176322772640463	1.79493566280354	2.76765479823735	0.214124805352847	0.189033824390017	1.44360665147561	1.57046293102604	1.55581615506164	0.678071905112638	0.111031312388744	1.80322703643493	1.03562390973072	0.0285691521967709	0.0285691521967709	1.11769504266975	3.02147972741045	0.137503523749935	1.51096191927738	0.0976107966264223	0.0285691521967709	1.02856915219677	0.963474123974886	1.34482849699744	3.06695024392463	2.4541758931858	3.64500988439109	1.97452931248388	0.250961573533219	3.63575439127776	2.28392177230762	1.73984810269933	1.77399632511117	2.4594316186373	3.4541758931858	4.00090140274153	3.53480866123175	2.03913839390696	0.0840642647884746	0.189033824390017	4.72628628972067	0.584962500721156	3.49185309632967	3.23266075679027	4.13586316536868	0.790772037862	5.25625587320273	1.81557542886257	2.10433665981474	6.3911146756971	6.61146750023341
"AOC3"	5.30305008468167	3.84699468696557	4.57167680997093	6.85748342828667	7.81954046050572	7.6096220078221	5.55550942708326	4.69655030107857	5.34731131636529	6.40837220357268	7.65921102406819	5.07681559705083	7.46939761687655	8.60551655725349	8.48034591588535	6.9282518702876	6.30651744524982	9.27707813023341	8.53364121177828	8.37251685639621	7.5502080786698	7.92949513916889	7.4334602561063	7.22987627912408	6.78083500173823	8.34996674697119	7.03804103701151	8.31524015250724	8.35160182951378	8.80931796978342	8.3297963382207	6.76579992328513	6.26096656451949	6.89784545600551	5.90713102474679	6.43396093112118	9.00612968469547	8.24279302359725	6.83869970177424	7.0746766862945	8.52022578974751	7.93722667397948	7.78122855346812	7.82521321776001	4.82832692641482	7.43704459345534	6.083000565676	7.4606606646076	6.98823022306046	5.62234472272424	7.82807299786697	6.08342613943746	8.8357977823962	7.77458941660602	8.3398945298222	3.4262647547021	7.93522399406003	8.57886325635858	7.19770815795585	6.67779010121666	8.6687431890879	7.6347384599158	7.8895343836504	7.88935185259465	8.74832704753764	8.12763327972587	7.99333470429383	5.14282184411593	5.34163000932991	6.07959144864819	6.36492255850577	7.50898318485542	6.32858517678881	7.29305774866259	6.06199215373422	5.79103261675567	8.06625067713304	8.08560523678396	7.39805958545112	4.57470704641555	3.10768786931437	3.11769504266975	4.14649230697719	2.46205231879643	4.69488019279919	4.95093492831454	2.68706068833989	2.0703893278914	2.98367769469807	3.85598969730848	3.57773093149008	3.75702324650746	2.37573453858316	4.22496636500027	3.14567745519564	2.80529245560071	3.48928602262588	2.74200621086674	3.92694824794977	2.52606881166759	3.64154602908752	2.58014548442338	2.92789645372882	2.98732086592925	2.12101540096137	3.74631276642546	4.79805051476751	3.78659636189081	5.43028527297778	5.09550251765867	2.15704371014558	5.83061027435791	5.12639473762014	3.89044669267991	3.62175885670973	4.631686366312	3.93168305705981	4.11270013274936	4.41751500288509	4.71699089440494	2.41953889151378	2.61353165291793	5.07852444538908	3.27500704749987	4.80477637795583	3.24031432933371	3.27947129564447	1.39506279951758	7.87805091272854	3.64500988439109	3.83491342970104	7.93091470719705	8.04745114041639
"SORBS1"	6.46303385531749	5.85024935828633	5.89990066360117	7.99593670350459	8.29838338558924	8.8193807908646	6.70224196077508	5.86492897228979	6.6514822821509	7.11696769451173	8.53745138765307	5.89068987768527	8.19991768027457	9.16085465730326	9.04258962251171	8.31831684133498	7.36378433750718	9.37151530232147	8.92807417295309	9.07652168479116	8.49928783080646	8.30350679272971	7.7195941721688	7.73890291428176	7.18527190559382	8.8589134706793	7.99937995875309	9.333893284597	9.09188491876848	9.30956730101638	9.28941952005	8.00382707811148	6.94860084749336	7.69348695749933	6.85773223315767	7.36483503491908	9.26256470208851	8.16410241248175	7.93398565445043	8.21130428629047	9.36728369048326	9.16422814740142	9.0686708106651	8.79233480570669	6.10475598696226	8.11050940989747	7.32111635060237	8.54697160729232	7.723422039585	6.66177809777199	8.77902984806127	7.34020617991171	9.57969306345875	8.7195599489941	9.06896632653533	5.5385381636298	8.67249606058335	9.59572369410163	8.43708621946457	7.51554215807831	9.43095427138573	8.77271045649007	9.36126392442279	9.77994911762666	9.57614418212968	9.44497344799927	9.79526044050935	7.63510137467657	6.99163521647699	7.31333656165215	7.82984955984469	8.91336815967972	7.79992915072529	8.7863676556911	7.59753117422421	7.20525565066976	9.5303087884976	8.34367430538958	8.81576753632741	6.07681559705083	5.01077983875324	4.76659516172927	5.52763338729093	3.60762622084549	6.06307144984268	5.65449282588346	4.35402893805439	3.31324585178756	4.18507363787676	4.07809742302666	5.40156220725607	4.81864608282254	4.22419466397043	4.64789009105921	5.07980475463526	4.08236196955747	3.99548451887751	4.96993327469786	5.33699741660501	3.63575439127776	5.42961596420174	3.71808758396052	4.04526821513853	4.43895814789755	2.11769504266975	4.41142624572646	5.66163560233596	5.61559285651096	6.47929524299885	4.83995958748953	2.64154602908752	5.89627184880738	6.46956042171122	3.47508488294878	4.48607074373567	6.11374216604919	5.44658708530688	5.81275490980019	5.41176518500698	5.20593983247088	2.85798099512757	3.73335434061383	6.22438762792991	4.14974711950468	5.91025296279928	5.73443866613717	5.81147103052984	3.90110824301451	8.51932173462943	5.43829285157915	4.83035674741922	9.48520541445748	9.13537582471571
"PGM5"	4.39780296186249	3.6507645591169	4.60169651648096	4.57531233068744	4.11519974938544	4.94579495674006	3.51475349843975	3.43295940727611	3.52356195605701	4.37225564844579	5.24868662687383	4.55826763405574	4.77030048949942	3.85299758761332	4.52544250601812	4.93121027480393	4.76022094646651	4.51601514700366	4.47443604325227	4.83592407425437	4.71973105674985	4.7371459197762	4.67072705449947	3.52857131887076	4.04351949366274	4.62410089462811	4.55213110825378	4.74953426766926	4.34411833452143	4.80064109732908	4.74953426766926	4.82731094394967	4.72574115650395	4.75595576955096	3.07210580048042	4.08831123588866	3.94204525991605	4.25927248703759	4.48992821940518	4.27127625917593	4.52481592835751	4.77820857639809	4.25398926623079	4.89869207256049	3.44757919654888	4.35543919724869	3.16349873228288	4.60050764534579	4.03738222200308	3.28243980500639	5.0241423458978	4.86046625851717	4.25323293853803	3.96993327469786	4.86641348112345	4.59275601044103	4.90352037372338	3.71699089440494	4.68313498512609	4.54720302475693	4.26603689399532	4.62058641045188	4.85897561429202	4.90062533253607	5.32517051237605	4.01077983875324	4.268284666521	4.52857131887076	4.33556900555675	4.456149034648	4.31469652565629	4.78659636189081	4.9518675043269	4.44493204894218	4.87823487911234	4.34340782229781	4.12845838414693	4.34482849699744	4.09085343045111	5.23687524536694	2.74200621086674	1.10433665981474	2.56559717585422	1.29278174922785	2.68929916053589	3.26002565596146	1.70487196445635	1.46988597627446	2.01077983875324	2.07382023329167	4.1168637576909	2.84799690655495	1.17632277264046	4.17312743348066	2.35895882583233	1.08406426478847	0.970853654340484	1.88752527074159	3.68032435684402	1.799087306074	2.799087306074	1.46466826700344	2.799087306074	2.23572705983806	2.06695024392463	3.01970191444255	2.95233356636969	3.5981269599196	4.14241343787374	4.39917109381982	1.22650852980868	3.62175885670973	2.53356334821451	2.43028527297778	1.86789646399265	2.31324585178756	3.20163386116965	3.72027846523333	2.66902676550963	1.83592407425437	0.863938450423971	1.7311832415722	3.81864608282254	2.41142624572647	2.88557436437143	4.45154083301783	3.24336442569366	1.31034012061215	5.05614996110814	5.24944534108584	2.51349074558812	4.90110824301451	4.43362716708478
