"HKB0597_3000_N"	"HKB0719_3001_N"	"HKB0004_3000_N"	"HKB0005_3000_N"	"HKB0006_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0035_3000_N"	"HKB0036_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0044_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0137_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0618_3000_N"	"HKB0648_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0722_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0143_3006_T"	"HKB0186_3000_T"	"HKB0191_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0576_3000_T"	"HKB0665_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0737_3000_T"	"HKB0086_3006_T"	"HKB0164_3000_N"	"HKB0164_3006_T"	"HKB0538_3000_N"	"HKB0552_3000_T"	"HKB0562_3000_N"	"HKB0579_3000_T"	"HKB0599_3000_T"	"HKB0636_3000_N"	"HKB0007_3005_T"	"HKB0079_3000_N"	"HKB0088_3000_T"	"HKB0129_3000_T"	"HKB0141_3006_T"	"HKB0158_3006_T"	"HKB0168_3006_T"	"HKB0230_3006_T"	"HKB0564_3000_T"	"HKB0734_3000_T"	"HKB0016_3006_T"	"HKB0179_3006_T"	"HKB0210_3000_N"	"HKB0210_3006_T"	"HKB0748_3000_T"	"HKB0040_3002_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0120_3000_T"	"HKB0167_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0674_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0079_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0161_3001_T"	"HKB0182_3006_T"	"HKB0211_3002_T"	"HKB0216_3000_N"	"HKB0659_3000_T"	"HKB0677_3000_T"	"HKB0710_3000_T"
"TNNI1"	5.87848013113858	4.74092756031863	0.070389327891398	0.443606651475615	0.0840642647884746	0.367371065648529	0.0426443374084937	0.070389327891398	0.389566811762726	0	0.0285691521967709	0.111031312388744	0.495695162624069	0.0143552929770701	0.286881147788162	0.0143552929770701	0.0285691521967709	0.286881147788162	0.0285691521967709	0.124328135002202	0.176322772640463	0.0565835283663675	0	0.0143552929770701	0	2.24488705912353	0.214124805352847	0.137503523749935	0	0.0143552929770701	0.070389327891398	0	0	0.0285691521967709	0.0840642647884746	0.214124805352847	0.238786859587116	0.344828496997441	0.0143552929770701	0.0565835283663675	0	0	0.137503523749935	0	0	0.0285691521967709	0	0.176322772640463	0.214124805352847	0.0426443374084937	0.400537929583729	0.0143552929770701	0.0143552929770701	0.0285691521967709	0.176322772640463	0.0840642647884746	0	0	0.0426443374084937	0.0143552929770701	0.0426443374084937	0.0976107966264223	0.0143552929770701	0	0	0.189033824390017	0	0.137503523749935	0.367371065648529	0.0143552929770701	0	0.16349873228288	0.0285691521967709	0.0976107966264223	0.238786859587116	0	0.111031312388744	0.0976107966264223	0	0.0285691521967709	0.0565835283663675	0	0	0	0	0.070389327891398	0.070389327891398	0	0	0	0	0.070389327891398	0	0	0.070389327891398	0	0.454175893185802	0	0.0426443374084937	0	0.124328135002202	0	0	0.111031312388744	0	0.485426827170242	0	0.0840642647884746	0	0	0.0565835283663675	0	0	0	0.070389327891398	0	0	0	0	0.070389327891398	0.0143552929770701	0.189033824390017	0	0.150559676575381	0.070389327891398	0	0	0.124328135002202	0	0.0976107966264223	0	0	0.0285691521967709	0.0143552929770701	0.0143552929770701	0	0	0.0143552929770701	0.0143552929770701	0.0143552929770701	0.0143552929770701	0.0565835283663675	0	0	0	0.0143552929770701	0.070389327891398	0	0.0143552929770701	0
"TTN"	8.48107285682775	7.25568955522063	2.35895882583233	1.81147103052984	2.02856915219677	3.02680005934372	3.30742852519225	3.51222688651396	1.36737106564853	2.26002565596146	1.77820857639809	3.51853513898218	1.59454854955035	4.25171909260596	2.34766565630097	3.20006486151431	2.30742852519225	4.23189316164533	1.97819562968165	2.60644222813161	2.72900887033786	3.4369613378336	2.46466826700344	2.48284828306847	2.97269265400426	5.98002530023873	3.5668151540109	1.79493566280354	3.18586654531133	3.32337006906127	1.92599941855622	1.84799690655495	3.4867143730307	3.89820835250872	2.87381319835909	2.76128527336162	2.9560566524124	1.40053792958373	2	1.66902676550963	3.75274859140713	2.52606881166759	2.73768676140986	2.58736499093646	3.4995270242151	2.67807190511264	3.62760683812965	4.05831649559082	2.56071495447448	3.63807383718072	2.56315813040281	3.44360665147561	3.53480866123175	3.45022149589718	3.92409988564074	3.1554254317472	3.29572302453997	3.59215800212536	3.67016051412663	3.3547342399706	2.78659636189081	3.70597790168252	3.17472598770613	4.03210084316702	4.51412226017071	2.83995958748953	3.47767732756531	3.74953426766926	2.61353165291793	2.51349074558812	2.24792751344359	2.9560566524124	3.17951105027151	3.14241343787374	2.37295209791183	3.78659636189081	3.12101540096137	2.4905701304462	1.01435529297707	0.879705766282288	0.495695162624069	2.43562859405209	1.63226821549951	0.739848102699327	1.17632277264046	2.03210084316702	2.48542682717024	0.75702324650746	1.51096191927738	0.545968369105292	0.526068811667588	0.37851162325373	0.53605290024021	0.356143810225275	1.13093086982645	0.799087306074004	2.64846544302731	0.963474123974886	1.61353165291793	2.36737106564853	1.63691458035588	1.65992455840238	1.11769504266975	2.73984810269933	0.815575428862573	1.60407132366886	1.03562390973072	2.63226821549951	0.748461233004036	1.76553474636298	1.85598969730848	0.765534746362977	1.16349873228288	0.475084882948783	0.895302621333307	1.77399632511117	3.88655014732434	0.53605290024021	1.06350294230616	3.88166461932035	2.71149490665009	1.87970576628229	1.78240856492737	2.30158764660319	2.59931779369823	2.28688114778816	2.54101915313356	2.10768786931437	2.69821847822441	4.37920505996061	2.45680614923047	0.22650852980868	0.748461233004036	0.443606651475615	0.344828496997441	1	0.495695162624069	2.53605290024021	1.0071955014042	1.15704371014558	0.0285691521967709	1.22650852980868	1.30451104180995	1.43295940727611	1.11103131238874	1.58976348698498	1.02147972741045	1.95977015521147	0.855989697308481	1.40053792958373
"STAC3"	3.78031009904338	3.38266725274504	0.941106310946431	0.839959587489532	0.739848102699327	0.839959587489532	0.75702324650746	0.815575428862573	1.01435529297707	1.0496307677246	1.15055967657538	1.35049724708413	1.20789285164133	0.970853654340484	0.704871964456353	0.903038270112912	0.659924558402378	1.22032995487956	0.622930350920177	0.641546029087524	0.526068811667588	1.06350294230616	0.75702324650746	0.678071905112638	0.526068811667588	2.56315813040281	0.565597175854225	0.495695162624069	0.321928094887362	0.622930350920177	0.389566811762726	0.286881147788162	0.839959587489532	0.978195629681652	0.815575428862573	0.464668267003444	1.03562390973072	0.722466024471091	0.75702324650746	0.432959407276106	0.650764559116902	0.855989697308481	1.35614381022528	0.704871964456353	0.855989697308481	0.545968369105292	1.15055967657538	1	0.604071323668861	0.815575428862573	0.879705766282288	1.07724299893246	1.15055967657538	0.839959587489532	1.15704371014558	0.895302621333307	0.992768430768924	1.51601514700366	0.516015147003665	0.963474123974886	1.03562390973072	1.22032995487956	0.678071905112638	1.28688114778816	0.790772037862	0.495695162624069	0.790772037862	1.4541758931858	0.464668267003444	0.739848102699327	0.422233000683048	0.765534746362977	1.03562390973072	0.887525270741587	0.31034012061215	0.918386234446348	0.584962500721156	0.356143810225275	2.03913839390696	0.887525270741587	1.40053792958373	1.25096157353322	0.613531652917927	1.13750352374994	1.37851162325373	1.48026512205446	1.22032995487956	0.863938450423971	0.918386234446348	1.0496307677246	1.15704371014558	0.739848102699327	1.11103131238874	1.03562390973072	1.0071955014042	0.948600847493356	1.30451104180995	1.11103131238874	0.933572638261024	1	1.19534759832222	1.0703893278914	1.17632277264046	0.863938450423971	1.26303440583379	1.25701061820602	1.46466826700344	1.02856915219677	0.613531652917927	1.35049724708413	1.04264433740849	1.84799690655495	0.831877241191673	0.55581615506164	1.75274859140713	1.35614381022528	1.01435529297707	1.38956681176273	1.04264433740849	1.74416109557041	1.41683974191283	1.74846123300404	1.66902676550963	1.09761079662642	1.28688114778816	2.48026512205446	0.863938450423971	1.13750352374994	1.58014548442338	1.51096191927738	1.11103131238874	0.505890929729957	0.887525270741587	0.933572638261024	1.09761079662642	1.02147972741045	1.37295209791183	1.0703893278914	1.14404636961671	1.47508488294878	0.632268215499513	1.31614574229336	0.7311832415722	1.25701061820602	0.963474123974886	0.84799690655495	2.14404636961671	1.32192809488736	0.545968369105292	1.52105073690096
"SMPX"	3.81864608282254	3.01435529297707	0	0.16349873228288	0	0.0840642647884746	0	0	0	0.214124805352847	0.0976107966264223	0	0.0840642647884746	0	0.176322772640463	0.0840642647884746	0	0	0	0	0	0	0	0	0	1.24488705912353	0	0	0	0	0	0	0	0	0	0	0.0840642647884746	0	0	0	0	0	0.432959407276106	0	0	0	0	0	0.124328135002202	0	0	0	0	0	0	0.367371065648529	0	0	0	0.214124805352847	0	0.454175893185802	0.0976107966264223	0	0	0	0	0.111031312388744	0	0.0840642647884746	0	0	0.641546029087524	0.214124805352847	0	0	0	0.238786859587116	0	0.0840642647884746	0	0	0.0976107966264223	0	0	0	0	0	0.111031312388744	0	0	0	0	0	0.0840642647884746	0	0	0.0840642647884746	0.20163386116965	0	0	0	0.0840642647884746	0.454175893185802	0	0	0.070389327891398	0	0.0840642647884746	0	0	0	0	0	0.0976107966264223	0	0.356143810225275	0.0840642647884746	0	0	0.16349873228288	0	0.070389327891398	0	0	0	0	0	0	0	0	1.02147972741045	0	0.070389327891398	0.0565835283663675	0.475084882948783	0.176322772640463	0	0.485426827170242	0	0.0840642647884746	0	0.0840642647884746	0	0	0	0	2.27500704749987	0.250961573533219	1.31614574229336
"APOBEC2"	3.99819550315325	3.75060650483559	0	0	0	0.22650852980868	0	0.0976107966264223	0	0.263034405833794	0	0	0	0	0.137503523749935	0	0	0	0	0	0	0.0840642647884746	0.111031312388744	0	0.070389327891398	1.93734439215023	0.0565835283663675	0	0.16349873228288	0.111031312388744	0.0426443374084937	0.111031312388744	0	0.20163386116965	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0.0976107966264223	0	0.070389327891398	0	0.443606651475615	0	0.0976107966264223	0	0	0	0	0.238786859587116	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0.124328135002202	0.0565835283663675	0	0	0	0.070389327891398	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0.0976107966264223	0.0565835283663675	0.0426443374084937	0	0.0565835283663675	0	0	0.0565835283663675	0	0.344828496997441	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0.0426443374084937	0	0	0.0426443374084937	0.0285691521967709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYLK2"	3.84096670448742	3.16349873228288	0.0285691521967709	0.0285691521967709	0	0.0426443374084937	0.0565835283663675	0	0.0426443374084937	0.0426443374084937	0.0565835283663675	0	0.0285691521967709	0.189033824390017	0.0565835283663675	0.0426443374084937	0	0	0.0565835283663675	0	0	0.0426443374084937	0.0285691521967709	0.0565835283663675	0.0285691521967709	1.6959938131099	0	0	0	0	0	0	0	0.111031312388744	0.0285691521967709	0.0976107966264223	0.0840642647884746	0.070389327891398	0.0426443374084937	0	0	0	0.0285691521967709	0	0	0	0	0.124328135002202	0.070389327891398	0	0.0285691521967709	0.0565835283663675	0.37851162325373	0	0	0.070389327891398	0	0	0.070389327891398	0.0565835283663675	0	0	0	0	0.137503523749935	0.0426443374084937	0.0565835283663675	0.0285691521967709	0	0	0.0976107966264223	0.286881147788162	0	0.214124805352847	0	0.0285691521967709	0.0565835283663675	0	0.250961573533219	0.298658315564515	0.286881147788162	0.356143810225275	0.0565835283663675	0.070389327891398	0.0976107966264223	0.263034405833794	0.0976107966264223	0.584962500721156	0	0.815575428862573	0.454175893185802	0	0.333423733725192	0.321928094887362	0.124328135002202	0.0426443374084937	0.0840642647884746	0.176322772640463	0	0.111031312388744	0	0.150559676575381	0.31034012061215	0	0.150559676575381	0.0285691521967709	0.298658315564515	0.176322772640463	0.238786859587116	0.575312330687437	0.0565835283663675	0.176322772640463	0.20163386116965	0.0285691521967709	0.22650852980868	0.238786859587116	0.475084882948783	0.659924558402378	0.111031312388744	0.0565835283663675	0.31034012061215	0	0.432959407276106	0.0565835283663675	0.150559676575381	0.31034012061215	0.124328135002202	0.16349873228288	0.298658315564515	0.137503523749935	0.0426443374084937	0.367371065648529	0.356143810225275	0.432959407276106	0.464668267003444	0.124328135002202	0.250961573533219	0.238786859587116	0.411426245726465	0.27500704749987	0.16349873228288	0.443606651475615	0.565597175854225	0.111031312388744	0.31034012061215	0.53605290024021	0.20163386116965	0.27500704749987	0.978195629681652	0.0976107966264223
"ACTN2"	5.18428029441938	4.43895814789755	0.0565835283663675	0.111031312388744	0.137503523749935	0.238786859587116	0.0285691521967709	0.22650852980868	0.0565835283663675	0.0976107966264223	0.070389327891398	0.189033824390017	0.0285691521967709	0.070389327891398	0.111031312388744	0.124328135002202	0.137503523749935	0.0840642647884746	0.111031312388744	0.137503523749935	0.176322772640463	0.0840642647884746	0.111031312388744	0.070389327891398	0.0840642647884746	2.22342254993494	0.0426443374084937	0.0565835283663675	0.124328135002202	0.0976107966264223	0.0976107966264223	0.0840642647884746	0.176322772640463	0.0976107966264223	0.124328135002202	0.22650852980868	0.070389327891398	0.0143552929770701	0.286881147788162	0.0840642647884746	0.0840642647884746	0.0285691521967709	0.137503523749935	0.124328135002202	0.0976107966264223	0.137503523749935	0.250961573533219	0.124328135002202	0.0840642647884746	0.0840642647884746	0.0426443374084937	0.263034405833794	0.0976107966264223	0.0426443374084937	0.356143810225275	0.0565835283663675	0.298658315564515	0.0840642647884746	0.250961573533219	0.150559676575381	0.111031312388744	0.298658315564515	0.070389327891398	0.124328135002202	0.356143810225275	0.0285691521967709	0.124328135002202	0.16349873228288	0.070389327891398	0.137503523749935	0.0426443374084937	0	0.070389327891398	0.124328135002202	0.0976107966264223	0.250961573533219	0.22650852980868	0.16349873228288	0.070389327891398	0.0840642647884746	0.0426443374084937	0.0143552929770701	0.238786859587116	0	0.0840642647884746	0.0426443374084937	0.0285691521967709	0.0565835283663675	0.0285691521967709	3.19534759832222	0.831877241191673	0.124328135002202	0.37851162325373	0.604071323668861	0.0565835283663675	0.0426443374084937	0.137503523749935	0.0285691521967709	0	0.0285691521967709	0.0976107966264223	0	0.150559676575381	0	0.0285691521967709	0	0.0143552929770701	0.214124805352847	0.111031312388744	0.20163386116965	0.0426443374084937	0.0565835283663675	0.20163386116965	0.0426443374084937	0.0565835283663675	0.0285691521967709	1.36176835941915	1.93734439215023	0.0426443374084937	0.124328135002202	0.111031312388744	0.137503523749935	0.111031312388744	0.16349873228288	0.150559676575381	0.150559676575381	0.263034405833794	0.124328135002202	0.16349873228288	0.16349873228288	0.070389327891398	1.01435529297707	0.0840642647884746	0.20163386116965	0.782408564927373	0.0565835283663675	0.0285691521967709	0.0840642647884746	0.286881147788162	0.0143552929770701	0.0143552929770701	0.124328135002202	0.137503523749935	0.070389327891398	0.0285691521967709	0.214124805352847	0.124328135002202	1.91838623444635	2.4905701304462	0.0565835283663675
"FITM1"	2.38956681176273	2.44360665147561	0.941106310946431	0.594548549550354	0.956056652412403	0.815575428862573	0.584962500721156	0.739848102699327	0.669026765509631	0.748461233004036	1.23266075679027	0.948600847493356	0.6959938131099	0.526068811667588	0.650764559116902	0.333423733725192	0.298658315564515	0.669026765509631	0.839959587489532	0.505890929729957	0.604071323668861	0.321928094887362	0.823749360308273	0.678071905112638	0.687060688339892	0.604071323668861	0.443606651475615	0.565597175854225	0.189033824390017	0.879705766282288	0.454175893185802	0.31034012061215	0.823749360308273	0.613531652917927	0.422233000683048	0.773996325111173	0.895302621333307	0.75702324650746	0.863938450423971	0.367371065648529	0.321928094887362	0.565597175854225	0.748461233004036	0.516015147003665	0.495695162624069	0.75702324650746	0.55581615506164	0.650764559116902	0.790772037862	0.632268215499513	0.485426827170242	0.475084882948783	0.678071905112638	0.344828496997441	0.454175893185802	0.807354922057604	1.07724299893246	0.16349873228288	0.604071323668861	0.704871964456353	0.286881147788162	1.07724299893246	0.765534746362977	0.807354922057604	0.298658315564515	0.505890929729957	0.613531652917927	0.344828496997441	0.632268215499513	0.214124805352847	0.505890929729957	0	0.782408564927373	0.687060688339892	0.910732661902913	0.604071323668861	0.575312330687437	0.475084882948783	0.815575428862573	0.321928094887362	0.20163386116965	1.31034012061215	0.978195629681652	0.687060688339892	0.356143810225275	0.748461233004036	0.485426827170242	0.432959407276106	0.333423733725192	0.925999418556223	0.070389327891398	0.22650852980868	0.124328135002202	0.150559676575381	0.400537929583729	0.432959407276106	0.887525270741587	0.464668267003444	0.464668267003444	1.11769504266975	0.956056652412403	0.400537929583729	0.137503523749935	1.11103131238874	0.575312330687437	1.04264433740849	0.918386234446348	0.687060688339892	0.910732661902913	1.15055967657538	0.659924558402378	0.918386234446348	0.823749360308273	0.53605290024021	0.37851162325373	0.464668267003444	0.641546029087524	0.150559676575381	0.622930350920177	0.454175893185802	0.400537929583729	0.782408564927373	0.641546029087524	0.659924558402378	0.485426827170242	0.799087306074004	0.632268215499513	0.565597175854225	0.75702324650746	1.0071955014042	0.75702324650746	0.545968369105292	0.344828496997441	0.124328135002202	0.0565835283663675	0.070389327891398	0.286881147788162	0.422233000683048	0.150559676575381	0.855989697308481	0.214124805352847	0.124328135002202	0.263034405833794	0.782408564927373	0.505890929729957	0.356143810225275	0.16349873228288	0.464668267003444	0.0565835283663675	0.432959407276106
"NMRK2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYL3"	6.07937811111865	5.13709360897494	0.839959587489532	0.526068811667588	0.925999418556223	1.16349873228288	0.895302621333307	1.09761079662642	0.622930350920177	0.485426827170242	1.03562390973072	1.23266075679027	0.799087306074004	2.06004738366994	0.75702324650746	1.09761079662642	1.31034012061215	1.55090066464752	1.0496307677246	0.910732661902913	0.31034012061215	1.36737106564853	1.26303440583379	1.28688114778816	1.50589092972996	2.82781902461732	1.26303440583379	0.948600847493356	1.64616265715789	1.31614574229336	1.4905701304462	1.74846123300404	1.75702324650746	1.85199883711245	1.21412480535285	0.978195629681652	1.07724299893246	0.895302621333307	0.739848102699327	1.63226821549951	1.89530262133331	1.10433665981474	1.21412480535285	1.6507645591169	1.39506279951758	1.36176835941915	1.57531233068744	1.35614381022528	1.79493566280354	1.20163386116965	0.659924558402378	1.61353165291793	1.4276061727819	1.30451104180995	1.24488705912353	1.40053792958373	0.604071323668861	1.83995958748953	1.64154602908752	0.687060688339892	1.46988597627446	0.831877241191673	1.07724299893246	2.06350294230616	2.26303440583379	2.22032995487956	2.18586654531133	0.985500430304885	0.739848102699327	0.925999418556223	1.46466826700344	0.948600847493356	0.839959587489532	0.799087306074004	1.51096191927738	2.25398926623079	1.87184364850932	1.29865831556452	0.400537929583729	1.03562390973072	0.713695814843359	0.238786859587116	0.84799690655495	0.565597175854225	0.333423733725192	0.879705766282288	1.17632277264046	0.250961573533219	1	0.903038270112912	0.6959938131099	0.963474123974886	0.432959407276106	1.04264433740849	1	0.321928094887362	0.475084882948783	0.37851162325373	0.565597175854225	0.584962500721156	0.565597175854225	0.505890929729957	0.6959938131099	0.948600847493356	0.475084882948783	0.622930350920177	0.526068811667588	0.855989697308481	0.22650852980868	0.713695814843359	0.250961573533219	0.20163386116965	0.356143810225275	0.632268215499513	0.333423733725192	0.0976107966264223	0.765534746362977	0	0	0	0.485426827170242	0.333423733725192	0.298658315564515	0.773996325111173	1.25701061820602	0.495695162624069	0.565597175854225	0.505890929729957	0.0840642647884746	0	0.678071905112638	0.298658315564515	0	0.411426245726465	0.16349873228288	0.565597175854225	0.16349873228288	0.070389327891398	0.505890929729957	0.238786859587116	0.22650852980868	0.137503523749935	0.214124805352847	0.782408564927373	0.713695814843359	0.298658315564515	0.53605290024021	0.0840642647884746	0.298658315564515	0
