"HKB0004_3000_N"	"HKB0005_3000_N"	"HKB0006_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0035_3000_N"	"HKB0036_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0044_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0079_3000_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3000_T"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0137_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0164_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0227_3000_N"	"HKB0538_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0636_3000_N"	"HKB0651_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"	"HKB0064_3004_T"	"HKB0127_3000_N"	"HKB0006_3006_T"	"HKB0033_3006_T"	"HKB0078_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0102_3006_T"	"HKB0141_3000_N"	"HKB0141_3006_T"	"HKB0158_3006_T"	"HKB0179_3006_T"	"HKB0191_3001_T"	"HKB0222_3006_T"	"HKB0225_3000_N"	"HKB0226_3001_T"	"HKB0230_3006_T"	"HKB0233_3000_N"	"HKB0552_3000_T"	"HKB0562_3000_N"	"HKB0585_3000_T"	"HKB0713_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"HKB0040_3002_T"	"HKB0054_3000_T"	"HKB0074_3000_T"	"HKB0120_3000_T"	"HKB0161_3001_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0648_3000_N"	"HKB0674_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0164_3006_T"	"HKB0168_3006_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0216_3000_N"	"HKB0221_3001_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0665_3000_T"	"HKB0701_3000_T"	"HKB0719_3002_T"	"HKB0737_3000_T"	"HKB0143_3006_T"	"HKB0226_3000_N"	"HKB0672_3000_N"
"LMOD1"	5.69932952567316	5.18428029441938	5.83743871485637	5.91121220155861	6.47427378772256	5.85574059171503	5.30414594120295	5.34553831007001	5.84924870276441	6.24222139509837	4.9126498648972	4.9923152518612	5.41210404467757	6.1876489953106	5.27388882366849	5.71011763204345	5.75808993420181	5.80245174127562	6.03804103701151	6.22052343641151	5.66362925881475	6.4846215270986	5.87233628810464	4.1243281350022	4.16430358309365	5.95628902658394	5.31542131594578	4.54039930563062	5.42525787199921	5.13422093976063	4.86245139132558	4.58074849176377	5.67638025546692	5.82323984413102	5.83743871485637	5.17871464117544	5.53915881110803	4.37225564844579	5.10097764772482	4.95698592461258	4.38128337250378	5.31578357458946	5.89651405396884	5.6915341649192	5.50143914515887	6.29333369530646	5.83592407425437	5.59842476052772	5.23381138429316	6.08065766334523	5.98913900736823	4.95373084981149	6.4905701304462	6.41481206056585	6.34819700307791	5.0866139474095	5.15906400881055	5.83035674741922	6.55612281784117	6.114367024952	5.93663793900257	5.92789645372882	6.4572987888258	5.40087943628218	6.37903173202854	5.19377174339668	5.63633460244218	4.57591736111815	5.15421053058834	4.4276061727819	5.4154882710497	5.02812708231714	4.85449441815488	5.45121111183233	5.08236196955747	5.5512083739461	5.40633257782171	4.0408924306469	5.85773223315767	4.65133876610593	4.34127418369217	4.94204525991605	5.89190518821193	3.18586654531133	4.0408924306469	1.43295940727611	3.47508488294878	2.43562859405209	2.94673086014031	2.51853513898218	2.19534759832222	5.2137360959228	3.41413553298445	4.02945288578697	2.13750352374994	2.71149490665009	1.68257329734758	5.83592407425437	2.51601514700366	2.76765479823735	4.52418907844937	3.50207595604579	5.09676785471469	1.91073266190291	1.88362081628567	2.50842865253186	0.941106310946431	1.76977173924945	3.69041709553247	4.92219784839637	3.67016051412663	4.63459326844576	2.03562390973072	4.8444860877578	3.02147972741045	4.12680770314203	5.20515788392009	2.50842865253186	1.90303827011291	2.98185265328974	2.76341157447001	3.70043971814109	3.15704371014558	2.64385618977472	4.42894634476948	3.92789645372882	2.78659636189081	4.24107745817504	2.84799690655495	4.94626298433245	3.44360665147561	4.12267271882414	4.3819754785573	2.14730669878029	3.83794324189103	3.75488750216347	4.16349873228288	3.67919857056692	4.8972404255748	4.07638806851284	3.73552217729654	1.87184364850932	5.35614381022528	5.16390121381454
"CHRDL1"	5.9126498648972	4.87872534148011	5.76181714250714	6.9174317553901	7.87835751033694	7.49864978776841	6.16551001804135	5.70099449416827	6.44228003525258	6.8174953533453	5.16751850373522	8.47957819174907	6.24184018356467	7.4463389508575	8.26171884978794	8.37803469210242	7.91247023530837	4.58676474335514	7.31885910596865	8.40671522735959	7.90147031982427	8.39506279951758	7.24792751344359	7.76168419360221	8.11691572703731	7.44228003525258	6.38335869538511	7.72717169211039	7.25209770303744	8.03683297958548	8.12417302040219	6.10643207781693	8.75885612912695	8.82489511420639	7.42559357765306	6.17412673742093	7.37242979233409	6.57152513094636	6.88374299057045	8.36097873095246	8.02441941959719	7.53659691755407	7.25936665465885	8.23433844869563	8.38586240064146	8.37799132690588	8.1398071267175	5.92409988564074	6.85137426675727	8.08767498668722	6.8860623383456	5.94392132655349	8.30273030300223	6.22631584933549	8.82323984413102	7.58556349845569	8.13329636570058	6.43412778418803	7.82826344846779	8.63284983011771	7.84918613874346	7.3169602873649	7.59671156694847	5.52230689287139	8.64497384539578	8.59208323365389	8.4115957253203	8.74866248780535	8.36018867006271	8.90008186496302	7.45918568374892	5.18030701996943	6.91874400135231	7.44277765930152	7.98777561614291	7.59894576372095	7.38534474902454	8.21495046531563	6.21529030565123	8.66884953677817	8.00191480808022	7.78555055173926	5.54565954002547	4.88264304936184	4.81608765860021	0.286881147788162	3.5298209465287	0.20163386116965	2.56315813040281	1.70043971814109	4.57228336665041	3.76659516172927	3.790772037862	4.16349873228288	4.67072705449947	2.06695024392463	1.88752527074159	4.77188557851537	0.678071905112638	2.17632277264046	5.06565847093199	5.82349462471286	4.11186596386756	1.43295940727611	1.31614574229336	0.978195629681652	0	3.13257684267001	4.53294028837287	5.23074100262691	6.6167693662935	4.39917109381982	1.59454854955035	6.10202817936731	5.24069594421251	5.33913738491959	7.14016513459945	3.51222688651396	3.26453643099903	5.11603199344711	2.77399632511117	2.29572302453997	0.970853654340484	5.27909980213375	5.25776496857139	1.57046293102604	2.49569516262407	3.61706334388818	3.10097764772482	4.97407036702403	2.63459326844576	1.18903382439002	0.111031312388744	2.65992455840238	2.98732086592925	0.22650852980868	5.01524777369894	0.704871964456353	0.422233000683048	4.87676249078156	3.32768736417605	4.28835856219366	8.65764000520782	7.50874555424447
"PGM5"	4.39780296186249	3.6507645591169	4.60169651648096	4.57531233068744	4.11519974938544	4.94579495674006	3.51475349843975	3.43295940727611	3.52356195605701	4.37225564844579	3.20163386116965	5.24868662687383	4.55826763405574	4.77030048949942	3.85299758761332	4.52544250601812	4.93121027480393	3.72027846523333	4.76022094646651	4.51601514700366	4.47443604325227	4.83592407425437	4.71973105674985	4.7371459197762	5.05614996110814	4.67072705449947	4.04351949366274	4.62410089462811	4.55213110825378	4.74953426766926	4.34411833452143	4.14241343787374	4.80064109732908	4.74953426766926	4.82731094394967	4.72574115650395	4.75595576955096	3.07210580048042	4.08831123588866	3.94204525991605	4.25927248703759	4.48992821940518	4.27127625917593	4.52481592835751	4.77820857639809	4.25398926623079	4.89869207256049	3.44757919654888	4.35543919724869	4.60050764534579	4.03738222200308	3.28243980500639	5.0241423458978	4.86046625851717	4.25323293853803	3.96993327469786	4.86641348112345	4.59275601044103	4.90352037372338	3.71699089440494	4.68313498512609	4.54720302475693	4.62058641045188	4.45154083301783	4.85897561429202	4.90062533253607	5.32517051237605	4.01077983875324	4.90110824301451	4.268284666521	4.52857131887076	4.63633460244218	4.456149034648	4.31469652565629	4.78659636189081	4.44493204894218	4.87823487911234	4.43362716708478	4.34340782229781	4.12845838414693	4.34482849699744	4.09085343045111	5.23687524536694	2.95233356636969	2.66902676550963	0.910732661902913	2.56559717585422	1.54101915313356	2.14404636961671	1.70487196445635	2.23572705983806	3.09254574154357	2.29865831556452	5.24944534108584	1.83592407425437	1.62760683812965	2.20789285164133	3.81864608282254	1.55581615506164	2.41142624572647	2.88557436437143	3.70043971814109	3.24336442569366	1.31034012061215	0.739848102699327	0.978195629681652	1.33913738491959	2.06695024392463	3.01970191444255	3.5981269599196	3.52857131887076	4.1168637576909	1.22650852980868	3.62175885670973	2.53356334821451	3.68032435684402	4.33556900555675	2.43028527297778	1.86789646399265	2.31324585178756	2.74200621086674	1.10433665981474	1.29278174922785	2.68929916053589	3.26002565596146	1.46988597627446	2.01077983875324	2.84799690655495	1.74846123300404	4.17312743348066	2.35895882583233	1.08406426478847	0.970853654340484	2.20163386116965	1.88752527074159	1.799087306074	2.799087306074	1.46466826700344	2.799087306074	3.54349588342577	2.23572705983806	2.07382023329167	4.26603689399532	4.9518675043269
"SDPR"	6.10601323762212	5.96208624985064	6.43562859405209	6.64832162654502	6.5050969750344	6.72027846523333	4.94251450533924	5.17951105027151	6.7371459197762	6.9273038981527	4.80167602925359	6.94040169796984	6.24507727535967	7.47256900200475	7.52880570651973	7.0614522027414	7.36194377373524	5.76234881564413	6.96231765494231	7.46483160637989	7.62519741747553	7.40522657537736	7.27510019370779	7.72212443691394	6.82068956055921	6.77478705960117	6.36998986295662	7.13555539042546	6.35420529586169	7.35763997114601	7.61684286630834	6.39266088071179	8.35702409278409	7.90616906769106	7.17392693199981	6.36211916672566	6.23227701026829	6.32966181492899	6.68664058786396	7.72226108164229	6.74254523386605	6.19239145691318	7.1725275187	7.64630668900955	7.30924896081662	7.122258567812	6.81839044446963	4.77978500530113	6.51459571476366	7.31913016187192	5.64961545906341	5.02945288578697	7.59820141583482	5.87430516598223	7.71369581484336	7.83086375675176	8.0116186312191	5.59454854955035	6.95849471647461	6.37364821133469	6.4591036961354	5.83895176695194	7.2348653206143	5.89409017060148	7.37825149853489	8.27500704749987	7.68790052248075	7.62410089462811	7.66455394936935	8.18497449379942	6.01814452894376	6.06307144984268	6.94661390541276	6.26284654268607	7.10925607307133	6.68243284122705	6.28243980500639	7.35561538275796	6.39951292418296	8.21553299974566	7.63299519714296	6.85486838326024	6.97131362406888	4.26603689399532	4.81966818349646	1.44890095114513	3.32624970083746	0.970853654340484	2.62760683812965	2.18903382439002	3.75808993420181	4.83743871485637	3.18586654531133	3.31759350462347	3.66334461936608	2.5033487351675	1.29865831556452	5.91217080294995	1.31614574229336	2.27798474729977	4.7771566660045	5.44691786486603	5.25209770303744	1.90303827011291	1.13750352374994	2.21412480535285	0.687060688339892	3.27500704749987	4.22265002245148	5.62702310555406	6.1606782132205	3.99095486039699	1.37295209791183	4.71149490665009	3.32624970083746	4.18189764310839	5.89941734867508	2.79701297783614	3.70043971814109	3.78135971352466	1.99276843076892	1.81966818349646	1.54596836910529	3.74523733212975	5.29020320512607	2.51349074558812	3.29719141656586	3.53729606709084	2.46205231879643	5.26528685756517	3.07895134139482	1.37295209791183	2.56315813040281	1.91073266190291	3.46205231879643	2.24184018356467	3.52356195605701	1.18903382439002	1.52105073690096	4.09339115325301	3.61706334388818	2.92789645372882	7.05766687679971	6.75502107885361
"SYNM"	6.98743456692162	6.75888943272096	7.81211311298331	7.46188866443282	6.49601487343776	6.52105073690096	6.47069954142369	6.7110818623067	6.48687523549849	7.43045255166553	6.7351159559674	4.88508622529017	5.89141918684608	6.70404195482129	5.48058827023386	6.00337736020232	7.14445431392619	7.46711641800817	7.17012536183995	5.15946772926677	6.71753934339116	5.29388543030237	7.06177619758669	4.52230689287139	4.54411440220947	7.33574763429973	7.3371758685863	4.72191944555154	6.58646452588639	4.81864608282254	5.00674683244058	4.42894634476948	5.51127826508303	5.63865311646611	6.69474092979982	6.78751082430076	6.91312876781974	6.22843392051337	6.31469652565629	5.268284666521	4.78293270482084	7.03419370139065	7.42181237761791	5.67609812091222	5.46466826700344	4.64212391615349	6.79688323323955	8.03875441393145	6.55688918972687	6.77847143419983	7.20026107981327	6.834281417144	7.51822038059959	8.07440909934374	5.51349074558812	5.36106648879432	5.04133060682062	7.93132848489379	6.41193462479118	5.18745105402733	6.65349000917199	7.68544963843391	7.75254790584714	6.78214642355464	5.66362925881475	5.39266088071179	5.63720448190229	5.85474373899554	5.46923479366766	5.29498826769145	7.41743061254603	6.96589969564898	5.92481250360578	7.71705946193143	6.13422093976063	6.93357263826102	7.25228697099979	5.14771372235215	7.30715526161706	5.49984588708321	5.01033228328482	7.26256470208851	7.52864945231825	4.46597446450407	6.15299460549244	3.98913900736823	3.34766565630097	2.24488705912353	3.63807383718072	4.84949893172018	1.62293035092018	7.40633257782171	3.96439863220318	5.7062542535732	1.31614574229336	1.16349873228288	1.53605290024021	8.34234139743155	2.52606881166759	2.56559717585422	8.41920177384876	2.87381319835909	8.07001357712983	3.73768676140986	1.0703893278914	2.91838623444635	1.68706068833989	3.02147972741045	5.93428059364002	6.58089920422574	4.54225804976692	4.42088657497553	2.28392177230762	4.8870377914192	1.88752527074159	4.79129314859221	6.24069594421251	3.62527048937469	2.76553474636298	2.79285535236249	2.8011586560937	2.51096191927738	0.748461233004036	2.4594316186373	4.04264433740849	2.30742852519225	1.54101915313356	6.0437381998014	2.74846123300404	3.78240856492737	3.10097764772482	4.29645740737124	2.83995958748953	1.97452931248388	4.97865326490861	1.84398384404833	4.79285535236249	2.29865831556452	2.44360665147561	6.05874941233552	4.45483390689887	1.78659636189081	5.67666233485797	6.80851376502839
"PPP1R12B"	5.35966172233388	4.37920505996061	5.55857377624063	5.36211916672566	4.71863561627134	5.25701061820602	3.92694824794977	4.5453506448223	5.08108392868763	5.62643913669732	4.55213110825378	4.43229133824778	5.36001304220433	5.43729433149714	4.25171909260596	4.36317107711924	5.05614996110814	4.81301154860562	5.37955165336549	4.4757334309664	4.85299758761332	4.74631276642546	4.93734439215023	4.37920505996061	4.33771109212829	5.27276973243651	4.58976348698498	4.34553831007001	4.99276843076892	4.83137058796754	4.60288440871842	4.68201139080069	4.61882595258744	4.76924279514054	5.46401472450489	4.84046323386954	5.16711703022744	4.12267271882414	4.52919626799939	4.20476675065461	4.78764141448333	4.71314590249026	5.25361115194717	4	4.5933537709803	4.37920505996061	5.15218341905505	4.72410451986685	5.20398416585599	5.16148463864166	4.82222027162153	4.32048467801769	5.80787007829978	6.3177743728041	4.48220292629596	4.91838623444635	5.02989454966334	5.43329332581501	5.58225490835766	4.01167453338092	5.15663931069209	5.43095427138573	5.62087961135541	5.09887428674445	4.35895882583233	4.13093086982645	5.26491169307446	4.66505161428921	4.79337571126475	4.41074812818595	5.38646609286931	4.50842865253186	4.1586601753465	4.63575439127776	4.36176835941915	5.30524096595448	4.73226919950145	4.3305584000308	5.29130885982897	3.75274859140713	5.03738222200308	4.77188557851537	5.4643415327611	3.3743439890385	4.3526172989585	2.34198574722862	3.09254574154357	3.97819562968165	3.61706334388818	3.73876783680019	3.39780296186249	4.35120427725799	3.81352468929781	4.1243281350022	3.60762622084549	3.82984955984469	3.52105073690096	5.34766565630097	3.62410089462811	3.1586601753465	4.13175409098481	3.83995958748953	4.65019012349677	2.52606881166759	3.27351588970212	3.87676249078156	2.90496571868403	3.81762325751143	3.82273014794452	4.93593113975227	3.92694824794977	4.35614381022528	3.26303440583379	4.36176835941915	3.72465027173297	4.12184429787638	4.47118746038699	3.26603689399532	3.87578006306849	3.73226919950145	3.48928602262588	3.70376517879341	2.96901230751632	3.27052894238072	4.15623479785027	3.90400231628369	3.22650852980868	4.14241343787374	3.34766565630097	4.26303440583379	4.44691786486603	3.83895176695194	3.33485426933163	3.70708299177171	3.78555055173926	2.66902676550963	4.14730669878029	3.76871365703048	3.64385618977472	4.07809742302666	3.37851162325373	2.97819562968165	4.23189316164533	4.83592407425437
"FXYD1"	5.65992455840238	3.78240856492737	6.36089096777204	6.14016513459945	6.4441038182283	6.08406426478847	5.07253459972295	5.22226360352835	5.29351763041742	5.61235249875266	5.17632277264046	6.55166981487147	6.29130885982897	6.71328340023074	5.99344793233148	6.04592343960255	6.18863829456139	4.96578428466209	6.12556845177803	6.8860623383456	6.27426166125705	6.29553937040683	6.24107745817504	6.45302364652906	6.57198012018773	6.36299581197405	5.93687346182423	6.3819754785573	5.95721814916694	6.21897485712327	6.04330075436418	4.97819562968165	6.37399614213124	6.17672169288105	5.70818723602071	5.31650781910311	6.36124198846498	4.63226821549951	5.6046644151637	6.56498780095989	6.62380834772639	5.64932804098478	5.77030048949942	6.64875303298957	6.48687523549849	6.75622271284729	5.98800293750806	4.64270157183323	5.14404636961671	5.98550043030489	6.47557132129255	5.07809742302666	5.87627136055013	5.26641176603611	6.16087986183931	5.54565954002547	6.22670118455169	5.55642941544957	6.13463167144765	5.51759065774328	6.37608196665007	5.92694824794977	5.28132732965948	4.90640961709402	6.1261882105221	6.05441438791731	6.69306872440728	6.13873256972024	5.87011808396593	5.74523733212975	5.37538702682888	4.80632405739003	5.12804589092299	5.38750040648098	5.95046841415012	5.62731500136505	5.66959375118833	6.15886210620845	5.7221927608959	5.17791779219584	6.24431625989121	5.26153081524341	5.81455042346181	3.95046841415012	4.28688114778816	0.632268215499513	2.33342373372519	0.669026765509631	2.06350294230616	1.48542682717024	2.68257329734758	4.1243281350022	2.25096157353322	2.39780296186249	2.68032435684402	1.33342373372519	0.53605290024021	3.98550043030489	0.189033824390017	1.64616265715789	4.10601323762212	3.10433665981474	4.06695024392463	0.321928094887362	0.356143810225275	1.1243281350022	0.526068811667588	1.62760683812965	3.18745105402733	4.88557436437143	4.94345253855882	3.93640237772506	0.669026765509631	4.87872534148011	2.64154602908752	2.73984810269933	5.40565206128037	1.33913738491959	1.92599941855622	3.39369076418745	1.92599941855622	1.57046293102604	0.31034012061215	3.44360665147561	3.66106547980695	1.38404980679516	2.13093086982645	2.90110824301451	1.02147972741045	4.42223300068305	2.62293035092018	1.52105073690096	1.1243281350022	1.54596836910529	1.71369581484336	0.704871964456353	2.73335434061383	1.26303440583379	2.56071495447448	3.26603689399532	2.22650852980868	2.12763327972587	5.53169336086147	5.42861141846713
"MYLK"	7.8690694119499	8.42084447891784	7.68208164108877	8.52360115919395	6.71699089440494	7.1781170457064	7.64673869830785	7.69174351917127	7.33449676839042	8.02364347910317	7.53651921335343	5.50303064564116	7.46172499150271	7.4334602561063	4.92931759491176	6.06501215043695	7.51222688651396	8.33730969308812	8.11285648573337	4.92884403671257	6.84812213506429	6.18844048897516	7.39051292593201	5.00674683244058	5.45877569908024	7.56315813040281	7.92842954573776	4.99684064779537	7.2629404773178	5.8799507684126	5.6667565918848	6.54163873443614	5.81762325751143	6.07788386443832	7.57091825532866	7.4524471779147	7.24764274289802	7.15116879418666	7.22168378101097	4.94251450533924	4.9481335778404	7.77102720481872	7.42794133250948	4.95093492831454	5.10726939359254	5.20084957463721	7.34269695998193	8.24488705912353	6.96981818594658	7.60866141798756	7.84567821628702	7.58871463558226	7.79714271076559	8.45668296304239	5.14241343787374	5.79129314859221	5.66192057913509	8.26922020578009	7.24982454861618	5.45647762935182	7.27304958663691	7.49737285452942	7.8251496026602	8.25238159567046	6.23476954003063	5.60880924267552	6.01033228328482	5.33913738491959	5.86962468620432	6.16912328147676	8.06414993912135	8.37859832107178	7.27360913223186	7.63531907972076	6.65963918701565	7.12804589092299	7.53613062956007	5.29572302453997	8.31056734173005	4.87381319835909	5.25927248703759	7.4847020773368	8.71469199703673	5.07852444538908	6.30451104180995	4.12350066435096	5.35543919724869	5.14323013477689	5.39780296186249	5.93428059364002	3.83491342970104	8.10679846326654	6.21101219348551	5.88239850405388	5.62964804418744	4.92647391125607	3.69821847822441	8.08049778136569	4.96023367169445	4.86294724802092	7.17102663944314	4.68144926531496	7.90875287424014	4.45680614923047	4.98048235553826	5.74173662382664	3.48800077083407	4.60050764534579	5.28466218548316	7.24107745817504	4.81915722367497	6.02812708231714	4.75968848842729	6.18646094003548	3.97085365434048	6.21819994369474	7.35922245215392	5.33127526714661	4.70154905694307	4.50016467949217	5.30633516019798	6.94004926238952	6.34996674697119	4.53356334821451	5.8444860877578	6.98754825895374	5.21101219348551	7.25086685567605	4.87085786436376	6.08533966935737	6.26772305162742	6.46287031226445	9.07609406913337	5.10852445677817	6.72041528490633	5.97750890454014	6.31415269388222	6.4995270242151	6.51428009563292	6.5413289770456	6.52778975157233	4.31034012061215	5.71094415457587	8.394677046448
"SYNPO2"	5.70376517879341	5.90159099190337	5.97636363573276	6.16450472565806	6.20730722344539	6.3212065669699	4.9429835981871	4.84849775538515	5.5668151540109	5.67609812091222	5.08236196955747	6.70528679027247	5.87307493222397	6.05484847699562	5.76526952069059	6.4708621994137	6.10118781525974	5.53636379239547	6.36141746678921	4.88508622529017	5.83693401132109	6.21955576916691	5.48607074373567	4.72628628972067	5.69348695749933	6.06242396907444	5.28725064325462	5.13298804262744	5.63952159951083	6.01747656302046	4.48542682717024	5.69097573834328	6.70901486490327	6.27928556084654	6.54797414832058	5.81941272620656	6.27686882997646	4.94579495674006	5.73633427697511	4.99909803370561	5.46368784220126	5.75595576955096	5.77847143419983	6.16631374788993	6.29480451999447	5.81378119121704	6.0703893278914	5.41818994794577	5.58135124716878	5.8444860877578	5.88533031547617	5.3387809438947	6.82017896241519	6.5190071478334	6.30359811699249	6.00517539133194	5.61500424163503	5.99186193055632	6.54194842533373	6.02989454966334	6.48767927890162	6.18308946064076	6.57546361208441	5.61205755956307	5.94016675048282	5.85374619700876	6.12391445900198	4.94392132655349	6.27426166125705	5.17632277264046	6.44790974874208	5.08491465976794	5.02281165091563	5.79415589787641	5.29167722317602	5.43895814789755	6.25152975012378	4.69821847822441	6.15258906928713	5.7076352195453	5.49793165189628	5.66249036391378	6.34109623795764	3.93545974780529	4.38335869538511	4.08151006812092	4.70929063572336	2.13750352374994	2.30451104180995	3.12763327972587	3.02680005934372	4.48992821940518	3.49697358099828	4.17552460108987	2.83390207666916	2.6507645591169	2.20163386116965	5.9297909977186	3.38543103719352	3.78240856492737	4.83592407425437	4.98913900736823	5.30158764660319	2.78450398292957	4.7279204545632	5.31759350462347	1.40053792958373	3.46336088581666	4.38474058729238	5.27724089833207	4.54101915313356	5.27835652801072	2.55581615506164	5.39917109381982	3.69041709553247	5.0071955014042	5.85847839042327	3.32337006906127	3.61941301059794	4.72900887033786	4.10517519226548	3.11603199344711	2.59931779369823	4.37155886261196	5.43929068104202	3.32192809488736	6.97004835426884	4.74200621086674	2.85598969730848	5.62234472272424	3.52356195605701	4.36457243229586	4.2149019101607	2.49569516262407	4.00450139223494	4.26603689399532	4.43762724831895	3.35049724708413	4.34908214639109	4.61647532878288	3.55826763405574	2.96162332828694	6.36998986295662	5.53946903474989
"MSRB3"	4.77135740899056	5.17632277264046	4.89869207256049	5.59723318908613	5.21451341008002	5.61353165291793	4.89093302170554	4.65420637794429	4.60288440871842	5.13504228623365	4.69376571221778	5.89287670006069	4.93781516880342	5.61205755956307	5.41818994794577	5.67525138605026	5.63546419816788	4.86046625851717	5.53449743373817	5.88386515450979	5.7771566660045	5.86443379636562	5.60258752734256	5.05918219921169	5.67299099382775	5.51853513898218	5.41312014640349	5.32876467228402	5.30048984436311	5.9884574728114	5.76394266044725	4.5933537709803	6.4417822395006	6.0232553523003	5.62146583446014	5.03782146543497	5.46890909211059	4.91408609701272	4.95930648975966	5.9205315062779	5.43995551747816	5.43128865429159	5.20280949212501	5.56040926636212	5.41751500288509	5.54318652456517	5.81531924577731	4.9217219470096	5.02502879449152	5.65306001710456	5.21218021004443	4.75968848842729	6.10496560483998	5.62146583446014	6.13832300405648	5.52136487844622	5.98823022306046	5.22881869049588	5.8592241619782	6.14893410452634	5.71232064074163	5.36422222109353	6.00674683244058	5.03913839390696	6.15177765473205	6.30797489711352	6.47135006337852	6.03430376776804	6.06156020910797	6.32463061526719	5.34127418369217	4.96439863220318	4.91886323727459	5.34978987024187	5.53791724903408	5.41650199286742	5.21334728173344	5.46205231879643	5.50716034911752	6.03276207381379	5.12887075946512	5.84949893172018	5.53667461756976	3.43429461795993	4.09929520433777	2.48026512205446	4.1586601753465	3.30305008468167	3.74416109557041	3.73876783680019	3.39780296186249	4.68818035858693	3.78972925137577	4.07895134139482	3.29278174922785	3.96069703930431	2.58496250072116	4.94157586181824	3.56803210477128	3.45022149589718	4.35614381022528	4.07724299893246	5.27164977245721	2.63459326844576	3.34482849699744	3.51475349843975	1.78659636189081	3.73552217729654	3.76128527336162	4.63343121035563	4.94953493301701	4.62351574149055	3.53977919169849	4.70597790168252	3.43829285157915	4.16992500144231	5.01658546043445	3.51853513898218	2.56559717585422	3.44890095114513	4.01881218574282	4.61176256006487	4.35825558670513	3.84398384404833	4.28835856219366	4.456149034648	4.40531168259745	4.3305584000308	3.63807383718072	5.09212284983868	4.98823022306046	5.19810120932482	5.59424994765735	3.30158764660319	4.38887833881199	4.82731094394967	4.46008724011683	5.01212167271222	5.31251996747495	4.47767732756531	4.5298209465287	3.77399632511117	6.23783136909528	5.46368784220126
