"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0098_3005_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0219_3000_N"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"HKB0008_3006_T"	"HKB0064_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0132_3000_N"	"HKB0137_3000_N"	"HKB0155_3003_N"	"HKB0158_3000_N"	"HKB0160_3000_T"	"HKB0161_3000_N"	"HKB0227_3000_N"	"HKB0597_3000_N"	"HKB0657_3000_N"	"HKB0666_3000_N"	"HKB0719_3001_N"	"HKB0744_3001_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0040_3000_N"	"HKB0049_3000_N"	"HKB0049_3006_T"	"HKB0050_3000_N"	"HKB0052_3000_T"	"HKB0052_3004_N"	"HKB0067_3000_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3000_T"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0129_3002_N"	"HKB0133_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0157_3000_N"	"HKB0159_3000_N"	"HKB0160_3001_N"	"HKB0162_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0186_3000_T"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0226_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0618_3000_N"	"HKB0648_3000_N"	"HKB0663_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0737_3000_T"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0004_3000_N"	"HKB0006_3000_N"	"HKB0074_3000_T"	"HKB0088_3000_T"	"HKB0091_3001_T"	"HKB0100_3006_T"	"HKB0209_3004_T"	"HKB0722_3001_N"	"HKB0006_3006_T"	"HKB0007_3005_T"	"HKB0079_3000_N"	"HKB0129_3000_T"	"HKB0164_3006_T"	"HKB0210_3006_T"
"KIR2DL4"	1.32768736417605	0.422233000683048	0.124328135002202	0.400537929583729	0.27500704749987	0.505890929729957	0.748461233004036	0.124328135002202	1.0703893278914	0.722466024471091	0.250961573533219	0.0976107966264223	0.176322772640463	0.464668267003444	0.831877241191673	0.632268215499513	0	0.526068811667588	0.344828496997441	0.669026765509631	0.137503523749935	0.0840642647884746	0	0.356143810225275	0.250961573533219	0.16349873228288	0	0.070389327891398	0.0426443374084937	0.0565835283663675	0	0.070389327891398	0	0	0	0	0.0565835283663675	0	0	0	0	0.176322772640463	0.150559676575381	0	0	0.070389327891398	0.176322772640463	0.189033824390017	0	0	0.070389327891398	0.176322772640463	0	0	0.22650852980868	0	0	0	0	0.0565835283663675	0	0.0565835283663675	0	0	0	0	0.189033824390017	0	0.070389327891398	0	0	0.0840642647884746	0.150559676575381	0.250961573533219	0	0.124328135002202	0	0	0	0	0.0565835283663675	0	0	0.0565835283663675	0	0	0	0.27500704749987	0.214124805352847	0.189033824390017	0.137503523749935	0.070389327891398	0.0565835283663675	0	0.0565835283663675	0.31034012061215	0.432959407276106	0	0.0976107966264223	0	0	0	0	0	0.250961573533219	0.505890929729957
"PRF1"	4.91838623444635	4.01881218574282	3.22804904788446	3.42894634476948	3.33628338786443	3.57531233068744	4.24792751344359	2.12763327972587	4.90881290773955	3.32768736417605	4.66163560233596	2.89336221076387	2.4594316186373	4.04875931191986	4.78555055173926	4.56010351346474	2.91456452349394	5.30341546268562	3.50842865253186	4.28243980500639	1.75274859140713	2.09085343045111	3.86294724802092	3.84799690655495	3.37016428054021	3.21412480535285	2.03562390973072	2.70043971814109	3.12763327972587	2.69376571221778	2.68481873755322	2.87970576628229	2.55826763405574	3.56803210477128	2.55581615506164	2.0703893278914	2.92409988564074	2.78868571061353	2.20476675065461	3.07724299893246	2.20789285164133	2.77399632511117	3.48026512205446	1.83995958748953	3.02147972741045	2.55581615506164	2.68706068833989	2.70043971814109	2.78450398292957	3.5933537709803	2.94673086014031	3.28392177230762	2.66902676550963	3.23266075679027	3.08406426478847	3.06177619758669	2.61823865559545	2.31324585178756	2.70487196445635	2.59931779369823	2.43295940727611	2.02856915219677	3.25398926623079	2.40599235967584	2.27500704749987	2.43562859405209	3.0036022366802	2.4594316186373	3.03913839390696	2.41953889151378	2.7311832415722	2.75702324650746	2.48542682717024	3.91552090075196	2.23572705983806	3.37016428054021	3.13914201914569	2.75274859140713	2.77399632511117	3.16832111573972	2.81147103052984	3.60169651648096	1.99638874644762	3.4369613378336	2.72465027173297	1.98913900736823	3.13914201914569	2.76765479823735	2.59454854955035	2.25701061820602	3.63691458035588	1.89530262133331	3.03033607837096	2.77820857639809	2.88947354253111	1.86393845042397	3.53356334821451	1.66448284036468	1.31034012061215	2.24792751344359	0.575312330687437	2.54101915313356	2.31903981556254	2.57046293102604	1.33913738491959	1.96716860753263
"ZNF683"	1.70929063572336	3.21101219348551	1.83187724119167	1.16992500144231	1.58976348698498	1.57531233068744	2.58736499093646	0.748461233004036	2.89336221076387	1.85996954822103	1.02147972741045	1.09761079662642	0.650764559116902	0.815575428862573	2.82171021503467	2.29278174922785	1.23266075679027	2.33628338786443	1.57046293102604	1.85199883711245	0.22650852980868	0	0.0840642647884746	0.238786859587116	0.0840642647884746	0.22650852980868	0.0565835283663675	0.176322772640463	0.124328135002202	0.765534746362977	0.27500704749987	0.0565835283663675	0.443606651475615	0.0565835283663675	0.495695162624069	0.0426443374084937	0	0.124328135002202	0.575312330687437	0.713695814843359	0.970853654340484	0.565597175854225	0.799087306074004	1.54101915313356	0.925999418556223	0.722466024471091	0.863938450423971	0.31034012061215	0.432959407276106	0.176322772640463	0.584962500721156	0.20163386116965	0.0565835283663675	1.17632277264046	0.807354922057604	0.111031312388744	0.333423733725192	0	0.150559676575381	0.516015147003665	0.475084882948783	0.782408564927373	0.0976107966264223	1.21412480535285	0.464668267003444	0.678071905112638	1.58496250072116	0.713695814843359	0.6959938131099	0.910732661902913	0.6959938131099	0.111031312388744	0.238786859587116	0.27500704749987	1.02856915219677	0.505890929729957	0.887525270741587	1.93734439215023	0.321928094887362	0.27500704749987	0.0426443374084937	0.0565835283663675	0.124328135002202	0.0426443374084937	0.765534746362977	0.20163386116965	0.6959938131099	1.23878685958712	0.250961573533219	0.839959587489532	0.321928094887362	0.422233000683048	2.19849415363908	1.0703893278914	0.411426245726465	1.27500704749987	1.06350294230616	0.55581615506164	0.505890929729957	0.422233000683048	0.27500704749987	1.26303440583379	0.584962500721156	0.650764559116902	0.516015147003665	0.238786859587116
"KIR3DL2"	0.286881147788162	0.505890929729957	0.176322772640463	0.22650852980868	0.150559676575381	0.526068811667588	0.124328135002202	0.189033824390017	0.238786859587116	0.367371065648529	0.879705766282288	0.137503523749935	0.214124805352847	0.286881147788162	0.839959587489532	0.189033824390017	0.214124805352847	0.622930350920177	0.16349873228288	0.84799690655495	0	0	0.454175893185802	0.356143810225275	0.400537929583729	0	0.137503523749935	0.0426443374084937	0.20163386116965	0.16349873228288	0	0.22650852980868	0.111031312388744	0.27500704749987	0.124328135002202	0	0.0976107966264223	0.0565835283663675	0.070389327891398	0.070389327891398	0.124328135002202	0.124328135002202	0.124328135002202	0.0840642647884746	0.176322772640463	0.0840642647884746	0.111031312388744	0.111031312388744	0.0285691521967709	0	0.250961573533219	0.0565835283663675	0.0976107966264223	0.31034012061215	0.0565835283663675	0.124328135002202	0	0	0.189033824390017	0.111031312388744	0.0285691521967709	0.111031312388744	0.263034405833794	0.070389327891398	0	0	0.070389327891398	0	0.0565835283663675	0.176322772640463	0	0.20163386116965	0.16349873228288	0	0.0976107966264223	0	0.111031312388744	0	0.20163386116965	0.16349873228288	0.0426443374084937	0.389566811762726	0.070389327891398	0.137503523749935	0.0426443374084937	0.0426443374084937	0.0426443374084937	0.214124805352847	0.0426443374084937	0.189033824390017	0.111031312388744	0	0	0	0.0426443374084937	0.20163386116965	0.400537929583729	0.0285691521967709	0	0	0	0.070389327891398	0.0976107966264223	0.0976107966264223	0	0
"CD7"	4.46205231879643	3.9174317553901	3.83794324189103	3.51222688651396	3.26903314645524	3.54349588342577	3.57288966842058	2.41142624572647	4.4093909361377	3.5909612413426	2.19534759832222	2.47248777146274	2.0071955014042	2.82578562746479	4.06350294230616	3.36876834909033	2.43295940727611	4.6450098843911	3.17951105027151	3.30597052098439	1.4541758931858	0.632268215499513	1.73552217729654	1.78240856492737	0.765534746362977	1.0496307677246	1.02856915219677	1.41142624572647	1.25701061820602	1.91073266190291	0.790772037862	1.32768736417605	0.879705766282288	1.59931779369823	0.495695162624069	0.613531652917927	1.16349873228288	0.650764559116902	1.38956681176273	1.89917563048051	1.60407132366886	1.89530262133331	1.80322703643493	1.85996954822103	2.21723071622067	2.114367024952	1.54101915313356	1.65535182861255	1.15704371014558	1.28095631383106	1.30451104180995	1.54596836910529	1.37851162325373	1.98185265328974	2.68706068833989	1.50589092972996	0.910732661902913	1.09085343045111	1.35049724708413	1.61353165291793	1.49569516262407	1.40599235967584	1.59454854955035	1.73552217729654	0.799087306074004	1.58976348698498	2.34482849699744	1.4594316186373	2.56803210477128	1.790772037862	1.60880924267552	1.09085343045111	1.4276061727819	2.24488705912353	1.4276061727819	1.790772037862	1.36176835941915	2.04264433740849	1.09761079662642	1.49569516262407	0.963474123974886	1.18903382439002	0.622930350920177	1.05658352836637	1.08406426478847	0.782408564927373	1.43829285157915	1.78659636189081	1.4594316186373	2.30742852519225	1.83995958748953	0.713695814843359	3.16188768237689	2.0071955014042	2.44095219802964	2.07382023329167	2.96532254836725	1.76977173924945	1.8073549220576	1.14404636961671	0.545968369105292	2.3305584000308	1.54101915313356	1.94485844580754	1.43829285157915	1.78240856492737
"GNLY"	4.790772037862	5.16912328147676	3.4905701304462	3.02502879449152	4.11270013274936	4.48349335128439	5.88313201565728	2.41683974191283	6.08682621770207	3.98185265328974	5.13627342985058	3.6915341649192	3.40190347160796	4.70653055253812	5.09803208296053	5.18189764310839	3.01970191444255	4.62293035092018	4.10936055940423	2.93922657772821	0.948600847493356	1.4905701304462	3.35895882583233	3.50080205305716	3.23572705983806	2.93168305705981	2.02856915219677	2.60880924267552	2.83390207666916	2.66448284036468	2.93734439215023	2.41142624572647	2.61588707391606	2.84799690655495	2.98185265328974	2.23572705983806	3.06695024392463	2.68706068833989	2.41683974191283	3.24031432933371	2.42492208821069	1.85199883711245	3.34908214639109	1.41683974191283	3.86393845042397	2.08746284125034	2.29865831556452	1.96716860753263	2.81557542886257	2.790772037862	2.82171021503467	3.47767732756531	2.32481060342048	3.71699089440494	2.89141918684608	3.73335434061383	2.39506279951758	2.10433665981474	2.13422093976063	2.65764000520782	1.70929063572336	1.15055967657538	3.31614574229336	2.31324585178756	2.48542682717024	2	3.19377174339668	2.91838623444635	1.71808758396052	2.68032435684402	2.60644222813161	2.64154602908752	2.7311832415722	3.37989816352469	2.05658352836637	3.46988597627446	3.36036427654347	3.51349074558812	2.56071495447448	3.56193705962243	2.66902676550963	4.00270252037982	1.87184364850932	3.98823022306046	2.50080205305716	2.11769504266975	3.18428029441938	2.88557436437143	2.29572302453997	2.60407132366886	3.98276546258365	2.7158933705476	2.12101540096137	2.07724299893246	2.70929063572336	2.31903981556254	3.24031432933371	1.46988597627446	1.22032995487956	2.35614381022528	0.659924558402378	3.31179371775365	0.941106310946431	2.19219416528334	0.903038270112912	1.799087306074
"KIR2DL3"	0.070389327891398	0.6959938131099	0.20163386116965	0.298658315564515	0.356143810225275	0.389566811762726	0.687060688339892	0.150559676575381	1.14404636961671	0.53605290024021	0.632268215499513	0	0	0.137503523749935	0.344828496997441	0.189033824390017	0.16349873228288	0.27500704749987	0.356143810225275	0.545968369105292	0.0565835283663675	0.111031312388744	0	0	0.400537929583729	0.189033824390017	0	0.0840642647884746	0.55581615506164	0.250961573533219	0.150559676575381	0.124328135002202	0	0.27500704749987	0.0565835283663675	0	0.263034405833794	0.150559676575381	0	0.27500704749987	0.238786859587116	0.20163386116965	0.16349873228288	0.0565835283663675	0	0.16349873228288	0.124328135002202	0	0.333423733725192	0.070389327891398	0.495695162624069	0.20163386116965	0	0.432959407276106	0.150559676575381	0.214124805352847	0.189033824390017	0.189033824390017	0.176322772640463	0.0565835283663675	0.0426443374084937	0.0426443374084937	0.27500704749987	0	0.20163386116965	0.111031312388744	0.176322772640463	0.0840642647884746	0.0565835283663675	0.070389327891398	0.137503523749935	0.070389327891398	0	0.176322772640463	0.137503523749935	0.0565835283663675	0	0.189033824390017	0.20163386116965	0.150559676575381	0.0565835283663675	0.22650852980868	0	0	0	0.150559676575381	0	0.111031312388744	0.263034405833794	0	0.389566811762726	0	0	0.124328135002202	0.16349873228288	0	0.0976107966264223	0	0	0.0565835283663675	0	0.150559676575381	0	0.214124805352847	0	0.0565835283663675
"NCR1"	1.90689059560852	0.925999418556223	0.411426245726465	0.659924558402378	0.622930350920177	0.545968369105292	0.722466024471091	0.20163386116965	1.56071495447448	1.02147972741045	1.0703893278914	0.389566811762726	0.150559676575381	0.75702324650746	1.65535182861255	0.815575428862573	0.298658315564515	1.66902676550963	0.584962500721156	1.1243281350022	0.070389327891398	0.250961573533219	0.782408564927373	0.485426827170242	0.739848102699327	0.565597175854225	0.495695162624069	0.27500704749987	0.432959407276106	0.739848102699327	0.298658315564515	0.713695814843359	0.344828496997441	1.04264433740849	0.214124805352847	0.485426827170242	0.748461233004036	0.632268215499513	0.31034012061215	0.739848102699327	0.526068811667588	0.485426827170242	0.454175893185802	0.137503523749935	0.422233000683048	0	0.124328135002202	0.37851162325373	0.367371065648529	0.773996325111173	0.495695162624069	0.495695162624069	0.584962500721156	0.443606651475615	0.659924558402378	0.495695162624069	0.16349873228288	0.321928094887362	0.298658315564515	0.55581615506164	0.16349873228288	0.286881147788162	0.454175893185802	0.31034012061215	0.485426827170242	0.584962500721156	0.526068811667588	0.411426245726465	0.526068811667588	0.321928094887362	0.807354922057604	0.485426827170242	0.189033824390017	0.863938450423971	0	1.07724299893246	0.344828496997441	0.389566811762726	0.669026765509631	0.84799690655495	0.659924558402378	0.565597175854225	0.613531652917927	0.807354922057604	0.333423733725192	0.0976107966264223	0.7311832415722	0.604071323668861	0.516015147003665	0.137503523749935	0.659924558402378	0.150559676575381	0.367371065648529	0.150559676575381	0.400537929583729	0.20163386116965	0.978195629681652	0.263034405833794	0.070389327891398	0.333423733725192	0.137503523749935	0.367371065648529	0.176322772640463	0.575312330687437	0.137503523749935	0.0976107966264223
"CD244"	1.67807190511264	1.08406426478847	1.29865831556452	0.678071905112638	1.06350294230616	0.75702324650746	1.05658352836637	0.333423733725192	1.76553474636298	0.55581615506164	1.85996954822103	0.918386234446348	0.75702324650746	1.15055967657538	1.56071495447448	1.80322703643493	1.34482849699744	1.95233356636969	0.941106310946431	1.16349873228288	0.831877241191673	0.411426245726465	0.918386234446348	0.807354922057604	0.910732661902913	0.722466024471091	0.53605290024021	0.659924558402378	0.505890929729957	0.970853654340484	0.7311832415722	0.622930350920177	0.669026765509631	0.933572638261024	1.04264433740849	0.659924558402378	1	0.575312330687437	0.799087306074004	0.985500430304885	0.713695814843359	0.748461233004036	0.903038270112912	0.485426827170242	1.14404636961671	0.807354922057604	0.7311832415722	1.13093086982645	0.475084882948783	0.545968369105292	0.622930350920177	0.887525270741587	1.15055967657538	0.963474123974886	1.05658352836637	0.963474123974886	0.773996325111173	0.565597175854225	0.807354922057604	0.650764559116902	0.37851162325373	0.678071905112638	0.799087306074004	0.815575428862573	0.782408564927373	0.823749360308273	1.05658352836637	0.7311832415722	0.918386234446348	1.17632277264046	0.978195629681652	0.799087306074004	0.839959587489532	0.790772037862	0.748461233004036	1.36176835941915	0.970853654340484	1.01435529297707	0.815575428862573	0.678071905112638	0.925999418556223	0.910732661902913	0.641546029087524	0.941106310946431	0.887525270741587	0.687060688339892	1.36176835941915	0.970853654340484	1.35049724708413	1.03562390973072	0.978195629681652	0.739848102699327	1.22650852980868	0.773996325111173	1.22032995487956	0.895302621333307	0.53605290024021	0.137503523749935	0.22650852980868	0.286881147788162	0.124328135002202	0.495695162624069	0.443606651475615	0.782408564927373	0.565597175854225	0.22650852980868
"KLRD1"	3.01435529297707	1.75702324650746	1.16349873228288	1.56559717585423	1.14404636961671	1.93357263826102	1.62760683812965	0.704871964456353	2.43562859405209	1.43829285157915	2.16992500144231	1.28095631383106	0.6959938131099	1.94860084749336	2.55090066464752	1.94485844580754	1.05658352836637	3.55090066464752	1.23266075679027	2.28688114778816	0.20163386116965	0.464668267003444	1.51601514700366	1.52606881166759	1.11103131238874	1.16349873228288	0.790772037862	0.992768430768924	1.02147972741045	1.11769504266975	1.02147972741045	0.7311832415722	0.903038270112912	1.35049724708413	1.42223300068305	0.659924558402378	1.0496307677246	1.19534759832222	0.7311832415722	1.25701061820602	0.782408564927373	1	1.51601514700366	0.53605290024021	1.07724299893246	0.918386234446348	0.925999418556223	1.11769504266975	1.22650852980868	1.15704371014558	1.34482849699744	1.20163386116965	1.28688114778816	1.59931779369823	0.918386234446348	1.15704371014558	0.7311832415722	1.19534759832222	0.992768430768924	1.11769504266975	0.871843648509318	1.08406426478847	0.941106310946431	1.28095631383106	0.903038270112912	0.871843648509318	1.05658352836637	0.992768430768924	0.790772037862	1.28688114778816	1.13093086982645	0.956056652412403	1.41142624572647	1.63226821549951	0.678071905112638	1.23878685958712	1.25096157353322	1.11769504266975	0.75702324650746	1.15055967657538	1.49569516262407	1.74416109557041	0.622930350920177	1.26303440583379	1.04264433740849	0.748461233004036	1.16992500144231	1.21412480535285	1.05658352836637	0.722466024471091	1.83187724119167	0.613531652917927	1.72683121703249	1.20789285164133	1.60407132366886	0.632268215499513	1.58014548442338	0.070389327891398	0.790772037862	1.04264433740849	0.22650852980868	0.871843648509318	0.948600847493356	1.37295209791183	0.516015147003665	0.748461233004036
