"HKB0023_3006_T"	"HKB0050_3005_T"	"HKB0137_3002_T"	"HKB0155_3000_T"	"HKB0210_3006_T"	"HKB0211_3002_T"	"HKB0233_3000_N"	"HKB0004_3000_N"	"HKB0006_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0036_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3000_T"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3000_T"	"HKB0074_3003_N"	"HKB0079_3000_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3000_T"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0137_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0164_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0648_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"	"HKB0008_3006_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0038_3006_T"	"HKB0040_3002_T"	"HKB0049_3006_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0065_3006_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0088_3000_T"	"HKB0091_3001_T"	"HKB0098_3005_T"	"HKB0120_3000_T"	"HKB0134_3006_T"	"HKB0143_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0209_3004_T"	"HKB0216_3000_N"	"HKB0220_3000_T"	"HKB0220_3003_N"	"HKB0573_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0636_3000_N"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"
"C20orf85"	0.516015147003665	4.79960542245267	4.52732060787705	1.17632277264046	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22650852980868	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10433665981474	0	0	0	1.0071955014042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238786859587116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.400537929583729	0	0	1.58496250072116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286881147788162	0	0.298658315564515	0	0.27500704749987	1.38956681176273	0	0	0	0	0	0	0	0	0	0	0	0
"DRC7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DNAI2"	0.0285691521967709	0.594548549550354	0.321928094887362	0.111031312388744	0.0565835283663675	0.0840642647884746	0	0.0285691521967709	0	0	0	0	0.150559676575381	0	0	0.0426443374084937	0	0	0	0.0426443374084937	0	0.0426443374084937	0	0	0	0.0426443374084937	0.0976107966264223	0	0	0.111031312388744	0.0426443374084937	0	0	0	0.0426443374084937	0	0	0.0840642647884746	0	0.0426443374084937	0.0426443374084937	0.0976107966264223	0.0285691521967709	0.0426443374084937	0	0	0	0	0	0	0.0426443374084937	0	0	0.0285691521967709	0.0426443374084937	0.0426443374084937	0	0	0	0.0976107966264223	0.0426443374084937	0	0	0	0	0.16349873228288	0.0840642647884746	0.0976107966264223	0	0	0	0	0.0565835283663675	0	0	0	0.20163386116965	0	0	0	0	0.214124805352847	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0.070389327891398	0.0285691521967709	0	0.0285691521967709	0	0	0	0.0426443374084937	0	0	0	0.0426443374084937	0	0	0	0.0840642647884746	0	0.0426443374084937	0	0	0	0	0	0	0	0.16349873228288	0	0	0.0565835283663675	0	0	0	0	0	0	0.124328135002202	0.0285691521967709	0
"TMEM190"	0	2.84799690655495	2.35614381022528	0	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176322772640463	0	0	0	0.659924558402378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214124805352847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298658315564515	0	0	0.137503523749935	0	0	0	0	0	0.22650852980868	0	0	0	0	0	0.516015147003665	0	0	0.111031312388744	0	0	0	0	0	0	0.855989697308481	0	0	0	0	0	1.08406426478847	0	0	0	1.82374936030827	0	0	0	0	0.27500704749987	0	0
"FAM216B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VWA3B"	0.070389327891398	0.879705766282288	1.28095631383106	0.650764559116902	0.16349873228288	0.250961573533219	0.22650852980868	0.22650852980868	0.137503523749935	0.298658315564515	0.333423733725192	0.0285691521967709	0.176322772640463	0.238786859587116	0.20163386116965	0.0285691521967709	0.137503523749935	0.0840642647884746	0.137503523749935	0.0565835283663675	0.111031312388744	0.20163386116965	0.137503523749935	0.238786859587116	0.0976107966264223	0	0.137503523749935	0.124328135002202	0.111031312388744	0.111031312388744	0	0.137503523749935	0.20163386116965	0.0426443374084937	0.176322772640463	0.0976107966264223	0.0565835283663675	0.0840642647884746	0	0.0426443374084937	0.0285691521967709	0.250961573533219	0.22650852980868	0.0840642647884746	0.124328135002202	0	0.0426443374084937	0.124328135002202	0.238786859587116	0	0.0285691521967709	0	0.0976107966264223	0.137503523749935	0.111031312388744	0.20163386116965	0.0285691521967709	0.321928094887362	0.189033824390017	0.0976107966264223	0	0.27500704749987	0.22650852980868	0	0.0976107966264223	0.0285691521967709	0.214124805352847	0.124328135002202	0.137503523749935	0.0840642647884746	0.137503523749935	0.137503523749935	0	0.0426443374084937	0.0565835283663675	0.22650852980868	0.27500704749987	0.0565835283663675	0.0840642647884746	0	0.20163386116965	0.31034012061215	0.0285691521967709	0.321928094887362	0.111031312388744	0.298658315564515	0.321928094887362	0.189033824390017	0.20163386116965	0.0565835283663675	1.40599235967584	0.0976107966264223	0.27500704749987	0.0426443374084937	0.124328135002202	0.214124805352847	0.111031312388744	0.16349873228288	0.137503523749935	0.0285691521967709	0.0976107966264223	0.0285691521967709	0.124328135002202	0.0285691521967709	0.150559676575381	0.16349873228288	0.176322772640463	0.0565835283663675	0.0840642647884746	0.37851162325373	0.0285691521967709	0.0840642647884746	0.070389327891398	2.11769504266975	0	0.333423733725192	0.0565835283663675	0.250961573533219	0.189033824390017	0.505890929729957	0	0.0840642647884746	0.250961573533219	0.356143810225275	0.20163386116965	0.22650852980868	0.16349873228288	0.070389327891398	0.263034405833794	0.0976107966264223	0.0426443374084937
"DTHD1"	0.584962500721156	1.68706068833989	1.11103131238874	0.84799690655495	0.189033824390017	0.879705766282288	0.432959407276106	0.790772037862	0.495695162624069	0.545968369105292	0.475084882948783	0.545968369105292	0.613531652917927	0.613531652917927	0.659924558402378	0.356143810225275	0.286881147788162	1	0.765534746362977	0.0976107966264223	0.111031312388744	1.29865831556452	0.367371065648529	0.526068811667588	0.367371065648529	0.53605290024021	0.432959407276106	0.485426827170242	0.31034012061215	0.443606651475615	0.545968369105292	0.475084882948783	0.286881147788162	0.27500704749987	0.367371065648529	0.454175893185802	0.565597175854225	1.81147103052984	0.55581615506164	0.22650852980868	0.464668267003444	0.704871964456353	0.495695162624069	0.389566811762726	0.263034405833794	0.22650852980868	0.400537929583729	0.124328135002202	0.6959938131099	0.622930350920177	0.176322772640463	0.137503523749935	0.263034405833794	0.0976107966264223	0.799087306074004	0.31034012061215	0.622930350920177	0.263034405833794	0.887525270741587	0.910732661902913	0.516015147003665	0.584962500721156	1	0.321928094887362	1.43295940727611	0.895302621333307	0.75702324650746	0.22650852980868	0.485426827170242	0.650764559116902	0.799087306074004	0.422233000683048	0.070389327891398	0.782408564927373	0.526068811667588	0.526068811667588	0.333423733725192	0.298658315564515	0.321928094887362	0.632268215499513	0.432959407276106	0.485426827170242	0.454175893185802	0.432959407276106	0.298658315564515	0.831877241191673	0.250961573533219	0.748461233004036	0.970853654340484	0.111031312388744	0.0840642647884746	0.150559676575381	2.87184364850932	0.53605290024021	1.38956681176273	0.495695162624069	0.516015147003665	0.669026765509631	0.7311832415722	0.505890929729957	0.495695162624069	0.495695162624069	0.782408564927373	0.584962500721156	0.604071323668861	0.704871964456353	0.879705766282288	0.070389327891398	1.09085343045111	0.250961573533219	1.22032995487956	0.526068811667588	1.55090066464752	0.189033824390017	0.669026765509631	1.13750352374994	0.485426827170242	1.08406426478847	0.298658315564515	1.60880924267552	0.871843648509318	0.863938450423971	2.07724299893246	0.903038270112912	0.070389327891398	0.604071323668861	0.687060688339892	3.4931349223055	0.189033824390017	1.82781902461732	1.4594316186373
"CH507.396I9.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GRIN3B"	0.0426443374084937	0.20163386116965	0.176322772640463	0.0426443374084937	0	0.0840642647884746	0.0840642647884746	0	0	0.0143552929770701	0.0285691521967709	0	0	0.070389327891398	0.0285691521967709	0.070389327891398	0	0	0	0	0	0.0976107966264223	0	0.0565835283663675	0.0285691521967709	0.0285691521967709	0.0143552929770701	0	0.0285691521967709	0	0.0285691521967709	0	0	0.0285691521967709	0	0.0143552929770701	0	0.0565835283663675	0.0565835283663675	0.0285691521967709	0	0.0285691521967709	0.0426443374084937	0	0.0143552929770701	0.0840642647884746	0.0285691521967709	0	0.0565835283663675	0.0285691521967709	0.0565835283663675	0	0.0976107966264223	0.0143552929770701	0	0	0.0285691521967709	0.0565835283663675	0.0565835283663675	0.0285691521967709	0.0285691521967709	0	0.0285691521967709	0.0285691521967709	0	0	0.0565835283663675	0.0285691521967709	0.0285691521967709	0	0	0	0.0426443374084937	0.0840642647884746	0	0	0	0	0	0.0285691521967709	0	0.0285691521967709	0.0565835283663675	0	0	0	0	0	0.0840642647884746	0.613531652917927	0.0565835283663675	0.238786859587116	0.238786859587116	0.0143552929770701	0.0143552929770701	0.20163386116965	0.0840642647884746	0.0565835283663675	0.070389327891398	0.111031312388744	0.0565835283663675	0	0.20163386116965	0.0143552929770701	0.124328135002202	0.344828496997441	0.0840642647884746	0.0565835283663675	0.0426443374084937	0	0.0285691521967709	0.0565835283663675	0.0565835283663675	0.0565835283663675	0.070389327891398	0.070389327891398	0.0285691521967709	0.0426443374084937	0.0426443374084937	0.16349873228288	0	0.0840642647884746	0.0840642647884746	0.0285691521967709	0	0.0426443374084937	0.0565835283663675	0.0285691521967709	0	0.070389327891398	0
"TEX26"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
