"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0098_3005_T"	"HKB0120_3000_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0064_3004_T"	"HKB0220_3003_N"	"HKB0007_3005_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0134_3006_T"	"HKB0216_3000_N"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0752_3000_T"	"HKB0719_3001_N"	"HKB0004_3000_N"	"HKB0005_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0036_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0137_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0538_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0636_3000_N"	"HKB0648_3000_N"	"HKB0651_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3002_T"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"	"HKB0008_3006_T"	"HKB0164_3006_T"	"HKB0004_3006_T"	"HKB0036_3006_T"	"HKB0065_3006_T"	"HKB0182_3006_T"	"HKB0023_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0088_3000_T"	"HKB0101_3000_T"	"HKB0143_3006_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0576_3000_T"	"HKB0665_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0737_3000_T"
"SLAMF1"	4.07809742302666	2.16671544496642	1.72683121703249	2.59693514238723	2.17951105027151	2.37573453858316	2.0496307677246	1.52105073690096	2.15055967657538	2.07382023329167	3.46466826700344	2.24792751344359	2.18903382439002	1.96347412397489	1.7311832415722	1.77820857639809	2.16349873228288	1.58014548442338	3.20945336562895	3.21723071622067	3.95791459863299	2.54843662469604	0.516015147003665	1.49569516262407	1.44890095114513	2.40599235967584	1.54101915313356	2.53106949272595	2.26903314645524	1.48026512205446	2.05658352836637	1.76128527336162	1.70929063572336	2.28095631383106	2.05658352836637	1.99276843076892	0.344828496997441	1.52606881166759	0.855989697308481	1	1.38956681176273	1.04264433740849	1.08406426478847	1.33342373372519	1.75702324650746	0.748461233004036	1.56071495447448	1.72246602447109	0.0565835283663675	1.03562390973072	1.09761079662642	1.35049724708413	0.650764559116902	0.956056652412403	0.799087306074004	1.63226821549951	0.422233000683048	0.7311832415722	0.903038270112912	1.56071495447448	0.432959407276106	0.84799690655495	0.070389327891398	0.263034405833794	0.75702324650746	0.678071905112638	0.992768430768924	1.4276061727819	0.6959938131099	0.7311832415722	0.669026765509631	0.22650852980868	0.20163386116965	1.41683974191283	1.26903314645524	0.356143810225275	0.53605290024021	0.238786859587116	0.53605290024021	1.34482849699744	1.20789285164133	1.71369581484336	1.44360665147561	1.23878685958712	1.27500704749987	0.37851162325373	1.03562390973072	1.74416109557041	1.21412480535285	1.40599235967584	0.963474123974886	1.13093086982645	0.22650852980868	0.839959587489532	1.56071495447448	0.773996325111173	0.855989697308481	0.53605290024021	0.250961573533219	0.454175893185802	0.505890929729957	0.713695814843359	1.46988597627446	1.94110631094643	0.910732661902913	0.613531652917927	0.443606651475615	1.22032995487956	1.15055967657538	1.0071955014042	1.29278174922785	1.44360665147561	0.565597175854225	0.650764559116902	0.545968369105292	1.67355642399014	0.956056652412403	0.678071905112638	0.575312330687437	1.09761079662642	1.29865831556452	0.963474123974886	0.992768430768924	0.584962500721156	1.09761079662642	0.815575428862573	1.49569516262407	1.32768736417605	1.33342373372519	1.44890095114513	0.918386234446348	0.55581615506164	0.6959938131099	0.565597175854225	1.18269229751619
"HLA.DOB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LTB"	5.90592847817314	4.62527048937469	2.40053792958373	4.59275601044103	4.45088131527337	4.10852445677817	2.79701297783614	3.52606881166759	2.61353165291793	3.19534759832222	4.55336050333533	4.59275601044103	4.61941301059794	2.22032995487956	3.99367436175058	4.93073733756289	3.57893871309339	3.57531233068744	4.45680614923047	5.42660022616993	5.45318830954823	4.27052894238072	0.871843648509318	3.21256933885081	3.114367024952	3.20163386116965	2.32192809488736	3.0036022366802	3.10936055940423	2.87184364850932	3.75167794568758	3.52356195605701	2.57046293102604	3.25096157353322	3.96716860753263	3.16832111573972	1.40053792958373	1.41683974191283	1.36737106564853	0.933572638261024	1.26903314645524	1.25701061820602	1.72683121703249	1.32192809488736	2.39231742277876	2.13750352374994	1.82781902461732	0.887525270741587	0.250961573533219	0.565597175854225	1.73984810269933	1.28688114778816	0.903038270112912	1.26303440583379	2.08746284125034	1.56559717585423	1.54596836910529	1.76128527336162	1.4276061727819	1.63691458035588	1.89530262133331	0.992768430768924	1.24488705912353	1.97085365434048	1.41142624572647	0.879705766282288	0.823749360308273	1.80322703643493	1.41683974191283	1.31034012061215	0.75702324650746	0.823749360308273	1.32192809488736	1.31034012061215	1.61823865559545	1.19534759832222	1.81557542886257	1.50080205305716	1.85996954822103	2.9297909977186	2.114367024952	1.85996954822103	1.89141918684608	1.18269229751619	2.03913839390696	1	1.10433665981474	2.74846123300404	1.89530262133331	2.06004738366994	1.68706068833989	1.84799690655495	1.6915341649192	1.60407132366886	1.65992455840238	1.60407132366886	2.10768786931437	1.98913900736823	1.16349873228288	1.28688114778816	1.33913738491959	0.722466024471091	2.24488705912353	1.63226821549951	1.53605290024021	0.970853654340484	1.81966818349646	2.21723071622067	0.963474123974886	1.75274859140713	2.69821847822441	0.622930350920177	1.25096157353322	2.01435529297707	0.516015147003665	0.992768430768924	2.68257329734758	2.74200621086674	1.85598969730848	2.10768786931437	4.47443604325227	2.70929063572336	2.02502879449152	0.799087306074004	1.64154602908752	3.02856915219677	2.93168305705981	2.67581593117227	1.71808758396052	1.78659636189081	1.76977173924945	1.18903382439002	1.0703893278914	1.43295940727611	3.15380533607904
"WDFY4"	5.5512083739461	3.30888505741176	2.93357263826102	4.12018602753186	3.6564963705535	3.50842865253186	2.92409988564074	3.67016051412663	3.16671544496642	3.15704371014558	4.41818994794577	3.40871186102943	3.08406426478847	2.35895882583233	2.72027846523333	3.75381844317354	3.45549162062847	2.73768676140986	3.07553263116736	4.60703434594862	5.25663329505992	3.65306001710456	3.46727948045998	3.24792751344359	2.84599177066457	3.26453643099903	2.13422093976063	2.84398384404833	2.4541758931858	2.68257329734758	2.73552217729654	3.05484847699562	3.32768736417605	3.08236196955747	3.01792190799726	3.41953889151378	1.58496250072116	1.98550043030488	1.99638874644762	2.114367024952	2.53106949272595	2.36737106564853	2.31034012061215	2.09085343045111	2.88947354253111	2.78450398292957	2.41953889151378	2.67129337248158	1.06350294230616	2.95791459863299	1.87184364850932	2.03913839390696	2.25701061820602	2.72900887033786	2.13093086982645	2.08746284125034	2.01077983875324	3.63459326844576	2.16992500144231	1.94860084749336	2.48800077083407	2.02856915219677	1.33913738491959	1.63226821549951	2.39780296186249	2.26903314645524	2.33628338786443	2.10097764772482	2.02502879449152	1.79493566280354	2.08406426478847	1.4905701304462	2.56071495447448	2.26603689399532	1.94485844580754	1.66902676550963	2.11769504266975	1.21412480535285	2.26303440583379	2.58496250072116	2.08406426478847	1.89141918684608	1.8073549220576	2.34766565630097	2.47767732756531	2.59931779369823	2.20789285164133	2.70487196445635	2.40871186102943	2.74846123300404	2.42492208821069	2.52606881166759	2.48026512205446	1.96716860753263	1.95233356636969	2.11769504266975	2.61353165291793	3.09254574154357	1.78659636189081	2.46466826700344	2.18586654531133	1.89141918684608	2.83794324189103	1.72246602447109	1.49569516262407	2.23266075679027	1.66448284036468	2.27500704749987	2.08406426478847	2.15380533607904	2.37295209791183	1.95233356636969	2.27798474729977	2.74846123300404	2.04614178164472	1.7311832415722	2.95791459863299	2.63459326844576	1.70043971814109	1.63226821549951	2.54349588342577	2.41683974191283	2.15055967657538	2.28392177230762	2.68481873755322	2.78868571061353	2.64616265715789	2.68706068833989	2.42223300068305	2.48542682717024	2.53605290024021	1.790772037862	2.18269229751619	2.24184018356467	2.99276843076892
"ITK"	5.37086174008529	2.97085365434048	2.59454854955035	3.64385618977472	2.4931349223055	3.82068956055921	2.15380533607904	2.56559717585422	3.14730669878029	2.47248777146274	3.86294724802092	3.22342254993494	2.79493566280354	2.75702324650746	2.4276061727819	3.33913738491959	3.31179371775365	2.38404980679516	3.22958792274065	4.09592441999854	5.96393645214449	3.3743439890385	1.04264433740849	1.51601514700366	1.78659636189081	2.24488705912353	1.86393845042397	2.71369581484336	2.61823865559545	2.3533232911629	2.62527048937469	2.72465027173297	1.90303827011291	2.96347412397489	2.29865831556452	3.31614574229336	0.925999418556223	1.65535182861255	1.89917563048051	1.1243281350022	1.53605290024021	1.43829285157915	1.16349873228288	1.76977173924945	2.41413553298445	1.79493566280354	1.43829285157915	1.61823865559545	0.389566811762726	1.15055967657538	1.86789646399265	1.64616265715789	0.895302621333307	1.65992455840238	1.64616265715789	1.38404980679516	1.1243281350022	1.52606881166759	1.37295209791183	1.58976348698498	1.23878685958712	1.04264433740849	1.01435529297707	1.15704371014558	1.47508488294878	1.05658352836637	1.91073266190291	2.0496307677246	1.01435529297707	1.17632277264046	1.31614574229336	0.839959587489532	1.05658352836637	1.09761079662642	1.17632277264046	1.02856915219677	0.970853654340484	0.575312330687437	1.04264433740849	2.41413553298445	1.65992455840238	1.30451104180995	1.59931779369823	2.03913839390696	1.76128527336162	1.1243281350022	1.70043971814109	3.33485426933163	1.26903314645524	2.09085343045111	1.81966818349646	1.48026512205446	0.823749360308273	0.948600847493356	1.87970576628229	1.27500704749987	1.50589092972996	1.70929063572336	0.713695814843359	1.46466826700344	1.49569516262407	1.78659636189081	1.87184364850932	2.19219416528334	1.41683974191283	1.02147972741045	0.839959587489532	1.99276843076892	1.71808758396052	1.99276843076892	1.60880924267552	1.41142624572647	1.46466826700344	1.81557542886257	0.84799690655495	2.05658352836637	1.86789646399265	0.871843648509318	0.622930350920177	1.0703893278914	1.61353165291793	1.40599235967584	1.31614574229336	0.863938450423971	1.67355642399014	1.56071495447448	1.64616265715789	1.95977015521147	1.96347412397489	1.18269229751619	1.10433665981474	0.545968369105292	1.89141918684608	1.0071955014042	1.82781902461732
"CLECL1"	3.71369581484336	2.22650852980868	1.13093086982645	2.51601514700366	1.81557542886257	1.54596836910529	1.93734439215023	1.61823865559545	1.84799690655495	2.09423606984577	2.02856915219677	1.81966818349646	1.88362081628567	0.925999418556223	1.30451104180995	1.37851162325373	2.13750352374994	1.21412480535285	2.59931779369823	2.91838623444635	3.37016428054021	2.31903981556254	2.17632277264046	0.687060688339892	0.713695814843359	1.18269229751619	0.903038270112912	1.06350294230616	1.21412480535285	0.75702324650746	1.60880924267552	1.15704371014558	2.4032677223393	1.0496307677246	1.36737106564853	2.19849415363908	0.53605290024021	1.25701061820602	0.831877241191673	0.831877241191673	0.713695814843359	0.782408564927373	1.18903382439002	1.80322703643493	1.42223300068305	1.01435529297707	1.05658352836637	1.1243281350022	0.918386234446348	0.807354922057604	0.356143810225275	1.33342373372519	0.176322772640463	0.443606651475615	0.604071323668861	1.52606881166759	0.0976107966264223	0.722466024471091	0.992768430768924	0.807354922057604	0.250961573533219	0.659924558402378	0	0	0.863938450423971	0.16349873228288	0.7311832415722	0.669026765509631	0.782408564927373	0.669026765509631	0.545968369105292	0.495695162624069	0.22650852980868	0.713695814843359	0.505890929729957	0	0.238786859587116	0	0.37851162325373	0.918386234446348	0.903038270112912	1.23878685958712	1.37851162325373	0.659924558402378	0.895302621333307	0.238786859587116	0.713695814843359	0.941106310946431	1.16992500144231	0.782408564927373	1.22032995487956	0.594548549550354	0.604071323668861	0.505890929729957	1.42223300068305	1.21412480535285	0.27500704749987	0.176322772640463	0.650764559116902	0.807354922057604	0.659924558402378	1.21412480535285	2.14730669878029	1.18269229751619	0.422233000683048	1.4905701304462	0.27500704749987	1.70487196445635	0.286881147788162	1.43295940727611	1.99276843076892	0.933572638261024	1.38404980679516	0.485426827170242	0.722466024471091	1.26903314645524	1.83592407425437	1.65992455840238	0.722466024471091	0.84799690655495	0.903038270112912	0.871843648509318	1.23878685958712	1.23878685958712	1.18903382439002	1.23878685958712	1.60880924267552	0.963474123974886	1.43829285157915	0	0.124328135002202	1.02147972741045	1	1.26903314645524	1.37295209791183
"ADORA2A"	3.611172380044	3.75702324650746	1.68257329734758	3.91073266190291	3.9136075118231	2.06695024392463	2.59931779369823	3.1554254317472	1.81147103052984	2.44360665147561	3.43829285157915	2.44360665147561	3.88264304936184	2.14404636961671	2.23572705983806	3.5385381636298	2.26002565596146	5.08788710093312	2.65306001710456	3.16992500144231	3.3743439890385	2.37573453858316	0.918386234446348	1.68706068833989	2.03913839390696	3.0232553523003	2.11103131238874	2.37851162325373	2.4905701304462	1.72246602447109	2.06350294230616	1.91456452349394	1.58014548442338	1.78659636189081	4.00090140274153	1.74416109557041	1.0703893278914	1.66902676550963	1.15704371014558	1.28095631383106	1.50080205305716	1.4276061727819	1.44360665147561	1.29865831556452	1.89530262133331	1.57531233068744	1.40053792958373	1.31034012061215	0.739848102699327	0.823749360308273	1.35049724708413	1.41683974191283	1.82781902461732	1.13750352374994	1.15704371014558	1.66902676550963	1.0703893278914	1.48542682717024	1.26903314645524	1.22032995487956	1.48542682717024	1.68706068833989	1.29278174922785	1.24488705912353	1.05658352836637	1.32192809488736	1.4594316186373	1.20163386116965	1.60407132366886	1.25096157353322	1.41683974191283	0.956056652412403	1.31034012061215	1.35614381022528	1.52606881166759	1.86789646399265	1.23878685958712	0.895302621333307	1.4905701304462	2.13422093976063	1.20163386116965	1.6507645591169	1.66448284036468	1.11103131238874	1.66448284036468	1.48026512205446	1.16349873228288	1.11103131238874	1.54101915313356	1.26903314645524	1.63226821549951	1.6507645591169	1.11103131238874	1.11103131238874	1.20789285164133	0.948600847493356	1.14404636961671	1.97452931248388	0.807354922057604	1.26903314645524	1.41683974191283	1.20789285164133	1.24488705912353	1.8073549220576	0.992768430768924	1.08406426478847	1.02856915219677	1.24488705912353	1.43829285157915	1.75702324650746	1.33342373372519	1.46466826700344	0.956056652412403	1.55581615506164	1.15055967657538	1.46988597627446	2.16027483140859	1.61353165291793	1.31034012061215	2.39231742277876	2.84599177066457	1.4594316186373	1.70043971814109	4.62993940943954	1.34482849699744	2.20163386116965	4.24868662687383	1.74846123300404	3.49697358099828	5.88533031547617	2.0496307677246	1.70929063572336	2.60169651648096	4.00809242094872	1.95977015521147
"SP140"	4.68313498512609	2.65306001710456	1.7311832415722	3.44228003525258	3.42088657497553	2.49825086752783	2.21412480535285	1.52606881166759	2.28688114778816	2.0496307677246	3.94673086014031	2.57288966842058	3.12763327972587	2.28983446517751	2.22342254993494	2.44890095114513	2.83794324189103	2.21723071622067	3.98641093525204	3.56803210477128	4.30085587126876	3.33913738491959	1.43295940727611	1.22032995487956	2.21723071622067	2.49825086752783	2.64154602908752	2.68481873755322	2.6667565918848	1.96347412397489	2.13750352374994	2.22958792274065	2.55090066464752	3.36457243229586	2.59693514238723	2.78659636189081	0.839959587489532	1.15704371014558	1.22032995487956	1.18269229751619	1.4905701304462	1.24488705912353	1.32768736417605	1.33913738491959	1.99276843076892	1.32192809488736	1.0703893278914	1.20789285164133	0.214124805352847	1	1.38404980679516	1.25701061820602	0.367371065648529	1.20163386116965	1.13750352374994	1.05658352836637	1	1.29278174922785	0.831877241191673	1.29865831556452	0.748461233004036	1.01435529297707	1.09761079662642	0.650764559116902	0.871843648509318	1.0496307677246	0.992768430768924	1.17632277264046	0.7311832415722	0.910732661902913	1.28688114778816	0.641546029087524	0.584962500721156	1.02856915219677	1.47508488294878	0.773996325111173	0.903038270112912	0.613531652917927	0.887525270741587	1.84398384404833	1.34482849699744	1.66902676550963	1.50080205305716	1.50080205305716	1.52606881166759	1.01435529297707	1.35614381022528	1.96716860753263	1.11103131238874	1.72246602447109	1.67807190511264	1.79493566280354	0.687060688339892	0.985500430304885	1.790772037862	1.32192809488736	1.41142624572647	1.09761079662642	0.948600847493356	0.985500430304885	1.05658352836637	1.16349873228288	1.53106949272595	1.86393845042397	1.40599235967584	0.910732661902913	0.75702324650746	1.36176835941915	1.18269229751619	1.23266075679027	1.61353165291793	1.32768736417605	1.20163386116965	1.52105073690096	0.422233000683048	1.49569516262407	1.95977015521147	1.33913738491959	1.0496307677246	1.66902676550963	1.71808758396052	2.16992500144231	1.58976348698498	1.78240856492737	1.30451104180995	1.82781902461732	1.40053792958373	1.92599941855622	1.50589092972996	1.35049724708413	2.16671544496642	0.722466024471091	1.76553474636298	1.26303440583379	2.32192809488736
"SIT1"	4.38266725274504	3.04439411935845	1.57531233068744	3.08065766334523	2.79701297783614	2.41953889151378	2.08065766334523	1.82374936030827	2.18586654531133	2.1243281350022	3.32192809488736	2.34482849699744	2.799087306074	1.80322703643493	1.84398384404833	3.0232553523003	2.9126498648972	2.74631276642546	3.22342254993494	3.82171021503467	4.26228280642066	3.27202318906105	0.75702324650746	1.18903382439002	1.97085365434048	2.33628338786443	1.55090066464752	2.33628338786443	2.92029330021101	2.12763327972587	2.40053792958373	1.97452931248388	2.07724299893246	2.94860084749336	2.71808758396052	2.24184018356467	0.918386234446348	1.9560566524124	1.17632277264046	0.748461233004036	1.53605290024021	0.970853654340484	1.54101915313356	1.14404636961671	1.59931779369823	1.48026512205446	1.62760683812965	1.52105073690096	1.14404636961671	1.13750352374994	1.30451104180995	0.807354922057604	1.26303440583379	1.03562390973072	1.70043971814109	1.11769504266975	1.01435529297707	1.46466826700344	1.15704371014558	1.6959938131099	1.02147972741045	0.970853654340484	0.545968369105292	1.23266075679027	1.16992500144231	1.13093086982645	0.659924558402378	1.22650852980868	1.09085343045111	0.855989697308481	0.910732661902913	1	0.422233000683048	1.05658352836637	1.07724299893246	1.20789285164133	0.659924558402378	0.879705766282288	0.790772037862	1.82781902461732	1.6959938131099	1.38404980679516	1.46988597627446	0.855989697308481	1.52606881166759	0.839959587489532	1.0071955014042	1.41683974191283	1.65992455840238	1.51096191927738	1.03562390973072	1.24488705912353	0.75702324650746	0.584962500721156	1.94110631094643	1.43295940727611	1.80322703643493	0.855989697308481	0.839959587489532	1.02147972741045	1.13750352374994	1.66902676550963	1.70043971814109	2.63923216324928	1.49569516262407	0.956056652412403	0.799087306074004	1.87184364850932	1.39506279951758	1.9297909977186	1.6959938131099	0.704871964456353	1.01435529297707	0.84799690655495	0.773996325111173	1.28095631383106	1.04264433740849	0.790772037862	0.815575428862573	1.02856915219677	1.82374936030827	0.933572638261024	1.09085343045111	1.04264433740849	1.34482849699744	1.60407132366886	1.71808758396052	1.90689059560852	0.910732661902913	0.839959587489532	2.41413553298445	0.238786859587116	1	0.863938450423971	2.04264433740849
"ICOS"	4.36806987653208	2.79493566280354	1.15055967657538	2.77820857639809	2.97452931248388	1.83995958748953	1.88752527074159	2.01435529297707	1.78240856492737	1.55581615506164	3.74308405554959	2.09085343045111	2.79493566280354	1.70929063572336	2.01077983875324	2.62760683812965	3.55581615506164	2.33913738491959	4.17232749165762	3.54720302475693	4.02236781302845	3.17951105027151	0.622930350920177	0.545968369105292	2.19849415363908	2.37016428054021	2.76553474636298	1.89141918684608	3.02147972741045	1.92599941855622	2.86393845042397	2.22958792274065	2.10768786931437	3.55949181320504	3.14567745519564	2.07724299893246	0.584962500721156	0.933572638261024	1.36176835941915	0.713695814843359	0.799087306074004	0.321928094887362	0.704871964456353	0.263034405833794	1.03562390973072	0.722466024471091	0.84799690655495	0.344828496997441	0.0426443374084937	0.422233000683048	0.782408564927373	0.485426827170242	0.214124805352847	0.321928094887362	0.432959407276106	0.422233000683048	0.263034405833794	0.613531652917927	0.286881147788162	0.584962500721156	0.773996325111173	0.516015147003665	0.344828496997441	0.37851162325373	0.16349873228288	0.389566811762726	0.622930350920177	1.09761079662642	0.659924558402378	0.356143810225275	0.505890929729957	0.111031312388744	0.27500704749987	0.632268215499513	0.815575428862573	0.16349873228288	0.286881147788162	0.124328135002202	0.739848102699327	1.61823865559545	0.632268215499513	0.516015147003665	0.75702324650746	0.807354922057604	0.584962500721156	0.250961573533219	1.18903382439002	0.807354922057604	1.0703893278914	0.584962500721156	0.773996325111173	0.871843648509318	0.687060688339892	1.0496307677246	1.29278174922785	0.495695162624069	0.659924558402378	0.16349873228288	0.367371065648529	0.641546029087524	0.485426827170242	1.37295209791183	1.0071955014042	1.04264433740849	0.903038270112912	0.464668267003444	0.678071905112638	1.6915341649192	1.08406426478847	1.57531233068744	1.77820857639809	0.298658315564515	0.150559676575381	0.53605290024021	0.27500704749987	0.632268215499513	1.6507645591169	0.978195629681652	1.33913738491959	1.76128527336162	1.4905701304462	0.584962500721156	1.0071955014042	0.941106310946431	1.07724299893246	1.73984810269933	1.26903314645524	1.98550043030488	0.613531652917927	2.05311133645956	1.26303440583379	0.53605290024021	1.62293035092018	1.20789285164133	1.25701061820602
