"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"HKB0008_3006_T"	"HKB0008_3006_T"	"CE1"	0.00284080789913949	0.00512677050547829	TRUE	"CE1"
"HKB0023_3006_T"	"HKB0023_3006_T"	"CE1"	0.000245025054160745	0.000589591536574291	TRUE	"CE1"
"HKB0033_3006_T"	"HKB0033_3006_T"	"CE1"	0.00032288167584328	0.000761078235916304	TRUE	"CE1"
"HKB0038_3006_T"	"HKB0038_3006_T"	"CE1"	4.15418396369273e-05	0.000133280068835142	TRUE	"CE1"
"HKB0049_3006_T"	"HKB0049_3006_T"	"CE1"	2.6851977407263e-05	0.000101457524934893	TRUE	"CE1"
"HKB0088_3000_T"	"HKB0088_3000_T"	"CE1"	0.016029172738439	0.0228435730084137	TRUE	"CE1"
"HKB0098_3005_T"	"HKB0098_3005_T"	"CE1"	0.0255562274443779	0.0333530425969	TRUE	"CE1"
"HKB0101_3000_T"	"HKB0101_3000_T"	"CE1"	0.00032796505652113	0.000765251798549303	TRUE	"CE1"
"HKB0120_3000_T"	"HKB0120_3000_T"	"CE1"	0.0102084526291652	0.0158556300611086	TRUE	"CE1"
"HKB0143_3006_T"	"HKB0143_3006_T"	"CE1"	0.00391599153236957	0.00675070182072665	TRUE	"CE1"
"HKB0164_3006_T"	"HKB0164_3006_T"	"CE1"	0.0249556605894767	0.0331307907825812	TRUE	"CE1"
"HKB0168_3006_T"	"HKB0168_3006_T"	"CE1"	0.00258440903243612	0.00473808322613288	TRUE	"CE1"
"HKB0191_3001_T"	"HKB0191_3001_T"	"CE1"	0.000515226245603478	0.00111231086667667	TRUE	"CE1"
"HKB0207_3001_T"	"HKB0207_3001_T"	"CE1"	0.0489501418989402	0.0568215215007799	TRUE	"CE1"
"HKB0208_3006_T"	"HKB0208_3006_T"	"CE1"	2.25987161743143e-05	9.41672087257715e-05	TRUE	"CE1"
"HKB0209_3004_T"	"HKB0209_3004_T"	"CE1"	9.92763078266273e-07	1.27533230606607e-05	TRUE	"CE1"
"HKB0216_3000_N"	"HKB0216_3000_N"	"CE1"	0.0169354065437738	0.0238541397049497	TRUE	"CE1"
"HKB0221_3001_T"	"HKB0221_3001_T"	"CE1"	0.00150895619198212	0.00290474066956559	TRUE	"CE1"
"HKB0564_3000_T"	"HKB0564_3000_T"	"CE1"	0.00365333391107339	0.00634526416133799	TRUE	"CE1"
"HKB0576_3000_T"	"HKB0576_3000_T"	"CE1"	0.00107725518884887	0.00218285919845691	TRUE	"CE1"
"HKB0579_3000_T"	"HKB0579_3000_T"	"CE1"	0.00885765454883701	0.0139191714338867	TRUE	"CE1"
"HKB0605_3000_T"	"HKB0605_3000_T"	"CE1"	0.0762441303229257	0.0815388615953511	TRUE	"CE1"
"HKB0665_3000_T"	"HKB0665_3000_T"	"CE1"	2.59734754758323e-06	2.06892166721285e-05	TRUE	"CE1"
"HKB0692_3000_T"	"HKB0692_3000_T"	"CE1"	0.0032408298680043	0.00579355893495307	TRUE	"CE1"
"HKB0698_3000_T"	"HKB0698_3000_T"	"CE1"	0.00141354833166955	0.00274394676147619	TRUE	"CE1"
"HKB0701_3000_T"	"HKB0701_3000_T"	"CE1"	3.31269912841269e-05	0.000115944469494444	TRUE	"CE1"
"HKB0737_3000_T"	"HKB0737_3000_T"	"CE1"	9.37362743855033e-05	0.000257774754560134	TRUE	"CE1"
"HKB0004_3006_T"	"HKB0004_3006_T"	"CE2"	0.0122880184497439	0.0185524984437309	TRUE	"CE2"
"HKB0005_3001_T"	"HKB0005_3001_T"	"CE2"	0.0182859425585798	0.025293728928335	TRUE	"CE2"
"HKB0019_3006_T"	"HKB0019_3006_T"	"CE2"	0.037217253218375	0.0452483447023401	TRUE	"CE2"
"HKB0036_3006_T"	"HKB0036_3006_T"	"CE2"	0.0200236110340789	0.0275324651718585	TRUE	"CE2"
"HKB0056_3002_T"	"HKB0056_3002_T"	"CE2"	0.115412326483712	0.120091204584403	TRUE	"CE2"
"HKB0065_3006_T"	"HKB0065_3006_T"	"CE2"	0.0237669172242189	0.0319195225511311	TRUE	"CE2"
"HKB0084_3000_T"	"HKB0084_3000_T"	"CE2"	0.0864606014819099	0.0916165089097302	TRUE	"CE2"
"HKB0125_3006_T"	"HKB0125_3006_T"	"CE2"	0.0440976054319572	0.0522387018193955	TRUE	"CE2"
"HKB0134_3006_T"	"HKB0134_3006_T"	"CE2"	0.0623772567050879	0.0692747418215159	TRUE	"CE2"
"HKB0157_3006_T"	"HKB0157_3006_T"	"CE2"	0.0585518514669358	0.0663013612199126	TRUE	"CE2"
"HKB0182_3006_T"	"HKB0182_3006_T"	"CE2"	0.023401671271845	0.0317987415517424	TRUE	"CE2"
