"HKB0040_3002_T"	"HKB0054_3000_T"	"HKB0074_3000_T"	"HKB0120_3000_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0008_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0038_3000_N"	"HKB0064_3004_T"	"HKB0067_3006_T"	"HKB0089_3001_T"	"HKB0102_3006_T"	"HKB0143_3006_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0007_3005_T"	"HKB0044_3006_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0091_3001_T"	"HKB0098_3005_T"	"HKB0137_3002_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0216_3000_N"	"HKB0674_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0752_3000_T"	"HKB0220_3003_N"	"HKB0576_3000_T"	"HKB0648_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0040_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0143_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0167_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0210_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0636_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0023_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0086_3006_T"	"HKB0101_3000_T"	"HKB0158_3006_T"	"HKB0161_3001_T"	"HKB0191_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0665_3000_T"	"HKB0701_3000_T"	"HKB0737_3000_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0084_3000_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0210_3006_T"	"HKB0211_3002_T"	"HKB0644_3000_T"	"HKB0659_3000_T"	"HKB0677_3000_T"	"HKB0159_3006_T"	"HKB0179_3006_T"	"HKB0182_3006_T"	"HKB0196_3006_T"	"HKB0558_3000_T"	"HKB0599_3000_T"	"HKB0638_3000_T"	"HKB0748_3000_T"	"HKB0079_3000_N"	"HKB0088_3000_T"	"HKB0164_3000_N"
"IL16"	5.61412086878925	4.68088692071969	4.23725777090037	3.92124588858559	4.20320115631661	3.84599177066457	4.5552026338783	3.97911075501579	4.46727948045998	4.21878116778407	3.92789645372882	5.4643415327611	4.36457243229586	3.7311832415722	2.60407132366886	2.98550043030489	3.66220549965362	3.4276061727819	3.54596836910529	3.51601514700366	2.75274859140713	3.38404980679516	3.50589092972996	3.22032995487956	3.75060650483559	3.40053792958373	4.03826057517535	3.95419631038688	3.78972925137577	2.99095486039699	3.92029330021101	3.16671544496642	5.07210580048042	4.14404636961671	4.01346225980656	5.12308675098106	3.38128337250378	3.611172380044	3.55949181320504	4.04614178164472	3.13422093976063	3.76447355099267	3.62760683812965	3.85897561429202	4.19770815795585	3.97361127551947	5.01077983875324	3.87578006306849	4.57349571549561	3.93357263826102	4.06522762277562	3.64500988439109	3.77505054148317	3.88068552526112	4.1407786557828	4.23189316164533	3.74308405554959	4.21955576916691	5.14159627838382	4.20398416585599	4.57773093149008	3.4594316186373	3.74092756031863	4.33556900555675	4.48992821940518	4.12018602753186	3.49825086752783	4.00090140274153	3.28392177230762	3.42223300068305	4.21101219348551	3.83491342970104	3.77082904603249	4.16591193893569	4.85049941375812	3.99638874644762	4.03033607837096	4.00898878322726	3.98913900736823	3.9560566524124	3.99457972421575	3.73335434061383	4.04439411935845	4.26903314645524	4.82017896241519	3.74308405554959	4.54905302933729	4.04701481951759	3.88068552526112	4.07296327155522	4.07895134139482	4.06091204958787	4.26453643099903	4.98093926608551	3.8569856897822	4.28095631383106	4.06091204958787	3.31034012061215	3.32192809488736	3.60288440871842	3.70818723602071	3.5197934862411	3.61353165291793	3.32048467801769	3.78135971352466	3.44095219802964	3.04439411935845	3.96716860753263	3.26453643099903	3.29865831556452	3.78450398292957	3.4995270242151	2.78240856492737	3.74953426766926	3.71259578044703	4.02147972741045	3.56559717585422	3.51222688651396	3.87578006306849	3.54843662469604	3.25398926623079	3.33913738491959	2.01435529297707	1.56071495447448	2.20789285164133	2.51601514700366	2.77820857639809	2.89530262133331	3.46858331700683	1.55090066464752	3.40871186102943	2.89530262133331	2.05658352836637	2.44890095114513	1.44360665147561	4.22804904788446	2.41413553298445	2.47508488294878	2.88557436437143	3.26153081524341	2.54349588342577	2.68481873755322	2.73552217729654	2.95791459863299	2.64846544302731	3.62175885670973	3.77082904603249	3.20789285164133
"GAPT"	3.85399564717639	3.07210580048042	2.40871186102943	2.22032995487956	2.44625622988956	2.43829285157915	2.11769504266975	2.91073266190291	2.12101540096137	2.52857131887076	2.97636363573276	2.78659636189081	1.90689059560852	2.86393845042397	2.43295940727611	1.50589092972996	1.33342373372519	1.66902676550963	3.43295940727611	1.57531233068744	2.17951105027151	1.60407132366886	1.71808758396052	2.24184018356467	1.38956681176273	0.713695814843359	2.49825086752783	0.903038270112912	0.765534746362977	1.11103131238874	1.6915341649192	0.604071323668861	1.83592407425437	2.41683974191283	1.26303440583379	2.60880924267552	1.63691458035588	1.790772037862	1.43829285157915	1.58014548442338	2.25701061820602	1.70929063572336	1.0703893278914	1.03562390973072	0.963474123974886	1.56071495447448	1.39506279951758	0.910732661902913	1.21412480535285	0.238786859587116	1.04264433740849	1.47508488294878	1.54101915313356	0.37851162325373	1.17632277264046	0.992768430768924	1.25701061820602	0.815575428862573	1.71808758396052	1.02856915219677	0.594548549550354	0.7311832415722	0.454175893185802	0.748461233004036	0.910732661902913	0.992768430768924	1.40053792958373	0.604071323668861	0.941106310946431	0.422233000683048	0.516015147003665	1.54596836910529	1.35049724708413	0.432959407276106	1.02147972741045	1.02147972741045	1.20789285164133	1.11103131238874	1.60880924267552	0.910732661902913	1.32192809488736	1.11103131238874	0.992768430768924	1.15055967657538	0.879705766282288	1.13750352374994	1.20163386116965	1.19534759832222	1.28095631383106	0.782408564927373	0.910732661902913	1.25701061820602	1.38956681176273	0.992768430768924	0.37851162325373	1.13093086982645	1.38404980679516	2	1.58014548442338	1	0.659924558402378	1.81557542886257	0.887525270741587	1.44360665147561	1.04264433740849	1.0496307677246	0.594548549550354	1.48542682717024	0.765534746362977	1.67807190511264	1.4541758931858	1.60880924267552	2.1243281350022	1.93357263826102	1.94110631094643	1.72683121703249	2.58255600301406	2.16027483140859	1.55090066464752	1.29865831556452	1.68706068833989	1.48026512205446	0.565597175854225	0.6959938131099	0.594548549550354	0.855989697308481	0.613531652917927	0.739848102699327	0.584962500721156	0.20163386116965	0.910732661902913	0.773996325111173	0.432959407276106	1.52105073690096	0.389566811762726	2.62058641045188	1.01435529297707	1.91838623444635	1.799087306074	1.34482849699744	1.23266075679027	2.0071955014042	1.84799690655495	1.4276061727819	1.38404980679516	0.948600847493356	2.05311133645956	1.25096157353322
"CLECL1"	3.71369581484336	2.51601514700366	1.54596836910529	1.61823865559545	1.84799690655495	2.09423606984577	1.81966818349646	0.925999418556223	1.37851162325373	2.13750352374994	1.21412480535285	3.37016428054021	2.31903981556254	1.83592407425437	2.83592407425437	1.29865831556452	1.80322703643493	2.17632277264046	1.53605290024021	1.17632277264046	1.40599235967584	0.963474123974886	1.6507645591169	1.65992455840238	0.713695814843359	1.18269229751619	1.81557542886257	1.06350294230616	1.21412480535285	1.60880924267552	1.93734439215023	0.918386234446348	2.02856915219677	1.88362081628567	2.4032677223393	2.91838623444635	1.0496307677246	1.36737106564853	2.19849415363908	0.687060688339892	0.124328135002202	2.14730669878029	0.831877241191673	0.713695814843359	0.782408564927373	1.42223300068305	1.01435529297707	1.05658352836637	1.1243281350022	0.918386234446348	0.807354922057604	0.356143810225275	1.33342373372519	0.176322772640463	0.443606651475615	0.604071323668861	1.52606881166759	0.0976107966264223	0.722466024471091	0.992768430768924	0.250961573533219	0.659924558402378	0	0	0.863938450423971	0.16349873228288	0.7311832415722	0.782408564927373	0.545968369105292	0.495695162624069	0.22650852980868	0.713695814843359	0.505890929729957	0	0.238786859587116	0	0.37851162325373	0.918386234446348	0.903038270112912	1.23878685958712	0.659924558402378	0.895302621333307	0.238786859587116	0.713695814843359	0.941106310946431	1.16992500144231	0.782408564927373	1.22032995487956	0.594548549550354	0.604071323668861	0.505890929729957	1.21412480535285	0.27500704749987	0.176322772640463	0.650764559116902	0.807354922057604	0.659924558402378	1.21412480535285	0.422233000683048	1.4905701304462	0.27500704749987	1.70487196445635	0.286881147788162	1.43295940727611	0.53605290024021	0.933572638261024	1.38404980679516	0.485426827170242	0.722466024471091	1.23878685958712	1.23878685958712	1.18903382439002	1.40599235967584	1.60880924267552	1.16349873228288	0.613531652917927	1.55581615506164	1.43829285157915	0	1.02147972741045	1.26903314645524	1.37295209791183	0.722466024471091	0.31034012061215	0.765534746362977	0.84799690655495	0.903038270112912	0.903038270112912	0.75702324650746	0.411426245726465	1.15704371014558	0.815575428862573	0.422233000683048	1.13750352374994	0.887525270741587	2.59931779369823	0.53605290024021	0.659924558402378	0.933572638261024	0.871843648509318	0.432959407276106	0.545968369105292	1.4541758931858	0.495695162624069	0.344828496997441	0.400537929583729	1.23878685958712	0.622930350920177
"SASH3"	6.04264433740849	4.67016051412663	3.80426011563474	4.0574502721839	3.4369613378336	3.84699468696557	4.48220292629596	3.78450398292957	4.53294028837287	4.44228003525258	4.17791779219584	5.63284983011771	4.82273014794452	3.93545974780529	4.00450139223494	3.41413553298445	3.20320115631661	4.0071955014042	4.03650333373899	3.84799690655495	3.27649666564036	3.99095486039699	3.81044310384517	3.58135124716878	3.8094144442359	4.17312743348066	4.64270157183323	4.1101961777542	4.21179097625254	3.82883464946806	4.00450139223494	3.65992455840238	5.31759350462347	4.43095427138573	4.46597446450407	5.56559717585422	4.61941301059794	4.39574832817903	4.45220004940622	4.30888505741176	4.20633064787105	3.71149490665009	2.85399564717639	3.04264433740849	3.04264433740849	3.20476675065461	3.68594014844598	3.16188768237689	3.30597052098439	1.91838623444635	3.42088657497553	2.97452931248388	2.83794324189103	2.53356334821451	3.25701061820602	2.93734439215023	2.99457972421575	2.81762325751143	3.95884267524324	2.99638874644762	2.51349074558812	2.66902676550963	2.38128337250378	2.5033487351675	2.54101915313356	2.86393845042397	3.05137210172103	2.73552217729654	2.72683121703249	2.3533232911629	3.17791779219584	3.06177619758669	2.82781902461732	2.03562390973072	2.6915341649192	2.17951105027151	3.20320115631661	3.114367024952	2.78450398292957	2.81762325751143	2.81966818349646	3.45680614923047	3.15380533607904	2.77610398807316	3.0071955014042	3.16027483140859	3.96532254836725	2.90496571868403	3.34198574722862	2.95791459863299	2.85399564717639	3.08236196955747	3.30742852519225	3.31759350462347	2.37573453858316	3.34482849699744	3.12763327972587	3.3547342399706	2.57773093149008	3.1906148602095	2.41413553298445	3.63343121035563	3.08236196955747	3.45549162062847	2.43562859405209	2.68032435684402	2.63226821549951	3.32192809488736	2.5033487351675	3.07895134139482	3.26753579806873	3.56437816856506	3.29278174922785	3.36737106564853	3.57167680997093	3.21412480535285	3.88752527074159	3.02856915219677	3.16188768237689	2.35895882583233	3.35755200461808	3.87970576628229	2.6667565918848	2.51601514700366	3.03386345186628	2.94860084749336	3.70043971814109	3.58616424593091	3.48026512205446	1.70929063572336	3.81147103052984	2.72027846523333	2.26002565596146	2.4905701304462	2.03210084316702	4.83491342970104	3.01256867350306	2.7311832415722	2.83794324189103	2.86393845042397	2.78031009904338	2.75060650483559	3.24488705912353	2.94673086014031	3.20945336562895	2.96532254836725	3.58856473740135	2.877744249949
"ARHGAP25"	5.50398470389761	4.29278174922785	3.90014226035982	3.67694435910691	3.45811948117451	3.31759350462347	4.29425313644451	3.8499992594661	4.00898878322726	3.79389588254888	3.58135124716878	5.24640808724638	4.27947129564447	3.23572705983806	3.19849415363908	2.88362081628567	3.42088657497553	3.57288966842058	3.23419472295381	3.27649666564036	2.56315813040281	3.54966917072649	3.674686619928	3.4262647547021	3.37851162325373	3.50969584193339	4.21412480535285	3.70708299177171	3.68594014844598	3.38543103719352	3.5981269599196	3.10768786931437	4.85349670370232	3.95326523901484	4.73876783680019	5.08448952493625	4.01881218574282	3.71259578044703	4.18745105402733	3.71479501111816	3.61941301059794	4.02856915219677	3.78659636189081	3.36176835941915	3.77188557851537	3.92789645372882	4.22958792274065	3.34198574722862	3.58255600301406	2.9560566524124	3.44890095114513	3.70487196445635	3.55336050333533	3.22032995487956	3.66334461936608	3.83390207666916	3.5033487351675	3.55826763405574	3.73552217729654	3.64961545906341	3.53977919169849	3.58135124716878	3.77082904603249	3.52732060787705	3.34056226902641	3.36036427654347	3.45680614923047	3.34766565630097	2.99095486039699	3.11935617703968	3.4995270242151	3.62877359520165	3.67016051412663	3.10936055940423	3.6959938131099	3.34056226902641	4.16430358309365	3.57773093149008	3.68818035858693	3.92124588858559	3.70154905694307	3.7279204545632	3.55949181320504	3.45154083301783	3.55704241526372	3.82068956055921	4.13093086982645	3.81659970653491	3.72246602447109	3.52606881166759	3.73768676140986	3.63575439127776	3.75915583380027	4.19455988602261	3.27947129564447	4.13832300405648	3.69821847822441	3.81044310384517	3.53729606709084	3.15218341905505	3.31903981556254	3.93168305705981	3.44890095114513	3.82984955984469	3.64500988439109	3.58976348698498	3.43162295971329	3.92599941855622	3.47508488294878	2.89336221076387	2.64154602908752	3.20476675065461	2.72465027173297	3.10097764772482	3.26303440583379	3.30158764660319	3.24336442569366	2.90881290773955	2.9429835981871	2.17312743348066	2.88166461932035	3.44890095114513	1.83592407425437	2.78659636189081	2.77399632511117	2.65535182861255	3.52732060787705	2.85798099512757	3.08065766334523	1.54596836910529	3.32912359629157	2.73984810269933	2.32192809488736	2.77188557851537	1.65535182861255	4.44095219802964	2.41683974191283	2.68481873755322	2.76977173924945	2.70929063572336	2.46466826700344	2.790772037862	2.97452931248388	2.30742852519225	2.97085365434048	3.30158764660319	3.15218341905505	3.92124588858559
"ARHGAP15"	6.08788710093312	4.52418907844937	4.1243281350022	3.58736499093646	4.10601323762212	3.52230689287139	4.28762004411207	4.40531168259745	4.25171909260596	4.67355642399014	4.34482849699744	6.1622906135458	4.5668151540109	3.75702324650746	3.56071495447448	2.91456452349394	3.53356334821451	3.14567745519564	3.83592407425437	3.50080205305716	2.9297909977186	3.21412480535285	3.78555055173926	3.34056226902641	4.13914201914569	3.34908214639109	3.94673086014031	3.66106547980695	3.63459326844576	3.23878685958712	3.45549162062847	2.93922657772821	4.73226919950145	3.90977310414164	3.50207595604579	5.09929520433777	4.3212065669699	3.91552090075196	4.10936055940423	3.40053792958373	3.38266725274504	3.84599177066457	3.08406426478847	3.11270013274936	2.98367769469807	3.48542682717024	4.0496307677246	3.15704371014558	3.68369645430652	2.63691458035588	3.16992500144231	3.54596836910529	3.28835856219366	2.46727948045998	3.09929520433778	3.72246602447109	2.81762325751143	3.10097764772482	3.56924802986718	3.03738222200308	3	2.66448284036468	3.13914201914569	3.22804904788446	3.27202318906105	3.38128337250378	3.59454854955035	3.51475349843975	2.77188557851537	2.30742852519225	3.19534759832222	3.21878116778407	3.19534759832222	2.90881290773955	3.13422093976063	2.67129337248158	3.0686708106651	3.23725777090037	2.85798099512757	3.20633064787105	3.43429461795993	3.10768786931437	3.09085343045111	3.36876834909033	3.90400231628369	3.21256933885081	3.75702324650746	3.26153081524341	3.17472598770613	2.93922657772821	3.26603689399532	3.43962313755712	3.854993016757	4.11103131238874	3.32768736417605	4.11603199344711	3.54349588342577	4.09085343045111	3.32337006906127	3.25096157353322	2.92599941855622	3.90400231628369	3.30158764660319	3.96254902292306	3.08915913191124	3.30012372456901	3.25096157353322	3.50207595604579	3.21101219348551	2.74416109557041	2.26303440583379	3.30305008468167	2.81966818349646	3.07210580048042	2.87970576628229	3.56803210477128	3.30888505741176	3.10768786931437	2.68929916053589	2.06695024392463	3.114367024952	3.68929916053589	1.88362081628567	2.38681094647222	1.97819562968165	2.38128337250378	4.834407841807	2.39780296186249	2.87381319835909	1.50589092972996	3.13750352374994	2.62760683812965	2.31324585178756	2.4931349223055	1.66902676550963	4.85648777949568	2.76553474636298	2.16027483140859	2.39231742277876	2.52105073690096	2.48800077083407	3.15218341905505	3.06522762277562	2.80322703643493	2.97636363573276	3.01435529297707	3.17951105027151	2.70265754339091
"SP140"	4.68313498512609	3.44228003525258	2.49825086752783	1.52606881166759	2.28688114778816	2.0496307677246	2.57288966842058	2.28983446517751	2.44890095114513	2.83794324189103	2.21723071622067	4.30085587126876	3.33913738491959	1.95977015521147	1.4905701304462	1.10433665981474	1.33913738491959	1.43295940727611	2.0496307677246	1.51601514700366	0.722466024471091	1.92599941855622	2.17312743348066	1.33913738491959	2.21723071622067	2.49825086752783	3.42088657497553	2.68481873755322	2.6667565918848	2.13750352374994	2.21412480535285	1.73984810269933	3.94673086014031	3.12763327972587	2.55090066464752	3.56803210477128	3.36457243229586	2.59693514238723	2.78659636189081	1.22032995487956	2.16671544496642	1.53106949272595	1.18269229751619	1.4905701304462	1.24488705912353	1.99276843076892	1.32192809488736	1.0703893278914	1.20789285164133	0.214124805352847	1	1.38404980679516	1.25701061820602	0.367371065648529	1.20163386116965	1.13750352374994	1.05658352836637	1	1.29278174922785	0.831877241191673	0.748461233004036	1.01435529297707	1.09761079662642	0.650764559116902	0.871843648509318	1.0496307677246	0.992768430768924	0.7311832415722	1.28688114778816	0.641546029087524	0.584962500721156	1.02856915219677	1.47508488294878	0.773996325111173	0.903038270112912	0.613531652917927	0.887525270741587	1.84398384404833	1.34482849699744	1.66902676550963	1.50080205305716	1.52606881166759	1.01435529297707	1.35614381022528	1.96716860753263	1.11103131238874	1.72246602447109	1.67807190511264	1.79493566280354	0.687060688339892	0.985500430304885	1.32192809488736	1.41142624572647	1.09761079662642	0.948600847493356	0.985500430304885	1.05658352836637	1.16349873228288	1.40599235967584	0.910732661902913	0.75702324650746	1.36176835941915	1.18269229751619	1.23266075679027	0.839959587489532	1.32768736417605	1.20163386116965	1.52105073690096	0.422233000683048	1.58976348698498	1.78240856492737	1.30451104180995	0.918386234446348	1.40053792958373	2.114367024952	1.50080205305716	1.65535182861255	1.50589092972996	1.35049724708413	0.722466024471091	1.26303440583379	2.32192809488736	1.0496307677246	1.36176835941915	1.51601514700366	1.66902676550963	2.64154602908752	1.71808758396052	1.96347412397489	0.948600847493356	2.22958792274065	1.34482849699744	1.40053792958373	1.56071495447448	1.09085343045111	3.98641093525204	1.81557542886257	1.37295209791183	1.76553474636298	2.16992500144231	0.669026765509631	1.11769504266975	1.82374936030827	1.29278174922785	1.54101915313356	1.53605290024021	1.82781902461732	0.739848102699327
"TNFSF8"	5.02236781302845	3.67581593117227	3.55949181320504	2.88752527074159	2.86987140617771	2.85399564717639	2.65535182861255	2.69821847822441	2.51349074558812	2.78450398292957	2.59693514238723	5.09508049190141	2.4905701304462	2.48800077083407	2.46727948045998	1.83592407425437	2.30742852519225	2.78240856492737	2.94860084749336	2.16027483140859	2.23266075679027	2.31614574229336	2.22650852980868	1.68706068833989	2.09423606984577	1.36737106564853	2.86987140617771	2.41413553298445	1.92599941855622	2.54596836910529	2.48542682717024	2.04614178164472	2.68032435684402	2.36737106564853	2.17632277264046	3.06350294230616	2.40871186102943	2.18903382439002	3.18586654531133	3.02856915219677	3.43028527297778	3.0496307677246	1.55581615506164	2.09085343045111	2.19219416528334	2.76553474636298	2.799087306074	1.63226821549951	2.52356195605701	1.78659636189081	3.07382023329167	2.28095631383106	2.15055967657538	1.55090066464752	2.26903314645524	2.24792751344359	1.83187724119167	2.03210084316702	3.16188768237689	1.97452931248388	1.90303827011291	1.85996954822103	1.09085343045111	1.6915341649192	2.56071495447448	2.67129337248158	2.66902676550963	1.97819562968165	2.0071955014042	1.36737106564853	2.59215800212536	1.46466826700344	1.71369581484336	1.60407132366886	2.30451104180995	1.83995958748953	2.39780296186249	2.03210084316702	2.19534759832222	1.54101915313356	2.41683974191283	2.31614574229336	2.40053792958373	2.82374936030827	3.12101540096137	1.66448284036468	2.26903314645524	2.23572705983806	2.64846544302731	2.03913839390696	1.82781902461732	2.06004738366994	3.18745105402733	3.06695024392463	1.54596836910529	2.58976348698498	2.37295209791183	2.4276061727819	1.84398384404833	1.86789646399265	1.84799690655495	2.70265754339091	1.9297909977186	2.01435529297707	1.61823865559545	1.78659636189081	3.08236196955747	2.60407132366886	1.79493566280354	1.80322703643493	2.0703893278914	2.15704371014558	2.47248777146274	1.96716860753263	1.80322703643493	1.48026512205446	2.27500704749987	2.42492208821069	2.65306001710456	1.42223300068305	2.76128527336162	1.77399632511117	1.48026512205446	1.65992455840238	2.31614574229336	1.57046293102604	2.22032995487956	1.50589092972996	2.06004738366994	0.863938450423971	2.82374936030827	1.0703893278914	2.31614574229336	2.32768736417605	0.948600847493356	3.27351588970212	1.97085365434048	1.9560566524124	2.37016428054021	2.01792190799726	1.7311832415722	2.36457243229586	1.95977015521147	1.44360665147561	2.30451104180995	2.02856915219677	1.95977015521147	1.70043971814109
"PTPRC"	8.07398085696268	6.73606362787181	6.31867837373655	5.97085365434048	5.95419631038687	5.55305325276641	6.48478262307787	6.10265813136374	6.42425028608405	6.45532722030456	6.13237119873254	8.24526746651951	6.63023071585969	5.76101926524048	5.24184018356467	4.6667565918848	5.19810120932482	5.6906964439777	5.44790974874208	5.32589006103978	4.86987140617771	5.35191096110308	5.67072705449947	5.13627342985058	5.28318097894557	5.66192057913509	6.01457846492289	5.86913111964429	5.8245132973348	5.90376136512808	5.49920809085669	5.24184018356467	7.21159631996932	6.27164977245721	6.0706039986813	7.11748726632592	6.41937034252815	6.10433665981474	6.23878685958712	6.15400794755902	5.93262815702213	5.83289001416474	4.79805051476751	5.07382023329167	5.1139504824225	4.8414699994658	6.18050594379476	4.92789645372882	5.18388345903223	4.10433665981474	5.16027483140859	5.24145887127465	4.92029330021101	3.81147103052984	5.27090264916713	5.25663329505992	4.79649392942584	5.11644793551166	6.02458563827827	5.01569380710515	4.67919857056692	4.51285895444998	4.78240856492737	4.84096670448742	5.00854067170295	5.12184429787638	5.29755828116819	4.52230689287139	4.69821847822441	4.01792190799726	5.09169983413681	5.02014657311178	5.05137210172103	4.21334728173344	5.23457795978457	4.84949893172018	5.57410150808939	5.25701061820602	5.13010717865883	4.86641348112345	5.37608196665007	5.4432751117658	5.40803246613065	4.91025296279928	6.05918219921169	4.98732086592925	6.28262513419167	5.37260391520448	5.38922261635589	4.99954908734095	5.17512534965772	5.36911745859982	5.94368695159709	5.27575204882853	4.51664555778096	5.70542503904273	5.56346323668308	5.55949181320504	5.00809242094872	4.63575439127776	4.63865311646611	5.9114519116266	4.92837032301897	5.59723318908613	4.59395128394841	4.23342794374847	5.15258906928713	5.25209770303744	4.2667865406949	4.75060650483559	4.67185946824748	5.36597242759338	5.10349763970334	5.13010717865883	5.03913839390696	4.98641093525204	5.21684284283726	5.23687524536694	4.90592847817314	3.78972925137577	4.97315203787724	5.12267271882414	3.88557436437143	3.95698592461258	4.74308405554959	4.37225564844579	5.25323293853803	4.96716860753263	5.16791986555194	3.00180224263399	5.69766263347052	4.85349670370232	4.26077843189343	4.94392132655349	3.50589092972996	6.94145848842673	4.83844759254846	4.42894634476948	4.98823022306046	4.98367769469807	3.97544676564096	4.79960542245267	4.85549144310187	4.1554254317472	4.95791459863299	3.90881290773955	5.15502057835857	4.49697358099828
"CYTIP"	6.67355642399014	5.13709360897494	4.74092756031863	4.31976242766925	4.47702965301306	4.03474394932473	4.40190347160796	4.02768487693716	5.31831684133498	4.78659636189081	3.95233356636969	6.73281187208294	4.66789212523023	3.68706068833989	6.36859376265085	2.48284828306847	3.95326523901484	3.50842865253186	3.65191274464578	3.51475349843975	2.7158933705476	3.17951105027151	3.4032677223393	3.65992455840238	3.34908214639109	3.8094144442359	4.02236781302845	4.854993016757	4.18269229751619	4.04264433740849	4.25776496857139	3.69265037003553	5.78345665436024	3.92694824794977	3.68706068833989	5.09212284983868	4.4541758931858	3.70708299177171	4.81557542886257	3.39094277280254	3.54101915313356	3.69488019279919	3.23112515787905	2.68706068833989	2.64846544302731	3.78972925137577	3.32337006906127	2.93922657772821	3.57893871309339	1.59454854955035	3.34340782229781	3.44890095114513	3.37155886261196	2.47248777146274	3.5033487351675	3.46858331700683	3.32048467801769	3.02680005934372	3.51349074558812	2.91647664443772	2.8011586560937	2.66220549965362	2.97819562968165	2.62293035092018	2.97452931248388	2.98550043030489	3.40463068421761	2.10768786931437	3.09423606984577	2.13422093976063	2.72683121703249	3.14241343787374	3.17472598770613	2.25096157353322	3.11935617703968	2.30451104180995	2.95977015521147	3.44360665147561	3.49185309632967	2.81557542886257	3.58135124716878	3.18269229751619	2.74200621086674	3.07895134139482	4.22496636500027	2.92599941855622	3.61470984411521	2.76977173924945	3.35614381022528	2.81352468929781	2.77820857639809	2.76341157447001	3.47378691161437	3.00180224263399	2.36737106564853	3.60999129521268	3.60050764534579	3.4235781709818	3.26603689399532	2.75060650483559	2.25096157353322	3.35895882583233	2.66220549965362	2.84197311892718	2.65306001710456	3.58135124716878	3.12101540096137	3.83592407425437	2.22958792274065	2.93545974780529	3.03562390973072	3.35895882583233	2.94673086014031	2.89530262133331	5.08448952493625	3.50716034911752	3.51096191927738	3.61235249875266	2.86393845042397	1.799087306074	2.84398384404833	3.63226821549951	2.48542682717024	2.50080205305716	2.75060650483559	2.6507645591169	3.43295940727611	2.92789645372882	3.86690797814317	2.28392177230762	4.46270675067016	2.82374936030827	3.25398926623079	3.3305584000308	2.20476675065461	6.12246565817924	3.16027483140859	2.40871186102943	3.11935617703968	3.65535182861255	2.20476675065461	3.24336442569366	2.71369581484336	2.48026512205446	3.52481592835751	3.22342254993494	3.30888505741176	2.57531233068744
