"HKB0007_3005_T"	"HKB0040_3002_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0098_3005_T"	"HKB0129_3000_T"	"HKB0186_3000_T"	"HKB0214_3006_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0718_3000_T"	"HKB0751_3000_T"	"HKB0008_3006_T"	"HKB0050_3005_T"	"HKB0064_3004_T"	"HKB0067_3006_T"	"HKB0091_3001_T"	"HKB0120_3000_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0674_3000_T"	"HKB0710_3000_T"	"HKB0736_3000_T"	"HKB0752_3000_T"	"HKB0210_3000_N"	"HKB0210_3006_T"	"HKB0036_3006_T"	"HKB0044_3006_T"	"HKB0106_3006_T"	"HKB0721_3000_T"	"HKB0004_3000_N"	"HKB0005_3000_N"	"HKB0006_3000_N"	"HKB0019_3000_N"	"HKB0023_3000_N"	"HKB0033_3000_N"	"HKB0035_3000_N"	"HKB0036_3000_N"	"HKB0038_3000_N"	"HKB0040_3000_N"	"HKB0049_3000_N"	"HKB0050_3000_N"	"HKB0052_3004_N"	"HKB0064_3000_N"	"HKB0067_3000_N"	"HKB0074_3003_N"	"HKB0094_3000_N"	"HKB0096_3000_N"	"HKB0097_3004_N"	"HKB0098_3000_N"	"HKB0102_3000_N"	"HKB0106_3000_N"	"HKB0109_3000_N"	"HKB0115_3000_N"	"HKB0120_3002_N"	"HKB0121_3000_N"	"HKB0122_3002_N"	"HKB0123_3000_N"	"HKB0124_3000_N"	"HKB0129_3002_N"	"HKB0132_3000_N"	"HKB0133_3000_N"	"HKB0137_3000_N"	"HKB0143_3000_N"	"HKB0149_3000_N"	"HKB0150_3000_N"	"HKB0155_3003_N"	"HKB0157_3000_N"	"HKB0158_3000_N"	"HKB0159_3000_N"	"HKB0160_3000_T"	"HKB0160_3001_N"	"HKB0161_3000_N"	"HKB0162_3000_N"	"HKB0167_3000_N"	"HKB0168_3000_N"	"HKB0179_3000_N"	"HKB0186_3002_N"	"HKB0194_3000_N"	"HKB0196_3000_N"	"HKB0198_3000_N"	"HKB0207_3000_N"	"HKB0211_3000_N"	"HKB0214_3000_N"	"HKB0219_3000_N"	"HKB0220_3003_N"	"HKB0221_3000_N"	"HKB0222_3000_N"	"HKB0225_3000_N"	"HKB0226_3000_N"	"HKB0227_3000_N"	"HKB0538_3000_N"	"HKB0562_3000_N"	"HKB0571_3000_N"	"HKB0574_3000_N"	"HKB0577_3000_N"	"HKB0583_3000_N"	"HKB0597_3000_N"	"HKB0618_3000_N"	"HKB0636_3000_N"	"HKB0648_3000_N"	"HKB0651_3000_N"	"HKB0657_3000_N"	"HKB0663_3000_N"	"HKB0666_3000_N"	"HKB0672_3000_N"	"HKB0710_3001_N"	"HKB0718_3001_N"	"HKB0719_3001_N"	"HKB0722_3001_N"	"HKB0744_3001_N"	"HKB0748_3001_N"	"HKB0751_3001_N"	"HKB0752_3001_N"	"HKB0016_3006_T"	"HKB0089_3001_T"	"HKB0092_3000_T"	"HKB0143_3006_T"	"HKB0158_3006_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0182_3006_T"	"HKB0540_3000_T"	"HKB0599_3000_T"	"HKB0668_3000_T"	"HKB0692_3000_T"
"CD79A"	3.78240856492737	7.24887634283713	5.76420813013995	5.05571626351254	3.7771566660045	5.60821785302146	5.27388882366849	4.51285895444998	4.3819754785573	4.32481060342048	4.06436554026363	4.21179097625254	6.53962412155905	4.07724299893246	5.28651155766423	2.15055967657538	3.81352468929781	0.575312330687437	2.02856915219677	3.98185265328974	2.67355642399014	6.30323278525064	3.70265754339091	4.18348651445939	4.08746284125034	5.05874941233552	3.114367024952	5.48381577726426	4.28762004411207	1.03562390973072	2.15380533607904	1.89917563048051	4.05571626351254	2.16027483140859	3.32912359629157	2.72683121703249	2.46205231879643	3.71918344048179	4.01703108052784	2.79701297783614	3.20320115631661	2.57531233068744	2.92029330021101	3.70376517879341	3.60288440871842	1.58976348698498	3.56071495447448	3.60407132366886	0.176322772640463	1.34482849699744	2.93545974780529	3.69932952567316	0.298658315564515	2.74846123300404	1.54596836910529	3.65191274464578	0.831877241191673	0.855989697308481	2.3305584000308	3.74953426766926	0.970853654340484	2.3533232911629	0.411426245726465	1.0071955014042	0.855989697308481	0.933572638261024	2.69821847822441	2.71149490665009	2.09085343045111	2.41953889151378	3.36597242759338	0.6959938131099	0.411426245726465	3.81455042346181	3.79181407116183	1.03562390973072	2.33342373372519	0.189033824390017	1.88362081628567	2.85996954822103	1.22032995487956	3.28243980500639	4.47313748777226	3.10433665981474	2.11103131238874	3.06522762277562	0.545968369105292	2.38404980679516	2.61588707391606	1.97452931248388	0.7311832415722	1.81557542886257	1.94110631094643	3.15704371014558	0.75702324650746	1.88362081628567	4.20163386116965	2.45680614923047	1.84398384404833	2.02147972741045	1.74846123300404	0.613531652917927	0.75702324650746	0.632268215499513	2.74631276642546	3.36317107711924	3.96069703930431	2.44890095114513	1.73552217729654	1.24488705912353	2.42492208821069	2.43562859405209	2.38956681176273	0.879705766282288	3.96532254836725	0.910732661902913	1.41142624572647	0.687060688339892	4.55642941544957	2.01792190799726	2.26303440583379	1.13750352374994	2.62058641045188	2.57773093149008	3.15218341905505	1.15704371014558	3.39917109381982	0.75702324650746	0.722466024471091	3.04264433740849	0.956056652412403
"FCRL5"	2.59931779369823	4.69376571221778	2.10433665981474	2.01435529297707	1.56071495447448	3.87970576628229	3.01792190799726	2.50080205305716	2.21723071622067	1.56071495447448	1.94485844580754	2.43829285157915	5.15380533607904	2.1407786557828	3.1811025507538	0.356143810225275	1.26303440583379	0.16349873228288	0.526068811667588	1.7311832415722	0.55581615506164	4.55028504908841	1.71808758396052	0.790772037862	2.08746284125034	2.35895882583233	2.28688114778816	2.49825086752783	3.03210084316702	0.485426827170242	1.26903314645524	0.948600847493356	2.3533232911629	0.985500430304885	2.67581593117227	0.807354922057604	1.56559717585423	1.78240856492737	1.46466826700344	1.39506279951758	1.33913738491959	0.704871964456353	1.23878685958712	1.48542682717024	1.83592407425437	0.250961573533219	2.09761079662642	2.16992500144231	0	0.263034405833794	0.773996325111173	2.18903382439002	0.263034405833794	1.20163386116965	0.263034405833794	2.09761079662642	0.0426443374084937	0.298658315564515	0.782408564927373	1.91456452349394	0.137503523749935	1.0496307677246	0.0976107966264223	0.0565835283663675	0.411426245726465	0.176322772640463	1.44360665147561	1.03562390973072	0.863938450423971	0.6959938131099	0.941106310946431	0.0143552929770701	0.070389327891398	1.41683974191283	1.59454854955035	0.516015147003665	1.03562390973072	0.111031312388744	0.545968369105292	1.10433665981474	0.594548549550354	1.28095631383106	2.35895882583233	1.4905701304462	0.641546029087524	1.81557542886257	0.20163386116965	1.0496307677246	1.54101915313356	0.765534746362977	0.263034405833794	0.879705766282288	0.594548549550354	1.58496250072116	0.263034405833794	0.925999418556223	2.38956681176273	1.55090066464752	0.704871964456353	1.02147972741045	0.238786859587116	0.27500704749987	0.27500704749987	0.298658315564515	1.38956681176273	1.81557542886257	1.76553474636298	1.23266075679027	1.16992500144231	0.214124805352847	1.02147972741045	0.790772037862	1.28688114778816	0.0426443374084937	2.48542682717024	0.27500704749987	0.669026765509631	0.20163386116965	2.84599177066457	0.344828496997441	0.970853654340484	0.790772037862	0.871843648509318	0.55581615506164	1.98185265328974	0.238786859587116	1.48542682717024	0.16349873228288	0.298658315564515	1.28688114778816	0.263034405833794
"POU2AF1"	2.78868571061353	4.50462039240355	2.84599177066457	2.82374936030827	2.12101540096137	4.06263982828646	3.1906148602095	2.67581593117227	2.29572302453997	1.99638874644762	2.34766565630097	2.03210084316702	3.60880924267552	1.35614381022528	2.58496250072116	0.55581615506164	1.32768736417605	0.0976107966264223	0.443606651475615	1.73552217729654	0.956056652412403	4.20945336562895	1.83187724119167	1.34482849699744	1.82374936030827	2.82374936030827	1.58496250072116	2.96532254836725	2.83794324189103	1.09761079662642	1.49569516262407	0.963474123974886	2.75274859140713	1.03562390973072	1.72683121703249	1.27500704749987	1.18269229751619	2.22342254993494	2.19534759832222	1.72246602447109	2	1.27500704749987	1.58976348698498	2.02856915219677	2.14404636961671	0.432959407276106	2.01792190799726	2.09085343045111	0	0.0976107966264223	1.26303440583379	2.11769504266975	0.150559676575381	1.46466826700344	0.55581615506164	1.90689059560852	0.150559676575381	0.464668267003444	0.910732661902913	2.60880924267552	0.485426827170242	1.09761079662642	0.16349873228288	0.189033824390017	0.344828496997441	0.389566811762726	1.24488705912353	1.15704371014558	0.871843648509318	1.30451104180995	1.64616265715789	0.176322772640463	0.150559676575381	1.36176835941915	2.01792190799726	0.495695162624069	1.20163386116965	0	0.831877241191673	1.15704371014558	0.863938450423971	1.37295209791183	2.60644222813161	1.57531233068744	1.31034012061215	2.06350294230616	0.0565835283663675	1.25096157353322	2.04614178164472	0.895302621333307	0.286881147788162	0.6959938131099	0.941106310946431	2.08406426478847	0.27500704749987	1.47508488294878	1.38956681176273	1.64154602908752	0.613531652917927	0.37851162325373	0.344828496997441	0.150559676575381	0.0565835283663675	0.124328135002202	1.02147972741045	1.31034012061215	1.43829285157915	0.790772037862	0.575312330687437	0.189033824390017	0.432959407276106	0.895302621333307	0.641546029087524	0.214124805352847	1.95233356636969	0.150559676575381	0.782408564927373	0.356143810225275	2.35049724708413	0.948600847493356	0.807354922057604	0.687060688339892	1.0496307677246	0.970853654340484	1.70487196445635	0.565597175854225	1.85598969730848	0.150559676575381	0.495695162624069	1.0071955014042	0.432959407276106
"TNFRSF13B"	0.27500704749987	2.20476675065461	1.4541758931858	0.855989697308481	0.584962500721156	0.863938450423971	0.263034405833794	0.389566811762726	0.31034012061215	1.0703893278914	0.565597175854225	0.910732661902913	0.799087306074004	0.27500704749987	1.23878685958712	0.189033824390017	0.650764559116902	0	0.16349873228288	0.367371065648529	0.070389327891398	1.09761079662642	0.765534746362977	0.485426827170242	0.575312330687437	1.53106949272595	0.189033824390017	1.70929063572336	0.659924558402378	0	0	0.0840642647884746	0.55581615506164	0.31034012061215	0.356143810225275	0.16349873228288	0.27500704749987	0.622930350920177	0.659924558402378	0.594548549550354	0.475084882948783	0.422233000683048	0.495695162624069	0.389566811762726	0.389566811762726	0.176322772640463	0.75702324650746	0.505890929729957	0.0840642647884746	0.0976107966264223	0.176322772640463	0.333423733725192	0	0.250961573533219	0.176322772640463	0.773996325111173	0	0.070389327891398	0	1.06350294230616	0	0.070389327891398	0.0565835283663675	0.070389327891398	0.137503523749935	0.238786859587116	0.150559676575381	0.22650852980868	0.214124805352847	0.238786859587116	0.356143810225275	0.124328135002202	0	0.443606651475615	0.895302621333307	0.124328135002202	0.367371065648529	0.0565835283663675	0.124328135002202	0.137503523749935	0.286881147788162	0.31034012061215	1.0703893278914	0.807354922057604	0.070389327891398	0.443606651475615	0	0	0.176322772640463	0.16349873228288	0.137503523749935	0.286881147788162	0.356143810225275	0.389566811762726	0.0840642647884746	0.250961573533219	0.485426827170242	0.678071905112638	0.20163386116965	0.070389327891398	0	0.111031312388744	0.124328135002202	0	0.20163386116965	0.831877241191673	0.584962500721156	0.250961573533219	0.250961573533219	0.070389327891398	0.250961573533219	0.070389327891398	0	0	0.863938450423971	0.0565835283663675	0	0.22650852980868	0.863938450423971	0.321928094887362	0.137503523749935	0.0426443374084937	0.298658315564515	0.111031312388744	0.333423733725192	0.20163386116965	0.55581615506164	0.0840642647884746	0.137503523749935	0.367371065648529	0.250961573533219
"TNFRSF17"	2.5033487351675	4.33771109212829	1.44890095114513	1.68257329734758	1.62760683812965	4.08406426478847	3.22650852980868	3.19377174339668	2.22958792274065	1.15055967657538	1.79493566280354	2.8073549220576	5.43128865429159	2.1407786557828	2.5033487351675	0.37851162325373	0.815575428862573	0.367371065648529	0	1.1243281350022	0.432959407276106	3.76765479823735	1.38404980679516	0.22650852980868	2.53356334821451	2.20789285164133	2.16671544496642	2.88166461932035	3.01077983875324	0.111031312388744	0.516015147003665	0.604071323668861	2.26002565596146	0.948600847493356	2.28983446517751	1.62293035092018	2.5385381636298	2.7311832415722	2.32768736417605	1.87578006306849	1.66448284036468	1.58496250072116	2.10433665981474	2.44890095114513	2.44625622988956	0.0840642647884746	2.11769504266975	3.0232553523003	0	0.669026765509631	1.83995958748953	2.74416109557041	0.20163386116965	1.81557542886257	0.333423733725192	3.13750352374994	0.20163386116965	0.263034405833794	1.19534759832222	2.74416109557041	0	1.25096157353322	0.0976107966264223	0.0840642647884746	0.22650852980868	0.678071905112638	2.09085343045111	1.68257329734758	1	1.39506279951758	1.90303827011291	0	0.0840642647884746	2.71149490665009	1.87578006306849	0.454175893185802	1.04264433740849	0.20163386116965	0.748461233004036	0.722466024471091	0.27500704749987	2.38956681176273	3.28392177230762	2.07382023329167	1.1243281350022	2.10433665981474	0	0.739848102699327	2.21101219348551	0.485426827170242	0.20163386116965	1.36176835941915	0.773996325111173	0.584962500721156	0.286881147788162	1.83592407425437	3.18586654531133	2.08065766334523	0.659924558402378	0.863938450423971	0.20163386116965	0.150559676575381	0.124328135002202	0.189033824390017	1.60407132366886	1.94110631094643	3.31759350462347	2.21723071622067	1.57531233068744	0.879705766282288	1.13093086982645	1.43829285157915	1.58014548442338	0	3.36176835941915	0.176322772640463	0.464668267003444	0.389566811762726	4.29939120612683	0.37851162325373	1.38956681176273	0.613531652917927	0.823749360308273	0.879705766282288	2.08746284125034	0.150559676575381	0.669026765509631	0.321928094887362	0.659924558402378	1.73552217729654	0.27500704749987
"CD79B"	2.63691458035588	6.0036022366802	4.67638025546692	4.06695024392463	2.84599177066457	3.19849415363908	3.01435529297707	3.15055967657538	3.36597242759338	3.78868571061353	3.23725777090037	3.37295209791183	4.98276546258365	3.21723071622067	4.52230689287139	1.56071495447448	3.4032677223393	1.28688114778816	1.57046293102604	3.09423606984577	2.96901230751632	4.24640808724638	2.96532254836725	3.74092756031863	3.50589092972996	4.74631276642546	3.28243980500639	5.12845838414693	3.09761079662642	1.94860084749336	1.28095631383106	1.32768736417605	2.30451104180995	1.54596836910529	2.56559717585422	2.87381319835909	2.6959938131099	2.50080205305716	2.0036022366802	2.64846544302731	2.17632277264046	2.13093086982645	2.1407786557828	2.06695024392463	2.62993940943954	3.13750352374994	2.92789645372882	3.44625622988956	1.70487196445635	2.28983446517751	2.84599177066457	2.75915583380027	1.68706068833989	2.6915341649192	2.13093086982645	2.54101915313356	2.32768736417605	2.99638874644762	2.23572705983806	2.51853513898218	2.58736499093646	2.36457243229586	1.78240856492737	1.65535182861255	2.43295940727611	2.71808758396052	2.63459326844576	2.27798474729977	3.03562390973072	2.70487196445635	2.34198574722862	1.87970576628229	2.76128527336162	2.14730669878029	1.77820857639809	1.99638874644762	2.31324585178756	1.84799690655495	2.4276061727819	2.31034012061215	1.08406426478847	1.98550043030488	2.22032995487956	2.42492208821069	2.49569516262407	2.81557542886257	1.63691458035588	2.62293035092018	2.99095486039699	2.4905701304462	2.24184018356467	1.83592407425437	2.55336050333533	1.92599941855622	1.9297909977186	1.90303827011291	2.46205231879643	2.37016428054021	2.86393845042397	2.24792751344359	2.93922657772821	2.05658352836637	2.73984810269933	2.69821847822441	1.73984810269933	3.39643353125099	2.51096191927738	2.37851162325373	2.42492208821069	2.17632277264046	2.76765479823735	2.49825086752783	2.84398384404833	2.54843662469604	2.63459326844576	1.94860084749336	2.65992455840238	1.99276843076892	3.44360665147561	1.63691458035588	1.48026512205446	0.887525270741587	2.32768736417605	2.40871186102943	2.29278174922785	2.30451104180995	2.89917563048051	0.903038270112912	1.20163386116965	2.63226821549951	1.07724299893246
"CD27"	3.33199177823206	5.21800615028443	3.88752527074159	3.70043971814109	3.30451104180995	4.8569856897822	3.76553474636298	3.98367769469807	3.53605290024021	3.799087306074	3.1811025507538	3.43829285157915	3.53977919169849	2.90881290773955	3.55949181320504	2.21723071622067	3.90207357931074	0.985500430304885	2.22342254993494	3.20945336562895	2.58255600301406	4.8444860877578	3.5957423394744	3.29719141656586	3.10936055940423	4.86393845042397	3.33485426933163	5.22766407255439	3.36317107711924	1.75274859140713	2.30742852519225	1.90689059560852	3.52606881166759	1.79493566280354	1.90303827011291	2.09423606984577	1.40053792958373	2.77188557851537	2.29572302453997	2.10768786931437	2.28095631383106	1.91456452349394	2.29572302453997	2.26903314645524	2.74631276642546	1.4905701304462	2.56803210477128	2.81762325751143	0.367371065648529	0.887525270741587	1.62760683812965	2.85199883711245	1.09761079662642	1.90689059560852	1.41142624572647	2.25096157353322	0.6959938131099	1.64154602908752	1.87184364850932	2.38681094647222	0.613531652917927	1.44890095114513	0.263034405833794	0.604071323668861	0.948600847493356	0.963474123974886	1.85598969730848	1.93357263826102	1.47508488294878	1.58014548442338	2	0.238786859587116	0.55581615506164	2.30158764660319	2.53106949272595	1.15704371014558	1.61823865559545	0.070389327891398	1.44360665147561	2.12101540096137	1.40599235967584	2.46727948045998	3.3305584000308	2.67129337248158	1.89530262133331	2.80322703643493	0.250961573533219	2.41683974191283	2.29278174922785	1.09761079662642	1.38956681176273	1.68257329734758	1.790772037862	2.28983446517751	0.454175893185802	1.67807190511264	2.76977173924945	2.13422093976063	1.05658352836637	1.31614574229336	1.28688114778816	0.443606651475615	0.411426245726465	0.53605290024021	1.49569516262407	1.84799690655495	2.48284828306847	1.70929063572336	1.13093086982645	0.963474123974886	1.87970576628229	1.26303440583379	1.56559717585423	0.367371065648529	2.23878685958712	0.650764559116902	1.16992500144231	0.367371065648529	2.60407132366886	2.05658352836637	2.40599235967584	1.40053792958373	2.48800077083407	2.114367024952	2.85996954822103	1.30451104180995	1.87578006306849	1.14404636961671	1.94860084749336	2.14730669878029	1.02856915219677
"IRF4"	3.68929916053589	5.21839371107679	3.04439411935845	3.28688114778816	2.84599177066457	3.68144926531496	3.72465027173297	3.07553263116736	2.57046293102604	2.73768676140986	2.71808758396052	3.16349873228288	5.02724253597374	2.87970576628229	3.4944156103975	1.55581615506164	2.44360665147561	1.16349873228288	0.978195629681652	2.27798474729977	3	4.53356334821451	2.68257329734758	2.47248777146274	3.4154882710497	3.56071495447448	3.13914201914569	4.21256933885081	2.83995958748953	1.67355642399014	0.933572638261024	1.4594316186373	3.55826763405574	1.22032995487956	2.41142624572647	2.56559717585422	1.4541758931858	2.89336221076387	2.83592407425437	2.41413553298445	2.67807190511264	2.16671544496642	2.46466826700344	2.30742852519225	2.98185265328974	3.56193705962243	2.84599177066457	2.96162332828694	1.42223300068305	1.94110631094643	2.14730669878029	2.17632277264046	2.12101540096137	2.31324585178756	1.76977173924945	2.83592407425437	2.74631276642546	3.05831649559082	2.65992455840238	3.0408924306469	3.03386345186628	2.26603689399532	1.51096191927738	1.70929063572336	2.50589092972996	1.95977015521147	1.78240856492737	1.50589092972996	1.94110631094643	1.43829285157915	1.67807190511264	1.32192809488736	2.55826763405574	2.64385618977472	2.91647664443772	1.86393845042397	3.20945336562895	1.74416109557041	2.85598969730848	2.32481060342048	1.22032995487956	2.56315813040281	3.53605290024021	2.58736499093646	2.10433665981474	2.74631276642546	1.35049724708413	2.51853513898218	2.72465027173297	2.75274859140713	2.48284828306847	2.71149490665009	2.66902676550963	1.64616265715789	1.81557542886257	2.29865831556452	3.33485426933163	1.84799690655495	2.03562390973072	2.93734439215023	3.35049724708413	1.35614381022528	2.73984810269933	2.27202318906105	2.40871186102943	3.58135124716878	3.44757919654888	2.32768736417605	2.46466826700344	1.82374936030827	2.23266075679027	2.90881290773955	2.46466826700344	2.31903981556254	2.76341157447001	2.06350294230616	2.46988597627446	1.73984810269933	3.30305008468167	1.59931779369823	1.64154602908752	0.871843648509318	2.09761079662642	1.50080205305716	2.24792751344359	1.09085343045111	1.38956681176273	0.773996325111173	1.16992500144231	1.72246602447109	0.704871964456353
"FCRL2"	0.505890929729957	3.23572705983806	2.25701061820602	1.61353165291793	1.17632277264046	1.31034012061215	0.839959587489532	0.863938450423971	1.73552217729654	0.669026765509631	1.10433665981474	1.31034012061215	2.69376571221778	1.10433665981474	1.799087306074	0.298658315564515	0.782408564927373	0	0.53605290024021	0.641546029087524	0.286881147788162	2.0703893278914	0.773996325111173	0.963474123974886	1.19534759832222	1.77820857639809	1.13750352374994	3.34766565630097	0.933572638261024	0.0976107966264223	0.432959407276106	0.16349873228288	0.432959407276106	0.150559676575381	0.918386234446348	0.475084882948783	0.748461233004036	0.263034405833794	0.356143810225275	0.27500704749987	0.400537929583729	0.321928094887362	0.516015147003665	0.55581615506164	0.650764559116902	0.111031312388744	0.545968369105292	0.55581615506164	0.0976107966264223	0	0.250961573533219	0.485426827170242	0.0840642647884746	0.176322772640463	0.20163386116965	0.526068811667588	0	0.356143810225275	0.20163386116965	0.31034012061215	0.238786859587116	0.22650852980868	0	0.0840642647884746	0.16349873228288	0.0976107966264223	0.298658315564515	0.0840642647884746	0.238786859587116	0.250961573533219	0.422233000683048	0.070389327891398	0.150559676575381	0.0426443374084937	0.545968369105292	0.111031312388744	0.238786859587116	0.070389327891398	0.150559676575381	0.411426245726465	0.214124805352847	0.124328135002202	0.53605290024021	0.454175893185802	0.0840642647884746	0.298658315564515	0	0.411426245726465	0.475084882948783	0.505890929729957	0.0840642647884746	0.250961573533219	0.16349873228288	0.475084882948783	0.0426443374084937	0.16349873228288	0.941106310946431	0.356143810225275	0.189033824390017	0.356143810225275	0.0565835283663675	0.16349873228288	0.411426245726465	0.189033824390017	0.238786859587116	0.75702324650746	0.526068811667588	0.27500704749987	0.20163386116965	0.176322772640463	0.37851162325373	0.495695162624069	0.516015147003665	0.22650852980868	0.604071323668861	0.20163386116965	0.27500704749987	0.0840642647884746	0.516015147003665	0.214124805352847	0.150559676575381	0.124328135002202	0.584962500721156	0.37851162325373	0.669026765509631	0.298658315564515	0.604071323668861	0.0976107966264223	0.189033824390017	0.432959407276106	0.124328135002202
"IGLL5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
