"BC_HKB0022_649_T"	"BC_HKB0112_933_T"	"BC_HKB0199_1263_T"	"BC_HKB0543_1306_T"	"BC_HKB0662_1294_T"	"BC_HKB0728_1447_T"	"BC_HKB0779_1486_T"	"BC_HKB0873_1549_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0132_3006_T"	"HKB0155_3000_T"	"HKB0168_3006_T"	"HKB0182_3006_T"	"HKB0214_3006_T"	"HKB0573_3000_T"	"HKB0620_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"BC_HKB0668_1298_T"	"BC_HKB1366_1663_T"	"HKB0004_3006_T"	"HKB0056_3002_T"	"HKB0157_3006_T"	"HKB0210_3006_T"	"HKB0677_3000_T"	"BC_HKB0555_1321_T"	"BC_HKB0567_M1337_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0763_1511_T"	"BC_HKB0786_1508_T"	"BC_HKB0828_M1542_T"	"BC_HKB0839_M1561_T"	"BC_HKB0890_1550_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0102_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0230_3006_T"	"HKB0552_3000_T"	"HKB0719_3002_T"	"BC_HKB0715_1407_T"	"BC_HKB0733_1459_T"	"BC_HKB0738_1475_T"	"BC_HKB0741_1471_T"	"BC_HKB0764_1510_T"	"BC_HKB0769_1519_T"	"BC_HKB0775_1470_T"	"BC_HKB0778_1480_T"	"BC_HKB0830_1541_T"	"BC_HKB0832_1546_T"	"BC_HKB0838_1563_T"	"BC_HKB0902_1617_T"	"BC_HKB0904_1595_T"	"BC_HKB0913_1654_T"	"BC_HKB1365_M1665_T"	"BC_HKB1368_1669_T"	"BC_HKB2106_1619_T"	"BC_HKB2107_1620_T"	"BC_HKB2113_1657_T"	"BC_HKB2118_1689_T"	"BC_HKB2123_1695_T"	"BC_HKB2127_1726_T"	"BC_HKB0831_1520_T"	"BC_HKB0921_1575_T"	"BC_HKB2109_1628_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0031_3001_T"	"HKB0035_3006_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0091_3001_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0115_3006_T"	"HKB0127_3006_T"	"HKB0134_3006_T"	"HKB0137_3002_T"	"HKB0143_3006_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0227_3006_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0605_3000_T"	"HKB0650_3000_T"	"HKB0653_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0737_3000_T"	"HKB0752_3000_T"
"MS4A1"	2.14404636961671	2.67581593117227	2.67807190511264	4.12598165385472	2.68706068833989	4.17871464117544	2.64846544302731	2.6507645591169	3.30012372456901	3.57893871309339	6.8094144442359	4.81352468929781	4.25625587320273	3.10768786931437	2.88166461932035	3.23878685958712	3.21878116778407	3.32048467801769	3.30158764660319	2.88752527074159	4.91934008244201	5.02147972741045	6.15218341905505	4.91886323727459	1.13093086982645	0.895302621333307	0.669026765509631	1.28688114778816	2.43562859405209	0.176322772640463	2.24184018356467	0.992768430768924	0.823749360308273	0	0	0	1.82781902461732	0	0.863938450423971	1.83592407425437	0.978195629681652	2.50080205305716	0.22650852980868	3.29425313644451	0.150559676575381	1.94485844580754	1.32768736417605	3.94860084749336	1.67807190511264	0.389566811762726	0.879705766282288	3.51853513898218	1.25096157353322	0.411426245726465	0.669026765509631	3.1407786557828	0.516015147003665	0.505890929729957	0	0.970853654340484	0	1.72246602447109	0.495695162624069	0.53605290024021	0	0	1.15055967657538	0	1.6507645591169	0.722466024471091	0	0	0.53605290024021	1.79493566280354	1.31034012061215	1.4594316186373	0	1.37851162325373	1	2.68032435684402	3.27351588970212	1.86393845042397	1.43295940727611	1.44890095114513	1.33342373372519	2.38681094647222	1.47508488294878	3.33199177823206	1.49569516262407	1.61353165291793	1.34482849699744	1.22032995487956	0.895302621333307	0.263034405833794	1.87578006306849	2.98002530023873	2.60407132366886	2.25096157353322	2.11103131238874	2.44095219802964	2.38128337250378	0.6959938131099	1.41683974191283	2.06350294230616	1.07724299893246	3.62175885670973	0.622930350920177	2.68706068833989	3.36737106564853	0.400537929583729	0.739848102699327	1.58496250072116	0.27500704749987	3.31759350462347	2.56315813040281	3.60999129521268	1.70043971814109	3.06004738366994	1.77820857639809	3.08746284125034	2.1243281350022	3.08236196955747
"FCER2"	0	2.61353165291793	0.879705766282288	2.77820857639809	0	2.48800077083407	0	1.37851162325373	1.64616265715789	2.82374936030827	4.06091204958787	1.83187724119167	1.81147103052984	1.15055967657538	0.970853654340484	0.53605290024021	1.17632277264046	1.0071955014042	1.06350294230616	1.28688114778816	1.70043971814109	1.95977015521147	3.48542682717024	2.56559717585422	0	0.855989697308481	0.070389327891398	0.0840642647884745	0.650764559116902	0.124328135002202	1.22650852980868	1.38956681176273	0.782408564927373	1.15704371014558	1.03562390973072	0	0	1.41142624572647	0	4.49633451341711	2.21412480535285	1.11769504266975	0.464668267003444	1.41142624572647	0.189033824390017	0.594548549550354	0.333423733725192	2.04264433740849	0.622930350920177	0.773996325111173	0.622930350920177	1.67355642399014	0	0.31034012061215	0.250961573533219	1.21412480535285	0.855989697308481	0	0	0.895302621333307	0	0	0.933572638261024	0	1.04264433740849	0	0.773996325111173	0	0	0	0	0	0	0	0	0	0	0	1.91838623444635	0	1.23266075679027	0.176322772640463	0.356143810225275	0.526068811667588	0.37851162325373	0.823749360308273	0.20163386116965	0.918386234446348	0.333423733725192	0.604071323668861	0.263034405833794	0.238786859587116	0	0.0426443374084937	0.604071323668861	0.978195629681652	0.722466024471091	0.565597175854225	0.411426245726465	0.422233000683048	0.545968369105292	0	0.321928094887362	0.6959938131099	0.367371065648529	0.782408564927373	0.111031312388744	1.05658352836637	1.51601514700366	0	0.150559676575381	0.505890929729957	0.0426443374084937	1.23878685958712	0.422233000683048	1.21412480535285	0.250961573533219	0.669026765509631	0.367371065648529	0.722466024471091	0.765534746362977	1.05658352836637
"FCRL1"	0.839959587489532	0	1.23266075679027	1.92219784839637	0	1.91456452349394	1.98550043030488	0	0.55581615506164	0.748461233004036	4.1906148602095	2.50842865253186	1.81147103052984	1.08406426478847	1.16992500144231	1.03562390973072	1.13093086982645	1.25096157353322	1.55581615506164	1.02856915219677	1.59454854955035	2.55581615506164	4.21955576916691	2.45680614923047	0	0	0.137503523749935	0.250961573533219	0.815575428862573	0.0565835283663675	0.903038270112912	0	0	0	0	0	0.485426827170242	0	0	0	0.22650852980868	1.06350294230616	0	1.31614574229336	0.0285691521967709	0.55581615506164	0.20163386116965	2.46205231879643	0.27500704749987	0.124328135002202	0.0840642647884745	1.18269229751619	0.263034405833794	0.0840642647884745	0.176322772640463	1.11103131238874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57046293102604	0	0	0	0	0.933572638261024	0.565597175854225	0.443606651475615	0.31034012061215	0.367371065648529	0.189033824390017	0.584962500721156	0.411426245726465	0.298658315564515	1.04264433740849	0.367371065648529	0.37851162325373	0.454175893185802	0.22650852980868	0.189033824390017	0.0285691521967709	0.411426245726465	1.13750352374994	0.75702324650746	0.443606651475615	0.622930350920177	1.02147972741045	0.422233000683048	0.176322772640463	0.22650852980868	0.516015147003665	0.22650852980868	1.1243281350022	0.070389327891398	0.918386234446348	1.41683974191283	0.0565835283663675	0.27500704749987	0.475084882948783	0.0840642647884745	1.39506279951758	0.604071323668861	1.25701061820602	0.189033824390017	0.918386234446348	0.475084882948783	0.879705766282288	0.963474123974886	0.739848102699327
"CD19"	1.75274859140713	2.74200621086674	1.70929063572336	2.64385618977472	3.75274859140713	2.6915341649192	1.77820857639809	1.95233356636969	3.91073266190291	3.22032995487956	4.65592421308382	2.84398384404833	2.35614381022528	1.59454854955035	1.36176835941915	0.963474123974886	1.40599235967584	1.42223300068305	1.59931779369823	0.963474123974886	3.34908214639109	3.26903314645524	3.62993940943954	2.87381319835909	0	0.790772037862	0.263034405833794	0.963474123974886	1.0496307677246	0.432959407276106	1.13093086982645	0	0	0	0	0	0	0	0	3.84599177066457	0.443606651475615	0.903038270112912	0.150559676575381	1.15055967657538	0.124328135002202	0.613531652917927	0.367371065648529	1.41142624572647	0.432959407276106	0.16349873228288	0.20163386116965	1.59454854955035	0.367371065648529	0.0565835283663675	0.124328135002202	0.918386234446348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.992768430768924	0	0	1.4276061727819	1.85598969730848	0.575312330687437	1.43295940727611	0.356143810225275	0.344828496997441	0.53605290024021	0.855989697308481	1.28095631383106	1.72683121703249	0.84799690655495	0.505890929729957	1.82374936030827	1.7311832415722	0.55581615506164	0.16349873228288	0.773996325111173	1.6507645591169	1.82374936030827	0.526068811667588	0.678071905112638	0.985500430304885	1.44890095114513	1.09085343045111	0.641546029087524	0.739848102699327	0.333423733725192	2.86789646399265	0.137503523749935	1.37295209791183	1.50589092972996	0.20163386116965	0.422233000683048	0.565597175854225	0.0976107966264223	1	1.0496307677246	1.56559717585423	0.485426827170242	1.38404980679516	1.11103131238874	1.09085343045111	1.30451104180995	1.98550043030488
"TCL1A"	0.895302621333307	0	1.56071495447448	4.00539998774259	0	2.81966818349646	1.86393845042397	1.51601514700366	2.35049724708413	1.77820857639809	5.38162946703366	3.33913738491959	3.44890095114513	1.48542682717024	1.06350294230616	0.16349873228288	1.87970576628229	1.53106949272595	3.27052894238072	1.56559717585423	3.47508488294878	2.89336221076387	4.28169825009883	3.85399564717639	0	0	0.124328135002202	0.704871964456353	1.11103131238874	0.594548549550354	1.94485844580754	0	0	0	0	0	0	0.970853654340484	0	0	0.150559676575381	0.963474123974886	0.150559676575381	1.10433665981474	0.176322772640463	1.23266075679027	0.0976107966264223	2.30158764660319	0.238786859587116	0.0565835283663675	0.389566811762726	1.38956681176273	0.189033824390017	0	0	1.25701061820602	0	0.933572638261024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10097764772482	0	0	1.34482849699744	0.111031312388744	1.0496307677246	0.16349873228288	0.903038270112912	1.29278174922785	1.13750352374994	0.722466024471091	0.575312330687437	0.485426827170242	1.37851162325373	0.0426443374084937	0.111031312388744	1.58976348698498	1.6959938131099	1.04264433740849	0.31034012061215	1.38956681176273	0.765534746362977	0.565597175854225	0.250961573533219	0.807354922057604	0.333423733725192	0.604071323668861	1.73984810269933	1.62293035092018	2.52105073690096	2.06004738366994	0.150559676575381	0.485426827170242	0.432959407276106	0.238786859587116	1.55090066464752	0.604071323668861	1.68706068833989	0.0426443374084937	0.933572638261024	0.925999418556223	1.74416109557041	0.526068811667588	1.62293035092018
"FCRLA"	1.29865831556452	1.57046293102604	1.78240856492737	2.1407786557828	0.925999418556223	1.81557542886257	2.22342254993494	1.35049724708413	1.24488705912353	2.87970576628229	4.4541758931858	3.02502879449152	2.30742852519225	1.48026512205446	1.94485844580754	1.43829285157915	1.77820857639809	1.90303827011291	1.70487196445635	1.51096191927738	3.11603199344711	3.03913839390696	3.36176835941915	2.78659636189081	0	0	0.443606651475615	0.545968369105292	0.910732661902913	0.604071323668861	1.16349873228288	0	1.74416109557041	0	0	0	0.831877241191673	0	0	0	0.298658315564515	1.1243281350022	0.238786859587116	1.4541758931858	0.0976107966264223	1.08406426478847	0.321928094887362	1.91073266190291	0.863938450423971	0.250961573533219	0.565597175854225	1.90303827011291	0.879705766282288	0	0.137503523749935	1.36176835941915	0	0	0	1.08406426478847	0	0	0	0	2.02502879449152	0	0	0	0	0	0	1.08406426478847	0	1.89141918684608	0.895302621333307	0	0	0	0	1.26903314645524	0.613531652917927	0.815575428862573	0.475084882948783	0.704871964456353	0.516015147003665	0.650764559116902	0.722466024471091	1.36737106564853	0.75702324650746	0.7311832415722	1.84398384404833	1.47508488294878	0.575312330687437	0.31034012061215	0.985500430304885	1.46466826700344	1.43829285157915	0.7311832415722	0.7311832415722	1.31614574229336	1.49569516262407	0.27500704749987	0.55581615506164	0.748461233004036	0.485426827170242	2.58736499093646	0.137503523749935	1.41683974191283	1.56071495447448	0.214124805352847	0.422233000683048	0.669026765509631	0.6959938131099	1.37295209791183	0.948600847493356	1.61823865559545	0.622930350920177	1.33342373372519	0.53605290024021	1.87578006306849	1.11103131238874	1.58976348698498
"VPREB3"	2.53605290024021	0	3.23419472295381	2.39231742277876	0	2.8073549220576	0	0	2.46205231879643	0	4.04614178164472	3.55458885167764	3.24184018356467	1.72683121703249	2.08065766334523	1.56559717585423	1.94485844580754	2.0496307677246	1.41683974191283	0.739848102699327	3.18269229751619	3.05484847699562	3.39231742277876	2.33628338786443	2.83187724119167	3.64616265715789	0.748461233004036	0.475084882948783	1	2.71149490665009	0.807354922057604	2.26002565596146	1.80322703643493	0	0	0	0	0	0	0	0.286881147788162	1.30451104180995	0.400537929583729	1.4905701304462	0.263034405833794	0.75702324650746	0.485426827170242	1.4594316186373	1.04264433740849	0.575312330687437	0.176322772640463	2.6667565918848	0.704871964456353	0.189033824390017	0	1.18269229751619	1.94110631094643	3.13914201914569	0	0	0	0	2.05311133645956	0	4.32840565895857	0	1.74416109557041	0	0	0	0	0	4.80992886572143	2.95046841415012	4.34624777408278	0	2.17951105027151	1.79493566280354	0	3.79597469420667	1.52105073690096	1.11103131238874	0.669026765509631	0.678071905112638	0.16349873228288	1.50589092972996	0.773996325111173	1.4905701304462	0.84799690655495	0.53605290024021	0.831877241191673	1.11769504266975	0.238786859587116	0.0840642647884745	1.14404636961671	1.67807190511264	2.56315813040281	0.918386234446348	1.04264433740849	1.37851162325373	0.53605290024021	0.475084882948783	0.333423733725192	1.6507645591169	0.632268215499513	1.98913900736823	0.333423733725192	1.96716860753263	2.14730669878029	0	0.823749360308273	0.176322772640463	0	0.823749360308273	0.903038270112912	1.46988597627446	0.238786859587116	1.58496250072116	0.704871964456353	1.36176835941915	1.05658352836637	1.36737106564853
"CR2"	2.7158933705476	1.29278174922785	3.22187708107703	3.10433665981474	1.06350294230616	4.16430358309365	0.37851162325373	2.4276061727819	1.99276843076892	2.23878685958712	5.07937811111865	2.05311133645956	3.95512678126137	1.63691458035588	2.70487196445635	0.669026765509631	2.64154602908752	0.687060688339892	0.773996325111173	0.790772037862	3.05658352836637	2.43028527297778	3.12598165385472	4.75435307169213	3.62293035092018	0	0.613531652917927	0.150559676575381	0.526068811667588	0.956056652412403	1.29278174922785	1.19534759832222	0	0	0	0	0	0	0	0.545968369105292	0.0976107966264223	0.422233000683048	0	0.948600847493356	0	0.16349873228288	0.16349873228288	3.14404636961671	0.321928094887362	0.0143552929770701	0.475084882948783	1.41142624572647	0.070389327891398	0.0285691521967709	0.22650852980868	1.64616265715789	0	0	0	0	0	0	0	0	0	0	0.641546029087524	0	2.34482849699744	0	0	0	0	0	0	3.41683974191283	0	0	0	0.895302621333307	0	0.823749360308273	0.189033824390017	0.516015147003665	0.815575428862573	0.389566811762726	0.176322772640463	0.815575428862573	0.516015147003665	0.189033824390017	0.584962500721156	0.545968369105292	0.16349873228288	0.137503523749935	0.7311832415722	1.43829285157915	1.60407132366886	0.855989697308481	0.475084882948783	0.799087306074004	0.454175893185802	0.0565835283663675	0.367371065648529	0.495695162624069	0.53605290024021	2.85996954822103	0.0143552929770701	1.43295940727611	0.855989697308481	0	0.214124805352847	0.84799690655495	0.0976107966264223	0.594548549550354	2.37573453858316	1.80322703643493	0.189033824390017	1.15704371014558	0.263034405833794	3.12763327972587	0.678071905112638	2.46205231879643
"BLK"	0	1.62293035092018	2.22650852980868	4.12184429787638	1.72246602447109	3.34624777408278	1.6959938131099	3.24640808724638	3.38404980679516	2.38128337250378	3.64846544302731	2.80322703643493	1.97085365434048	1.40053792958373	1.36737106564853	1.68706068833989	1.22650852980868	1.4905701304462	1.13750352374994	0.622930350920177	1.41142624572647	2.54596836910529	3.6724253419715	2.32768736417605	0.632268215499513	0	0.22650852980868	0.27500704749987	0.584962500721156	0.137503523749935	0.7311832415722	0	0.918386234446348	0	0.871843648509318	0	0	0	0	2.22342254993494	0.344828496997441	1.51601514700366	0.124328135002202	1.26903314645524	0.124328135002202	0.650764559116902	0.286881147788162	1.56559717585423	0.933572638261024	0.0565835283663675	0.263034405833794	1.52105073690096	0.31034012061215	0.0426443374084937	0.124328135002202	0.823749360308273	0	0	0	0.782408564927373	0	0.75702324650746	0.613531652917927	0	0	0	0	0	0.807354922057604	0	0	0	0.739848102699327	2.15380533607904	0	0	0.84799690655495	0	0.807354922057604	2.10433665981474	1.59454854955035	0.641546029087524	0.367371065648529	0.400537929583729	0.263034405833794	0.669026765509631	0.443606651475615	1.64154602908752	0.545968369105292	0.464668267003444	0.545968369105292	0.20163386116965	0.070389327891398	0.111031312388744	0.722466024471091	1.44890095114513	1.11769504266975	0.584962500721156	0.687060688339892	1.07724299893246	0.839959587489532	0.0976107966264223	0.475084882948783	0.516015147003665	0.176322772640463	1.91073266190291	0.263034405833794	0.956056652412403	1.15055967657538	0.263034405833794	0.367371065648529	0.238786859587116	0	0.978195629681652	0.344828496997441	1.31034012061215	0.443606651475615	1.02147972741045	0.37851162325373	0.978195629681652	0.963474123974886	1.39506279951758
"CD79A"	4.69432306012539	3.54966917072649	4.51412226017071	5.1509657835565	3.57410150808939	4.78345665436024	4.50652577904312	4.97177344719337	5.26077843189343	5.69710657447698	7.24887634283713	5.76420813013995	5.05571626351254	4.16430358309365	4.18665901720211	3.40735275114004	3.39917109381982	4.06436554026363	4.08746284125034	4.07809742302666	6.53962412155905	5.05874941233552	5.48381577726426	5.28651155766423	1.19534759832222	1.13093086982645	2.77399632511117	3.15380533607904	2.60169651648096	2.15380533607904	3.07382023329167	1.37851162325373	1.53106949272595	0	0	2.36176835941915	0	0	1.09085343045111	2.56803210477128	2.73552217729654	3.0408924306469	0.575312330687437	3.7771566660045	0.27500704749987	2.67355642399014	1.73984810269933	4.3819754785573	2.57773093149008	1.03562390973072	2.43829285157915	4.32481060342048	2.85598969730848	1.20789285164133	0.565597175854225	3.18903382439002	2.51349074558812	2.13422093976063	0	0.887525270741587	0	0	1.13093086982645	0	1.35614381022528	0	0	0	3.21101219348551	1.46466826700344	0	0	1.16349873228288	1.78659636189081	1.21412480535285	2.41142624572647	0	1.01435529297707	2.56559717585422	3.52732060787705	3.25247621413522	3.78240856492737	2.15055967657538	2.01792190799726	1.70487196445635	2.70043971814109	4.05571626351254	3.81352468929781	2.58255600301406	2.02856915219677	5.60821785302146	5.27388882366849	2.01435529297707	2.26303440583379	3.98185265328974	3.92029330021101	4.51285895444998	2.78868571061353	2.64154602908752	3.58856473740135	4.84498815668261	3.03562390973072	2.62058641045188	3.15218341905505	1.15704371014558	6.30323278525064	1.89141918684608	3.70265754339091	4.18348651445939	0.782408564927373	1.07724299893246	2.45680614923047	0.526068811667588	3.47767732756531	2.46205231879643	4.21179097625254	1.98185265328974	3.50969584193339	3.114367024952	4.07724299893246	3.62760683812965	4.28762004411207
