"BC_HKB0831_1520_T"	"BC_HKB0899_M1605_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0091_3001_T"	"HKB0098_3005_T"	"HKB0134_3006_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0659_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0543_1306_T"	"BC_HKB0779_1486_T"	"BC_HKB0921_1575_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0074_3000_T"	"HKB0094_3006_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0162_3006_T"	"HKB0186_3000_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0674_3000_T"	"HKB0736_3000_T"	"BC_HKB0733_1459_T"	"BC_HKB0567_M1337_T"	"BC_HKB0761_1499_T"	"HKB0064_3004_T"	"HKB0070_3002_T"	"HKB0120_3000_T"	"HKB0160_3000_T"	"HKB0207_3001_T"	"HKB0552_3000_T"	"HKB0719_3002_T"	"BC_HKB0056_809_T"	"BC_HKB0728_1447_T"	"BC_HKB0830_1541_T"	"BC_HKB0838_1563_T"	"BC_HKB0902_1617_T"	"BC_HKB0904_1595_T"	"BC_HKB0917_1656_T"	"BC_HKB2118_1689_T"	"HKB0210_3006_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0033_3006_T"	"HKB0065_3006_T"	"HKB0078_3000_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0092_3000_T"	"HKB0101_3000_T"	"HKB0159_3006_T"	"HKB0164_3006_T"	"HKB0179_3006_T"	"HKB0196_3006_T"	"HKB0208_3006_T"	"HKB0222_3006_T"	"HKB0226_3001_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0599_3000_T"	"HKB0698_3000_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0748_3000_T"	"BC_HKB0187_1214_T"	"BC_HKB0689_M1326_T"	"BC_HKB0759_1488_T"	"BC_HKB0772_1460_T"	"BC_HKB0775_1470_T"	"BC_HKB0827_1539_T"	"BC_HKB1370_1673_T"	"BC_HKB2127_1726_T"
"CXCR6"	6.8146785889699	5.60792206726114	3.26603689399532	3.1586601753465	2.54101915313356	3.42223300068305	3.89044669267991	2.8073549220576	2.35895882583233	2.73768676140986	4.58916423669977	2.54843662469604	4.1811025507538	3.13093086982645	4.42290574261218	3.32192809488736	3.51853513898218	4.26077843189343	6.85524225145415	6.27164977245721	6.32138698278217	6.65248649491816	4.82017896241519	2.6507645591169	3.34766565630097	3.22804904788446	2.9429835981871	2.19849415363908	2.58976348698498	2.611172380044	2.58736499093646	2.93922657772821	2.55336050333533	3.09929520433778	3.35049724708413	2.46466826700344	3.90110824301451	5.17472598770613	5.2861418728343	5.12639473762014	4.50080205305716	1.76553474636298	1.36737106564853	2.30742852519225	0.333423733725192	3.81044310384517	1.66902676550963	1.71808758396052	5.51032901949057	6.25417828621676	6.64875303298957	5.64645070648318	6.78135971352466	6.31831684133498	5.50143914515887	5.68957872550933	1.22650852980868	1.57531233068744	1.74846123300404	1.26303440583379	1.86789646399265	1.11769504266975	2.87381319835909	0.839959587489532	2.07382023329167	1.49569516262407	2.19219416528334	1.20789285164133	1.4594316186373	1.72683121703249	0.963474123974886	2.16992500144231	1.62293035092018	1.27500704749987	1.55090066464752	1.55090066464752	1.85598969730848	2.05658352836637	0.526068811667588	1.68706068833989	2.03913839390696	5.31542131594578	4.16510798514454	5.39369076418745	5.78607355157855	6.27984269352035	6.50477927077394	5.06608919045777	6.05267672430358
"CD2"	4.9297909977186	6.11852584893567	4.5668151540109	5.35579154675365	4.8801957289431	4.5765221379205	5.24298351610969	4.5077946401987	3.84799690655495	3.9560566524124	6.09000652990382	4.83895176695194	5.52262076104208	4.98322165074267	5.52732060787705	4.84197311892718	5.41244282477561	4.70487196445635	5.80348537559595	4.9500017490835	4.21334728173344	4.44493204894218	6.46825746832314	3.94953493301701	5.04395687279021	4.58135124716878	4.32696871158789	3.9126498648972	4.20163386116965	3.95233356636969	4.38956681176273	4.80683958179819	4.19140472885276	5.32624970083746	5.19179950106508	4.51727569320958	6.09021830165332	6.77991629665499	2.74416109557041	3.43295940727611	2.6915341649192	1.99276843076892	2.58496250072116	4.17072627613155	1.85598969730848	5.02768487693716	2.70265754339091	3.57531233068744	2.47508488294878	3.04439411935845	3.72137265947682	1.68257329734758	2.84799690655495	1.57046293102604	2.62058641045188	2.97819562968165	2.29278174922785	3.24488705912353	3.73226919950145	3.05137210172103	3.68032435684402	2.13750352374994	3.97544676564096	2.18903382439002	3.51349074558812	2.4594316186373	3.65306001710456	2.78240856492737	2.71149490665009	3.36176835941915	2.16671544496642	3.68818035858693	2.87184364850932	2.56803210477128	3.0071955014042	2.81557542886257	3.32048467801769	3.14567745519564	1.77820857639809	2.27798474729977	3.46466826700344	1.1243281350022	1.33913738491959	2.84197311892718	1.02147972741045	1.94485844580754	2.67129337248158	0.739848102699327	0
"IL2RB"	2.62293035092018	4.72900887033786	4.33485426933163	3.64270157183323	3.605257262939	3.28243980500639	3.91934008244201	2.89917563048051	2.70929063572336	2.63226821549951	5.00809242094872	3.71259578044703	2.81762325751143	2.7311832415722	3.56803210477128	2.75915583380027	3.5385381636298	3.33199177823206	3.47767732756531	1.6959938131099	1.97452931248388	3.33485426933163	4.63633460244218	2.30742852519225	3.36737106564853	2.64385618977472	2.62293035092018	2.18269229751619	2.08406426478847	2.49825086752783	2.23572705983806	3.1586601753465	2.96162332828694	3.63110428236588	2.70043971814109	1.94860084749336	5.02281165091563	4.99050111136325	0.659924558402378	1.21412480535285	0	1.59931779369823	1.49569516262407	2.51349074558812	1.03562390973072	2.62993940943954	1.22032995487956	1.65535182861255	0.970853654340484	1.18269229751619	2.15704371014558	0.333423733725192	1.0703893278914	0.75702324650746	0.53605290024021	0.485426827170242	1.62760683812965	2.114367024952	2.10097764772482	1.68257329734758	2.56071495447448	1.54596836910529	3.22958792274065	3.14893410452634	2.49825086752783	1.58014548442338	2.38956681176273	1.76977173924945	1.77820857639809	2.47248777146274	1.52105073690096	1.96347412397489	1.4905701304462	1.53106949272595	1.18269229751619	2.1407786557828	1.59931779369823	1.4276061727819	0.475084882948783	0.918386234446348	1.6915341649192	1.16349873228288	0	2.23878685958712	0	1	0.432959407276106	0	0.321928094887362
"KLRC4"	3.01613970265525	0	1.31614574229336	2	1.18269229751619	0.970853654340484	1.48026512205446	0	0.887525270741587	1.0496307677246	2.13093086982645	1.51601514700366	0.963474123974886	1.61823865559545	2.1407786557828	1.36176835941915	2.40871186102943	2.43562859405209	0	0	3.06695024392463	3.13586316536868	3.16349873228288	1	2.0036022366802	1.64616265715789	1.09761079662642	0.475084882948783	1.72246602447109	0.790772037862	1.16349873228288	1.04264433740849	0	1.23878685958712	0.55581615506164	0.978195629681652	1.87184364850932	4.22804904788446	0	0	0	0.526068811667588	0.739848102699327	0.669026765509631	1.18903382439002	1.03562390973072	1.24488705912353	0.713695814843359	0	1.39506279951758	0	0	0	0	0	0	0.495695162624069	0	1.0071955014042	0.495695162624069	0.713695814843359	0.613531652917927	0.815575428862573	0.526068811667588	0.454175893185802	0.650764559116902	0.941106310946431	0.6959938131099	0.16349873228288	0.75702324650746	0.748461233004036	0.613531652917927	0.650764559116902	0	0	0	0.485426827170242	1.4905701304462	0	0	1.44360665147561	0	0	0	0	0	0	2.22650852980868	0
"UBD"	6.28632672709055	8.3212065669699	7.1006623390052	8.60399717008549	7.75248100445637	6.35966172233388	7.63335855063711	7.7814908616581	5.89917563048051	6.92100780045222	8.48413813120167	6.231701199029	9.39212419175306	5.87504280300259	9.78150725433654	7.85343432363353	7.18586654531133	6.42978332050851	7.8483725594775	5.50366675457602	5.95233356636969	4.95884267524324	8.14756110196932	4.20554891117303	5.8414699994658	5.39163026151743	5.36737106564853	4.3533232911629	5.61765111942733	4.1586601753465	4.1168637576909	5.04745114041639	4.96855160336395	7.94186925352626	5.7679195858018	5.05831649559082	7.60110220337641	8.30309576199304	0	0	0	2.21723071622067	4.70099449416827	4.49633451341711	2.16349873228288	5.52512925120397	5.59036248846375	4.05224198118114	3.33485426933163	3.63807383718072	4.29425313644451	0	5.26491169307446	3.63923216324928	4.94626298433245	3.64731450954714	6.68650052718322	5.60258752734256	4.57167680997093	2.43562859405209	6.33002051583608	4.25625587320273	6.0232553523003	6.166514610409	7.1717272440763	6.1197711619529	4.63575439127776	6.03628352798845	5.03518399661834	2.83995958748953	2.32768736417605	5.58886451819015	3.4594316186373	5.18824265626441	4.25096157353322	4.97407036702403	5.08533966935737	4.14974711950468	6.89699834233891	2.42492208821069	5.2349610948395	0	5.64702663265485	4.91934008244201	2.08065766334523	6.10852445677817	3.75167794568758	0.214124805352847	5.13422093976063
"TNFSF13B"	2.69821847822441	4.1168637576909	3.4235781709818	3.36597242759338	4.38128337250378	3.67581593117227	4.29645740737124	4.12350066435096	4.13422093976063	4.27276973243651	5.25361115194717	4.18824265626441	5.17632277264046	3.54225804976692	6.15157472976641	3.99909803370561	3.84699468696557	3.89820835250872	4.25171909260596	3.5837597536395	2.81762325751143	3.81147103052984	4.98686597232911	2.89530262133331	3.88752527074159	3.02680005934372	2.63923216324928	2.81762325751143	2.30451104180995	3.29130885982897	2.73335434061383	3.58976348698498	3.10601323762212	3.52732060787705	3.49825086752783	3.26153081524341	4.83238371654913	4.57531233068744	3.25398926623079	3.52606881166759	1.33342373372519	2.82984955984469	2.97636363573276	3.4931349223055	2.25701061820602	3.84398384404833	2.8011586560937	2.49825086752783	2.87970576628229	0	1.35614381022528	0	0	1.90689059560852	1.48026512205446	2.54101915313356	3.02502879449152	3.79805051476751	3.20006486151431	3.00180224263399	4.04439411935845	2.52606881166759	3.85798099512757	2.5385381636298	3.56071495447448	2.65306001710456	2.56803210477128	2.93922657772821	2.68706068833989	3.35049724708413	2.09423606984577	2.04264433740849	2.51349074558812	2.86195536414487	2.99638874644762	2.5385381636298	4.08831123588866	3.21101219348551	2.44360665147561	2.54101915313356	3.0408924306469	2.50589092972996	0	3.06522762277562	1.23878685958712	4.09254574154357	4.71644223684332	1.93357263826102	1.54596836910529
"GPR25"	1.97085365434048	5.53200519379057	0.632268215499513	0.176322772640463	0.214124805352847	0.7311832415722	0.799087306074004	0.0565835283663675	0.20163386116965	0.0565835283663675	0.485426827170242	0.0565835283663675	0	0	0.432959407276106	0.238786859587116	0.400537929583729	0.238786859587116	2.8011586560937	2.77610398807316	1.09761079662642	2.91838623444635	0.687060688339892	0.070389327891398	0.137503523749935	0	0.111031312388744	0.0976107966264223	0	0.070389327891398	0.422233000683048	0.070389327891398	0.0840642647884745	0.321928094887362	0.124328135002202	0.0840642647884745	0.333423733725192	0.0976107966264223	0	0	0	0	0.124328135002202	0.214124805352847	0	0.31034012061215	0	0.176322772640463	2.33913738491959	2.95046841415012	3.21723071622067	1.06350294230616	2.82781902461732	0	0	1.43829285157915	0.137503523749935	0.150559676575381	0	0	0.263034405833794	0.111031312388744	0.356143810225275	0	0	0.070389327891398	0.0565835283663675	0	0	0	0	0	0	0.070389327891398	0	0.0840642647884745	0	0	0	0	0.150559676575381	0	2.13093086982645	0	0	0	0	0	0
"CD7"	4.23725777090037	6.13051908302734	3.9174317553901	3.83794324189103	3.26903314645524	3.54349588342577	3.57288966842058	2.96532254836725	2.41142624572647	2.790772037862	4.4093909361377	3.5909612413426	2.82578562746479	2.35895882583233	3.36876834909033	2.43295940727611	3.17951105027151	3.30597052098439	4.77294133783134	3.85897561429202	2.24488705912353	3.44095219802964	4.46205231879643	2.114367024952	3.51222688651396	2.44095219802964	2.94485844580754	1.85598969730848	1.94485844580754	2.09085343045111	1.90689059560852	2.56803210477128	2.4032677223393	3.20163386116965	2.47248777146274	2.0071955014042	4.06350294230616	4.6450098843911	1.17632277264046	0.941106310946431	1.22032995487956	0.839959587489532	1.32768736417605	2.68706068833989	0.790772037862	1.66448284036468	0.948600847493356	0.985500430304885	0	2.44095219802964	0	0.925999418556223	0	1.13750352374994	0	0	1.78240856492737	1.4541758931858	2.06695024392463	1.02856915219677	2.32192809488736	0.887525270741587	2.6915341649192	1	2.07382023329167	1.27500704749987	1.67807190511264	1.34482849699744	1.43829285157915	1.89530262133331	1.32192809488736	1.51601514700366	0.584962500721156	1.29278174922785	1.28688114778816	1.28095631383106	1.30451104180995	1.22650852980868	0.432959407276106	0.855989697308481	2.12763327972587	1.96347412397489	0	2.08065766334523	1.75702324650746	0	0	0.863938450423971	1.83592407425437
"CTLA4"	2.78031009904338	3.81966818349646	2.25398926623079	2.74416109557041	2.64616265715789	2.55336050333533	2.49825086752783	2.63226821549951	2.18903382439002	2.611172380044	4.16108148227718	2.44360665147561	3.72574115650395	1.75274859140713	2.72683121703249	2.28392177230762	2.77188557851537	2.17632277264046	3.29865831556452	1.54101915313356	2.39780296186249	3.11769504266975	4.39369076418745	1.37295209791183	3.25701061820602	2.24488705912353	2.46466826700344	1.67807190511264	1.75702324650746	1.91838623444635	1.57531233068744	2.17312743348066	1.89141918684608	2.09761079662642	2.4032677223393	1.40599235967584	3.40053792958373	4.20789285164133	0	2.01435529297707	0	0.84799690655495	0.739848102699327	1.96716860753263	0.37851162325373	1.50080205305716	0.622930350920177	1.30451104180995	0	0	1.08406426478847	0	1.02856915219677	1.36737106564853	0	2.16027483140859	1.58976348698498	1.1243281350022	1.91838623444635	0.594548549550354	1.52606881166759	0.485426827170242	2.08406426478847	0.903038270112912	1.39506279951758	1.09085343045111	1.24488705912353	1.68257329734758	0.895302621333307	1.44360665147561	0.739848102699327	1.38404980679516	0.748461233004036	0.831877241191673	1.41683974191283	1.24488705912353	1.40599235967584	1.09761079662642	0.16349873228288	0.799087306074004	1.51601514700366	0	0	1.26903314645524	0	2.27202318906105	0	0.739848102699327	0
"FPR3"	3.0686708106651	3.98093926608551	4.80787007829978	4.49825086752783	5.82883464946806	5.02591469875079	5.48800077083407	5.3823214071145	4.97498811199193	5.39882918244463	6.53807250273785	5.72601374886015	6.3212065669699	4.97636363573276	6.15035658020834	5.44426950241348	5.33127526714661	5.61235249875266	4.29425313644451	3.88947354253111	3.41818994794577	4.0071955014042	5.69181329717138	3.82068956055921	5.42122329922514	4.32409051603798	3.7158933705476	2.85199883711245	3.5197934862411	4.6507645591169	5.03913839390696	5.17152710603881	4.52919626799939	5.43429461795993	5.67157644813065	5.14526985665051	5.94579495674006	5.53449743373817	1.94485844580754	4.20789285164133	2.05658352836637	5.31034012061215	4.05050169744673	5.94110631094643	3.34198574722862	4.39985467357243	4.11769504266975	3.44493204894218	3.59931779369823	3.14893410452634	1.82781902461732	3.75167794568758	2.68032435684402	4.57288966842058	3.32048467801769	2.4931349223055	4.33342373372519	4.35755200461808	4.93073733756289	4.94532677726463	5.03869955130559	3.40599235967584	4.90303827011291	4.48928602262588	4.37503943134692	4.4905701304462	4.06091204958787	4.81147103052984	4.32840565895857	4.9923152518612	4.32264926213102	3.98913900736823	3.67694435910691	3.81966818349646	4.43095427138573	3.40463068421761	5.20515788392009	4.51159454153741	3.64500988439109	3.47378691161437	4.25247621413522	1.61353165291793	2.76128527336162	2.611172380044	3.61706334388818	2.57288966842058	4.73335434061383	1.54596836910529	5.19770815795585
