"BC_HKB0112_933_T"	"BC_HKB0199_1263_T"	"BC_HKB0543_1306_T"	"BC_HKB0662_1294_T"	"BC_HKB0728_1447_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"BC_HKB1385_1721_T"	"BC_HKB2113_1657_T"	"HKB0016_3006_T"	"HKB0035_3006_T"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0132_3006_T"	"HKB0155_3000_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0719_3002_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0751_3000_T"	"BC_HKB0022_649_T"	"HKB0008_3006_T"	"HKB0033_3006_T"	"HKB0064_3004_T"	"HKB0067_3006_T"	"HKB0070_3002_T"	"HKB0089_3001_T"	"HKB0120_3000_T"	"HKB0137_3002_T"	"HKB0143_3006_T"	"HKB0164_3006_T"	"HKB0179_3006_T"	"HKB0191_3001_T"	"HKB0209_3004_T"	"HKB0222_3006_T"	"HKB0227_3006_T"	"HKB0576_3000_T"	"HKB0599_3000_T"	"HKB0722_3002_T"	"BC_HKB0882_1555_T"	"BC_HKB2116_1671_T"	"HKB0007_3005_T"	"HKB0036_3006_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0121_3006_T"	"HKB0134_3006_T"	"HKB0710_3000_T"	"HKB0718_3000_T"
"FCRL3"	1.1243281350022	0.773996325111173	2.47508488294878	1.1243281350022	1.84799690655495	2.10097764772482	2	1.58496250072116	2.93357263826102	2.78031009904338	1.77399632511117	2	0	1.73552217729654	1	4.01077983875324	2.42223300068305	1.11103131238874	3.09423606984577	2.36737106564853	2.16349873228288	1.44890095114513	1.50589092972996	1.23266075679027	2.0036022366802	1.32768736417605	1.29865831556452	1.88362081628567	1.0496307677246	2.03562390973072	1.88362081628567	1.46988597627446	1.83187724119167	1.28688114778816	1.65535182861255	2.03562390973072	3.31614574229336	1.29278174922785	4.64961545906341	1.20789285164133	2.65764000520782	1.08406426478847	0.790772037862	0.150559676575381	0.454175893185802	0.75702324650746	0.411426245726465	0.344828496997441	0.941106310946431	0.831877241191673	0.782408564927373	0.31034012061215	0.37851162325373	0.31034012061215	0.27500704749987	0.475084882948783	0.713695814843359	0.189033824390017	0.526068811667588	0.659924558402378	0	1.81147103052984	0.485426827170242	0.367371065648529	1.46988597627446	0.925999418556223	0.918386234446348	0.992768430768924	0.925999418556223	0.978195629681652	0.773996325111173	0.799087306074004	0.956056652412403	0.956056652412403	1.63691458035588
"PLA2G2D"	0	1.34482849699744	4.20633064787105	2.54101915313356	1.03562390973072	1.50589092972996	2.58976348698498	2.08065766334523	2.72465027173297	3.28540221886225	2.54843662469604	3.76871365703048	2.20163386116965	1.26903314645524	0.823749360308273	5.90183230578549	3.0703893278914	0.839959587489532	2.16349873228288	1.88362081628567	1.77820857639809	2.74416109557041	1.24488705912353	0.933572638261024	1.27500704749987	1.64616265715789	1.27500704749987	4.72900887033786	1.43829285157915	2.66448284036468	1.4276061727819	2.41142624572647	1.10433665981474	0.823749360308273	1.94485844580754	3.56071495447448	4.48607074373567	0.432959407276106	4.97039353791468	0.765534746362977	3.0496307677246	0.53605290024021	0.526068811667588	0.22650852980868	0.344828496997441	0.782408564927373	0.0426443374084937	2.11769504266975	1.09085343045111	1.96347412397489	0.839959587489532	0.432959407276106	0.286881147788162	0.16349873228288	0.286881147788162	0.070389327891398	0.823749360308273	0	0.432959407276106	0.475084882948783	0.613531652917927	2.77188557851537	1.83592407425437	0.176322772640463	2.77188557851537	1.7311832415722	1.70929063572336	1.98185265328974	1.74846123300404	2.0071955014042	1.91838623444635	1.0496307677246	1.4276061727819	2.34766565630097	2.35049724708413
"BTLA"	3.51349074558812	1.80322703643493	1.70043971814109	0	1.59454854955035	1.47508488294878	2.36176835941915	0.831877241191673	3.0703893278914	0.432959407276106	1.43295940727611	1.0071955014042	0.903038270112912	1.04264433740849	1.13750352374994	4.5668151540109	1.81966818349646	1.31614574229336	2.48542682717024	1.80322703643493	2.23266075679027	1.68706068833989	1.53106949272595	1.41683974191283	2.31324585178756	1.26903314645524	1.32192809488736	2.42492208821069	1.40053792958373	1.56559717585423	1.06350294230616	1.74416109557041	2.21412480535285	1.34482849699744	1.7311832415722	2.84799690655495	2.92409988564074	1	4.68425770505893	0.918386234446348	2.07382023329167	0.454175893185802	0.545968369105292	0.367371065648529	0.411426245726465	0.823749360308273	0.333423733725192	0.659924558402378	1.23266075679027	0.895302621333307	0.713695814843359	0.367371065648529	0.575312330687437	0.782408564927373	0.298658315564515	0.356143810225275	0.55581615506164	0.495695162624069	0.516015147003665	0.565597175854225	0.53605290024021	0	0.903038270112912	0.464668267003444	0.970853654340484	0.687060688339892	0.815575428862573	1.70929063572336	0.895302621333307	0.985500430304885	1.58496250072116	0.956056652412403	1.31034012061215	1.63691458035588	1.39506279951758
"PVRIG"	6.32912359629157	3.96439863220318	5.71671659170597	4.48607074373567	6.49505552836802	5.96993327469786	5.21256933885081	5.52669484554198	6.49089097889429	6.22824149703314	5.61735726159132	5.81249822533356	5.48026512205446	1.33913738491959	1.83995958748953	3.5909612413426	2.88947354253111	1.93734439215023	3.19849415363908	2.13750352374994	2.09761079662642	1.9297909977186	1.43295940727611	1.81557542886257	2.02856915219677	1.40599235967584	1.87578006306849	2.88557436437143	2.30451104180995	2.0071955014042	2.19534759832222	2.9126498648972	2.04264433740849	1.58496250072116	1.81147103052984	2.20163386116965	3.80529245560071	1.25096157353322	4.09761079662642	1.53605290024021	2.64846544302731	4.74953426766926	1.29278174922785	0.722466024471091	0.839959587489532	1.14404636961671	0.970853654340484	1.0703893278914	1.21412480535285	1.15704371014558	1.83995958748953	1.04264433740849	1.19534759832222	1.46988597627446	0.773996325111173	0.807354922057604	1.26903314645524	0.687060688339892	0.622930350920177	0.948600847493356	3.96069703930431	5.18824265626441	1.36737106564853	0.823749360308273	2.02856915219677	0.963474123974886	1.62760683812965	1.61353165291793	2.30451104180995	2.24488705912353	1.56559717585423	1.32768736417605	1.76128527336162	2.26303440583379	1.76553474636298
"GZMK"	0	2.68032435684402	4.96023367169445	3.09254574154357	1.93357263826102	3.43162295971329	3.7279204545632	1.85199883711245	3.33485426933163	3.32192809488736	1.13093086982645	4.74362267606765	1.30451104180995	3.22958792274065	3.67694435910691	6.24317398347295	5.08576455377831	3.69041709553247	4.90592847817314	3.5385381636298	4.84498815668261	4.4235781709818	3.87282875953489	3.65420637794429	4.92124588858559	3.55704241526372	4.12267271882414	4.78293270482084	4.5915597458278	4.42492208821069	4.21645486514476	4.8414699994658	4.70210340662939	4.674686619928	4.69710657447698	4.90255600534463	5.96786027116915	3.4931349223055	7.06641214573448	3.00539998774259	5.68594014844598	1.74846123300404	3.28392177230762	2.86393845042397	2.28392177230762	2.76553474636298	1.25096157353322	2.8011586560937	3.21101219348551	3.46858331700683	3.48542682717024	2.13093086982645	2.36457243229586	2.70708299177171	1.87578006306849	2.53356334821451	2.21101219348551	2.8972404255748	2.72683121703249	3.00539998774259	0	2.79285535236249	3.28540221886225	1.7311832415722	3.21101219348551	2.40053792958373	3.03913839390696	3.48284828306847	3.34198574722862	3.84297883178833	3.24031432933371	3.55336050333533	3.76128527336162	3.91647664443772	4.67638025546692
"SPIB"	0	2.4276061727819	6.67567481560108	3.47508488294878	3.33485426933163	1.57531233068744	1.79493566280354	2.86789646399265	0	6.81966818349646	0.970853654340484	2.15380533607904	0	1.43295940727611	1.55090066464752	4.72465027173297	2.25398926623079	1.35049724708413	3.35895882583233	2.96532254836725	1.75274859140713	1.94110631094643	1.33342373372519	2.01077983875324	1.78659636189081	1.50080205305716	1.78659636189081	2.48542682717024	2.48800077083407	2.50080205305716	1.91838623444635	2.70265754339091	2.67355642399014	1.68706068833989	2.09761079662642	3.66448284036468	3.94392132655349	1.35614381022528	3.25550073314839	1.29865831556452	3.13093086982645	0.970853654340484	1.01435529297707	0.150559676575381	0.333423733725192	0.863938450423971	0.475084882948783	0.250961573533219	1.790772037862	0.584962500721156	0.963474123974886	1.02856915219677	0.53605290024021	0.879705766282288	0.137503523749935	0.0840642647884745	0.505890929729957	0.0426443374084937	0.411426245726465	0.687060688339892	1.13750352374994	0	1.88362081628567	0.641546029087524	1.85598969730848	1.18269229751619	1.68257329734758	1.36737106564853	1.21412480535285	1.1243281350022	2.70929063572336	1.40599235967584	1.50589092972996	6.34482849699744	1.54101915313356
"TTC24"	0	0.871843648509318	0.713695814843359	0	1.44360665147561	0.807354922057604	1.51601514700366	0	0	2.38128337250378	0	0	0	0.0976107966264223	0.31034012061215	2.40599235967584	0.485426827170242	0.27500704749987	0.871843648509318	0.871843648509318	0.333423733725192	0.367371065648529	0.214124805352847	0.189033824390017	0.400537929583729	0.16349873228288	0.432959407276106	0.933572638261024	0.739848102699327	0.782408564927373	0.321928094887362	0.400537929583729	0.475084882948783	0.565597175854225	0.516015147003665	0.400537929583729	1.05658352836637	0.111031312388744	2.36176835941915	0.0840642647884745	0.7311832415722	0	0.0976107966264223	0.0426443374084937	0.124328135002202	0.176322772640463	0.150559676575381	0.124328135002202	0.137503523749935	0.070389327891398	0.400537929583729	0	0.286881147788162	0.137503523749935	0.0426443374084937	0.0565835283663675	0.0565835283663675	0.124328135002202	0	0.22650852980868	0	0	0.31034012061215	0.0840642647884745	0.594548549550354	0.111031312388744	0.124328135002202	0.641546029087524	0.584962500721156	0.344828496997441	0.53605290024021	0.250961573533219	0.20163386116965	0.713695814843359	0.464668267003444
"ZNF831"	0.6959938131099	1.90689059560852	2.48026512205446	0.356143810225275	0.176322772640463	2.38956681176273	1.28688114778816	1.78240856492737	2.97636363573276	3.58616424593091	1.6915341649192	1.94485844580754	0.855989697308481	0.855989697308481	0.933572638261024	3.30451104180995	1.77820857639809	1.23266075679027	2.15704371014558	1.42223300068305	2.04614178164472	1.59931779369823	0.903038270112912	1.06350294230616	1.61823865559545	0.815575428862573	1.28095631383106	2.28095631383106	1.77820857639809	1.46466826700344	1.15055967657538	1.88752527074159	1.73984810269933	1.18903382439002	1.40053792958373	1.40599235967584	2.68032435684402	0.7311832415722	3.82476785314329	0.925999418556223	2.0703893278914	0.765534746362977	0.933572638261024	0.454175893185802	0.575312330687437	0.748461233004036	0.432959407276106	0.871843648509318	1.23266075679027	0.815575428862573	1.07724299893246	0.422233000683048	0.454175893185802	0.7311832415722	0.422233000683048	0.37851162325373	0.454175893185802	0.286881147788162	0.464668267003444	0.669026765509631	0.356143810225275	0	0.879705766282288	0.298658315564515	1.13093086982645	0.495695162624069	0.704871964456353	1.28688114778816	1.27500704749987	1.09761079662642	1.09761079662642	0.526068811667588	1.26903314645524	1.30451104180995	0.970853654340484
"RTP5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GPR174"	1.22650852980868	1.66902676550963	2.12763327972587	0	2.73552217729654	0.992768430768924	2.22958792274065	2.37573453858316	0	0	2.75274859140713	3.40871186102943	1.11769504266975	1.68706068833989	1.90303827011291	4.92599941855622	2.92219784839637	2.34198574722862	3.27351588970212	2.75060650483559	3.31034012061215	2.43295940727611	2.26303440583379	2.50589092972996	2.64385618977472	1.94860084749336	2.14730669878029	3.72246602447109	2.82781902461732	2.86789646399265	2.58255600301406	2.90496571868403	3.17951105027151	2.87184364850932	2.95419631038688	3.03913839390696	4.41345868800798	2.0036022366802	5.19337751056436	1.99276843076892	3.8073549220576	0	1.66448284036468	1.50589092972996	1.11103131238874	1.68257329734758	1.4276061727819	1.83995958748953	2.03913839390696	2.10097764772482	2.07382023329167	1.35049724708413	1.37851162325373	1.11769504266975	0.985500430304885	1.01435529297707	0.992768430768924	1.02147972741045	1.63226821549951	1.94860084749336	2.19534759832222	0	2	1.25701061820602	2.76553474636298	1.83187724119167	1.58014548442338	2.60407132366886	2.68481873755322	2.09423606984577	2.1407786557828	1.63226821549951	1.86393845042397	3.4931349223055	2.68257329734758
