"BC_HKB0543_1306_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB0899_M1605_T"	"BC_HKB0905_1623_T"	"BC_HKB1385_1721_T"	"BC_HKB2113_1657_T"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0127_3006_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"HKB0064_3004_T"	"HKB0067_3006_T"	"HKB0089_3001_T"	"BC_HKB0662_1294_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0626_3000_T"	"HKB0677_3000_T"	"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0738_1475_T"	"BC_HKB0741_1471_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0882_1555_T"	"BC_HKB2107_1620_T"	"HKB0033_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0074_3000_T"	"HKB0102_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0141_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0179_3006_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0552_3000_T"	"HKB0564_3000_T"	"HKB0719_3002_T"	"HKB0008_3006_T"	"HKB0031_3001_T"	"HKB0137_3002_T"	"HKB0164_3006_T"	"HKB0650_3000_T"	"BC_HKB0772_1460_T"	"BC_HKB0775_1470_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0065_3006_T"	"HKB0125_3006_T"	"HKB0182_3006_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0722_3002_T"	"HKB0734_3000_T"	"HKB0007_3005_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0038_3006_T"	"HKB0088_3000_T"	"HKB0101_3000_T"	"HKB0143_3006_T"	"HKB0168_3006_T"	"HKB0191_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0219_3001_T"	"HKB0221_3001_T"	"HKB0226_3001_T"	"HKB0576_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0638_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"
"SLAMF1"	3.3533232911629	2.72246602447109	2.40871186102943	1.89530262133331	0	3.15380533607904	1.24488705912353	1.87578006306849	2.99457972421575	4.07809742302666	2.16671544496642	2.59693514238723	2.17951105027151	2.53106949272595	1.82374936030827	2.0496307677246	1.53106949272595	3.46466826700344	2.18903382439002	1.7311832415722	1.77820857639809	2.16349873228288	1.58014548442338	3.20945336562895	3.21723071622067	1.81966818349646	3.95791459863299	2.54843662469604	1.99276843076892	0.516015147003665	1.4541758931858	1.63691458035588	1.75274859140713	2.40599235967584	1.54101915313356	2.26903314645524	1.48026512205446	2.05658352836637	2.28095631383106	2.05658352836637	0.704871964456353	0.918386234446348	0.704871964456353	2.19849415363908	0.669026765509631	1.35614381022528	0	0	0	0	1.37295209791183	0.75702324650746	1.09761079662642	1.72683121703249	2.37573453858316	0.713695814843359	1.52105073690096	0.37851162325373	2.15055967657538	0.739848102699327	2.07382023329167	1.09761079662642	0.356143810225275	1.0071955014042	2.24792751344359	1.96347412397489	0.687060688339892	1.06350294230616	1.29278174922785	0.956056652412403	0.565597175854225	1.52606881166759	0.678071905112638	1.87578006306849	0	0.713695814843359	0.575312330687437	0.516015147003665	0.604071323668861	1.09761079662642	1.29865831556452	0.16349873228288	0.963474123974886	1.0703893278914	0.475084882948783	1.05658352836637	0.367371065648529	1.44890095114513	1.38956681176273	0.992768430768924	0.584962500721156	0.815575428862573	1.49569516262407	1.32768736417605	0.799087306074004	0.903038270112912	1.33342373372519	1.44890095114513	0.505890929729957	0.925999418556223	0.454175893185802	0.918386234446348	0.669026765509631	1.36737106564853	0.604071323668861	0.55581615506164	1.22032995487956	0.6959938131099	0.565597175854225	1.18269229751619	0.22650852980868
"HLA.DOB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LTB"	7.073927317726	5.87356715162175	6.27015513876653	5.40087943628218	7.38292658257124	6.92386226807603	2.51096191927738	5.74011804283313	5.29755828116819	5.90592847817314	4.62527048937469	4.59275601044103	4.45088131527337	3.0036022366802	3.5668151540109	2.79701297783614	3.91073266190291	4.55336050333533	4.61941301059794	3.99367436175058	4.93073733756289	3.57893871309339	3.57531233068744	4.45680614923047	5.42660022616993	3.54349588342577	5.45318830954823	4.27052894238072	3.16832111573972	0.871843648509318	2.19219416528334	2.43295940727611	5.98093926608551	3.20163386116965	2.32192809488736	3.10936055940423	2.87184364850932	3.75167794568758	3.25096157353322	3.96716860753263	0.773996325111173	2.87381319835909	4.47702965301306	5.03562390973072	1.33342373372519	3.67919857056692	2.22958792274065	2.10433665981474	3.82273014794452	3.64731450954714	4.76394266044725	1.790772037862	1.64154602908752	2.40053792958373	4.10852445677817	0.925999418556223	3.52606881166759	1.24488705912353	2.61353165291793	2.4931349223055	3.19534759832222	3.29278174922785	1.19534759832222	1.95233356636969	4.59275601044103	2.22032995487956	1.25096157353322	2.55090066464752	2.69821847822441	2.68257329734758	1.94485844580754	3.14241343787374	2.74200621086674	3.60288440871842	2.78240856492737	4.37155886261196	1.85598969730848	1.27500704749987	1.56071495447448	2.10768786931437	4.47443604325227	0.7311832415722	2.70929063572336	2.60169651648096	1.52105073690096	1.6959938131099	1.35614381022528	3.114367024952	2.94485844580754	2.02502879449152	0.799087306074004	3.02856915219677	2.93168305705981	2.67581593117227	3.35755200461808	2.55090066464752	1.71808758396052	1.78659636189081	1.08406426478847	2.43295940727611	1.52606881166759	1.76977173924945	2.27500704749987	2.59931779369823	1.44890095114513	1.18903382439002	2.44890095114513	1.0703893278914	1.43295940727611	3.15380533607904	0.176322772640463
"WDFY4"	3.8073549220576	2.84398384404833	2.611172380044	2.86393845042397	3.62175885670973	3.41953889151378	1.11769504266975	2.52356195605701	2.57288966842058	5.5512083739461	3.30888505741176	4.12018602753186	3.6564963705535	2.84398384404833	2.82578562746479	2.92409988564074	3.24640808724638	4.41818994794577	3.08406426478847	2.72027846523333	3.75381844317354	3.45549162062847	2.73768676140986	3.07553263116736	4.60703434594862	2.47248777146274	5.25663329505992	3.65306001710456	3.41953889151378	3.46727948045998	3.06350294230616	2.77399632511117	1.97452931248388	3.26453643099903	2.13422093976063	2.4541758931858	2.68257329734758	2.73552217729654	3.08236196955747	3.01792190799726	1.28688114778816	2.06004738366994	2.75915583380027	3.55704241526372	2.37016428054021	1.37295209791183	1.41683974191283	1.82374936030827	1.66448284036468	0.941106310946431	1.13750352374994	2.45154083301783	2.68481873755322	2.93357263826102	3.50842865253186	2.55336050333533	3.67016051412663	1.90689059560852	3.16671544496642	2.05311133645956	3.15704371014558	2.94485844580754	1.66902676550963	2.35614381022528	3.40871186102943	2.35895882583233	2.02856915219677	2.68706068833989	2.37295209791183	2.95791459863299	2.65992455840238	2.62993940943954	2.63459326844576	2.61588707391606	2.17951105027151	1.20789285164133	1.70043971814109	1.27500704749987	2.09085343045111	1.63226821549951	2.54349588342577	1.20789285164133	2.41683974191283	2.0703893278914	1.72683121703249	2.20476675065461	1.54596836910529	2.84599177066457	2.8011586560937	2.15055967657538	2.28392177230762	2.78868571061353	2.64616265715789	2.68706068833989	2.62058641045188	2.60169651648096	2.42223300068305	2.48542682717024	1.91073266190291	2.72900887033786	2.11103131238874	2.53605290024021	1.76128527336162	2.03210084316702	1.75702324650746	1.790772037862	2.16349873228288	2.18269229751619	2.24184018356467	2.99276843076892	1.44360665147561
"ITK"	3.62877359520165	2.35895882583233	2.74846123300404	1.38404980679516	0	3.18745105402733	0.632268215499513	1.03562390973072	1.13750352374994	5.37086174008529	2.97085365434048	3.64385618977472	2.4931349223055	2.71369581484336	3.20945336562895	2.15380533607904	2.06350294230616	3.86294724802092	2.79493566280354	2.4276061727819	3.33913738491959	3.31179371775365	2.38404980679516	3.22958792274065	4.09592441999854	2.81762325751143	5.96393645214449	3.3743439890385	3.31614574229336	1.04264433740849	1.799087306074	1.78659636189081	1.16992500144231	2.24488705912353	1.86393845042397	2.61823865559545	2.3533232911629	2.62527048937469	2.96347412397489	2.29865831556452	0.659924558402378	1.18903382439002	0.815575428862573	1.83995958748953	1.88362081628567	0.807354922057604	0.263034405833794	0.641546029087524	0	0.389566811762726	0.389566811762726	1.11769504266975	1.67355642399014	2.59454854955035	3.82068956055921	1.22032995487956	2.56559717585422	0.933572638261024	3.14730669878029	1.37295209791183	2.47248777146274	1.38956681176273	1.02856915219677	1.58014548442338	3.22342254993494	2.75702324650746	1.91073266190291	1.4276061727819	1.60880924267552	1.86789646399265	0.613531652917927	2.10097764772482	0.871843648509318	2.55336050333533	0.400537929583729	0.941106310946431	0.622930350920177	1.15704371014558	1.06350294230616	1.0703893278914	1.61353165291793	0.16349873228288	1.40599235967584	1.73984810269933	1.13750352374994	1.67355642399014	0.75702324650746	1.78659636189081	1.84398384404833	1.31614574229336	0.863938450423971	1.56071495447448	1.64616265715789	1.95977015521147	1.26903314645524	1.93357263826102	1.96347412397489	1.18269229751619	0.941106310946431	1.25701061820602	0.748461233004036	1.10433665981474	1.56559717585423	2.48800077083407	1.15704371014558	0.545968369105292	1.68706068833989	1.89141918684608	1.0071955014042	1.82781902461732	0.22650852980868
"CLECL1"	5.34056226902641	3.22496636500027	3.51601514700366	3.47508488294878	0	4.12763327972587	2.82578562746479	4.27724089833207	0	3.71369581484336	2.22650852980868	2.51601514700366	1.81557542886257	1.06350294230616	1.20789285164133	1.93734439215023	2.30158764660319	2.02856915219677	1.88362081628567	1.30451104180995	1.37851162325373	2.13750352374994	1.21412480535285	2.59931779369823	2.91838623444635	1.21412480535285	3.37016428054021	2.31903981556254	2.19849415363908	2.17632277264046	1.53605290024021	1.17632277264046	1.30451104180995	1.18269229751619	0.903038270112912	1.21412480535285	0.75702324650746	1.60880924267552	1.0496307677246	1.36737106564853	0.238786859587116	0.53605290024021	3.46597446450407	1.86393845042397	1.71369581484336	1.46988597627446	1.91456452349394	1.21412480535285	0	2.41683974191283	3.08065766334523	1.29865831556452	1.18903382439002	1.13093086982645	1.54596836910529	1.40599235967584	1.61823865559545	0.53605290024021	1.84799690655495	1.11103131238874	2.09423606984577	1.16349873228288	0	0.933572638261024	1.81966818349646	0.925999418556223	0.505890929729957	1.14404636961671	1.99276843076892	1.83592407425437	2.83592407425437	0.918386234446348	1.65992455840238	2.13750352374994	0	1.9560566524124	0.722466024471091	0.31034012061215	0.765534746362977	0.84799690655495	0.903038270112912	0.411426245726465	0.871843648509318	0.790772037862	0.613531652917927	1.03562390973072	1.05658352836637	0.713695814843359	1.25701061820602	1.23878685958712	1.23878685958712	1.23878685958712	1.60880924267552	0.963474123974886	1.10433665981474	1.55581615506164	1.43829285157915	0	0.604071323668861	2.03913839390696	0.782408564927373	0.124328135002202	1.4541758931858	1.28095631383106	0.495695162624069	1.02147972741045	1.41142624572647	1	1.26903314645524	1.37295209791183	1.19534759832222
"ADORA2A"	2.63923216324928	2.22342254993494	2.65535182861255	1.19534759832222	0.948600847493356	4.47118746038699	0.722466024471091	1.81557542886257	1.28688114778816	3.611172380044	3.75702324650746	3.91073266190291	3.9136075118231	2.37851162325373	2.44360665147561	2.59931779369823	1.44890095114513	3.43829285157915	3.88264304936184	2.23572705983806	3.5385381636298	2.26002565596146	5.08788710093312	2.65306001710456	3.16992500144231	2.67807190511264	3.3743439890385	2.37573453858316	1.74416109557041	0.918386234446348	1.36176835941915	1.790772037862	0	3.0232553523003	2.11103131238874	2.4905701304462	1.72246602447109	2.06350294230616	1.78659636189081	4.00090140274153	1.17632277264046	1.70043971814109	0	3.08576455377831	2.88752527074159	0	0.55581615506164	0	0.879705766282288	0	0	1.99276843076892	1.34482849699744	1.68257329734758	2.06695024392463	1.62293035092018	3.1554254317472	2.43028527297778	1.81147103052984	1.71808758396052	2.44360665147561	4.02680005934372	1.86789646399265	1.50080205305716	2.44360665147561	2.14404636961671	2.4032677223393	3.76022094646651	1.33342373372519	2.16027483140859	1.61353165291793	2.1243281350022	1.61353165291793	1.61823865559545	0	0	1.31034012061215	1.92219784839637	1.22650852980868	2.39231742277876	2.84599177066457	3.98276546258365	1.4594316186373	5.27426166125705	2.52105073690096	3.74416109557041	1.52606881166759	2.03913839390696	5.77425995143276	1.70043971814109	4.62993940943954	2.20163386116965	4.24868662687383	1.74846123300404	1.72683121703249	5.55857377624063	3.49697358099828	5.88533031547617	1.87578006306849	1.82781902461732	5.18903382439002	2.0496307677246	1.75702324650746	2.14404636961671	1.61823865559545	1.70929063572336	1.41142624572647	2.60169651648096	4.00809242094872	1.95977015521147	1.36737106564853
"SP140"	6.5022351148568	4.81557542886257	4.96162332828694	4.82222027162153	5.26753579806874	6.25398926623079	2.05311133645956	4.92694824794977	3.82068956055921	4.68313498512609	2.65306001710456	3.44228003525258	3.42088657497553	2.68481873755322	2.24792751344359	2.21412480535285	2.05311133645956	3.94673086014031	3.12763327972587	2.22342254993494	2.44890095114513	2.83794324189103	2.21723071622067	3.98641093525204	3.56803210477128	2.31034012061215	4.30085587126876	3.33913738491959	2.78659636189081	1.43295940727611	2.0496307677246	1.51601514700366	4.1811025507538	2.49825086752783	2.64154602908752	2.6667565918848	1.96347412397489	2.13750352374994	3.36457243229586	2.59693514238723	0.678071905112638	1.81557542886257	3.95977015521147	4.82527683005487	2.38956681176273	0	1.70929063572336	0	1.90303827011291	3.31179371775365	3.43562859405209	1.10433665981474	1.30451104180995	1.7311832415722	2.49825086752783	0.722466024471091	1.52606881166759	0.622930350920177	2.28688114778816	1.28688114778816	2.0496307677246	2.114367024952	0.773996325111173	1.76553474636298	2.57288966842058	2.28983446517751	0.815575428862573	1.56071495447448	1.61353165291793	1.95977015521147	1.4905701304462	1.73984810269933	1.33913738491959	2.27500704749987	3.17951105027151	1.4541758931858	1.0496307677246	1.36176835941915	1.51601514700366	1.66902676550963	1.71808758396052	0.948600847493356	2.16992500144231	1.8073549220576	0.918386234446348	1.64154602908752	0.669026765509631	2.21723071622067	2.0036022366802	1.58976348698498	1.78240856492737	1.82781902461732	1.40053792958373	1.92599941855622	1.57046293102604	1.65535182861255	1.50589092972996	1.35049724708413	1.16349873228288	1.36176835941915	1.02147972741045	2.16671544496642	1.82374936030827	2.08746284125034	1.29278174922785	0.722466024471091	1.9560566524124	1.76553474636298	1.26303440583379	2.32192809488736	1.15055967657538
"SIT1"	4.11353381959191	3.17951105027151	1.28688114778816	3.6724253419715	1.44360665147561	4.07638806851284	2.82781902461732	3.0036022366802	1.91073266190291	4.38266725274504	3.04439411935845	3.08065766334523	2.79701297783614	2.33628338786443	1.71369581484336	2.08065766334523	2.21101219348551	3.32192809488736	2.799087306074	1.84398384404833	3.0232553523003	2.9126498648972	2.74631276642546	3.22342254993494	3.82171021503467	2.76765479823735	4.26228280642066	3.27202318906105	2.24184018356467	0.75702324650746	1.64154602908752	1.85199883711245	1.93734439215023	2.33628338786443	1.55090066464752	2.92029330021101	2.12763327972587	2.40053792958373	2.94860084749336	2.71808758396052	0.475084882948783	1.62293035092018	0	1.18269229751619	2.5385381636298	1.43829285157915	0	1.82781902461732	1.37295209791183	2.37573453858316	0	1.02856915219677	1.34482849699744	1.57531233068744	2.41953889151378	1.25701061820602	1.82374936030827	0.918386234446348	2.18586654531133	1.66902676550963	2.1243281350022	1.50589092972996	1.20789285164133	1.22032995487956	2.34482849699744	1.80322703643493	1.0496307677246	1.37851162325373	1.6959938131099	1.04264433740849	0.485426827170242	1.90689059560852	0.790772037862	2.91838623444635	1.27500704749987	0	0.815575428862573	0.765534746362977	1	1.02856915219677	1.82374936030827	0.16349873228288	0.933572638261024	1.67807190511264	0.432959407276106	1.39506279951758	0.659924558402378	1.97085365434048	1.48542682717024	1.09085343045111	1.04264433740849	1.60407132366886	1.71808758396052	1.90689059560852	1.11769504266975	1.68257329734758	0.910732661902913	0.839959587489532	0.75702324650746	1.17632277264046	0.748461233004036	2.41413553298445	1.32192809488736	1.51096191927738	1.17632277264046	0.238786859587116	1.65535182861255	1	0.863938450423971	2.04264433740849	0.516015147003665
"ICOS"	0.831877241191673	0	1.84799690655495	0	0	2.74416109557041	1.56071495447448	2.02147972741045	1.37295209791183	4.36806987653208	2.79493566280354	2.77820857639809	2.97452931248388	1.89141918684608	1.93734439215023	1.88752527074159	1.40053792958373	3.74308405554959	2.79493566280354	2.01077983875324	2.62760683812965	3.55581615506164	2.33913738491959	4.17232749165762	3.54720302475693	2.72246602447109	4.02236781302845	3.17951105027151	2.07724299893246	0.622930350920177	1.89917563048051	1.76977173924945	0	2.37016428054021	2.76553474636298	3.02147972741045	1.92599941855622	2.86393845042397	3.55949181320504	3.14567745519564	0.604071323668861	0.903038270112912	1.22032995487956	0	0	1.86393845042397	0	0	1.16349873228288	1.86789646399265	0	0.895302621333307	1.07724299893246	1.15055967657538	1.83995958748953	0.411426245726465	2.01435529297707	0.356143810225275	1.78240856492737	1.27500704749987	1.55581615506164	1.0496307677246	0.16349873228288	1.14404636961671	2.09085343045111	1.70929063572336	1.52606881166759	1.0496307677246	1.77820857639809	1.6507645591169	0.367371065648529	2.01435529297707	0.978195629681652	2.36457243229586	0.632268215499513	1.86393845042397	1.33913738491959	1.59931779369823	1.87578006306849	1.76128527336162	1.4905701304462	0.516015147003665	0.584962500721156	1.81557542886257	0.807354922057604	1.70043971814109	0.333423733725192	2.19849415363908	1.94485844580754	1.0071955014042	0.941106310946431	1.73984810269933	1.26903314645524	1.98550043030488	1.10433665981474	2.03562390973072	0.613531652917927	2.05311133645956	0.887525270741587	1.26903314645524	0.992768430768924	1.26303440583379	1.70043971814109	2.23878685958712	1.4276061727819	0.53605290024021	1.40053792958373	1.62293035092018	1.20789285164133	1.25701061820602	0.790772037862
