"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0555_1321_T"	"BC_HKB0567_M1337_T"	"BC_HKB0738_1475_T"	"BC_HKB0741_1471_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0763_1511_T"	"BC_HKB0786_1508_T"	"BC_HKB0828_M1542_T"	"BC_HKB0838_1563_T"	"BC_HKB0890_1550_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0097_3000_T"	"HKB0102_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0141_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0179_3006_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0220_3000_T"	"HKB0552_3000_T"	"HKB0573_3000_T"	"HKB0683_3000_T"	"HKB0719_3002_T"	"HKB0751_3000_T"	"BC_HKB0187_1214_T"	"BC_HKB0215_1134_T"	"BC_HKB0729_1445_T"	"BC_HKB0876_1543_T"	"BC_HKB0892_1559_T"	"BC_HKB0905_1623_T"	"BC_HKB0913_1654_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0019_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0036_3006_T"	"HKB0038_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0078_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0091_3001_T"	"HKB0092_3000_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0115_3006_T"	"HKB0123_3006_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0143_3006_T"	"HKB0157_3006_T"	"HKB0159_3006_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0168_3006_T"	"HKB0182_3006_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0211_3002_T"	"HKB0214_3006_T"	"HKB0219_3001_T"	"HKB0221_3001_T"	"HKB0226_3001_T"	"HKB0232_3000_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0620_3000_T"	"HKB0638_3000_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0659_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0674_3000_T"	"HKB0677_3000_T"	"HKB0692_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0718_3000_T"	"HKB0722_3002_T"	"HKB0734_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"BC_HKB0543_1306_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0069_3000_T"	"HKB0070_3002_T"	"HKB0127_3006_T"	"HKB0710_3000_T"	"HKB0736_3000_T"	"HKB0752_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0715_1407_T"	"BC_HKB0733_1459_T"	"BC_HKB0830_1541_T"	"BC_HKB0874_1537_T"	"BC_HKB0902_1617_T"	"BC_HKB0917_1656_T"	"BC_HKB1366_1663_T"	"BC_HKB2109_1628_T"	"BC_HKB2113_1657_T"	"BC_HKB2116_1671_T"	"HKB0006_3006_T"	"HKB0147_3000_T"	"HKB0196_3006_T"	"HKB0210_3006_T"	"HKB0222_3006_T"	"HKB0230_3006_T"	"HKB0585_3000_T"	"HKB0748_3000_T"	"BC_HKB0112_933_T"	"BC_HKB0728_1447_T"	"BC_HKB0772_1460_T"	"BC_HKB0775_1470_T"	"BC_HKB2106_1619_T"	"BC_HKB2107_1620_T"
"ADH1B"	6.90074607531062	5.93026424523502	4.25323293853803	8.85399564717639	7.90574800970119	5.65105169117893	8.80193464627335	6.59260653159917	6.60035896754477	5.31686980506433	4.51475349843975	4.81813476081085	5.94532677726463	7.06371864015225	6.86839045305445	6.30779279612989	8.4023299385598	7.44766184169775	5.24184018356467	7.02613608984167	10.540912635795	6.27947129564447	7.03705270164513	6.41953889151378	6.73674015545321	5.8799507684126	11.7867515347376	6.39094277280254	6.83655536776678	7.69849632031307	6.79882817809111	7.52880570651973	8.20153584866641	7.15845821621677	6.07574653806091	7.12835527189724	7.9902741833186	0.75702324650746	0	0	1.19534759832222	3.611172380044	0	0	0.356143810225275	0.137503523749935	3.22187708107703	2.93734439215023	5.53636379239547	1.04264433740849	3.67129337248158	2.39506279951758	6.25342205763654	0.189033824390017	2.77820857639809	0.0565835283663675	0.0565835283663675	3.62760683812965	0.622930350920177	1.18269229751619	1.21412480535285	4.28169825009883	3.4276061727819	3.8499992594661	3.2585189247113	3.65535182861255	0.432959407276106	1.83592407425437	4.32984117653063	3.10265813136374	5.29792505250381	0.111031312388744	3.22804904788446	7.45516280124451	5.82323984413102	3.38266725274504	6.00988458893184	4.52669484554198	2.82171021503467	5.83693401132109	1.20789285164133	4.19298316997399	1.75274859140713	4.13996056954546	0.16349873228288	3.79181407116183	3.52230689287139	4.40667271575583	3.60999129521268	1.25096157353322	0.0976107966264223	4.34411833452143	4.17632277264046	0.53605290024021	6.55320688623026	1.4905701304462	5.06651978142975	4.60999129521268	5.08873524619028	2.28688114778816	4.93781516880342	0.782408564927373	1.52105073690096	3.78659636189081	5.93144668529867	6.1574479962743	2.51349074558812	3.16992500144231	0.516015147003665	0.992768430768924	0.333423733725192	3.22496636500027	5.96509162479079	0.16349873228288	4.98732086592925	2.9429835981871	1.43829285157915	3.24184018356467	1.85598969730848	0	3.674686619928	4.21023299009585	5.13093086982645	3.95046841415012	0.411426245726465	5.59723318908613	0.7311832415722	1.37295209791183	3.90977310414164	2.76977173924945	0.887525270741587	0	2.04264433740849	3.91073266190291	2.22958792274065	0.422233000683048	3.64270157183323	3.07895134139482	0.37851162325373	0.831877241191673	3.86096279785812	0.903038270112912	2.50080205305716	3.33913738491959	2.92789645372882	1.78659636189081	3.78764141448333	0.613531652917927	2.87970576628229	0.887525270741587	3.47638168756724	2.93545974780529
"CHRDL1"	5.58104990094504	5.27872821293894	2.95046841415012	4.78135971352466	5.91025296279928	3.22342254993494	5.61294219630467	4.51349074558812	4.2585189247113	3.91169158187234	3.31759350462347	3.3305584000308	4.96393645214449	5.27909980213375	5.25776496857139	4.53294028837287	4.88264304936184	5.23074100262691	3.29719141656586	4.57228336665041	6.6167693662935	4.52230689287139	6.10643207781693	3.790772037862	4.59991284218713	4.16349873228288	8.23433844869563	4.39917109381982	4.67072705449947	6.10202817936731	4.97407036702403	5.24069594421251	5.82349462471286	5.33913738491959	4.14486214291573	4.87676249078156	5.11603199344711	0	0	0	0	1.28095631383106	1.35614381022528	0	2.79285535236249	1.43829285157915	1.54596836910529	2.77399632511117	3.75274859140713	1.07724299893246	2.29572302453997	1.02856915219677	3.5298209465287	0.669026765509631	0.970853654340484	0.0143552929770701	2.09761079662642	1.63226821549951	0.20163386116965	1.13093086982645	1.04264433740849	2.09761079662642	2.56315813040281	1.70043971814109	2.25701061820602	3.97911075501579	0.137503523749935	1.57046293102604	2.49569516262407	2.4032677223393	2.52857131887076	0.321928094887362	2.56803210477128	4.28835856219366	3.25247621413522	1.20789285164133	4.17712050284652	3.61706334388818	1.59454854955035	3.10097764772482	1.84799690655495	2.06695024392463	2.34766565630097	2.63459326844576	1.18903382439002	2.97452931248388	2.9429835981871	2.40871186102943	2.65992455840238	0.678071905112638	0.176322772640463	2.39506279951758	2.98732086592925	0.22650852980868	5.01524777369894	0.948600847493356	2.43829285157915	4.30961277245412	2.76765479823735	1.16992500144231	3.03738222200308	2.09085343045111	0.704871964456353	2.14404636961671	3.51222688651396	3.71918344048179	1.15704371014558	1.54596836910529	0.422233000683048	1.35614381022528	0.443606651475615	1.28095631383106	3.32768736417605	0.16349873228288	3.93451650158608	3.0686708106651	2.114367024952	2.24488705912353	1.43829285157915	2.62527048937469	3.13257684267001	3.1243281350022	2.04614178164472	3.4032677223393	2.16027483140859	3.26453643099903	1.91838623444635	0	1.65535182861255	1.94485844580754	0	1.09085343045111	2.25096157353322	1.30451104180995	2.50842865253186	0.895302621333307	3.26753579806873	2.08065766334523	0.286881147788162	0.250961573533219	1.90689059560852	0.565597175854225	1.88752527074159	2.17632277264046	1.43295940727611	0.978195629681652	2.5033487351675	1.24488705912353	1.65535182861255	0.782408564927373	3.09761079662642	3.10433665981474
"LMOD1"	5.33449676839042	6.27593823906443	4.5033487351675	5.91241035380827	6.12329372251013	5.49633451341711	5.75301612873584	5.63081315229913	4.55274593674845	4.85598969730848	5.26903314645524	5.39643353125099	6.94544383637791	2.64385618977472	4.42894634476948	3.69041709553247	3.18586654531133	4.92219784839637	3.08915913191124	2.19534759832222	3.67016051412663	3.68032435684402	4.58074849176377	3.41413553298445	2.70708299177171	4.02945288578697	5.6915341649192	4.63459326844576	2.13750352374994	4.8444860877578	4.94626298433245	3.02147972741045	3.50207595604579	4.12680770314203	2.50589092972996	4.07638806851284	2.98185265328974	5.14241343787374	5.34695688937888	5.23189316164533	4.79649392942584	6.19711838004716	5.52262076104208	5.1168637576909	2.44890095114513	2.62293035092018	3.7771566660045	2.76341157447001	2.12101540096137	3.92884403671257	3.70043971814109	1.90689059560852	3.47508488294878	4.09592441999854	3.15704371014558	1.91456452349394	3.28983446517751	2.11769504266975	2.43562859405209	2.62993940943954	1.99638874644762	2.54843662469604	2.94673086014031	2.51853513898218	3.19377174339668	1.46988597627446	3.17312743348066	3.92789645372882	2.78659636189081	2.1407786557828	1.34482849699744	2.26002565596146	2.05658352836637	1.87184364850932	2.02147972741045	1.86789646399265	3.18428029441938	4.24107745817504	2.03562390973072	2.84799690655495	4.03474394932473	2.71149490665009	2.37573453858316	3.44360665147561	4.12267271882414	2.82578562746479	3.10433665981474	3.36876834909033	2.14730669878029	2.51601514700366	2.75488750216347	2.62993940943954	3.83794324189103	3.75488750216347	4.16349873228288	2.29278174922785	2.87381319835909	1.91838623444635	2.31903981556254	2.56803210477128	2.45154083301783	2.17312743348066	3.67919857056692	2.55090066464752	2.50842865253186	1.84799690655495	2.30158764660319	2.81557542886257	4.8972404255748	2.48542682717024	2.58255600301406	2.16671544496642	3.73552217729654	2.05658352836637	5.5033487351675	5.51001246544851	3.877744249949	4.94392132655349	3.10433665981474	4.42693561964834	1.76977173924945	3.21101219348551	2.74846123300404	2.99638874644762	1.70487196445635	1.90303827011291	2.0071955014042	3.03738222200308	4.84749588378871	3.34198574722862	5.12060077384517	4.18269229751619	4.99819550315325	4.65133876610593	4.87430516598223	3.58736499093646	4.16188768237689	3.81044310384517	1.43295940727611	1.31614574229336	2.06004738366994	0.895302621333307	1.68257329734758	2.76765479823735	1.91073266190291	2.50842865253186	6.60806996772166	6.07852444538908	4.38404980679516	5.37747084284965	5.30706416225537	5.98344969074012
"HSPB6"	6.98868468677217	6.75982162136153	4.96301164759943	6.71918344048179	6.98071082890019	4.66448284036468	7.84366985291798	5.52230689287139	5.82553125118962	5.19100984858729	4.95884267524324	4.81864608282254	7.33824611718203	2.51349074558812	2.37573453858316	2.06004738366994	3.0408924306469	2.89141918684608	1.51601514700366	2.16027483140859	4.95977015521147	1.68257329734758	2.95977015521147	1.79493566280354	2.81147103052984	2.11103131238874	5.66959375118833	1.72246602447109	2.4931349223055	4.3305584000308	2.26903314645524	2.33913738491959	2.43028527297778	2.01077983875324	0.765534746362977	2.06350294230616	2.35049724708413	2.85996954822103	4.66959375118833	2.36176835941915	3.9126498648972	6.97579066021354	4.15380533607904	4.30012372456901	0.070389327891398	0.263034405833794	0.584962500721156	0.879705766282288	1.09761079662642	2.05658352836637	0.400537929583729	0.333423733725192	1.31614574229336	0.0976107966264223	0.55581615506164	0.286881147788162	0.124328135002202	0.400537929583729	0.594548549550354	0.214124805352847	0.22650852980868	0.992768430768924	1.14404636961671	0.604071323668861	0.632268215499513	0.799087306074004	0.263034405833794	0.516015147003665	0.594548549550354	0.604071323668861	0.75702324650746	0.22650852980868	0.75702324650746	1.68706068833989	1.4541758931858	0.495695162624069	1.49569516262407	1.27500704749987	0.687060688339892	1.13750352374994	0.464668267003444	0.863938450423971	0.669026765509631	1.33913738491959	0.948600847493356	0.75702324650746	1.37851162325373	1.07724299893246	0.773996325111173	0.773996325111173	0.367371065648529	0.516015147003665	1	0.584962500721156	1.35049724708413	0.137503523749935	0.454175893185802	0.516015147003665	0.75702324650746	0.238786859587116	0.985500430304885	0.0565835283663675	0.739848102699327	0.238786859587116	1.46466826700344	0.782408564927373	0.0976107966264223	0.238786859587116	0.356143810225275	0.321928094887362	0.0840642647884745	0.632268215499513	0.879705766282288	0.0976107966264223	3.86591881455221	4.45285896471381	4.85996954822103	4.47248777146274	5.23342794374847	3.65191274464578	0.485426827170242	1.33913738491959	2.1407786557828	0.807354922057604	0.286881147788162	1.41142624572647	0.622930350920177	4.03826057517535	4.6915341649192	5.10977842907866	3.79701297783614	1.63691458035588	3.81659970653491	3.7279204545632	3.93828579188405	4.20320115631661	4.1554254317472	5.15946772926677	0.176322772640463	0.933572638261024	0.678071905112638	1.4276061727819	0.137503523749935	1.52606881166759	0.367371065648529	0.111031312388744	3.74523733212975	3.52732060787705	4.49825086752783	3.46336088581666	4.36387192485753	4.43629511983936
"FHL1"	5.70071713282148	6.41667087727392	2.86789646399265	5.99954908734095	5.9692426044345	3.37573453858316	5.98048235553826	4.62819033461521	3.78135971352466	3.74631276642546	3.76128527336162	3.96069703930431	5.05093696522523	7.30706416225537	6.07895134139482	4.80632405739003	6.35508676166836	6.5003240492842	4.06004738366994	6.15218341905505	9.85290398412003	4.88362081628567	7.8743666501409	5.35049724708413	5.43128865429159	5.26453643099903	9.28463905332233	5.45811948117451	5.67919857056692	7.63248634845977	5.48413813120167	6.10097764772482	7.42685177858826	7.03408362661542	5.07638806851284	5.02768487693716	7.3155118891348	2.72246602447109	2.95419631038688	2.58496250072116	1.26903314645524	3.24944534108584	2.31324585178756	2.07724299893246	3.91647664443772	3.11270013274936	2.83794324189103	4.44294349584873	3.95977015521147	6.35402893805439	4.55949181320504	2.88166461932035	5.67948009950545	3.34340782229781	3.96993327469786	2.86195536414487	2.8499992594661	3.31324585178756	2.46205231879643	3.04788732939655	1.85598969730848	3.8499992594661	3.76447355099267	3.23878685958712	3.63343121035563	3.41818994794577	3.31759350462347	3.43162295971329	4.54411440220947	3.21567859660793	4.43562859405209	2.8094144442359	3.69932952567316	5.7045953476324	4.22110372536788	2.4905701304462	5.70735913208088	4.80838505065609	3.18269229751619	3.9174317553901	3.77820857639809	4.27351588970212	2.83187724119167	4.6564963705535	4.19534759832222	3.8569856897822	3.78659636189081	4.15218341905505	3.80529245560071	3.04614178164472	3.38818953715608	4.67976157351685	3.97269265400426	4.68537955195908	6.09423606984577	3.26603689399532	4.31831684133498	3.87676249078156	4.67976157351685	2.50589092972996	3.75167794568758	2.78031009904338	4.21878116778407	3.96254902292306	4.90448409790142	5.03650333373899	3.71918344048179	4.03298241669943	4.7839804136838	3.26753579806873	2.74846123300404	3.40599235967584	4.51664555778096	3.01077983875324	3.03210084316702	2.3305584000308	2.49569516262407	2.10097764772482	0	2.1407786557828	3.81659970653491	3.67581593117227	3.48800077083407	3.65992455840238	1.85598969730848	4.86294724802092	2.72246602447109	2.20163386116965	1.86789646399265	1.61823865559545	1.63226821549951	1.74846123300404	2.34766565630097	1.59931779369823	1.6507645591169	1.4905701304462	1.98185265328974	2.31903981556254	1.93734439215023	2.29572302453997	3.70597790168252	6.228626318332	2.80529245560071	3.75915583380027	2.39506279951758	3.03913839390696	2.33342373372519	2.98185265328974	3.67581593117227	1.99638874644762	3.18745105402733	2.70265754339091
"SCARA5"	4.8860623383456	4.93121027480393	1.91838623444635	3.54473265593262	4.62058641045188	2.03210084316702	5.70818723602071	6.5082701755678	4.13422093976063	2.81352468929781	2.16671544496642	3.88362081628567	6.05115454987851	5.04351949366274	3.5197934862411	3.08406426478847	4.19377174339668	4.04264433740849	1.26903314645524	1.99638874644762	4.90977310414164	2.4276061727819	4.77399632511117	1.70487196445635	3.38956681176273	3.06522762277562	5.38784501296558	3.36597242759338	3.08576455377831	4.71808758396052	2.08406426478847	4.03210084316702	4.25776496857139	3.52606881166759	0.7311832415722	1.66902676550963	2.54843662469604	0	0	0	0	3.69041709553247	0	0	0.748461233004036	0.263034405833794	0.263034405833794	1.6959938131099	2.22958792274065	0.356143810225275	1.57531233068744	0.22650852980868	2.03913839390696	0.0426443374084937	0.263034405833794	1.73552217729654	0.16349873228288	0.831877241191673	0.0565835283663675	0.250961573533219	0.22650852980868	0.475084882948783	1.08406426478847	0.925999418556223	0.773996325111173	1.23266075679027	0.0840642647884745	0.495695162624069	1.02147972741045	1.23878685958712	1.82781902461732	0.0840642647884745	1.14404636961671	2.0036022366802	1.6507645591169	0.344828496997441	1.63691458035588	1.92599941855622	1.41142624572647	1.6915341649192	0.356143810225275	0.31034012061215	1.60407132366886	0.871843648509318	0	0.678071905112638	2.43028527297778	0.344828496997441	1.90303827011291	0.124328135002202	0.0565835283663675	1.44890095114513	1.31614574229336	0.0285691521967709	2.68929916053589	0.111031312388744	1.04264433740849	1.37851162325373	1.02147972741045	0.454175893185802	1.13093086982645	1.11769504266975	0.137503523749935	0.584962500721156	2.07382023329167	0.807354922057604	0.910732661902913	0.344828496997441	0.0426443374084937	0.879705766282288	0.070389327891398	0.475084882948783	1.38956681176273	0.070389327891398	3.50969584193339	1.11769504266975	3.03386345186628	2.44095219802964	2.22650852980868	2.97819562968165	2.56803210477128	1.17632277264046	0.855989697308481	2.70265754339091	0	2.47767732756531	0.505890929729957	2.0496307677246	1.46466826700344	0	1.1243281350022	1.04264433740849	1.0703893278914	0	1.40599235967584	0	0.970853654340484	2.02502879449152	0.0143552929770701	0.0285691521967709	0.150559676575381	0.422233000683048	0.443606651475615	0.910732661902913	0.443606651475615	0.687060688339892	4.39025495632187	1.68706068833989	2.41683974191283	2.58736499093646	2	3.02856915219677
"CD300LG"	3.38266725274504	3.03738222200308	2.78031009904338	3.74953426766926	4.03826057517535	1.54101915313356	5.15785216914174	3.03386345186628	2.28688114778816	1.92599941855622	2.72246602447109	1.35614381022528	3.45285896471381	1.79493566280354	2.76765479823735	1.34482849699744	3.06695024392463	2.4541758931858	1.19534759832222	2.4931349223055	4.95093492831454	1.94485844580754	3.64500988439109	1.6959938131099	1.97452931248388	1.81557542886257	6.53465305587746	1.55581615506164	2.03913839390696	3.63575439127776	1.80322703643493	2.28392177230762	2.49825086752783	3.02147972741045	0.464668267003444	1.48542682717024	2.4594316186373	0	0	0	0	0.594548549550354	0	0	0.0565835283663675	0.0565835283663675	0.389566811762726	0.356143810225275	0.678071905112638	0.0976107966264223	0.298658315564515	0.070389327891398	1.94110631094643	0.189033824390017	0.176322772640463	0	0.0565835283663675	0.659924558402378	0.0426443374084937	0.137503523749935	0.0143552929770701	0.189033824390017	0.443606651475615	0.214124805352847	0.150559676575381	0.250961573533219	0.124328135002202	0.189033824390017	1.44360665147561	0.632268215499513	0.584962500721156	0	0.485426827170242	1.57046293102604	1.37295209791183	0.176322772640463	2.10433665981474	0.678071905112638	0.250961573533219	0.37851162325373	0.111031312388744	0.286881147788162	0.575312330687437	1.03562390973072	0.0285691521967709	0.189033824390017	0.604071323668861	0.238786859587116	0.333423733725192	0.20163386116965	0.0426443374084937	0.37851162325373	1.11769504266975	0.137503523749935	1.51096191927738	0.150559676575381	0.189033824390017	0.978195629681652	0.632268215499513	0.16349873228288	0.31034012061215	0.0565835283663675	0.0976107966264223	0.485426827170242	1.73984810269933	0.839959587489532	0	0.495695162624069	0.0285691521967709	0.0285691521967709	0.137503523749935	0.263034405833794	1.02856915219677	0	1.48542682717024	1.43829285157915	0	1.71808758396052	0	0	0.963474123974886	0.389566811762726	0.918386234446348	1.38956681176273	0.111031312388744	1.77399632511117	0.150559676575381	0	2.09085343045111	0.516015147003665	0	0	1.40053792958373	0	1.7311832415722	0.948600847493356	0	0	0.0565835283663675	0.0143552929770701	0.516015147003665	0.0840642647884745	0.0976107966264223	0.584962500721156	0.790772037862	0.189033824390017	1.6915341649192	2.39506279951758	0	1.82781902461732	0	0
"AOC3"	5.52669484554198	4.98276546258365	3.5197934862411	6.01413208650321	5.55581615506164	3.3743439890385	6.27015513876653	2.98913900736823	3.9136075118231	3.66789212523023	3.29130885982897	3.49185309632967	5.78581207535837	4.69488019279919	4.95093492831454	3.74631276642546	4.79805051476751	3.78659636189081	3.32192809488736	4.84849775538515	7.22987627912408	3.88655014732434	5.43028527297778	3.75488750216347	5.09550251765867	3.64500988439109	8.52022578974751	3.57773093149008	4.71699089440494	5.83061027435791	4.22496636500027	5.12639473762014	4.67299099382775	3.92694824794977	3.64270157183323	3.62643913669732	4.631686366312	1.41683974191283	0.389566811762726	2.02502879449152	1.74846123300404	3.20476675065461	1.47508488294878	0	1.53106949272595	2.40871186102943	2.05658352836637	3.10768786931437	2.98732086592925	1.76128527336162	3.11769504266975	1.60407132366886	4.14649230697719	1.80322703643493	2.46205231879643	1.80322703643493	1.88752527074159	2.26002565596146	1.48542682717024	2.41142624572647	1.40599235967584	2.92789645372882	2.14730669878029	2.68706068833989	2.56071495447448	2.72246602447109	2.21412480535285	2.0703893278914	2.98367769469807	2.18269229751619	3.1811025507538	1.6507645591169	2.06350294230616	3.85598969730848	3.33485426933163	2.06695024392463	3.83491342970104	3.75702324650746	2.15704371014558	3.62877359520165	2.37573453858316	3.03913839390696	1.81966818349646	3.14567745519564	2.80529245560071	2.61353165291793	2.82374936030827	3.33199177823206	2.20789285164133	2.19534759832222	1.21412480535285	2.4032677223393	2.74200621086674	2.52606881166759	3.64154602908752	1.79493566280354	1.96716860753263	1.68257329734758	2.53106949272595	1.54101915313356	1.97452931248388	1.10433665981474	2.58014548442338	2.36737106564853	3.89044669267991	3.24031432933371	2.37851162325373	1.89917563048051	2.92789645372882	2.1407786557828	1.68257329734758	1.74416109557041	2.98732086592925	1.61823865559545	2.82171021503467	2.38404980679516	1.62293035092018	1.30451104180995	2.07382023329167	2.74631276642546	2.12101540096137	2.76341157447001	3.16992500144231	2.85199883711245	0.956056652412403	3.62175885670973	1.98550043030488	0	3.01077983875324	1.11103131238874	2.03210084316702	1.04264433740849	1.67807190511264	3.13257684267001	0.918386234446348	1.4905701304462	0.7311832415722	0.910732661902913	2.02856915219677	1.32768736417605	3.27798474729977	2.41953889151378	2.25096157353322	3.27500704749987	1.39506279951758	1.99638874644762	1.99276843076892	0.713695814843359	2.77399632511117	0	1.76553474636298	1.75702324650746
"SORBS1"	6.21664886703315	5.72519581722666	4.5765221379205	6.79792086344944	6.4326254114323	4.52919626799939	7.20886837067295	4.55765515472542	5.30487605004489	5.1106138055009	4.21256933885081	4.46532151358055	6.14689956034359	6.06307144984268	5.65449282588346	4.41142624572646	5.66163560233596	5.61559285651096	3.93073733756289	5.22265002245148	7.73890291428176	4.79025073883523	6.47929524299885	5.15015345524625	4.83995958748953	5.43829285157915	9.36728369048326	5.40156220725607	5.20593983247088	5.89627184880738	4.64789009105921	6.46956042171122	6.21140163741847	5.33699741660501	4.96301164759943	4.92076967302065	6.11374216604919	2.15055967657538	3.89141918684608	3.39917109381982	2.93168305705981	3.00539998774259	2.59693514238723	4.11603199344711	5.61941301059794	2.59454854955035	3.38266725274504	5.01077983875324	3.84899843040002	3.72900887033786	4.76659516172927	3.05831649559082	5.52763338729093	4.48349335128439	3.60762622084549	3.06350294230616	5.24374523473398	5.1243281350022	3.3547342399706	3.57531233068744	2.45154083301783	4.70210340662939	5.02103547951136	4.35402893805439	4.42827641439251	4.29204549249286	3.13914201914569	3.31324585178756	4.18507363787676	4.15299460549244	4.07980475463526	4.54720302475693	5.54225804976692	4.07809742302666	4.03386345186628	3.83693401132109	4.83035674741922	4.81864608282254	2.64154602908752	4.32553033156756	4.22419466397043	3.63575439127776	3.605257262939	5.07980475463526	4.08236196955747	3.73335434061383	3.55704241526372	4.79701297783614	3.5957423394744	4.98322165074267	3.72137265947682	3.07724299893246	4.96993327469786	3.63575439127776	5.42961596420174	3.5668151540109	3.3533232911629	2.57046293102604	3.61235249875266	4.18982455888002	4.12101540096137	4.28540221886225	3.71808758396052	3.75915583380027	3.47508488294878	5.1139504824225	3.18586654531133	3.46988597627446	4.04526821513853	2.25398926623079	3.0686708106651	4.74038793246835	4.43895814789755	4.03826057517535	3.08236196955747	3.12598165385472	0.992768430768924	2.96901230751632	2.8073549220576	1.4594316186373	2.11769504266975	3.57167680997093	4.44691786486603	3.60407132366886	4.34553831007001	4.48607074373567	1.75702324650746	0.782408564927373	3.00898878322725	1.99276843076892	1.77399632511117	2.29278174922785	2.68481873755322	3.54966917072649	3.82984955984469	0.713695814843359	1.60407132366886	2.55826763405574	2.21101219348551	2.63923216324928	3.0703893278914	2.85798099512757	3.23725777090037	4.14974711950468	3.90110824301451	3.02147972741045	4.07980475463526	4.3037807481771	4.36246988875021	4.00629802390037	3.1407786557828	2.70043971814109
"PGM5"	1.63226821549951	3.18745105402733	0	1.46988597627446	2.57531233068744	1.23878685958712	2.34482849699744	2.48026512205446	1.92599941855622	1.0496307677246	1.1243281350022	2.53356334821451	1.35614381022528	2.68929916053589	3.26002565596146	3.01970191444255	2.95233356636969	3.5981269599196	2.86987140617771	2.23572705983806	3.52857131887076	3.34908214639109	4.14241343787374	2.29865831556452	4.39917109381982	5.24944534108584	4.52481592835751	4.1168637576909	1.83592407425437	3.62175885670973	4.17312743348066	2.53356334821451	3.70043971814109	3.68032435684402	2.0071955014042	3.54349588342577	2.31324585178756	0.594548549550354	0	0	0	0.963474123974886	0	1.06350294230616	2.83592407425437	0.895302621333307	2.0036022366802	2.74200621086674	1.85598969730848	1.58496250072116	1.10433665981474	1.98913900736823	2.56559717585422	0.933572638261024	1.29278174922785	0.298658315564515	0.659924558402378	2.27202318906105	1.54101915313356	0.925999418556223	0.584962500721156	0.584962500721156	2.14404636961671	1.70487196445635	2.27202318906105	1.52105073690096	0.454175893185802	1.46988597627446	2.01077983875324	1.52105073690096	1.81557542886257	0.20163386116965	2.51601514700366	2.07382023329167	3.59215800212536	2.5385381636298	2.51349074558812	2.84799690655495	1.22650852980868	1.74846123300404	1.17632277264046	1.62760683812965	1.09085343045111	2.35895882583233	1.08406426478847	1.7311832415722	2.03913839390696	1.50589092972996	2.20163386116965	1.55581615506164	0.411426245726465	1.88752527074159	1.88752527074159	1.799087306074	2.799087306074	0.956056652412403	1.87578006306849	2.18269229751619	1.72683121703249	1.6915341649192	1.4541758931858	0.918386234446348	1.46466826700344	1.74846123300404	2.43028527297778	0.887525270741587	0.985500430304885	1.23266075679027	2.799087306074	1.4905701304462	1.10433665981474	1.38404980679516	2.23572705983806	1.13750352374994	1.88362081628567	1.43829285157915	1.17632277264046	2.30158764660319	1	0.545968369105292	2.06695024392463	1.88362081628567	2.05311133645956	2.62993940943954	0.575312330687437	1.86789646399265	1.49569516262407	0	0	1.0703893278914	0.55581615506164	0.956056652412403	1.29278174922785	1.07724299893246	0.807354922057604	0.604071323668861	0.485426827170242	3.74308405554959	0.910732661902913	0.584962500721156	1.74416109557041	0.863938450423971	2.20789285164133	2.41142624572647	1.31034012061215	0.978195629681652	0.933572638261024	0.475084882948783	0	1.15055967657538	2.02502879449152	2.52356195605701
