"BC_HKB0561_1308_T"	"BC_HKB0772_1460_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0065_3006_T"	"HKB0084_3000_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0161_3001_T"	"HKB0182_3006_T"	"HKB0211_3002_T"	"HKB0626_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0677_3000_T"	"HKB0752_3000_T"	"BC_HKB0022_649_T"	"BC_HKB0112_933_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0728_1447_T"	"BC_HKB0738_1475_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0838_1563_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0089_3001_T"	"HKB0097_3000_T"	"HKB0102_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0160_3000_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0552_3000_T"	"HKB0573_3000_T"	"HKB0620_3000_T"	"HKB0683_3000_T"	"HKB0719_3002_T"	"BC_HKB0187_1214_T"	"BC_HKB0215_1134_T"	"BC_HKB0729_1445_T"	"BC_HKB0892_1559_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0033_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0078_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0141_3006_T"	"HKB0143_3006_T"	"HKB0164_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0191_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0214_3006_T"	"HKB0219_3001_T"	"HKB0221_3001_T"	"HKB0230_3006_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0653_3000_T"	"HKB0665_3000_T"	"HKB0692_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0722_3002_T"	"HKB0734_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"BC_HKB0543_1306_T"	"BC_HKB0662_1294_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0056_3002_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0091_3001_T"	"HKB0137_3002_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0710_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"BC_HKB0668_1298_T"	"HKB0007_3005_T"	"HKB0067_3006_T"	"HKB0070_3002_T"	"HKB0080_3006_T"	"HKB0092_3000_T"	"HKB0094_3006_T"	"HKB0106_3006_T"	"HKB0108_3000_T"	"HKB0109_3006_T"	"HKB0115_3006_T"	"HKB0123_3006_T"	"HKB0127_3006_T"	"HKB0132_3006_T"	"HKB0158_3006_T"	"HKB0159_3006_T"	"HKB0162_3006_T"	"HKB0217_3005_T"	"HKB0220_3000_T"	"HKB0226_3001_T"	"HKB0227_3006_T"	"HKB0228_3002_T"	"HKB0629_3000_T"	"HKB0656_3000_T"	"HKB0668_3000_T"	"HKB0718_3000_T"	"HKB0721_3000_T"	"HKB0726_3000_T"	"BC_HKB0733_1459_T"	"BC_HKB0905_1623_T"	"HKB0006_3006_T"	"HKB0031_3001_T"	"HKB0035_3006_T"	"HKB0147_3000_T"	"HKB0196_3006_T"	"HKB0210_3006_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0232_3000_T"	"HKB0540_3000_T"	"HKB0585_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0638_3000_T"	"HKB0713_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"
"KRT16"	3.25550073314839	2.81762325751143	6.25001411501037	2.54843662469604	7.38586240064146	5.78214642355464	9.02483493039782	6.85461908396104	8.04297258321952	7.59976410307252	4.36737106564853	7.21315283533637	6.32786697140204	6.87749887278353	7.75475391310454	6.62336941611481	6.82807299786697	2.79701297783614	4.12267271882414	8.9429835981871	2.01792190799726	1.60407132366886	0	1.46466826700344	0	0.887525270741587	0	0	3.5957423394744	0	0	0	2.25701061820602	1.77399632511117	1.76553474636298	1.92599941855622	0.356143810225275	0.704871964456353	0.650764559116902	0.176322772640463	1.55090066464752	0.831877241191673	0.344828496997441	0.53605290024021	1.49569516262407	0.594548549550354	0.432959407276106	1.71369581484336	0.495695162624069	2.11769504266975	2.68032435684402	2.08746284125034	0	0	2.58496250072116	0.443606651475615	0.263034405833794	3.7311832415722	0.748461233004036	5.39746072605472	0.124328135002202	1.38956681176273	1.35049724708413	2.75702324650746	1.40599235967584	0.150559676575381	1.20163386116965	0.298658315564515	2.28983446517751	2.74846123300404	0.344828496997441	1.06350294230616	0.871843648509318	3.36176835941915	0.722466024471091	1.13750352374994	0.632268215499513	1.43295940727611	1.44360665147561	2.98913900736823	0	1.64616265715789	1.6915341649192	3.03738222200308	2.25701061820602	1.50589092972996	0.333423733725192	3.38404980679516	2.82781902461732	1.53605290024021	0.575312330687437	2.92029330021101	1.43295940727611	0.807354922057604	0	1.20789285164133	1.22650852980868	0	0.344828496997441	0.333423733725192	1.17632277264046	3.33771109212829	1.30451104180995	1.95977015521147	1.11103131238874	7.23668394455901	0.176322772640463	0.189033824390017	0.464668267003444	2.01077983875324	0.495695162624069	4.12018602753186	0.22650852980868	0.111031312388744	0	0.475084882948783	0.27500704749987	2.16671544496642	0.400537929583729	1.85199883711245	0.887525270741587	0.31034012061215	0.956056652412403	0.464668267003444	0.263034405833794	0.20163386116965	0.831877241191673	1.64616265715789	1.82374936030827	0.389566811762726	1.60880924267552	3.94673086014031	1.18269229751619	0.713695814843359	0.321928094887362	1	0.238786859587116	2.17312743348066	0.286881147788162	0.879705766282288	0.613531652917927	1.28688114778816	1.65535182861255	0	0.475084882948783	0.516015147003665	0.344828496997441	0.22650852980868	0.575312330687437	0.0840642647884745	0.31034012061215	1.6915341649192	1.0071955014042	0.422233000683048	0.286881147788162	0.0840642647884745	1.28688114778816	0.070389327891398	0.84799690655495	1.63226821549951	0.0285691521967709
"DSG3"	0	2.5033487351675	0.887525270741587	0	7.02646811278991	1.22650852980868	2.09761079662642	0.669026765509631	4.78711898281334	0.6959938131099	0.0143552929770701	7.08947696448992	6.17552460108987	5.6915341649192	4.07980475463526	6.9953714505722	7.56147889150101	0.263034405833794	0.37851162325373	7.51963625284321	0.704871964456353	0.263034405833794	0.765534746362977	0.53605290024021	0	1.71808758396052	0	0	2.57773093149008	0.807354922057604	1.03562390973072	0	2.75274859140713	2.84197311892718	0.782408564927373	3.45680614923047	0.411426245726465	0.622930350920177	0.0143552929770701	0.0840642647884745	1.43829285157915	2.5033487351675	0.0976107966264223	0.0426443374084937	1.51096191927738	1.79493566280354	0.367371065648529	2.25398926623079	0.27500704749987	2.82374936030827	3.27649666564036	1.13093086982645	0.286881147788162	0	0	0.739848102699327	0.545968369105292	3.88264304936184	1.49569516262407	0.485426827170242	0.16349873228288	2.07724299893246	1.92219784839637	3.30742852519225	3.42088657497553	0.137503523749935	0.575312330687437	0.0143552929770701	3.81249822533356	0.839959587489532	0.0565835283663675	0	1.74846123300404	0.992768430768924	1.15704371014558	1.09761079662642	0.985500430304885	1.15055967657538	1.85598969730848	3.97452931248388	0	2.19849415363908	2.67581593117227	2.9429835981871	0.150559676575381	0.238786859587116	0.389566811762726	1	3.22650852980868	0.713695814843359	0.0285691521967709	0	0	1.59454854955035	0	1	0.321928094887362	0	0.641546029087524	0.214124805352847	0.344828496997441	0	1.81147103052984	0.704871964456353	0.0285691521967709	6.07446262070454	0.0285691521967709	0.0143552929770701	1.63691458035588	2.29572302453997	0.389566811762726	1.37295209791183	0.432959407276106	0.55581615506164	0	1.07724299893246	0.070389327891398	2.15380533607904	0.713695814843359	0.20163386116965	1.76977173924945	1.34482849699744	0.31034012061215	0.604071323668861	1.01435529297707	0.0143552929770701	0.910732661902913	0.214124805352847	2.68032435684402	0.7311832415722	0.516015147003665	0.0976107966264223	0.0426443374084937	1.07724299893246	0.443606651475615	0.613531652917927	0.0976107966264223	2.94485844580754	0.31034012061215	0.411426245726465	1.4905701304462	2.45680614923047	0.344828496997441	0	0.137503523749935	0.475084882948783	0.0143552929770701	0.20163386116965	0.910732661902913	0.0840642647884745	0.27500704749987	2.12763327972587	0.070389327891398	0.871843648509318	0.650764559116902	0	1.68257329734758	0.0285691521967709	0.594548549550354	0.464668267003444	0
"KRT6A"	1.55090066464752	3.5385381636298	5.6979405826171	4.72955277045397	5.59991284218713	4.81147103052984	5.23189316164533	2.34482849699744	5.84724530714181	5.08236196955747	0.0565835283663675	7.57395008378687	6.72383156649532	8.41700858678878	4.52606881166759	2.29865831556452	2.37851162325373	0	6.77162151792327	6.69877410890368	3.40735275114004	0	0	0.75702324650746	0	2.97452931248388	0	0	4.30305008468167	0	0	0	0.422233000683048	0.111031312388744	0.31034012061215	0.0285691521967709	0.367371065648529	0.37851162325373	0	0.0285691521967709	0.887525270741587	0.432959407276106	0.150559676575381	0	0.739848102699327	0.111031312388744	0.0285691521967709	0.27500704749987	0.321928094887362	0.137503523749935	1.29865831556452	0	0	0	1.09761079662642	0.137503523749935	0.0565835283663675	3.1586601753465	0.31034012061215	6.27202318906105	0.0285691521967709	0.333423733725192	1.37295209791183	1.4905701304462	2.07724299893246	0	0.214124805352847	0.0285691521967709	0.604071323668861	1.46988597627446	0	0.0285691521967709	0.992768430768924	0.7311832415722	0.070389327891398	0.55581615506164	0.0565835283663675	0.526068811667588	0.565597175854225	2.61353165291793	0	0.739848102699327	0.575312330687437	0.941106310946431	1.58014548442338	0.0976107966264223	0.0285691521967709	0.367371065648529	3.26303440583379	0.214124805352847	0.189033824390017	0	2.48026512205446	0	0	0	0.411426245726465	0	0.070389327891398	0.526068811667588	0.263034405833794	0.613531652917927	1.0071955014042	3.77505054148317	0	2.18586654531133	0.150559676575381	0	0.0976107966264223	1.55090066464752	0.250961573533219	0.150559676575381	0	0.0976107966264223	0	0.286881147788162	0.124328135002202	1.73984810269933	0.176322772640463	0.400537929583729	0.704871964456353	0	0.070389327891398	0.124328135002202	0.0840642647884745	0	0.545968369105292	0.669026765509631	1.91456452349394	0.0285691521967709	0.150559676575381	0.356143810225275	0	0.189033824390017	0	0.16349873228288	0	2.90689059560852	0.0285691521967709	0.20163386116965	0.75702324650746	0.356143810225275	0	0	0	0.0565835283663675	0.0840642647884745	0.238786859587116	0.20163386116965	0.31034012061215	0.0840642647884745	1.54596836910529	0.0565835283663675	0.20163386116965	0.176322772640463	0	0.650764559116902	0	0.678071905112638	0.823749360308273	0.111031312388744
"KRT6B"	3.76234881564413	5.31650781910311	4.55887985347544	3.31179371775365	8.76091949954869	9.56184161992876	3.53231695933277	3.20633064787105	7.46295208610836	3.76128527336162	5.24678809384436	7.31415269388222	9.31698290705338	8.02064665035178	5.83769100042856	4.94110631094643	2.15704371014558	1.02147972741045	5.12598165385472	8.33561366481602	1.46988597627446	0.584962500721156	2.83794324189103	1.33913738491959	0	4.31759350462347	0	0	4.52919626799939	0.985500430304885	2.99638874644762	3.94579495674006	3.82984955984469	3.5668151540109	2.89917563048051	2.9560566524124	1.41142624572647	2.51349074558812	0	0.0285691521967709	3.18745105402733	3.41683974191283	0.495695162624069	0.0976107966264223	2.76765479823735	2.34198574722862	0.389566811762726	2.02502879449152	1.25701061820602	3.63226821549951	4.9986468390058	2.82781902461732	0	0	1.15704371014558	2.29278174922785	0.565597175854225	5.27761287075669	1.93734439215023	4.50080205305716	0.20163386116965	3.3743439890385	3.71369581484336	5.4715126480455	4.38335869538511	0.6959938131099	1.61823865559545	0.070389327891398	5.18547014606694	3.05137210172103	0.070389327891398	0.0285691521967709	2.44360665147561	2.0703893278914	1.92219784839637	2.33913738491959	1.20163386116965	3.35895882583233	3.96162332828694	4.91934008244201	0	2.96162332828694	3.06522762277562	3.32768736417605	1.56071495447448	0.432959407276106	0.613531652917927	2.02856915219677	4.21567859660793	3.76871365703048	0.400537929583729	0	3.4594316186373	1.70487196445635	0	2.13093086982645	0	0	1.25701061820602	1.29865831556452	0.704871964456353	1.23266075679027	3.21567859660793	1.4905701304462	0.0285691521967709	3.68706068833989	0.137503523749935	0.0976107966264223	1.19534759832222	5.12722055048807	0.773996325111173	3.86888427302877	0.124328135002202	0.765534746362977	0	1.76553474636298	0.933572638261024	3.63343121035563	2.31903981556254	0.432959407276106	3.31034012061215	1.41683974191283	1.26903314645524	1.44890095114513	0.495695162624069	0	1.54596836910529	2.5385381636298	2.46205231879643	1.50080205305716	0.505890929729957	1.67355642399014	0.31034012061215	2.26002565596146	1.54101915313356	1.72246602447109	0.790772037862	4.63459326844576	0.632268215499513	0.855989697308481	2.69376571221778	2.88752527074159	2.38404980679516	1.05658352836637	1.02856915219677	1.58014548442338	0.111031312388744	0.389566811762726	2.09423606984577	0.454175893185802	0.545968369105292	3.54101915313356	0	2.05658352836637	1.15055967657538	0	2.85199883711245	0	1.95977015521147	4.39574832817903	0.070389327891398
"SERPINB5"	0	0.622930350920177	1.51096191927738	0	6.18844048897516	3.60644222813161	4.46466826700344	1.65535182861255	5.82400405093315	3.30012372456901	2.90496571868403	6.4239142676731	7.97027848587579	6.77623561482759	6.13750352374993	5.73903797911741	6.37486560219545	1.37295209791183	2.01435529297707	7.65349000917199	4.5668151540109	0	1.46466826700344	1	0	1.8073549220576	0	0	1.76977173924945	0	2.8073549220576	0	2.37851162325373	2.18269229751619	2.64846544302731	3.72683121703249	0.263034405833794	1.56559717585423	0.411426245726465	0.704871964456353	2.14730669878029	2.611172380044	0.22650852980868	1.58496250072116	1.91456452349394	1.87578006306849	0.333423733725192	3.06522762277562	1.74416109557041	2.41953889151378	3.66562016406638	1.20789285164133	0.575312330687437	2.73552217729654	0	1.25701061820602	1.74416109557041	3.46074256378964	1.28688114778816	3.73226919950145	1.86789646399265	1.76553474636298	4.71699089440494	3.52481592835751	7.03628352798845	0.55581615506164	2.88166461932035	2.50842865253186	4.05050169744673	4.62117275268344	0.604071323668861	2.12763327972587	1.95233356636969	1.58976348698498	1.59454854955035	1.15704371014558	2.3533232911629	0.790772037862	1.48542682717024	3.82984955984469	0.150559676575381	2.51853513898218	3.01970191444255	3.71479501111816	0.855989697308481	0.903038270112912	0.687060688339892	1.49569516262407	5.17272751801285	3.09254574154357	0.505890929729957	0	2.14404636961671	0.526068811667588	0	0.505890929729957	1.17632277264046	0	0.6959938131099	0.839959587489532	0.831877241191673	4.84498815668261	2.63226821549951	0.879705766282288	0.53605290024021	4.53294028837287	0.0565835283663675	0.176322772640463	1.64154602908752	5.29094040240368	1.28095631383106	3.50842865253186	0.650764559116902	0.505890929729957	0	0.659924558402378	0.790772037862	1.89917563048051	0.765534746362977	0.925999418556223	3.01435529297707	2.03913839390696	0.505890929729957	0.411426245726465	1.4594316186373	0.070389327891398	1.76128527336162	0.871843648509318	5.99751823451979	1.10433665981474	1.19534759832222	2.55336050333533	7.85959690323874	4.98367769469807	0.659924558402378	1.81147103052984	0.321928094887362	3.93168305705981	0.432959407276106	0.565597175854225	1.41683974191283	2.36457243229586	0	0	0.516015147003665	0.669026765509631	0.176322772640463	0.985500430304885	0.879705766282288	0.150559676575381	0.321928094887362	2.19534759832222	0.910732661902913	0.823749360308273	1.51096191927738	0.0976107966264223	1.6915341649192	0	0.84799690655495	2.99457972421575	0.575312330687437
"SPRR1B"	0	0	3.45154083301783	0	0.831877241191673	0.321928094887362	0	0	0	0	0	1.25701061820602	0.722466024471091	7.95948038176745	0	0	0.124328135002202	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250961573533219	0	0.992768430768924	0	0	0	0.321928094887362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65535182861255	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389566811762726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0	0	0	0	0	0	0.956056652412403	0	0	0	0.22650852980868	0	0	0	0.27500704749987	0	0	0	0	0	0	0	0	0.545968369105292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT5"	6.97853886971045	7.02192383855476	5.44658708530688	6.9500017490835	8.37273449356733	4.91695427895322	8.80122333788621	6.69974594797101	9.17607339146391	7.64226835175864	0.495695162624069	6.68088692071969	10.1083807028279	10.2047178515396	7.69766263347052	6.13606831219318	8.70251902915328	4.45746296464855	6.77649883231434	9.5034481237634	3.09254574154357	2.26603689399532	5.96185480763616	3.92504996472736	0	7.0706039986813	0	1.15055967657538	6.48139582415413	4.13175409098481	5.4432751117658	6.538227739736	6.37382218722165	5.76738996206572	5.98550043030489	7.75033852024471	2.61588707391606	4.81762325751143	0.321928094887362	0.7311832415722	5.9371089462026	6.51143641197723	1.28688114778816	0.678071905112638	5.57198012018773	4.95837871156634	1.38404980679516	6.27909980213375	4.13914201914569	4.58556349845569	6.9996618287188	3.21723071622067	3.79493566280354	0	1.15055967657538	4.00539998774259	2.50080205305716	6.4317900833788	5.14852742516046	2.74631276642546	1.95233356636969	4.77925972037238	5.05484847699562	6.06695024392463	6.90122894538153	1.74846123300404	5.43596189543763	0.389566811762726	7.1209117553533	4.75114232472695	0.37851162325373	0.189033824390017	4.9297909977186	3.5765221379205	4.4235781709818	3.68144926531496	2.82578562746479	4.27426166125705	4.67581593117227	6.95721814916694	0.0285691521967709	5.95396359887078	5.70487196445635	6.46270675067016	4.20554891117303	1.52606881166759	2.54843662469604	3.63343121035563	5.75355105460065	6.07895134139482	0.27500704749987	2.40599235967584	5.86690797814317	5.70653055253812	2.25096157353322	3.03033607837096	1.93357263826102	0	4.03826057517535	2.76977173924945	2.52857131887076	4.83592407425437	4.97452931248388	4.20006486151431	0.454175893185802	3.27202318906105	0.475084882948783	0.910732661902913	5.2098432305255	3.91838623444635	4.01256867350306	8.39848719001897	2.97452931248388	2.52857131887076	0	3.46466826700344	3.13586316536868	6.55995061271308	3.08576455377831	1.50589092972996	5.67948009950545	5.45055144330648	2.57046293102604	2.50080205305716	3.89433274227769	0.111031312388744	4.94016675048282	2.58014548442338	6.58436125251871	3.14893410452634	4.60229058486114	0.475084882948783	1.43829285157915	3.22187708107703	3.41142624572647	3.25247621413522	1.92599941855622	5.9560566524124	1.90689059560852	1.24488705912353	4.85748342828667	4.57349571549561	2.97636363573276	2.58496250072116	2.09423606984577	2.78031009904338	0.389566811762726	1	3.5385381636298	0.871843648509318	1.74416109557041	4.4944156103975	0.0840642647884745	2.77610398807316	4.03474394932473	0.0285691521967709	4.19692173382033	0.214124805352847	2.38404980679516	5.42155994490182	0.298658315564515
"KRT6C"	0	0	0	0.823749360308273	4.87085786436376	2.6667565918848	0.321928094887362	0.0426443374084937	0.389566811762726	0.0285691521967709	0.411426245726465	0.903038270112912	5.1622906135458	1.55090066464752	2.15055967657538	0.22650852980868	0.400537929583729	0	1.63226821549951	0.176322772640463	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0.124328135002202	0.0426443374084937	0.0426443374084937	0	0.0426443374084937	0.0840642647884745	0	0	0.0840642647884745	0.0565835283663675	0	0	0.0426443374084937	0	0	0.16349873228288	0	0	0.16349873228288	0	0	0	0	0	0	0.37851162325373	0.0565835283663675	0.31034012061215	0	0.0565835283663675	0.0426443374084937	0.214124805352847	0.070389327891398	0	0.0285691521967709	0	1.0703893278914	0	0.0285691521967709	0	0.0426443374084937	0.070389327891398	0	0	0	0.176322772640463	0.286881147788162	0.356143810225275	0	0.070389327891398	0.0285691521967709	0.584962500721156	0.575312330687437	0	0	0.956056652412403	0.0285691521967709	0	0	0	0	2.4594316186373	0	0	0	0	0.22650852980868	0.0840642647884745	0	0	0.0285691521967709	0.150559676575381	0	1.73984810269933	0	0	0.0565835283663675	0.0285691521967709	0.0285691521967709	0.214124805352847	0	0.0285691521967709	0	0	0.0426443374084937	0.0976107966264223	0.0285691521967709	0.0285691521967709	0	0.0565835283663675	0.0976107966264223	0	0.0285691521967709	0	0.070389327891398	0.526068811667588	0	0	0.070389327891398	0.0840642647884745	0	0.0565835283663675	0.0426443374084937	0.214124805352847	0	0.27500704749987	0	0	0.0426443374084937	0	0	0	0.0565835283663675	0	0	0.124328135002202	0	0.0285691521967709	0.0565835283663675	0.070389327891398	0	0	0	0	0	0	0	0.16349873228288	0
"RHCG"	0	0	0	0	2.99276843076892	2.6915341649192	0	0.356143810225275	0.594548549550354	0.748461233004036	1.06350294230616	1.6507645591169	0.214124805352847	3.4276061727819	0.37851162325373	0.485426827170242	2.29572302453997	0.704871964456353	4.6507645591169	4.4154882710497	1.28688114778816	0	1.97819562968165	0	0	1.02147972741045	0	0	1.799087306074	1.41683974191283	0	0	0.0565835283663675	0.27500704749987	0.150559676575381	0.475084882948783	0.250961573533219	0.111031312388744	0.22650852980868	0.7311832415722	0.22650852980868	0.189033824390017	0.0426443374084937	0.16349873228288	0.37851162325373	0.150559676575381	0	0.124328135002202	0.0285691521967709	0.20163386116965	0.485426827170242	0	0	0	0	0	0	0.584962500721156	0.669026765509631	0.070389327891398	0.475084882948783	0.16349873228288	0.214124805352847	0.0565835283663675	0	0.0285691521967709	0.443606651475615	0.432959407276106	0.31034012061215	0.16349873228288	0.0840642647884745	0.111031312388744	0	0.137503523749935	0	0.070389327891398	0.070389327891398	0.137503523749935	0.111031312388744	0.0426443374084937	0	0.27500704749987	0.176322772640463	0.070389327891398	0.0976107966264223	0.070389327891398	0	0	0.687060688339892	0	0.070389327891398	1.0703893278914	0	0	0	3.26303440583379	0	0	0.22650852980868	0.53605290024021	0.0976107966264223	1.46466826700344	0.0426443374084937	0.0285691521967709	0.286881147788162	0.7311832415722	0	0	0.176322772640463	1.64616265715789	0.16349873228288	0.367371065648529	0.070389327891398	0	0	0	0.070389327891398	0.0426443374084937	0	0	0.150559676575381	0.855989697308481	0.0426443374084937	0.0565835283663675	0.137503523749935	0.0426443374084937	0.124328135002202	1.40599235967584	0.263034405833794	0.356143810225275	1.44360665147561	0	0.321928094887362	0.0840642647884745	0.0840642647884745	0.594548549550354	0	0	0.0976107966264223	0	0.150559676575381	0.0426443374084937	0	0	0.214124805352847	0	0	0.0285691521967709	0.0565835283663675	0.604071323668861	0	0.189033824390017	0	0	0	0	0.0565835283663675	1.91073266190291	1.23266075679027	0	0.111031312388744
"PKP1"	0	0.84799690655495	3.05831649559082	2.0036022366802	5.54936113292434	0.0976107966264223	2.17312743348066	1.24488705912353	4.42693561964834	2.95233356636969	0.411426245726465	6.09339115325301	6.18507363787676	6.76115227543197	3.81249822533356	4.11603199344711	6.74604398299834	4.18030701996943	3.90207357931074	6.94356974983897	3.57046293102604	0	1.799087306074	0.978195629681652	1.70929063572336	1.6915341649192	1.36737106564853	1.1243281350022	2.0496307677246	0.495695162624069	0.298658315564515	1.22650852980868	1.74416109557041	1.57046293102604	1.98913900736823	3.68594014844598	0.970853654340484	2.44890095114513	0.475084882948783	2.8972404255748	1.92219784839637	1.56071495447448	0.356143810225275	2.17312743348066	2.26903314645524	1.15704371014558	0.918386234446348	4.0703893278914	2.12101540096137	3.68818035858693	2.90881290773955	0.978195629681652	0	0	1.22032995487956	0.863938450423971	0.37851162325373	2.52356195605701	2.02502879449152	2.08065766334523	0.863938450423971	1.4541758931858	1.02147972741045	1.6959938131099	2.1243281350022	0.55581615506164	1.35049724708413	1.92219784839637	2.12101540096137	1.08406426478847	1.02856915219677	0.214124805352847	1.47508488294878	1.52606881166759	0.985500430304885	2.89530262133331	0.344828496997441	1.04264433740849	4.16751850373522	2.95791459863299	1.78659636189081	0.879705766282288	2.55090066464752	2.22032995487956	0.6959938131099	3.56559717585422	0.485426827170242	2.5385381636298	2.13750352374994	1.46466826700344	0.0285691521967709	2.73335434061383	4.28466218548316	2.36457243229586	0.344828496997441	3.98913900736823	1.98913900736823	0	0.333423733725192	0.831877241191673	0.485426827170242	0.22650852980868	1.29865831556452	2.07724299893246	2.94673086014031	2.70265754339091	2.22958792274065	0.27500704749987	1.38956681176273	2.1407786557828	2.04264433740849	0.176322772640463	2.13422093976063	0.84799690655495	0	0.565597175854225	0.526068811667588	1.46466826700344	0.250961573533219	1.92219784839637	1.11769504266975	1.92599941855622	0.111031312388744	0.400537929583729	2.77188557851537	0.298658315564515	1.52105073690096	1.81147103052984	1.56071495447448	1.23266075679027	1.18903382439002	3.62760683812965	1.08406426478847	0.526068811667588	0.422233000683048	0.464668267003444	1.16992500144231	1.0703893278914	1.1243281350022	1.63691458035588	3.47508488294878	0.918386234446348	2.51853513898218	1.46466826700344	1.85996954822103	0.214124805352847	0.739848102699327	0.0840642647884745	0.298658315564515	4.52857131887076	0.150559676575381	1.15704371014558	0.0976107966264223	1.4541758931858	0.516015147003665	0.0143552929770701	3.09423606984577	0.356143810225275	0.20163386116965	1.41683974191283	0.0285691521967709
