"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0838_1563_T"	"BC_HKB0890_1550_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0552_3000_T"	"HKB0573_3000_T"	"HKB0719_3002_T"	"BC_HKB0187_1214_T"	"BC_HKB0215_1134_T"	"BC_HKB0729_1445_T"	"HKB0007_3005_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0033_3006_T"	"HKB0038_3006_T"	"HKB0088_3000_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0143_3006_T"	"HKB0191_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0219_3001_T"	"HKB0232_3000_T"	"HKB0576_3000_T"	"HKB0638_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0734_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0006_3006_T"	"HKB0008_3006_T"	"HKB0031_3001_T"	"HKB0035_3006_T"	"HKB0067_3006_T"	"HKB0086_3006_T"	"HKB0159_3006_T"	"HKB0164_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0196_3006_T"	"HKB0214_3006_T"	"HKB0221_3001_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0226_3001_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0579_3000_T"	"HKB0599_3000_T"	"HKB0718_3000_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"HKB0726_3000_T"	"BC_HKB0764_1510_T"	"BC_HKB0902_1617_T"	"BC_HKB0913_1654_T"	"BC_HKB2119_1690_T"	"HKB0078_3000_T"	"HKB0141_3006_T"	"HKB0228_3002_T"	"HKB0230_3006_T"	"BC_HKB0555_1321_T"	"BC_HKB0570_1319_T"	"BC_HKB0641_1392_T"	"BC_HKB0715_1407_T"	"BC_HKB0733_1459_T"	"BC_HKB0874_1537_T"	"BC_HKB0894_1583_T"	"BC_HKB0905_1623_T"	"BC_HKB1384_1734_T"	"BC_HKB2105_1618_T"	"BC_HKB2107_1620_T"	"BC_HKB2109_1628_T"	"BC_HKB2113_1657_T"	"BC_HKB2114_1660_T"	"BC_HKB2116_1671_T"	"BC_HKB2123_1695_T"	"HKB0147_3000_T"	"HKB0210_3006_T"	"HKB0585_3000_T"	"HKB0748_3000_T"	"BC_HKB0543_1306_T"	"BC_HKB0779_1486_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0069_3000_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0220_3000_T"	"HKB0674_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0662_1294_T"	"BC_HKB0728_1447_T"	"BC_HKB0772_1460_T"	"BC_HKB0775_1470_T"	"BC_HKB0876_1543_T"	"BC_HKB0892_1559_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0092_3000_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0182_3006_T"	"HKB0211_3002_T"	"HKB0626_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0677_3000_T"	"HKB0710_3000_T"
"TNNI1"	0.238786859587116	1.26903314645524	0.22650852980868	0.263034405833794	3.09592441999854	1.62293035092018	2.7158933705476	0	0	0.0143552929770701	0.189033824390017	0.150559676575381	0.070389327891398	0	0.0840642647884745	0	0	0	0	0.070389327891398	0	0	0.124328135002202	0.124328135002202	4.27052894238072	2.21101219348551	1.17632277264046	0	0.070389327891398	0.0285691521967709	0.0565835283663675	0.0565835283663675	0	0	0	0.070389327891398	0	0	0	0.0285691521967709	0.070389327891398	0	0	0.070389327891398	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0.0143552929770701	0	0	0	2.20476675065461	0.55581615506164	3.40053792958373	4.43162295971329	0	0	0	0	2.89530262133331	0.263034405833794	2.44360665147561	0.815575428862573	5.29572302453997	5.04483123344781	0.263034405833794	4.29425313644451	3.46858331700683	0	3.18745105402733	5.78188423454149	3.64961545906341	1.70929063572336	0.367371065648529	0.956056652412403	0	0	0	0	3.29278174922785	4.70154905694307	3.89336221076387	0.799087306074004	0.070389327891398	0	0	0	0	0	0	0.0976107966264223	0	0.0285691521967709	4.23342794374847	5.20398416585599	5.07852444538908	2.9429835981871	3.48155728070859	0.739848102699327	0	0.0285691521967709	0.0143552929770701	0.0143552929770701	0.0565835283663675	0	0	0.0143552929770701	0	0.0143552929770701	0.0143552929770701	0.0840642647884745	0.0143552929770701	0.0565835283663675	0	0	0.0143552929770701	0	0	0	0.0143552929770701	0
"TTN"	4.9126498648972	4.78502736223547	4.62527048937469	5.08065766334523	5.23304440126558	5.47216280355037	5.71259578044703	2.43562859405209	1.63226821549951	2.71149490665009	1.87970576628229	2.30158764660319	2.59931779369823	1.04264433740849	2.63226821549951	1.92599941855622	1.76553474636298	2.58736499093646	1.43295940727611	2.48542682717024	1.01435529297707	2.36737106564853	2.10768786931437	1.52606881166759	4.1906148602095	3.29865831556452	4.10517519226548	0.815575428862573	0.895302621333307	0.879705766282288	1.37295209791183	0.495695162624069	1.03562390973072	0.739848102699327	1.17632277264046	2.03210084316702	0.75702324650746	1.51096191927738	0.545968369105292	0.713695814843359	0.0285691521967709	0.526068811667588	0.650764559116902	0.37851162325373	0.464668267003444	0.53605290024021	0.356143810225275	0.475084882948783	1.13093086982645	0.475084882948783	0.214124805352847	1.01435529297707	1.11769504266975	1.04264433740849	0.941106310946431	0.799087306074004	0.516015147003665	0.963474123974886	1.85598969730848	1.77399632511117	0.855989697308481	1.77399632511117	1.38404980679516	0.722466024471091	0.070389327891398	0.75702324650746	0.659924558402378	1.16349873228288	1.65992455840238	1.11769504266975	1.07724299893246	0.75702324650746	0.748461233004036	0.150559676575381	4.44028782084042	5.06263982828646	4.94063660720115	5.86542397831313	0.31034012061215	0.748461233004036	0.773996325111173	0.765534746362977	4.38335869538511	4.80426011563474	3.30305008468167	5.16791986555194	5.02147972741045	5.26115467261557	3.33913738491959	4.82476785314329	4.85449441815488	5.5033487351675	5.61412086878925	4.631686366312	5.42861141846713	3.55949181320504	5.38646609286931	5.01747656302046	0.16349873228288	0.53605290024021	0.565597175854225	1.06350294230616	5.35860724911781	5.5909612413426	6.1407786557828	5.66078033403255	3.88166461932035	1.58496250072116	1.78240856492737	2.28688114778816	1.33913738491959	2.54101915313356	2.69821847822441	4.37920505996061	2.45680614923047	1.38956681176273	4.82425869660337	5.74092756031863	5.12969515665378	5.47216280355037	4.94766615679601	3.08576455377831	0.22650852980868	0.748461233004036	0.443606651475615	0.344828496997441	0.918386234446348	1	0.495695162624069	2.53605290024021	0.722466024471091	1.0071955014042	1.15704371014558	0.286881147788162	0.0285691521967709	1.22650852980868	1.30451104180995	1.11103131238874	1.58976348698498	0.389566811762726	1.41142624572647	1.95977015521147	0.855989697308481	1.40053792958373
"STAC3"	3.57531233068744	1.77399632511117	0	0	3.24792751344359	0.773996325111173	4.36317107711924	1.25096157353322	0.613531652917927	1.41683974191283	1.74846123300404	1.09761079662642	1.28688114778816	0.22650852980868	1.02856915219677	1.22650852980868	1.35049724708413	0.704871964456353	1.25701061820602	1.22032995487956	1.36737106564853	1	1.13750352374994	0.632268215499513	2.02856915219677	1.7311832415722	2.33913738491959	1.26303440583379	1.75274859140713	0.887525270741587	1.09761079662642	1.40053792958373	1.46466826700344	1.13750352374994	1.37851162325373	1.48026512205446	0.863938450423971	0.918386234446348	1.0496307677246	0.7311832415722	0.53605290024021	1.15704371014558	0.739848102699327	0.739848102699327	1.13750352374994	1.11103131238874	1.03562390973072	0.55581615506164	1.0071955014042	0.831877241191673	1.0071955014042	2.03913839390696	1.6959938131099	0.956056652412403	1.55090066464752	0.948600847493356	1.08406426478847	1.11103131238874	1.04264433740849	1.35614381022528	0.985500430304885	0.632268215499513	1.26903314645524	1.43295940727611	0.863938450423971	0.933572638261024	0.678071905112638	0.831877241191673	1.0703893278914	1.17632277264046	1.07724299893246	0.6959938131099	0.839959587489532	0.782408564927373	2.44625622988956	0	1.11769504266975	2.74846123300404	1.7311832415722	0.613531652917927	1.23878685958712	1.84799690655495	2.52606881166759	1.15055967657538	1.73552217729654	0	2.0496307677246	1.9560566524124	1.08406426478847	1.7311832415722	2.0036022366802	0	1.23878685958712	1.98185265328974	3.25550073314839	1.9297909977186	2.92409988564074	0	0.622930350920177	1.38956681176273	0.918386234446348	1.04264433740849	3.98641093525204	2.35049724708413	3.83693401132109	3.02680005934372	1.74416109557041	1.54101915313356	1.66902676550963	2.48026512205446	1.53605290024021	0.863938450423971	1.58014548442338	1.51096191927738	1.11103131238874	1.72683121703249	1.17632277264046	0	1.81966818349646	1.86393845042397	2.88947354253111	3.83289001416474	0.505890929729957	0.887525270741587	0.933572638261024	1.09761079662642	2.30742852519225	1.02147972741045	1.37295209791183	1.0703893278914	1.02856915219677	1.14404636961671	1.47508488294878	1.15704371014558	0.632268215499513	1.31614574229336	0.7311832415722	0.963474123974886	0.84799690655495	1.47508488294878	0.565597175854225	1.32192809488736	0.545968369105292	1.52105073690096
"SMPX"	0	0	0	0	0	0	0	0	0.0976107966264223	0.16349873228288	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0.298658315564515	0	0	0	0	0.0976107966264223	0.0840642647884745	0	0	0.070389327891398	0	0	0	0	0.111031312388744	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0.070389327891398	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0.124328135002202	0	0	0.0840642647884745	0	0.263034405833794	0.0840642647884745	0	0	0	0	0	0.070389327891398	0.0840642647884745	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02147972741045	0	0.070389327891398	0.0565835283663675	0	0.475084882948783	0.176322772640463	0	0	0.485426827170242	0	0	0.0840642647884745	0	0.0840642647884745	0	0	0.0840642647884745	0.150559676575381	2.27500704749987	0.250961573533219	1.31614574229336
"APOBEC2"	3.8011586560937	4.41210404467757	2.88752527074159	3.68818035858693	3.92599941855622	3.66220549965362	0	0	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0.124328135002202	0.0840642647884745	3.46466826700344	4.06263982828646	1.40599235967584	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0.0426443374084937	0	0	0	0	0	0	0	0	0	0.0976107966264223	0.0426443374084937	0	0	0	0	0	0.0565835283663675	0	0	0	0	0	0	0	0.0565835283663675	0	0	0	0	0.0565835283663675	0	0	0	0	0	3.46988597627446	5.1139504824225	4.68313498512609	3.89336221076387	0	0	0	0	3.07553263116736	3.89627184880738	2.79285535236249	4.29057185085208	4.70099449416827	3.07553263116736	3.9560566524124	4.29939120612683	3.12763327972587	2.89530262133331	4.94438996227009	4.53605290024021	4.71039319217052	4.76341157447001	5.13093086982645	4.03298241669943	0	0.0426443374084937	0	0	4.99503219247754	5.26865895502767	4.24107745817504	5.87184364850932	0	0	0	0	0	0	0	0	0.0426443374084937	0	2.60644222813161	4.76075320806299	4.38543103719352	5.04133060682062	4.01346225980656	3.15218341905505	0	0	0.0426443374084937	0.0285691521967709	0	0	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0.137503523749935	0	0	0	0
"MYLK2"	0	0.545968369105292	0	0	0	0.815575428862573	0	0.356143810225275	0.0565835283663675	0.31034012061215	0	0.0565835283663675	0.150559676575381	0.124328135002202	0.176322772640463	0.27500704749987	0.575312330687437	0	0.111031312388744	0.0976107966264223	0.22650852980868	0.111031312388744	0.16349873228288	0.0840642647884745	0	0	0	0.150559676575381	0.22650852980868	0.298658315564515	0.111031312388744	0.286881147788162	0.298658315564515	0.070389327891398	0.0976107966264223	0.263034405833794	0.584962500721156	0	0.815575428862573	0.124328135002202	0.516015147003665	0.454175893185802	0.0840642647884745	0	0.238786859587116	0.333423733725192	0.321928094887362	0.0285691521967709	0.124328135002202	0.526068811667588	0.367371065648529	0.250961573533219	0.565597175854225	0.594548549550354	0.189033824390017	0.0426443374084937	0.214124805352847	0.176322772640463	0.0565835283663675	0.238786859587116	0.516015147003665	0.150559676575381	0.27500704749987	0.070389327891398	0.333423733725192	0.214124805352847	0.137503523749935	0.20163386116965	0.150559676575381	0.31034012061215	0.263034405833794	0.263034405833794	0.214124805352847	0.070389327891398	0	0	0	0	0.137503523749935	0.238786859587116	0.176322772640463	0.176322772640463	0	0	0.505890929729957	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356143810225275	0.659924558402378	0.189033824390017	0.111031312388744	0	0	1.11769504266975	0	0.0565835283663675	0.238786859587116	0.432959407276106	0.31034012061215	0.16349873228288	0.124328135002202	0.298658315564515	0.137503523749935	0.0426443374084937	0.176322772640463	0	0	0	0	0	0	0.367371065648529	0.356143810225275	0.432959407276106	0.464668267003444	0.632268215499513	0.124328135002202	0.250961573533219	0.238786859587116	0.422233000683048	0.411426245726465	0.27500704749987	0.443606651475615	0.16349873228288	0.443606651475615	0.565597175854225	0.31034012061215	0.53605290024021	0.53605290024021	0.333423733725192	0.27500704749987	0.978195629681652	0.0976107966264223
"ACTN2"	0	1.51096191927738	0	0.443606651475615	0	0.6959938131099	0	0.0143552929770701	0.238786859587116	0.111031312388744	0.137503523749935	0.16349873228288	0.150559676575381	0.0840642647884745	0.214124805352847	0.150559676575381	0.20163386116965	0.124328135002202	0.070389327891398	0.0285691521967709	0.0976107966264223	0.0285691521967709	0.124328135002202	0.189033824390017	0	0	0	0.0285691521967709	0.0565835283663675	0.0840642647884745	0.0285691521967709	0.0426443374084937	0.0143552929770701	0	0.0840642647884745	0.0426443374084937	0.0565835283663675	0.0285691521967709	3.19534759832222	0.176322772640463	1.94860084749336	0.831877241191673	0.389566811762726	0.124328135002202	0.070389327891398	0.37851162325373	0.604071323668861	0.0426443374084937	0.0565835283663675	0.0143552929770701	0	0.070389327891398	2.01077983875324	0.27500704749987	0.0565835283663675	0.0426443374084937	0.0426443374084937	0.0285691521967709	0.0426443374084937	0.0285691521967709	0.0143552929770701	0.214124805352847	0.0143552929770701	0.0285691521967709	0.150559676575381	0.0143552929770701	0.070389327891398	0.20163386116965	0	0.150559676575381	0.0285691521967709	0.0426443374084937	2.23878685958712	0.0143552929770701	0	0	0	0	0.070389327891398	0.111031312388744	0.823749360308273	0.0565835283663675	0	0	0	0	0	0	0	0	0	0	0	0	1.35049724708413	0.505890929729957	0	0	0.344828496997441	1.93734439215023	0.070389327891398	0.0426443374084937	0	0.411426245726465	0	0	0.124328135002202	0.0565835283663675	0.111031312388744	0.150559676575381	2.03210084316702	0.263034405833794	0.16349873228288	0.16349873228288	0.070389327891398	0.0840642647884745	0	0	0	0	0	0	1.01435529297707	0.0840642647884745	0.20163386116965	0.782408564927373	0.0143552929770701	0.0565835283663675	0.0285691521967709	0.0840642647884745	1.07724299893246	0.286881147788162	0.0143552929770701	0.070389327891398	0.0143552929770701	0.124328135002202	0.137503523749935	0.0285691521967709	0.214124805352847	0.0565835283663675	0.0143552929770701	1.91838623444635	2.4905701304462	0.0565835283663675
"FITM1"	0	0	0	0	0	0	0	1.31034012061215	0.978195629681652	0.400537929583729	0.782408564927373	0.659924558402378	0.485426827170242	0.575312330687437	0.687060688339892	0.475084882948783	1.15055967657538	0.516015147003665	0.782408564927373	0.485426827170242	0.55581615506164	1.11769504266975	0.565597175854225	0.831877241191673	0	0	0	0.575312330687437	0.37851162325373	0.321928094887362	1.07724299893246	0.20163386116965	0.918386234446348	0.687060688339892	0.356143810225275	0.748461233004036	0.432959407276106	0.333423733725192	0.925999418556223	0.389566811762726	0.485426827170242	0.070389327891398	0.53605290024021	0.22650852980868	0.298658315564515	0.124328135002202	0.150559676575381	0.53605290024021	0.400537929583729	0.713695814843359	0.27500704749987	0.815575428862573	0.650764559116902	0.495695162624069	0.782408564927373	0.432959407276106	0.176322772640463	0.464668267003444	0.659924558402378	0.464668267003444	0.124328135002202	0.389566811762726	0.55581615506164	1.22032995487956	0.22650852980868	0.75702324650746	0.20163386116965	0.823749360308273	0.400537929583729	0.137503523749935	0.604071323668861	0.22650852980868	0.53605290024021	0.411426245726465	0	0	0	0	0.22650852980868	0.910732661902913	0.432959407276106	0.918386234446348	0	1.28095631383106	0	0	0	0	0	0	0	0	0	0	2.03210084316702	0	0	0	0.27500704749987	0.150559676575381	0.37851162325373	0.622930350920177	0	0	0	0	0.454175893185802	0.748461233004036	0.641546029087524	0.799087306074004	0.632268215499513	0.632268215499513	0.75702324650746	1.0071955014042	0.75702324650746	0.748461233004036	0	0	0	0	3.03738222200308	0	0.545968369105292	0.344828496997441	0.124328135002202	0.0565835283663675	0.941106310946431	0.070389327891398	0.286881147788162	0.422233000683048	0.22650852980868	0.150559676575381	0.855989697308481	0.55581615506164	0.214124805352847	0.124328135002202	0.263034405833794	0.505890929729957	0.356143810225275	0.137503523749935	0.189033824390017	0.464668267003444	0.0565835283663675	0.432959407276106
"NMRK2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYL3"	0	0	0	0	0	0	0	0.238786859587116	0.84799690655495	0.485426827170242	0.333423733725192	0.773996325111173	1.25701061820602	0.214124805352847	0.855989697308481	0.790772037862	0.713695814843359	1.6507645591169	0.782408564927373	1.17632277264046	0.298658315564515	0.584962500721156	0.505890929729957	0.713695814843359	0	0	0	0.475084882948783	0.333423733725192	1.03562390973072	0.432959407276106	0.713695814843359	0.526068811667588	0.565597175854225	0.333423733725192	0.879705766282288	0.250961573533219	1	0.903038270112912	0.356143810225275	0.214124805352847	0.6959938131099	0.956056652412403	0.963474123974886	0.321928094887362	0.432959407276106	1.04264433740849	0.632268215499513	1	0.613531652917927	0	0.400537929583729	0	0.124328135002202	0.31034012061215	0.321928094887362	0.189033824390017	0.37851162325373	0.250961573533219	0.0976107966264223	0.137503523749935	0.263034405833794	0.22650852980868	0	0.0840642647884745	0.389566811762726	0.0565835283663675	0.356143810225275	0.505890929729957	0.6959938131099	0.189033824390017	0.321928094887362	0.070389327891398	0	0	0	0	0	0.250961573533219	0.22650852980868	0	0.20163386116965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25398926623079	0.20163386116965	0	0.0840642647884745	0	0	0	0	0	0	0.16349873228288	0.298658315564515	0.495695162624069	0.070389327891398	0.565597175854225	0.0840642647884745	0	0.678071905112638	0.27500704749987	0	0	0	0	0	1.38956681176273	0.298658315564515	0	0.411426245726465	0.16349873228288	0.137503523749935	0.565597175854225	0.16349873228288	0.070389327891398	0.070389327891398	0.505890929729957	0.238786859587116	0.22650852980868	0.22650852980868	0.137503523749935	0.214124805352847	0.713695814843359	0.298658315564515	0.214124805352847	0	0.0840642647884745	0.298658315564515	0
