"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0728_1447_T"	"BC_HKB0738_1475_T"	"BC_HKB0741_1471_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0763_1511_T"	"BC_HKB0772_1460_T"	"BC_HKB0838_1563_T"	"BC_HKB0890_1550_T"	"BC_HKB2106_1619_T"	"BC_HKB2107_1620_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0097_3000_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0552_3000_T"	"HKB0573_3000_T"	"HKB0620_3000_T"	"HKB0719_3002_T"	"BC_HKB0775_1470_T"	"BC_HKB0876_1543_T"	"BC_HKB1366_1663_T"	"BC_HKB2116_1671_T"	"HKB0092_3000_T"	"BC_HKB0555_1321_T"	"BC_HKB0570_1319_T"	"BC_HKB0588_M1349_T"	"BC_HKB0715_1407_T"	"BC_HKB0733_1459_T"	"BC_HKB0774_1469_T"	"BC_HKB0834_1553_T"	"BC_HKB0874_1537_T"	"BC_HKB0878_1544_T"	"BC_HKB0894_1583_T"	"BC_HKB2105_1618_T"	"BC_HKB2109_1628_T"	"BC_HKB2119_1690_T"	"BC_HKB2123_1695_T"	"HKB0006_3006_T"	"HKB0078_3000_T"	"HKB0147_3000_T"	"HKB0159_3006_T"	"HKB0196_3006_T"	"HKB0222_3006_T"	"HKB0227_3006_T"	"HKB0228_3002_T"	"HKB0230_3006_T"	"HKB0540_3000_T"	"HKB0585_3000_T"	"HKB0713_3000_T"	"HKB0726_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"BC_HKB0022_649_T"	"BC_HKB0543_1306_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0094_3006_T"	"HKB0127_3006_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0220_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0215_1134_T"	"BC_HKB0913_1654_T"	"BC_HKB0917_1656_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0067_3006_T"	"HKB0080_3006_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0115_3006_T"	"HKB0123_3006_T"	"HKB0141_3006_T"	"HKB0143_3006_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0182_3006_T"	"HKB0191_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0214_3006_T"	"HKB0219_3001_T"	"HKB0221_3001_T"	"HKB0226_3001_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0638_3000_T"	"HKB0653_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0718_3000_T"	"HKB0722_3002_T"	"HKB0734_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0070_3002_T"	"HKB0134_3006_T"	"HKB0656_3000_T"
"LMOD1"	6.27593823906443	5.91241035380827	6.07852444538908	6.12329372251013	5.49633451341711	5.75301612873584	5.63081315229913	4.55274593674845	4.38404980679516	5.39643353125099	6.94544383637791	5.30706416225537	5.98344969074012	4.42894634476948	3.69041709553247	3.18586654531133	4.92219784839637	3.08915913191124	3.67016051412663	3.68032435684402	4.58074849176377	2.70708299177171	4.02945288578697	5.6915341649192	4.63459326844576	4.8444860877578	4.94626298433245	3.50207595604579	4.12680770314203	1.91838623444635	4.07638806851284	5.37747084284965	4.79649392942584	4.87430516598223	3.81044310384517	3.17312743348066	4.5033487351675	3.9560566524124	4.24944534108584	4.84749588378871	3.34198574722862	4.08321336824898	1.56559717585423	4.18269229751619	2.59931779369823	2.34482849699744	3.84899843040002	3.58736499093646	4.96208624985064	3.60407132366886	1.43295940727611	2.43562859405209	1.31614574229336	1.86789646399265	2.06004738366994	1.68257329734758	1.4541758931858	1.88362081628567	2.76765479823735	1.88752527074159	1.91073266190291	1.88362081628567	2.04264433740849	2.50842865253186	0.941106310946431	5.33449676839042	5.5033487351675	5.51001246544851	3.877744249949	4.94392132655349	3.10433665981474	4.42693561964834	1.76977173924945	1.31614574229336	3.21101219348551	2.62993940943954	2.9126498648972	2.99638874644762	2.03562390973072	2.37573453858316	3.02147972741045	2.17312743348066	2.50842865253186	2.50589092972996	1.90303827011291	2.98185265328974	2.0071955014042	5.34695688937888	5.1168637576909	4.65133876610593	3.7771566660045	2.76341157447001	2.12101540096137	3.70043971814109	1.90689059560852	3.47508488294878	3.15704371014558	2.64385618977472	2.11769504266975	1.75702324650746	2.94673086014031	2.51853513898218	3.19377174339668	3.92789645372882	2.78659636189081	2.19534759832222	2.1407786557828	1.34482849699744	3.41413553298445	1.87184364850932	3.18428029441938	4.24107745817504	2.84799690655495	2.13750352374994	4.03474394932473	2.71149490665009	3.44360665147561	4.12267271882414	3.10433665981474	3.36876834909033	2.14730669878029	2.51601514700366	2.62993940943954	3.83794324189103	3.75488750216347	4.16349873228288	2.29278174922785	2.87381319835909	2.31903981556254	2.56803210477128	3.67919857056692	2.55090066464752	2.81557542886257	4.8972404255748	2.48542682717024	2.58255600301406	2.16671544496642	3.73552217729654	2.05658352836637	2.74846123300404	2.05658352836637	2.45154083301783
"CHRDL1"	5.27872821293894	4.78135971352466	1.24488705912353	5.91025296279928	3.22342254993494	5.61294219630467	4.51349074558812	4.2585189247113	1.65535182861255	3.3305584000308	4.96393645214449	3.09761079662642	3.10433665981474	5.25776496857139	4.53294028837287	4.88264304936184	5.23074100262691	3.29719141656586	6.6167693662935	4.52230689287139	6.10643207781693	4.59991284218713	4.16349873228288	8.23433844869563	4.39917109381982	6.10202817936731	4.97407036702403	5.82349462471286	5.33913738491959	4.30961277245412	4.87676249078156	0.782408564927373	0	2.50842865253186	2.08065766334523	0.137503523749935	2.95046841415012	1.87184364850932	1.93734439215023	1.65535182861255	1.94485844580754	1.31614574229336	0	1.09085343045111	0	0	3.114367024952	0.895302621333307	1.15055967657538	1.1243281350022	0.286881147788162	0.20163386116965	0.250961573533219	1.20789285164133	1.90689059560852	1.88752527074159	0.84799690655495	2.6959938131099	2.17632277264046	0.238786859587116	1.43295940727611	1.31614574229336	0.713695814843359	0.978195629681652	0	5.58104990094504	3.93451650158608	3.0686708106651	2.114367024952	2.24488705912353	1.43829285157915	2.62527048937469	3.13257684267001	1.22032995487956	3.1243281350022	1.13093086982645	3.5385381636298	3.4032677223393	1.59454854955035	2.34766565630097	5.24069594421251	2.09085343045111	3.51222688651396	4.14486214291573	3.26453643099903	5.11603199344711	1.91838623444635	0	0	1.30451104180995	1.54596836910529	2.77399632511117	3.75274859140713	2.29572302453997	1.02856915219677	3.5298209465287	0.970853654340484	5.27909980213375	1.63226821549951	0.0143552929770701	2.56315813040281	1.70043971814109	2.25701061820602	1.57046293102604	2.49569516262407	4.57228336665041	2.4032677223393	2.52857131887076	3.790772037862	4.28835856219366	4.17712050284652	3.61706334388818	3.10097764772482	4.67072705449947	1.84799690655495	2.06695024392463	2.63459326844576	1.18903382439002	2.9429835981871	2.40871186102943	2.65992455840238	0.678071905112638	2.39506279951758	2.98732086592925	0.22650852980868	5.01524777369894	0.948600847493356	2.43829285157915	2.76765479823735	1.16992500144231	0.704871964456353	2.14404636961671	1.54596836910529	0.422233000683048	1.35614381022528	0.443606651475615	1.28095631383106	3.32768736417605	0.16349873228288	2.04614178164472	2.56803210477128	3.03738222200308
"PGM5"	3.18745105402733	1.46988597627446	0.475084882948783	2.57531233068744	1.23878685958712	2.34482849699744	2.48026512205446	1.92599941855622	0	2.53356334821451	1.35614381022528	2.02502879449152	2.52356195605701	3.26002565596146	3.01970191444255	2.95233356636969	3.5981269599196	2.86987140617771	3.52857131887076	3.34908214639109	4.14241343787374	4.39917109381982	5.24944534108584	4.52481592835751	4.1168637576909	3.62175885670973	4.17312743348066	3.70043971814109	3.68032435684402	2.18269229751619	3.54349588342577	1.15055967657538	0	0.807354922057604	3.74308405554959	0.454175893185802	0	1.53106949272595	0	0	1.0703893278914	0	0.604071323668861	0.956056652412403	0	1.32192809488736	0.516015147003665	0.604071323668861	0	0	0.910732661902913	1.54101915313356	0.584962500721156	2.5385381636298	1.74416109557041	2.20789285164133	1.41683974191283	1.24488705912353	2.41142624572647	1.02856915219677	1.31034012061215	0.739848102699327	1.74846123300404	0.978195629681652	1.33913738491959	1.63226821549951	1.88362081628567	1.43829285157915	1.17632277264046	2.30158764660319	1	0.545968369105292	2.06695024392463	0.918386234446348	1.88362081628567	0.925999418556223	2.32192809488736	2.62993940943954	1.22650852980868	1.09085343045111	2.53356334821451	0.918386234446348	2.43028527297778	2.0071955014042	1.86789646399265	2.31324585178756	1.49569516262407	0	1.06350294230616	1.07724299893246	2.0036022366802	2.74200621086674	1.85598969730848	1.10433665981474	1.98913900736823	2.56559717585422	1.29278174922785	2.68929916053589	2.27202318906105	1.50080205305716	2.14404636961671	1.70487196445635	2.27202318906105	1.46988597627446	2.01077983875324	2.23572705983806	1.52105073690096	1.81557542886257	2.29865831556452	2.07382023329167	2.51349074558812	2.84799690655495	1.74846123300404	1.83592407425437	1.17632277264046	1.62760683812965	2.35895882583233	1.08406426478847	2.03913839390696	1.50589092972996	2.20163386116965	1.55581615506164	1.88752527074159	1.88752527074159	1.799087306074	2.799087306074	0.956056652412403	1.87578006306849	1.72683121703249	1.6915341649192	1.46466826700344	1.74846123300404	1.23266075679027	2.799087306074	1.4905701304462	1.10433665981474	1.38404980679516	2.23572705983806	1.13750352374994	2.05311133645956	2.51601514700366	1.4541758931858
"SDPR"	4.55458885167764	4.98367769469807	3.88264304936184	4.29057185085208	4.37016428054021	6.15400794755902	5.59365255839793	3.5298209465287	3.1407786557828	4.13750352374993	3.35191096110308	2.60407132366886	1.84398384404833	5.29020320512607	4.22265002245148	4.26603689399532	5.62702310555406	4.07724299893246	6.1606782132205	4.16108148227718	6.39266088071179	4.21179097625254	3.31759350462347	7.64630668900955	3.99095486039699	4.71149490665009	5.26528685756517	5.44691786486603	4.18189764310839	3.94392132655349	4.09339115325301	3.36597242759338	1	2.9560566524124	1.6959938131099	0.704871964456353	3.0232553523003	0	1.54101915313356	1.6915341649192	0.790772037862	1.35614381022528	0.55581615506164	1.87578006306849	1.51601514700366	1.11769504266975	0	1.18269229751619	0.565597175854225	0.545968369105292	1.44890095114513	0.970853654340484	0.84799690655495	2.32481060342048	2.79285535236249	1.29865831556452	1.70487196445635	1.28688114778816	2.27798474729977	1.14404636961671	1.90303827011291	1.13750352374994	2.52356195605701	2.21412480535285	0.687060688339892	4.20633064787105	3.94392132655349	2.95419631038688	2.30451104180995	3.84398384404833	2.23266075679027	1.96347412397489	3.27500704749987	1.22650852980868	2.39780296186249	1.48026512205446	3.89433274227769	3.68032435684402	1.37295209791183	1.53106949272595	3.32624970083746	2.14404636961671	2.79701297783614	2.70265754339091	3.70043971814109	3.78135971352466	1.61823865559545	0.839959587489532	1.70929063572336	2.63226821549951	1.31614574229336	1.99276843076892	2.53605290024021	1.81966818349646	1.18269229751619	3.32624970083746	1.54596836910529	3.74523733212975	2	1.58496250072116	2.62760683812965	2.18903382439002	2.15380533607904	2.51349074558812	3.29719141656586	3.75808993420181	2.8011586560937	1.85598969730848	3.18586654531133	2.92789645372882	2.65306001710456	3.53729606709084	2.46205231879643	3.66334461936608	1.67807190511264	2.5033487351675	3.07895134139482	1.37295209791183	2.59693514238723	1.66902676550963	1.91073266190291	1.31614574229336	2.87970576628229	3.46205231879643	2.24184018356467	3.52356195605701	0.879705766282288	2.63459326844576	1.73984810269933	1.97819562968165	1.18903382439002	1.58496250072116	1.74416109557041	1.52105073690096	0.956056652412403	1.07724299893246	2.31903981556254	3.61706334388818	1.4541758931858	2.21723071622067	1.68257329734758	1.98185265328974
"SYNM"	4.46597446450407	4.72465027173297	6.93769748904146	4.06177619758669	4.61353165291793	5.38370429247405	5.25171909260596	3.24488705912353	6.16771919860107	4.36106648879432	7.01736520529273	3.10601323762212	3.65306001710456	4.04264433740849	5.93428059364002	4.46597446450407	6.58089920422574	3.28835856219366	4.54225804976692	4.4369613378336	4.42894634476948	1.65992455840238	5.7062542535732	5.67609812091222	4.42088657497553	4.8870377914192	3.78240856492737	2.87381319835909	4.79129314859221	2.50589092972996	6.05874941233552	6.46956042171122	3.32192809488736	5.8799507684126	3.97361127551947	2.62058641045188	4.46597446450407	3.9429835981871	4.25701061820602	2.09085343045111	2.40871186102943	2.08065766334523	3.06177619758669	2.35614381022528	2.50842865253186	3.03738222200308	1.67807190511264	2.68929916053589	3.46727948045998	3.88068552526112	3.98913900736823	2.24488705912353	0.55581615506164	3.59215800212536	3.75060650483559	1.53605290024021	3.30451104180995	2.85598969730848	2.56559717585422	1.15704371014558	3.73768676140986	1.0703893278914	3.52481592835751	2.91838623444635	1.68706068833989	3.82680268428583	4.38335869538511	5.51727569320958	3.18586654531133	5.47476049957678	6.10244817792658	2.62293035092018	3.02147972741045	1.66902676550963	3.96347412397489	2.4931349223055	3.65878273401283	3.55581615506164	2.28392177230762	3.86789646399265	1.88752527074159	3.42894634476948	3.62527048937469	4.07724299893246	2.76553474636298	2.79285535236249	1.75274859140713	3.0232553523003	2.11103131238874	2.95791459863299	3.37989816352469	2.8011586560937	2.9297909977186	2.51096191927738	2.13750352374994	3.34766565630097	0.748461233004036	2.4594316186373	1.33913738491959	2.37295209791183	3.63807383718072	4.84949893172018	2.46205231879643	2.30742852519225	1.54101915313356	1.62293035092018	2.46205231879643	0.985500430304885	3.96439863220318	1.78659636189081	3.59215800212536	6.0437381998014	2.74846123300404	1.31614574229336	3.19534759832222	1.16349873228288	3.10097764772482	4.29645740737124	4.16671544496642	2.13093086982645	1.97452931248388	2.52606881166759	2.78868571061353	4.97865326490861	1.84398384404833	4.79285535236249	2.11769504266975	2.68257329734758	3.63691458035588	3.4867143730307	2.29865831556452	2.03210084316702	1.88362081628567	2.44360665147561	2.38681094647222	1.86789646399265	2.59215800212536	4.45483390689887	0.7311832415722	6.4446008137115	4.93026424523502	3.40735275114004
"PPP1R12B"	3.75702324650746	3.39917109381982	3.48928602262588	2.33628338786443	2.78659636189081	4.64904056563445	3.66562016406638	3.45680614923047	3.14404636961671	3.66902676550963	4.603477988254	2.02502879449152	2.37295209791183	4.15623479785027	3.82273014794452	3.3743439890385	4.93593113975227	3.79389588254888	3.92694824794977	3.67129337248158	4.68201139080069	3.44890095114513	4.1243281350022	4	4.35614381022528	4.36176835941915	4.26303440583379	3.83995958748953	4.12184429787638	2.67355642399014	4.07809742302666	2.81762325751143	2.0703893278914	1.74416109557041	1.87578006306849	3.93451650158608	2.64154602908752	2.48542682717024	1.58496250072116	2.96347412397489	3.25247621413522	2.611172380044	2.02147972741045	2.63923216324928	1.92599941855622	3.39506279951758	1.65535182861255	1.86393845042397	2.9126498648972	1.29865831556452	2.34198574722862	3.97819562968165	2.23572705983806	3.33485426933163	2.84799690655495	3.52105073690096	2.15055967657538	3.1906148602095	3.1586601753465	3.07895134139482	2.52606881166759	3.27351588970212	3.82883464946806	3.87676249078156	2.90496571868403	2.28392177230762	2.96716860753263	3.85399564717639	1.25701061820602	2.39231742277876	4.15055967657538	2.78240856492737	3.81762325751143	2.64846544302731	4.02147972741045	3.09929520433778	3.19219416528334	3.12928301694497	3.26303440583379	2.43829285157915	3.72465027173297	2.80529245560071	3.26603689399532	3.06522762277562	3.87578006306849	3.73226919950145	2.76553474636298	3.01792190799726	2.93545974780529	2.69821847822441	2.99638874644762	3.48928602262588	3.37573453858316	3.70376517879341	2.877744249949	3.09254574154357	2.96901230751632	3.27052894238072	3.05137210172103	2.92409988564074	3.61706334388818	3.73876783680019	3.21723071622067	3.90400231628369	3.22650852980868	3.39780296186249	3.56559717585422	2.70708299177171	3.81352468929781	2.97819562968165	3.33199177823206	4.14241343787374	3.34766565630097	3.60762622084549	3.39780296186249	3.82984955984469	4.44691786486603	3.83895176695194	3.17312743348066	3.66902676550963	3.70708299177171	3.62410089462811	2.6915341649192	3.78555055173926	2.66902676550963	4.14730669878029	2.91838623444635	2.95233356636969	3.39231742277876	3.53106949272595	3.76871365703048	2.86987140617771	2.98550043030489	3.64385618977472	3.11103131238874	3.4931349223055	4.03121873061072	3.37851162325373	2.78868571061353	3.6667565918848	3.21878116778407	2.73768676140986
"FXYD1"	4.48800077083407	4.23955079661364	2.20163386116965	3.93073733756289	2.56315813040281	5.73498052343589	2.40871186102943	0	2.28392177230762	2.90881290773955	0	0	2.34482849699744	3.66106547980695	3.18745105402733	3.95046841415012	4.88557436437143	2.16992500144231	4.94345253855882	3.28835856219366	4.97819562968165	3.19219416528334	2.39780296186249	6.64875303298957	3.93640237772506	4.87872534148011	4.42223300068305	3.10433665981474	2.73984810269933	2.0071955014042	3.26603689399532	2.26002565596146	0	0	0	0.411426245726465	3.4369613378336	0	0	3.30597052098439	0	0	0	3.45154083301783	0	2.90303827011291	0	0	2.48800077083407	0	0.632268215499513	0.669026765509631	0.584962500721156	0.545968369105292	0.799087306074004	0.53605290024021	0	1.66902676550963	1.64616265715789	0.367371065648529	0.321928094887362	0.356143810225275	0.839959587489532	1.1243281350022	0.526068811667588	2.73768676140986	3.54473265593262	2.01792190799726	2.30742852519225	4.20633064787105	2.75915583380027	0	1.62760683812965	0.831877241191673	2.44095219802964	1.38956681176273	2.57288966842058	2.76765479823735	0.669026765509631	1.61823865559545	2.64154602908752	0.75702324650746	1.33913738491959	1.24488705912353	1.92599941855622	3.39369076418745	0.485426827170242	0	0	0	1.04264433740849	1.92599941855622	1.58976348698498	1.57046293102604	0.321928094887362	2.33342373372519	0.31034012061215	3.44360665147561	0.956056652412403	0.641546029087524	2.06350294230616	1.48542682717024	2.28983446517751	1.38404980679516	2.13093086982645	2.68257329734758	1.51601514700366	1.14404636961671	2.25096157353322	2.12763327972587	3.13257684267001	2.90110824301451	1.02147972741045	2.68032435684402	0.678071905112638	1.33342373372519	2.62293035092018	1.52105073690096	2.52356195605701	1.37295209791183	1.54596836910529	0.189033824390017	1.11103131238874	1.71369581484336	0.704871964456353	2.73335434061383	0.722466024471091	1.58014548442338	0.941106310946431	0.516015147003665	1.26303440583379	1.30451104180995	1.15704371014558	2.56071495447448	0.839959587489532	0.903038270112912	1.36737106564853	2.22650852980868	0.594548549550354	1.84799690655495	2.11769504266975	1.90303827011291
"MYLK"	5.38093719492782	4.96301164759943	6.88983855076605	4.99909803370561	5.59604063267114	4.40122086216022	5.17990909001493	4.50016467949217	5.82400405093315	5.20750245925879	7.56597790449784	5.96670731415032	5.89263388342444	5.8444860877578	5.28466218548316	5.07852444538908	7.24107745817504	4.19377174339668	4.81915722367497	4.78345665436024	6.54163873443614	4.5837597536395	5.88239850405388	4.95093492831454	6.02812708231714	6.18646094003548	6.08533966935737	4.68144926531496	6.21819994369474	4.68481873755322	6.5413289770456	5.63952159951083	6.03320272593722	5.92005505480697	4.80219321694183	5.61529857909211	4.63865311646611	4.05571626351254	4.1101961777542	6.08193608171943	4.5963388642052	5.21684284283726	4.52732060787705	5.23610988988963	4.38818953715608	4.34766565630097	4.31034012061215	4.69041709553247	5.27984269352035	4.74523733212975	4.12350066435096	5.14323013477689	5.48123434952853	4.06522762277562	4.25927248703759	3.69821847822441	3.44228003525258	4.00090140274153	4.86294724802092	4.56498780095989	4.45680614923047	4.98048235553826	5.0496307677246	5.74173662382664	3.48800077083407	6.19002217480265	5.81275490980019	5.8804406478879	5.80219321694183	5.56955185108361	5.17712050284652	5.88849973551412	4.60050764534579	3.90303827011291	5.10643207781693	5.07296327155522	5.2364926183813	4.38059093426592	4.75968848842729	4.65821148275179	3.97085365434048	5.05441438791731	5.33127526714661	4.85847839042327	4.70154905694307	4.50016467949217	4.26228280642066	5.68116812041669	6.4036085835437	5.97452931248388	4.37364821133469	5.30633516019798	4.67185946824748	6.94004926238952	4.5933537709803	5.35543919724869	6.34996674697119	4.53356334821451	4.48542682717024	3.85598969730848	5.39780296186249	5.93428059364002	5.07553263116736	6.98754825895374	5.21101219348551	3.83491342970104	4.10265813136374	4.06177619758669	6.21101219348551	4.31034012061215	5.21567859660793	7.25086685567605	4.87085786436376	5.62964804418744	6.49409554494063	4.92647391125607	6.26772305162742	6.46287031226445	5.00180224263399	5.19298316997399	5.10852445677817	4.96023367169445	5.18824265626441	6.72041528490633	5.97750890454014	6.31415269388222	5.27537959625362	5.37712374912949	4.51916444980607	6.01547080763938	6.4995270242151	4.71808758396052	4.80064109732908	6.51428009563292	5.2637856138908	5.92718535782637	5.29498826769145	6.52778975157233	4.37503943134692	5.57258654938577	6.64515403137037	5.61999982982136
"SYNPO2"	5.08151006812092	5.06824086131282	3.83794324189103	4.06608919045777	3.20006486151431	4.7839804136838	4.96069703930431	4.77873424411784	4.20398416585599	4.23572705983806	6.08640164588003	4.06953032516231	4.34056226902641	5.43929068104202	4.38474058729238	3.93545974780529	5.27724089833207	3.69376571221778	4.54101915313356	4.2502036564993	5.69097573834328	4.56742375770728	4.17552460108987	6.16631374788993	5.27835652801072	5.39917109381982	5.62234472272424	4.98913900736823	5.0071955014042	2.97085365434048	4.61647532878288	3.88166461932035	3.05831649559082	2.66902676550963	2.98367769469807	3.85099939471647	3.73009646559547	2.48542682717024	2.6507645591169	4.79545527204412	3.31324585178756	5.18348651445939	0.37851162325373	5.56742375770728	1.9560566524124	2.55336050333533	3.05831649559082	2.21101219348551	1.35049724708413	2.69376571221778	4.08151006812092	2.13750352374994	1.87578006306849	2.74200621086674	4.86740230572754	2.20163386116965	2.03562390973072	2.56803210477128	3.78240856492737	3.63691458035588	2.78450398292957	4.7279204545632	2.41142624572647	5.31759350462347	1.40053792958373	4.42894634476948	5.65563804923464	4.6246858105254	3.41278152533848	4.61647532878288	3.41953889151378	3.08576455377831	3.46336088581666	3.62175885670973	3.66562016406638	2.96901230751632	3.90977310414164	3.26153081524341	2.55581615506164	3.44625622988956	3.69041709553247	2.70929063572336	3.32337006906127	4.50716034911752	3.61941301059794	4.72900887033786	2.9429835981871	2.02856915219677	2.22650852980868	4.60584986719498	3.78450398292957	4.10517519226548	4.09339115325301	3.11603199344711	2.22342254993494	4.70929063572336	2.59931779369823	4.37155886261196	3.83086375675176	2.68257329734758	2.30451104180995	3.12763327972587	3.62993940943954	3.32192809488736	6.97004835426884	3.02680005934372	2.72683121703249	1.33913738491959	3.49697358099828	2.96162332828694	3.75381844317354	4.74200621086674	2.85598969730848	2.83390207666916	3.23112515787905	2.6507645591169	3.52356195605701	4.36457243229586	4.37016428054021	4.15137177625395	2.49569516262407	3.38543103719352	2.9429835981871	4.00450139223494	4.26603689399532	4.43762724831895	1.98913900736823	4.55642941544957	2.54596836910529	4.42290574261218	3.35049724708413	2.84197311892718	2.97269265400426	4.34908214639109	2.84398384404833	3.37016428054021	2.25398926623079	3.55826763405574	2.07724299893246	3.61235249875266	2.16992500144231	6.03077747199254
"MSRB3"	3.07724299893246	2.7158933705476	2.55336050333533	3.06522762277562	2.69376571221778	3.47897180503294	2.78031009904338	2	1.85199883711245	3.0071955014042	3.68594014844598	2.26903314645524	2.18903382439002	4.28835856219366	3.76128527336162	3.43429461795993	4.63343121035563	3.17632277264046	4.94953493301701	3.74200621086674	4.5933537709803	3.71039319217052	4.07895134139482	5.56040926636212	4.62351574149055	4.70597790168252	5.09212284983868	4.07724299893246	4.16992500144231	2.82781902461732	4.47767732756531	1.82781902461732	3.26603689399532	2.03913839390696	0.505890929729957	3.66220549965362	1.87970576628229	1.71808758396052	1.28688114778816	2.37851162325373	2.36176835941915	2.17632277264046	1.46466826700344	1.73984810269933	0.356143810225275	1.30451104180995	2.01792190799726	1.63226821549951	1.82374936030827	1.92219784839637	2.48026512205446	3.30305008468167	2.93168305705981	3.00539998774259	2.88166461932035	2.58496250072116	1.790772037862	2.26303440583379	3.45022149589718	2.81147103052984	2.63459326844576	3.34482849699744	2.96532254836725	3.51475349843975	1.78659636189081	4.02502879449152	1.38956681176273	2.40053792958373	0.992768430768924	2.68032435684402	1.33913738491959	1.82374936030827	3.73552217729654	1.97819562968165	3.24184018356467	3.61235249875266	2.6667565918848	3.09929520433778	3.53977919169849	2.78240856492737	3.43829285157915	2.99457972421575	3.51853513898218	3.47118746038699	2.56559717585422	3.44890095114513	2.85598969730848	3.87676249078156	3.11769504266975	2.99276843076892	3.54473265593262	4.01881218574282	3.39917109381982	4.61176256006487	3.06522762277562	4.1586601753465	4.35825558670513	3.84398384404833	3.09085343045111	2.39231742277876	3.74416109557041	3.73876783680019	4.11353381959191	4.456149034648	4.40531168259745	3.39780296186249	3.00539998774259	3.19692173382033	3.78972925137577	3.77399632511117	3.78868571061353	4.3305584000308	3.63807383718072	3.29278174922785	6.03913839390696	3.96069703930431	4.98823022306046	5.19810120932482	3.52606881166759	4.09339115325301	3.30158764660319	3.56803210477128	3.76553474636298	4.38887833881199	4.82731094394967	4.46008724011683	3.81147103052984	3.58856473740135	3.81966818349646	3.63691458035588	5.01212167271222	3.8094144442359	4.08576455377831	5.31251996747495	3.49697358099828	3.61235249875266	3.6915341649192	4.5298209465287	3.47638168756724	3.19534759832222	3.10097764772482	3.54225804976692
