"BC_HKB0543_1306_T"	"BC_HKB0632_1381_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0070_3002_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0091_3001_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0736_3000_T"	"HKB0748_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0757_1496_T"	"BC_HKB2112_1636_T"	"HKB0031_3001_T"	"HKB0067_3006_T"	"HKB0074_3000_T"	"HKB0129_3000_T"	"HKB0160_3000_T"	"HKB0164_3006_T"	"HKB0719_3002_T"	"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0215_1134_T"	"BC_HKB0567_M1337_T"	"BC_HKB0689_M1326_T"	"BC_HKB0738_1475_T"	"BC_HKB0761_1499_T"	"BC_HKB0772_1460_T"	"BC_HKB0876_1543_T"	"BC_HKB0890_1550_T"	"BC_HKB0913_1654_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0033_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0064_3004_T"	"HKB0088_3000_T"	"HKB0100_3006_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0141_3006_T"	"HKB0143_3006_T"	"HKB0155_3000_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0186_3000_T"	"HKB0191_3001_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0552_3000_T"	"HKB0573_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0638_3000_T"	"HKB0665_3000_T"	"HKB0701_3000_T"	"HKB0737_3000_T"	"BC_HKB0882_1555_T"	"HKB0078_3000_T"	"HKB0162_3006_T"	"HKB0564_3000_T"	"HKB0692_3000_T"	"BC_HKB0715_1407_T"	"BC_HKB0741_1471_T"	"BC_HKB0759_1488_T"	"BC_HKB2113_1657_T"	"HKB0006_3006_T"	"HKB0147_3000_T"	"HKB0210_3006_T"	"HKB0230_3006_T"	"HKB0734_3000_T"
"KIR2DL4"	0	0	0	1.25096157353322	0	0	0	1.32768736417605	0.422233000683048	0.124328135002202	0.400537929583729	0.27500704749987	0	0.505890929729957	0.748461233004036	0.432959407276106	0.0565835283663675	0.124328135002202	1.0703893278914	0.722466024471091	0.464668267003444	0.831877241191673	0	0.632268215499513	0	0.526068811667588	0.0565835283663675	0.344828496997441	0.669026765509631	0	0	0.070389327891398	0.070389327891398	0.0565835283663675	0	0	0.250961573533219	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0.0565835283663675	0.0426443374084937	0	0	0.070389327891398	0	0.31034012061215	0	0	0	0.22650852980868	0	0.0565835283663675	0.0840642647884745	0	0	0.20163386116965	0.070389327891398	0	0.0565835283663675	0.150559676575381	0.0976107966264223	0.124328135002202	0.124328135002202	0	0.0976107966264223	0	0.176322772640463	0	0.070389327891398	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0.505890929729957	0	0
"PRF1"	4.30012372456901	2.57773093149008	2.23266075679027	2.47767732756531	5.81941272620656	1.68257329734758	2.98913900736823	4.91838623444635	4.01881218574282	3.22804904788446	3.42894634476948	3.33628338786443	1.17632277264046	3.57531233068744	4.24792751344359	3.53356334821451	2.85798099512757	2.12763327972587	4.90881290773955	3.32768736417605	4.04875931191986	4.78555055173926	3.03913839390696	4.56010351346474	2.91456452349394	5.30341546268562	1.98185265328974	3.50842865253186	4.28243980500639	0.584962500721156	0	0.871843648509318	1.54596836910529	2.88947354253111	2.57046293102604	2.68481873755322	1.33913738491959	1.6507645591169	2.21101219348551	0.594548549550354	0	1.21412480535285	1.48026512205446	2.33342373372519	1.54101915313356	0	0.722466024471091	4.14486214291573	0	2.54101915313356	1.75274859140713	2.04614178164472	1.67355642399014	1.36737106564853	1.23266075679027	1.83995958748953	2.55581615506164	1.48026512205446	1.86393845042397	1.66448284036468	2.24792751344359	1.64154602908752	3.08406426478847	1.32192809488736	1.83187724119167	2.53605290024021	2.6507645591169	1.57046293102604	1.66448284036468	3.03913839390696	2.02856915219677	2.70708299177171	2.06004738366994	1.31034012061215	3.40735275114004	1.27500704749987	1.59454854955035	2.89336221076387	1.39506279951758	2.4594316186373	1.11769504266975	0.799087306074004	0.956056652412403	2.25701061820602	0	1.14404636961671	2.47508488294878	1.98913900736823	0.678071905112638	0.978195629681652	0	0.594548549550354	1.05658352836637	0.575312330687437	1	1.96716860753263	0.799087306074004	1.32192809488736
"ZNF683"	0.6959938131099	1.74846123300404	0.790772037862	1.4905701304462	1.89530262133331	2.16992500144231	1	1.70929063572336	3.21101219348551	1.83187724119167	1.16992500144231	1.58976348698498	0.815575428862573	1.57531233068744	2.58736499093646	1.06350294230616	1.24488705912353	0.748461233004036	2.89336221076387	1.85996954822103	0.815575428862573	2.82171021503467	0.713695814843359	2.29278174922785	1.23266075679027	2.33628338786443	0.799087306074004	1.57046293102604	1.85199883711245	0	0	0.0840642647884745	0.495695162624069	0.411426245726465	0.650764559116902	0.27500704749987	0.516015147003665	0.286881147788162	0	0	0	0	0	0	0	0	0	3.58255600301406	0	1.26303440583379	0.22650852980868	0.748461233004036	0.669026765509631	0.526068811667588	0.111031312388744	1.54101915313356	0.722466024471091	0.124328135002202	1.27500704749987	0.55581615506164	0.918386234446348	1.26903314645524	0.807354922057604	0.389566811762726	0.464668267003444	0.713695814843359	0.925999418556223	1.13093086982645	1.1243281350022	0.6959938131099	1.03562390973072	1.66448284036468	1.4541758931858	0.505890929729957	1.65535182861255	0.910732661902913	0.411426245726465	1.09761079662642	0.790772037862	0.650764559116902	0.0840642647884745	0.137503523749935	0.0840642647884745	0.839959587489532	1.4594316186373	0.970853654340484	1.44360665147561	0.55581615506164	0.0840642647884745	0	0	0	0	0.27500704749987	0.16349873228288	0.238786859587116	0.298658315564515	0
"KIR3DL2"	0	0	0	1.38404980679516	0	0	0	0.286881147788162	0.505890929729957	0.176322772640463	0.22650852980868	0.150559676575381	0	0.526068811667588	0.124328135002202	0.400537929583729	0.176322772640463	0.189033824390017	0.238786859587116	0.367371065648529	0.286881147788162	0.839959587489532	0.0285691521967709	0.189033824390017	0.214124805352847	0.622930350920177	0.27500704749987	0.16349873228288	0.84799690655495	0	0	0	0.070389327891398	0.0426443374084937	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0	0.0285691521967709	0	0.0840642647884745	0.0840642647884745	0	0.20163386116965	0.0285691521967709	0.0565835283663675	0	0.0565835283663675	0.0285691521967709	0.0426443374084937	0.111031312388744	0.150559676575381	0	0	0.0565835283663675	0.0976107966264223	0.0565835283663675	0.137503523749935	0	0.0840642647884745	0	0.176322772640463	0.137503523749935	0	0.214124805352847	0	0.0426443374084937	0	0.189033824390017	0	0	0	0.214124805352847	0.0426443374084937	0	0	0	0	0	0	0	0	0
"CD7"	4.77294133783134	0	3.85897561429202	4.23725777090037	6.13051908302734	2.24488705912353	3.44095219802964	4.46205231879643	3.9174317553901	3.83794324189103	3.51222688651396	3.26903314645524	1.32768736417605	3.54349588342577	3.57288966842058	2.96532254836725	2.94485844580754	2.41142624572647	4.4093909361377	3.5909612413426	2.82578562746479	4.06350294230616	2.35895882583233	3.36876834909033	2.43295940727611	4.6450098843911	2.12763327972587	3.17951105027151	3.30597052098439	0	0	0.37851162325373	2.01077983875324	2.44095219802964	1.94485844580754	0.790772037862	1.43829285157915	0.985500430304885	2.34766565630097	0.985500430304885	0	0.941106310946431	0	0	1.22032995487956	1.75702324650746	1.89141918684608	4.35684807923652	0	2.3305584000308	1.4541758931858	2.06695024392463	1.21412480535285	1.02856915219677	1.4594316186373	1.85996954822103	2.114367024952	0.839959587489532	2.07382023329167	1.76977173924945	1.67807190511264	0.790772037862	2.68706068833989	1.09085343045111	1.74416109557041	2.43295940727611	2.09085343045111	1.25096157353322	1.89530262133331	2.56803210477128	1.64154602908752	1.66448284036468	1.51601514700366	1.8073549220576	3.20163386116965	1.0071955014042	0.948600847493356	2.47248777146274	0.584962500721156	2.0071955014042	1.15055967657538	0.565597175854225	0.823749360308273	2.30742852519225	1.11769504266975	0.887525270741587	1.90689059560852	1.28095631383106	0.622930350920177	0	0	2.08065766334523	1.10433665981474	0.545968369105292	0.879705766282288	1.78240856492737	0.432959407276106	0.855989697308481
"GNLY"	4.15137177625395	3.19219416528334	0	1.74416109557041	6.51032901949057	3.34624777408278	0	4.790772037862	5.16912328147676	3.4905701304462	3.02502879449152	4.11270013274936	1.73552217729654	4.48349335128439	5.88313201565728	3.24031432933371	2.33913738491959	2.41683974191283	6.08682621770207	3.98185265328974	4.70653055253812	5.09803208296053	2.49825086752783	5.18189764310839	3.01970191444255	4.62293035092018	2.0703893278914	4.10936055940423	2.93922657772821	0	0	1.13093086982645	1.25701061820602	2.70929063572336	2.19219416528334	2.93734439215023	0.903038270112912	1.74416109557041	0	0	0	2.66902676550963	0	0	0	0	0	3.18586654531133	0	3.31179371775365	0.948600847493356	1.88752527074159	1.42223300068305	1.94485844580754	1.31034012061215	1.41683974191283	2.08746284125034	1.25701061820602	2.31903981556254	1.46988597627446	1.6915341649192	1.03562390973072	2.89141918684608	0.7311832415722	0.807354922057604	2.15380533607904	2.08406426478847	1.63691458035588	2.87970576628229	1.71808758396052	2.29572302453997	2.36457243229586	2.75274859140713	1.22032995487956	3.82781902461732	0.286881147788162	1.09761079662642	3.6915341649192	1.4276061727819	3.40190347160796	0.855989697308481	0.505890929729957	1.43829285157915	2.60407132366886	1.70929063572336	1.85199883711245	1.23878685958712	1.16992500144231	0.20163386116965	0	0	3.34482849699744	1.71369581484336	0.659924558402378	1.18269229751619	1.799087306074	0.454175893185802	0.286881147788162
"KIR2DL3"	0	1.02147972741045	0	0	0	0	0	0.070389327891398	0.6959938131099	0.20163386116965	0.298658315564515	0.356143810225275	0	0.389566811762726	0.687060688339892	0.0976107966264223	0.0840642647884745	0.150559676575381	1.14404636961671	0.53605290024021	0.137503523749935	0.344828496997441	0	0.189033824390017	0.16349873228288	0.27500704749987	0	0.356143810225275	0.545968369105292	0	0	0	0	0.16349873228288	0.214124805352847	0.150559676575381	0	0.189033824390017	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0.0565835283663675	0.16349873228288	0	0.0976107966264223	0	0.0565835283663675	0.16349873228288	0	0	0	0	0.0565835283663675	0.150559676575381	0	0.0565835283663675	0	0	0	0.20163386116965	0.0565835283663675	0	0.389566811762726	0.070389327891398	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16349873228288	0.124328135002202	0	0	0	0	0	0	0	0.0565835283663675	0.070389327891398	0
"NCR1"	1.25701061820602	0	0	1.62293035092018	0	0	1.74416109557041	1.90689059560852	0.925999418556223	0.411426245726465	0.659924558402378	0.622930350920177	0.0840642647884745	0.545968369105292	0.722466024471091	0.978195629681652	0.545968369105292	0.20163386116965	1.56071495447448	1.02147972741045	0.75702324650746	1.65535182861255	0.150559676575381	0.815575428862573	0.298658315564515	1.66902676550963	0.495695162624069	0.584962500721156	1.1243281350022	0	0	0	0.070389327891398	0.400537929583729	0.575312330687437	0.298658315564515	0.137503523749935	0.389566811762726	0	1.4905701304462	0	0	0	0	0	1.60880924267552	0	0	0	0.367371065648529	0.070389327891398	0.389566811762726	0.0565835283663675	0.16349873228288	0.0840642647884745	0.137503523749935	0	0.367371065648529	0.20163386116965	0.263034405833794	0.263034405833794	0.263034405833794	0.659924558402378	0.176322772640463	0.070389327891398	0.150559676575381	0.250961573533219	0.27500704749987	0.214124805352847	0.526068811667588	0.150559676575381	0.189033824390017	0.0840642647884745	0.070389327891398	0.641546029087524	0.189033824390017	0.22650852980868	0.389566811762726	0.124328135002202	0.150559676575381	0.263034405833794	0.20163386116965	0	0.137503523749935	0	0.0840642647884745	0.111031312388744	0.150559676575381	0	0	0	0	0	0.137503523749935	0.176322772640463	0.0976107966264223	0.124328135002202	0
"CD244"	4.37920505996061	0	2.78450398292957	3.0496307677246	3.86591881455221	4.4276061727819	4.97865326490861	1.67807190511264	1.08406426478847	1.29865831556452	0.678071905112638	1.06350294230616	0.565597175854225	0.75702324650746	1.05658352836637	0.53605290024021	0.704871964456353	0.333423733725192	1.76553474636298	0.55581615506164	1.15055967657538	1.56071495447448	0.7311832415722	1.80322703643493	1.34482849699744	1.95233356636969	0.669026765509631	0.941106310946431	1.16349873228288	0	0.505890929729957	0.321928094887362	0.739848102699327	1.22032995487956	0.782408564927373	0.7311832415722	0.565597175854225	0.748461233004036	2.05311133645956	2.52356195605701	0	1.59931779369823	0	2.04264433740849	0	2.48284828306847	1.32192809488736	2.90689059560852	0	0.495695162624069	0.831877241191673	0.367371065648529	0.37851162325373	0.432959407276106	0.263034405833794	0.485426827170242	0.807354922057604	0.432959407276106	0.895302621333307	0.137503523749935	0.7311832415722	0.863938450423971	1.05658352836637	0.422233000683048	0.37851162325373	0.903038270112912	0.604071323668861	0.6959938131099	0.298658315564515	0.918386234446348	0.641546029087524	0.963474123974886	0.713695814843359	0.22650852980868	0.650764559116902	0.739848102699327	0.070389327891398	0.918386234446348	0.31034012061215	0.75702324650746	0.27500704749987	0.443606651475615	0.150559676575381	1.03562390973072	1.83592407425437	0.31034012061215	1.18903382439002	0.622930350920177	0.27500704749987	0	1.61353165291793	1.13093086982645	3.69041709553247	0.124328135002202	0.422233000683048	0.22650852980868	0.263034405833794	0.27500704749987
"KLRD1"	0.400537929583729	0	0.454175893185802	0.545968369105292	0.432959407276106	0.765534746362977	0	3.01435529297707	1.75702324650746	1.16349873228288	1.56559717585423	1.14404636961671	0.389566811762726	1.93357263826102	1.62760683812965	1.58014548442338	1.26903314645524	0.704871964456353	2.43562859405209	1.43829285157915	1.94860084749336	2.55090066464752	1.13750352374994	1.94485844580754	1.05658352836637	3.55090066464752	0.910732661902913	1.23266075679027	2.28688114778816	0	0	0.286881147788162	0.263034405833794	1.60407132366886	1.37295209791183	1.02147972741045	0.516015147003665	0.344828496997441	0	0	0	0	0	0	0	0	0.604071323668861	0	0	0.871843648509318	0.20163386116965	0.815575428862573	0.632268215499513	0.37851162325373	0.367371065648529	0.53605290024021	0.918386234446348	0.495695162624069	0.632268215499513	0.070389327891398	0.495695162624069	0.84799690655495	0.918386234446348	0.400537929583729	0.389566811762726	0.75702324650746	0.963474123974886	0.704871964456353	0.807354922057604	0.790772037862	1.13750352374994	1.11769504266975	0.84799690655495	0.790772037862	1.26903314645524	0.189033824390017	0.565597175854225	1.28095631383106	1.27500704749987	0.6959938131099	0.333423733725192	0.367371065648529	0.604071323668861	0.722466024471091	0	0.389566811762726	0.622930350920177	0.687060688339892	0.321928094887362	0.475084882948783	0	0	0	0.22650852980868	0.189033824390017	0.748461233004036	0.422233000683048	0.400537929583729
