"BC_HKB0543_1306_T"	"BC_HKB0728_1447_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0873_1549_T"	"BC_HKB0882_1555_T"	"BC_HKB0890_1550_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0167_3006_T"	"HKB0214_3006_T"	"HKB0659_3000_T"	"HKB0718_3000_T"	"HKB0751_3000_T"	"BC_HKB0022_649_T"	"HKB0008_3006_T"	"HKB0031_3001_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0054_3000_T"	"HKB0067_3006_T"	"HKB0070_3002_T"	"HKB0091_3001_T"	"HKB0137_3002_T"	"HKB0194_3006_T"	"HKB0220_3000_T"	"HKB0227_3006_T"	"HKB0573_3000_T"	"HKB0674_3000_T"	"HKB0710_3000_T"	"HKB0736_3000_T"	"HKB0752_3000_T"	"BC_HKB0187_1214_T"	"BC_HKB0555_1321_T"	"BC_HKB0874_1537_T"	"BC_HKB0876_1543_T"	"BC_HKB1366_1663_T"	"BC_HKB2114_1660_T"	"HKB0210_3006_T"	"BC_HKB0745_1398_T"	"BC_HKB0895_1582_T"	"BC_HKB0906_1627_T"	"BC_HKB2109_1628_T"	"BC_HKB2116_1671_T"	"HKB0036_3006_T"	"HKB0106_3006_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0738_1475_T"	"BC_HKB0741_1471_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0828_M1542_T"	"HKB0052_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0120_3000_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0164_3006_T"	"HKB0186_3000_T"	"HKB0552_3000_T"	"HKB0719_3002_T"	"BC_HKB0668_1298_T"	"HKB0007_3005_T"	"HKB0016_3006_T"	"HKB0080_3006_T"	"HKB0089_3001_T"	"HKB0092_3000_T"	"HKB0143_3006_T"	"HKB0158_3006_T"	"HKB0162_3006_T"	"HKB0182_3006_T"	"HKB0196_3006_T"	"HKB0226_3001_T"	"HKB0232_3000_T"	"HKB0540_3000_T"	"HKB0599_3000_T"	"HKB0638_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0656_3000_T"	"HKB0668_3000_T"	"HKB0692_3000_T"	"HKB0704_3000_T"	"HKB0721_3000_T"	"HKB0748_3000_T"
"CD79A"	5.1509657835565	4.78345665436024	4.50652577904312	2.56559717585422	4.97177344719337	5.37781785308364	2.56803210477128	5.26077843189343	3.52732060787705	5.69710657447698	7.24887634283713	5.05571626351254	5.60821785302146	5.27388882366849	3.92029330021101	4.51285895444998	6.30323278525064	4.06436554026363	6.53962412155905	4.07724299893246	5.28651155766423	4.69432306012539	2.15055967657538	1.70487196445635	4.05571626351254	3.81352468929781	5.76420813013995	2.02856915219677	1.0071955014042	3.98185265328974	3.03562390973072	3.70265754339091	4.18348651445939	1.07724299893246	4.08746284125034	5.05874941233552	3.114367024952	5.48381577726426	4.28762004411207	0	1.37851162325373	1.92599941855622	0	1.13093086982645	0	2.15380533607904	0.918386234446348	0	2.15055967657538	3.25247621413522	3.92599941855622	1.89917563048051	2.16027483140859	4.51412226017071	1.53106949272595	0	0.887525270741587	0	0	0	3.0408924306469	0.575312330687437	3.7771566660045	2.67355642399014	4.3819754785573	4.18665901720211	1.03562390973072	2.43829285157915	1.15704371014558	4.32481060342048	0.565597175854225	3.18903382439002	1.19534759832222	3.78240856492737	2.01792190799726	0.422233000683048	2.26303440583379	1.13750352374994	2.62058641045188	2.57773093149008	3.15218341905505	3.39917109381982	0.910732661902913	1.21412480535285	0.250961573533219	0.75702324650746	0.722466024471091	2.114367024952	1.56071495447448	4.21179097625254	1.61823865559545	3.04264433740849	0.956056652412403	1.53106949272595	3.32912359629157	3.13586316536868
"FCRL5"	1.55581615506164	1.50080205305716	1.51601514700366	2.10433665981474	1.28688114778816	1.60880924267552	0.765534746362977	1.66902676550963	1.79493566280354	2.86393845042397	4.69376571221778	2.01435529297707	3.87970576628229	3.01792190799726	2.114367024952	2.50080205305716	4.55028504908841	1.94485844580754	5.15380533607904	2.1407786557828	3.1811025507538	2.1407786557828	0.356143810225275	0.485426827170242	2.3533232911629	1.26303440583379	2.10433665981474	0.526068811667588	0.584962500721156	1.7311832415722	1.55581615506164	1.71808758396052	0.790772037862	0.298658315564515	2.08746284125034	2.35895882583233	2.28688114778816	2.49825086752783	3.03210084316702	0	0	0.389566811762726	0	0.565597175854225	0	1.26903314645524	0	0	0.516015147003665	1.38956681176273	0	0.948600847493356	0.985500430304885	0.298658315564515	0	0	0.250961573533219	0	0	0	0.863938450423971	0.16349873228288	1.56071495447448	0.55581615506164	2.21723071622067	1.25701061820602	0.516015147003665	1.07724299893246	0.238786859587116	1.56071495447448	0.263034405833794	1.16349873228288	0	2.59931779369823	0.344828496997441	0.0143552929770701	0.970853654340484	0.790772037862	0.871843648509318	0.55581615506164	1.98185265328974	1.48542682717024	0.111031312388744	0.150559676575381	0.0285691521967709	0.16349873228288	0.298658315564515	1.04264433740849	0.7311832415722	2.43829285157915	0.687060688339892	1.28688114778816	0.263034405833794	0.650764559116902	2.67581593117227	2.24792751344359
"POU2AF1"	4.29204549249286	3.92789645372882	3.16188768237689	2.61588707391606	3.64038956005495	3.67581593117227	4.84247606299394	4.76341157447001	3.03913839390696	4.32481060342048	4.50462039240355	2.82374936030827	4.06263982828646	3.1906148602095	2.28095631383106	2.67581593117227	4.20945336562895	2.34766565630097	3.60880924267552	1.35614381022528	2.58496250072116	3.76977173924945	0.55581615506164	0.53605290024021	2.75274859140713	1.32768736417605	2.84599177066457	0.443606651475615	0.594548549550354	1.73552217729654	1.55090066464752	1.83187724119167	1.34482849699744	0.464668267003444	1.82374936030827	2.82374936030827	1.58496250072116	2.96532254836725	2.83794324189103	0	0	1.75274859140713	1.64154602908752	2.0703893278914	0	1.49569516262407	0	0	1.71369581484336	2.61823865559545	3.31614574229336	0.963474123974886	1.03562390973072	3.72137265947682	0.782408564927373	0	0.895302621333307	0	0	1.15704371014558	1.33342373372519	0.0976107966264223	2.12101540096137	0.956056652412403	2.29572302453997	1.95977015521147	0.495695162624069	1	0.565597175854225	1.99638874644762	0.150559676575381	1.05658352836637	0.910732661902913	2.78868571061353	0.948600847493356	0.0840642647884745	0.807354922057604	0.687060688339892	1.0496307677246	0.970853654340484	1.70487196445635	1.85598969730848	0.16349873228288	0.344828496997441	0.0840642647884745	0.150559676575381	0.495695162624069	0.321928094887362	0.526068811667588	2.03210084316702	0.356143810225275	1.0071955014042	0.432959407276106	0.344828496997441	1.72683121703249	1.77399632511117
"TNFRSF13B"	6.82489511420639	4.61353165291793	5.15987133677839	2.88166461932035	5.57470704641555	3.07210580048042	7.54974616990143	5.92718535782637	5.54194842533373	6.08703845676695	2.20476675065461	0.855989697308481	0.863938450423971	0.263034405833794	0.7311832415722	0.389566811762726	1.09761079662642	0.565597175854225	0.799087306074004	0.27500704749987	1.23878685958712	3.89336221076387	0.189033824390017	0	0.55581615506164	0.650764559116902	1.4541758931858	0.16349873228288	0.238786859587116	0.367371065648529	0.150559676575381	0.765534746362977	0.485426827170242	0.137503523749935	0.575312330687437	1.53106949272595	0.189033824390017	1.70929063572336	0.659924558402378	0	1.98550043030488	2.28983446517751	0	1.0703893278914	1.85598969730848	0	0	0	0	3.90110824301451	2.92029330021101	0.0840642647884745	0.31034012061215	4.97636363573276	3.13257684267001	2.0071955014042	2.86789646399265	1.70487196445635	0	1.6959938131099	0.27500704749987	0	0.584962500721156	0.070389327891398	0.31034012061215	0.782408564927373	0.124328135002202	0.389566811762726	0.20163386116965	1.0703893278914	0.333423733725192	0.722466024471091	3.55458885167764	0.27500704749987	0.321928094887362	0.0426443374084937	0.137503523749935	0.0426443374084937	0.298658315564515	0.111031312388744	0.333423733725192	0.55581615506164	0.124328135002202	0.0976107966264223	0	0.0840642647884745	0.137503523749935	0.214124805352847	0.0565835283663675	0.910732661902913	0.111031312388744	0.367371065648529	0.250961573533219	0	0.356143810225275	0.485426827170242
"TNFRSF17"	3.83794324189103	4.62760683812965	4.06177619758669	4.77294133783134	0	2.51853513898218	0	2.75060650483559	4.40258575823259	3.85598969730848	4.33771109212829	1.68257329734758	4.08406426478847	3.22650852980868	1.74416109557041	3.19377174339668	3.76765479823735	1.79493566280354	5.43128865429159	2.1407786557828	2.5033487351675	3.53106949272595	0.37851162325373	0.0840642647884745	2.26002565596146	0.815575428862573	1.44890095114513	0	0.31034012061215	1.1243281350022	1.16992500144231	1.38404980679516	0.22650852980868	0.111031312388744	2.53356334821451	2.20789285164133	2.16671544496642	2.88166461932035	3.01077983875324	1.76128527336162	4.28021399581062	3.71149490665009	3.5933537709803	2.62760683812965	2.3533232911629	0.516015147003665	2.29278174922785	2.06004738366994	3.33913738491959	3.877744249949	0	0.604071323668861	0.948600847493356	3.71808758396052	2.01077983875324	1.74846123300404	1.790772037862	0	0	4.06522762277562	0.790772037862	0.367371065648529	1.62760683812965	0.432959407276106	2.22958792274065	0.641546029087524	0.454175893185802	0.7311832415722	0.150559676575381	1.15055967657538	0.31034012061215	1.32768736417605	2.23878685958712	2.5033487351675	0.37851162325373	0.070389327891398	1.38956681176273	0.613531652917927	0.823749360308273	0.879705766282288	2.08746284125034	0.669026765509631	0.124328135002202	0.27500704749987	0	0.321928094887362	0.659924558402378	0.863938450423971	0.823749360308273	2.8073549220576	0.321928094887362	1.73552217729654	0.27500704749987	0.389566811762726	2.28983446517751	2.11769504266975
"CD79B"	5.07296327155522	3.92029330021101	3.43829285157915	3.15055967657538	3.06004738366994	3.4369613378336	4.77452352959023	4.30305008468167	3.13586316536868	4.33485426933163	6.0036022366802	4.06695024392463	3.19849415363908	3.01435529297707	3.01077983875324	3.15055967657538	4.24640808724638	3.23725777090037	4.98276546258365	3.21723071622067	4.52230689287139	3.94392132655349	1.56071495447448	1.74846123300404	2.30451104180995	3.4032677223393	4.67638025546692	1.57046293102604	1.74416109557041	3.09423606984577	1.86789646399265	2.96532254836725	3.74092756031863	1.33913738491959	3.50589092972996	4.74631276642546	3.28243980500639	5.12845838414693	3.09761079662642	0	1.58496250072116	0	0	0	0	1.28095631383106	1.08406426478847	0	1.76977173924945	1.71369581484336	1.6915341649192	1.32768736417605	1.54596836910529	1.70043971814109	0	2.34766565630097	0	0	2.76977173924945	0	2.45154083301783	1.28688114778816	2.84599177066457	2.96901230751632	3.36597242759338	3.22804904788446	1.99638874644762	2.54349588342577	2.30451104180995	3.78868571061353	1.35049724708413	3.04439411935845	1.38404980679516	2.63691458035588	1.63691458035588	0.887525270741587	1.48026512205446	0.887525270741587	2.32768736417605	2.40871186102943	2.29278174922785	2.89917563048051	1.4276061727819	0.831877241191673	0.27500704749987	0.903038270112912	1.20163386116965	6.28854313265907	2.38956681176273	3.37295209791183	1.39506279951758	2.63226821549951	1.07724299893246	1.0071955014042	2.56559717585422	2.41953889151378
"CD27"	5.29682445864937	5.06953032516231	5.02724253597374	4.38128337250378	5.03121873061072	5.14893410452634	6.5512083739461	5.51254295509686	4.44493204894218	5.27351588970212	5.21800615028443	3.70043971814109	4.8569856897822	3.76553474636298	3.46074256378964	3.98367769469807	4.8444860877578	3.1811025507538	3.53977919169849	2.90881290773955	3.55949181320504	3.45680614923047	2.21723071622067	0.669026765509631	3.52606881166759	3.90207357931074	3.88752527074159	2.22342254993494	1.14404636961671	3.20945336562895	2.44095219802964	3.5957423394744	3.29719141656586	1.74416109557041	3.10936055940423	4.86393845042397	3.33485426933163	5.22766407255439	3.36317107711924	2.70929063572336	4.23266075679027	4.97865326490861	4.18507363787676	5.08533966935737	3.92599941855622	2.30742852519225	4.07382023329167	4.08321336824898	4.26528685756517	4.31034012061215	5.03033607837096	1.90689059560852	1.79493566280354	3.98367769469807	3.5298209465287	3.58736499093646	3.07382023329167	2.34482849699744	3.24488705912353	4.21179097625254	2.37295209791183	0.985500430304885	3.30451104180995	2.58255600301406	3.53605290024021	3.1407786557828	1.15704371014558	2.6507645591169	1.30451104180995	3.799087306074	1.04264433740849	2.20476675065461	5.25209770303744	3.33199177823206	2.05658352836637	0.782408564927373	2.40599235967584	1.40053792958373	2.48800077083407	2.114367024952	2.85996954822103	1.87578006306849	0.970853654340484	1.22650852980868	0.070389327891398	1.14404636961671	1.94860084749336	2.17951105027151	0.298658315564515	3.43829285157915	1.08406426478847	2.14730669878029	1.02856915219677	0.748461233004036	1.90303827011291	2.47248777146274
"IRF4"	3.36876834909033	2.76341157447001	2.13750352374994	3.32481060342048	0.526068811667588	2.51096191927738	2.81762325751143	4.58135124716878	3.23266075679027	3.1586601753465	5.21839371107679	3.28688114778816	3.68144926531496	3.72465027173297	2.40053792958373	3.07553263116736	4.53356334821451	2.71808758396052	5.02724253597374	2.87970576628229	3.4944156103975	2.47767732756531	1.55581615506164	0.604071323668861	3.55826763405574	2.44360665147561	3.04439411935845	0.978195629681652	0.887525270741587	2.27798474729977	2.06695024392463	2.68257329734758	2.47248777146274	1.1243281350022	3.4154882710497	3.56071495447448	3.13914201914569	4.21256933885081	2.83995958748953	0	0	0.333423733725192	0	1.76977173924945	0.613531652917927	0.933572638261024	0	0.27500704749987	1.30451104180995	1.83187724119167	2.45680614923047	1.4594316186373	1.22032995487956	2.73335434061383	1.05658352836637	0	0.895302621333307	1.78659636189081	0.367371065648529	0	1.88752527074159	1.16349873228288	2.84599177066457	3	2.57046293102604	2.09423606984577	1.86393845042397	2.87184364850932	1.09085343045111	2.73768676140986	1.44360665147561	2.1243281350022	0.7311832415722	3.68929916053589	1.59931779369823	0.321928094887362	1.64154602908752	0.871843648509318	2.09761079662642	1.50080205305716	2.24792751344359	1.38956681176273	0.53605290024021	0.594548549550354	0.0565835283663675	0.773996325111173	1.16992500144231	1.71369581484336	1.24488705912353	3.16349873228288	1.09761079662642	1.72246602447109	0.704871964456353	0.53605290024021	2.41142624572647	1.98550043030488
"FCRL2"	1.76128527336162	2.81762325751143	2.07724299893246	0	2.37295209791183	0	0	2.73552217729654	0.75702324650746	2.4541758931858	3.23572705983806	1.61353165291793	1.31034012061215	0.839959587489532	1.15055967657538	0.863938450423971	2.0703893278914	1.10433665981474	2.69376571221778	1.10433665981474	1.799087306074	0.765534746362977	0.298658315564515	0.411426245726465	0.432959407276106	0.782408564927373	2.25701061820602	0.53605290024021	0.411426245726465	0.641546029087524	0.150559676575381	0.773996325111173	0.963474123974886	0.150559676575381	1.19534759832222	1.77820857639809	1.13750352374994	3.34766565630097	0.933572638261024	0	0	0	0	0	0	0.432959407276106	0	0	0	0	0	0.16349873228288	0.150559676575381	1.37295209791183	0	0	0	0	0	0	0.704871964456353	0	1.17632277264046	0.286881147788162	1.73552217729654	1.11103131238874	0.111031312388744	0.150559676575381	0.298658315564515	0.669026765509631	0.124328135002202	0.807354922057604	0	0.505890929729957	0.214124805352847	0	0.150559676575381	0.124328135002202	0.584962500721156	0.37851162325373	0.669026765509631	0.604071323668861	0.0840642647884745	0	0	0.0976107966264223	0.189033824390017	0.31034012061215	0.31034012061215	1.31034012061215	0.27500704749987	0.432959407276106	0.124328135002202	0.0565835283663675	0.918386234446348	0.782408564927373
"IGLL5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
