"BC_HKB0668_1298_T"	"BC_HKB0830_1541_T"	"BC_HKB0831_1520_T"	"BC_HKB0834_1553_T"	"BC_HKB2106_1619_T"	"HKB0050_3005_T"	"HKB0137_3002_T"	"HKB0168_3006_T"	"HKB0210_3006_T"	"HKB0211_3002_T"	"BC_HKB0112_933_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0728_1447_T"	"BC_HKB0738_1475_T"	"BC_HKB0741_1471_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0763_1511_T"	"BC_HKB0775_1470_T"	"BC_HKB0838_1563_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB0905_1623_T"	"BC_HKB0917_1656_T"	"BC_HKB1385_1721_T"	"HKB0033_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0074_3000_T"	"HKB0094_3006_T"	"HKB0097_3000_T"	"HKB0102_3006_T"	"HKB0106_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0141_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0179_3006_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0219_3001_T"	"HKB0230_3006_T"	"HKB0552_3000_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0620_3000_T"	"HKB0719_3002_T"	"HKB0751_3000_T"	"BC_HKB0022_649_T"	"BC_HKB0543_1306_T"	"BC_HKB0779_1486_T"	"BC_HKB0876_1543_T"	"BC_HKB0892_1559_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0019_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0036_3006_T"	"HKB0038_3006_T"	"HKB0040_3002_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0064_3004_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0091_3001_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0115_3006_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0143_3006_T"	"HKB0157_3006_T"	"HKB0159_3006_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0182_3006_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0209_3004_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0573_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0638_3000_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0659_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0674_3000_T"	"HKB0677_3000_T"	"HKB0683_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0748_3000_T"	"HKB0752_3000_T"
"C20orf85"	0	0	0	0	0	4.79960542245267	4.52732060787705	0	0	0	0	0	0	0	0	0	0	0	2.29865831556452	0	0	0	0	0	0	0	0	0	0.22650852980868	0	0	0	0.189033824390017	0	0	0.189033824390017	2.75488750216347	1.10433665981474	0.20163386116965	1.17632277264046	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6959938131099	0	1.44890095114513	0	0	0	0	0	0	0.918386234446348	1.58496250072116	0	0	0.516015147003665	0	0	0	0	0	0	0	0	0	0	0	0	0	0.722466024471091	0	0	0	0	0	2.31034012061215	0	0	0	0	0	0	0	0	0	0	0	0.286881147788162	0.124328135002202	0.298658315564515	0.594548549550354	0.27500704749987	1.38956681176273	0	0	1.46466826700344	0	0	0	0	0	0.176322772640463	0	0.669026765509631	0	0	0	0	0	2.27500704749987	0	0	0	0	0
"DRC7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DNAI2"	0	1.9560566524124	0	0	1.10433665981474	0.594548549550354	0.321928094887362	0	0.0565835283663675	0.0840642647884745	0	0	0	0	0	0	0	0	0	1.15704371014558	0	0	0	0	0	0	0	0.070389327891398	0	0.0426443374084937	0	0	0.0285691521967709	0.0285691521967709	0.0426443374084937	0.070389327891398	0	0.0840642647884745	0	0.111031312388744	0	0	0	0	0.0426443374084937	0	0	0.0565835283663675	0	0	0	0	0	0	0.0285691521967709	0	0	0	0	0	0.963474123974886	0	0	0	0	0	0.0285691521967709	0	0	0	0.137503523749935	0.0285691521967709	0	0	0.0285691521967709	0	0	0	0	0.0426443374084937	0	0	0.0143552929770701	0	0	0	0.137503523749935	0	0	0	0.0565835283663675	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0.16349873228288	0	0	0.0565835283663675	0	0	0.0565835283663675	0.0565835283663675	0	0	0	0.0976107966264223	0	0	0	0	0	0.189033824390017	0	0	0.124328135002202	0	0
"TMEM190"	1.98913900736823	4.28688114778816	0	3.89627184880738	0	2.84799690655495	2.35614381022528	0.422233000683048	0	0.189033824390017	2.18269229751619	0	3.4154882710497	1.97085365434048	0	0	0	0	0	2.83390207666916	1.71369581484336	0	0	1.86393845042397	0	0	0	0	0.16349873228288	0	0	0	0	0	0	0	0.389566811762726	0.176322772640463	0	0	0	0	0	0	0	0	0	0.37851162325373	0	0	0	0.16349873228288	0	0	0	0	1.61823865559545	1.80322703643493	2.16992500144231	4.67694435910691	4.88557436437143	0	0	0.298658315564515	0.659924558402378	0	0	0	0	0.137503523749935	0	0	0	0	0	0.150559676575381	0.22650852980868	0	0	0	0.53605290024021	0	0	0	0.516015147003665	0	0.111031312388744	0	0	0.111031312388744	0	0.16349873228288	0	0	0	0	0	0	0.855989697308481	0	0	0	0	0	1.08406426478847	0	0	0	0	0	0	0	0.124328135002202	0	0	0	1.82374936030827	0	0	0	0.422233000683048	0	0	0.27500704749987	0	0
"FAM216B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VWA3B"	0	1.66902676550963	0	0	0	0.879705766282288	1.28095631383106	0.0426443374084937	0.16349873228288	0.250961573533219	0	0	0	0.831877241191673	0	0	0	0	0	0	0	0	0	0	0.713695814843359	0	0	0.0426443374084937	0.0840642647884745	0.20163386116965	0.0840642647884745	0.0840642647884745	0.0426443374084937	0.214124805352847	0.150559676575381	0.137503523749935	0.189033824390017	0.0840642647884745	0.0565835283663675	0.650764559116902	0.344828496997441	0	0	0.0976107966264223	0.0285691521967709	0.070389327891398	0	0.124328135002202	1.29278174922785	0	0.150559676575381	0.0840642647884745	0.124328135002202	0.286881147788162	0.0976107966264223	0	0	0.485426827170242	1.82374936030827	0	0	0	2.03913839390696	0.20163386116965	0.782408564927373	0.0565835283663675	0.070389327891398	0.0426443374084937	1.40599235967584	0.0976107966264223	0.27500704749987	0.124328135002202	0.0285691521967709	0.214124805352847	0.111031312388744	0.137503523749935	0.16349873228288	0.137503523749935	0.0285691521967709	0.0976107966264223	0.53605290024021	0.0285691521967709	0.0426443374084937	0.124328135002202	0.0285691521967709	0.0285691521967709	0.389566811762726	0.0285691521967709	0.16349873228288	0.176322772640463	0	0.111031312388744	0.0426443374084937	0.0565835283663675	0.0840642647884745	0.37851162325373	0.687060688339892	0.0840642647884745	2.11769504266975	0.321928094887362	0.333423733725192	0.0976107966264223	0.250961573533219	0.189033824390017	0.505890929729957	0.0976107966264223	0.070389327891398	0.739848102699327	0.298658315564515	0.0976107966264223	0.0840642647884745	0.263034405833794	0.526068811667588	0.250961573533219	0.0976107966264223	0.0976107966264223	0.356143810225275	0.20163386116965	0.22650852980868	0.16349873228288	0.0976107966264223	0.111031312388744	0.070389327891398	0.263034405833794	0.0840642647884745	0.0426443374084937
"DTHD1"	0	1.81966818349646	2.84599177066457	0	0.545968369105292	1.68706068833989	1.11103131238874	0.400537929583729	0.189033824390017	0.879705766282288	1.07724299893246	1.25701061820602	0	1.60880924267552	0	0	0	0	0.516015147003665	0	1.11769504266975	0.910732661902913	0	0.526068811667588	0	3.07210580048042	0.20163386116965	0.53605290024021	1	1.29865831556452	1.11769504266975	0.411426245726465	0.189033824390017	0.545968369105292	0.604071323668861	0.389566811762726	0.815575428862573	1.81147103052984	0.464668267003444	0.84799690655495	0.16349873228288	0.622930350920177	0.37851162325373	0.238786859587116	1.22032995487956	1.55090066464752	0.594548549550354	0.367371065648529	0.137503523749935	0.565597175854225	0.27500704749987	0.367371065648529	0.739848102699327	0.704871964456353	1.82781902461732	0.495695162624069	1.48542682717024	1.81147103052984	1.22650852980868	0.594548549550354	0	1.58496250072116	0.422233000683048	0.970853654340484	0.704871964456353	0.111031312388744	0.584962500721156	0.124328135002202	0.0840642647884745	0.150559676575381	2.87184364850932	1.38956681176273	0.37851162325373	0.495695162624069	0.516015147003665	0.321928094887362	0.669026765509631	0.7311832415722	0.505890929729957	0.495695162624069	0.22650852980868	0.495695162624069	0.344828496997441	0.782408564927373	0.584962500721156	0.739848102699327	0.545968369105292	0.0426443374084937	0.704871964456353	0.879705766282288	0.250961573533219	0.16349873228288	0.678071905112638	0.070389327891398	1.09085343045111	0.250961573533219	0.31034012061215	0.526068811667588	0.189033824390017	1.04264433740849	1.13750352374994	0.400537929583729	1.08406426478847	0.298658315564515	1.60880924267552	0.22650852980868	0.55581615506164	0.070389327891398	0.650764559116902	0.111031312388744	0.863938450423971	0.176322772640463	0.20163386116965	2.07724299893246	0.150559676575381	1.41142624572647	0.903038270112912	0.070389327891398	0.604071323668861	0.687060688339892	0.31034012061215	0.495695162624069	3.4931349223055	0.189033824390017	0.594548549550354	1.4594316186373
"CH507.396I9.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GRIN3B"	1.59931779369823	2.76765479823735	2.90496571868403	1.7311832415722	1.7311832415722	0.20163386116965	0.176322772640463	0.0426443374084937	0	0.0840642647884745	3.23112515787905	2.93168305705981	1	2.53356334821451	0.594548549550354	0.84799690655495	0.815575428862573	1.76977173924945	1.48542682717024	1.16992500144231	2.09761079662642	2.77820857639809	3.84699468696557	1.84799690655495	0.650764559116902	2.4032677223393	0	0.0143552929770701	0	0.0976107966264223	0.0285691521967709	0.0143552929770701	0.0143552929770701	0.0143552929770701	0.124328135002202	0	0.0565835283663675	0.0565835283663675	0.150559676575381	0.0426443374084937	0.0143552929770701	0.0285691521967709	0.070389327891398	0.0426443374084937	0.0285691521967709	0.0565835283663675	0.0565835283663675	0.22650852980868	0	0.0285691521967709	0	0.0426443374084937	0	0	0.070389327891398	1.91073266190291	2.21101219348551	1.26303440583379	0.575312330687437	2.70929063572336	3.73443866613717	2.0036022366802	0.0565835283663675	0.0840642647884745	0	0.613531652917927	0.0426443374084937	0	0.0565835283663675	0.238786859587116	0.238786859587116	0.0143552929770701	0.137503523749935	0.20163386116965	0.0840642647884745	0.0426443374084937	0.0565835283663675	0.070389327891398	0.111031312388744	0.0565835283663675	0	0	0.0565835283663675	0.20163386116965	0.0143552929770701	0	0.0143552929770701	0.214124805352847	0.344828496997441	0.0840642647884745	0.16349873228288	0	0.0426443374084937	0.0565835283663675	0.0426443374084937	0	0.0143552929770701	0.0565835283663675	0.0565835283663675	0.0285691521967709	0.070389327891398	0.0143552929770701	0.0426443374084937	0.0426443374084937	0.16349873228288	0	0	0.111031312388744	0	0	0.0840642647884745	0.0285691521967709	0	0.0840642647884745	0.111031312388744	0	0.0285691521967709	0	0.0426443374084937	0.0565835283663675	0.0426443374084937	0.0426443374084937	0.0285691521967709	0	0	0
"TEX26"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
