"BC_HKB0543_1306_T"	"BC_HKB0662_1294_T"	"BC_HKB0779_1486_T"	"BC_HKB0786_1508_T"	"BC_HKB0831_1520_T"	"BC_HKB0890_1550_T"	"BC_HKB0899_M1605_T"	"BC_HKB0921_1575_T"	"BC_HKB1385_1721_T"	"BC_HKB2113_1657_T"	"HKB0007_3005_T"	"HKB0035_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0074_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0094_3006_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0120_3000_T"	"HKB0129_3000_T"	"HKB0143_3006_T"	"HKB0155_3000_T"	"HKB0162_3006_T"	"HKB0167_3006_T"	"HKB0186_3000_T"	"HKB0194_3006_T"	"HKB0207_3001_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0683_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0187_1214_T"	"BC_HKB0754_1481_T"	"BC_HKB0759_1488_T"	"BC_HKB0915_M1647_T"	"BC_HKB0917_1656_T"	"BC_HKB2116_1671_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0038_3006_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0089_3001_T"	"HKB0100_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0159_3006_T"	"HKB0161_3001_T"	"HKB0211_3002_T"	"HKB0629_3000_T"	"HKB0638_3000_T"	"BC_HKB0022_649_T"	"BC_HKB0112_933_T"	"BC_HKB0555_1321_T"	"BC_HKB0728_1447_T"	"BC_HKB0833_1552_T"	"BC_HKB0834_1553_T"	"BC_HKB0873_1549_T"	"BC_HKB0906_1627_T"	"BC_HKB2106_1619_T"	"BC_HKB2114_1660_T"	"BC_HKB2118_1689_T"	"BC_HKB2123_1695_T"	"HKB0036_3006_T"	"HKB0092_3000_T"	"HKB0106_3006_T"	"HKB0132_3006_T"	"BC_HKB0632_1381_T"	"BC_HKB0895_1582_T"	"BC_HKB1372_1697_T"	"BC_HKB2128_1735_T"	"HKB0023_3006_T"	"HKB0656_3000_T"	"BC_HKB0056_809_T"	"HKB0210_3006_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0582_1333_T"	"BC_HKB0668_1298_T"	"BC_HKB0729_1445_T"	"BC_HKB0738_1475_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0763_1511_T"	"BC_HKB0896_1590_T"	"BC_HKB1383_1724_T"	"BC_HKB2125_1717_T"	"BC_HKB2127_1726_T"	"HKB0052_3000_T"	"HKB0064_3004_T"	"HKB0097_3000_T"	"HKB0102_3006_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0164_3006_T"	"HKB0168_3006_T"	"HKB0552_3000_T"	"HKB0564_3000_T"	"HKB0626_3000_T"	"HKB0719_3002_T"	"HKB0737_3000_T"	"BC_HKB0741_1471_T"	"BC_HKB0830_1541_T"	"BC_HKB1366_1663_T"	"BC_HKB2107_1620_T"	"BC_HKB2109_1628_T"	"BC_HKB2112_1636_T"
"CD2"	5.80348537559595	2.76765479823735	4.9500017490835	1.42223300068305	4.9297909977186	3.81762325751143	6.11852584893567	4.21334728173344	4.44493204894218	3.49697358099828	3.86492897228979	4.15055967657538	6.46825746832314	4.5668151540109	5.35579154675365	5.04395687279021	4.8801957289431	4.58135124716878	4.5765221379205	5.24298351610969	3.97544676564096	4.5077946401987	4.32696871158789	3.84799690655495	3.65306001710456	4.17072627613155	4.20163386116965	4.17712050284652	3.95233356636969	4.38956681176273	6.09000652990382	4.80683958179819	4.83895176695194	5.02768487693716	4.19140472885276	5.32624970083746	5.19179950106508	4.51727569320958	5.01256867350306	5.52262076104208	6.09021830165332	4.98322165074267	5.52732060787705	4.84197311892718	6.77991629665499	5.41244282477561	4.70487196445635	1.1243281350022	0	2.84197311892718	1.95977015521147	2.62058641045188	2.59693514238723	2.41142624572647	2.62760683812965	2.55090066464752	2.14404636961671	3.68032435684402	3.4944156103975	4.24716800037477	2.38404980679516	3.9560566524124	3.5033487351675	2.78240856492737	3.33199177823206	3.18586654531133	1.74846123300404	2.84398384404833	2.4905701304462	3.04264433740849	2.14730669878029	3.04439411935845	0	0	3.92599941855622	2.86987140617771	2.17951105027151	0	2.97819562968165	1.62760683812965	3.13257684267001	2.4594316186373	2.51853513898218	3.54720302475693	3.87578006306849	1.36176835941915	1.96716860753263	1.81557542886257	2.97819562968165	1.56071495447448	2.47508488294878	2.29278174922785	3.63226821549951	3.43295940727611	0.773996325111173	1.91456452349394	0	0	0.903038270112912	2.6915341649192	0.863938450423971	0.650764559116902	0.992768430768924	0	0	3.94953493301701	1.99276843076892	3.07382023329167	2.72900887033786	3.6564963705535	1.85598969730848	2.71149490665009	2.83995958748953	2.70265754339091	2.81557542886257	2.10768786931437	3.57531233068744	3.35895882583233	1.77820857639809	3.72137265947682	2.60407132366886	1.56071495447448	3.75595576955096	1.6507645591169
"SH2D1A"	2.37851162325373	1.28095631383106	2.5033487351675	1.15704371014558	1.4905701304462	2.90689059560852	3.21723071622067	3.46727948045998	3.70376517879341	1.24488705912353	1.31614574229336	1.68706068833989	4.56254772419912	1.74846123300404	2.75274859140713	2.82984955984469	1.94485844580754	2.52105073690096	2.05658352836637	1.799087306074	1.26903314645524	1.89530262133331	2.20163386116965	1.55581615506164	1.6507645591169	1.67807190511264	1.80322703643493	1.63691458035588	1.4594316186373	1.98913900736823	3.34340782229781	2.3305584000308	2.19534759832222	2.65306001710456	2.29572302453997	2.72900887033786	2.5033487351675	2.25096157353322	2.46205231879643	3.0036022366802	3.85598969730848	2.77820857639809	2.71369581484336	2.43562859405209	4.78868571061353	3.1906148602095	2.39780296186249	0	0	1.04264433740849	0	0	0.948600847493356	0.321928094887362	0.613531652917927	0.713695814843359	0.367371065648529	1.19534759832222	1.23266075679027	1.16992500144231	0.238786859587116	1.72246602447109	1.40053792958373	0.84799690655495	1.02856915219677	1.27500704749987	0.250961573533219	0.956056652412403	1.09761079662642	0	0	1.58496250072116	1.42223300068305	0	1.01435529297707	2.01077983875324	1.20163386116965	1.68706068833989	0	1.34482849699744	0.831877241191673	0.464668267003444	0.815575428862573	1.83592407425437	1.17632277264046	0.659924558402378	1.47508488294878	2.23266075679027	1.35614381022528	0.910732661902913	0	0.782408564927373	2.08746284125034	0.641546029087524	0.516015147003665	0	0	0	1.18903382439002	0	1.14404636961671	0.505890929729957	0	0	0.622930350920177	1.58976348698498	1.9297909977186	0.933572638261024	0.687060688339892	1.13093086982645	0.565597175854225	1.08406426478847	1.46466826700344	1.02147972741045	1.18903382439002	0.7311832415722	1.4541758931858	1.27500704749987	1.08406426478847	1.59931779369823	0.6959938131099	1.28095631383106	0.505890929729957	1.03562390973072
"SLAMF6"	4.94204525991605	2.17951105027151	4.33842441478356	2.40871186102943	5.03562390973072	1.30451104180995	3.77082904603249	2.32192809488736	4.50589092972996	2.41413553298445	2.28688114778816	2.03210084316702	5.60318122901386	2.55826763405574	3.13257684267001	4.03121873061072	2.94485844580754	3.71149490665009	3.36036427654347	3.02147972741045	2.58736499093646	2.91073266190291	3.06522762277562	2.58496250072116	2.1407786557828	2.36457243229586	3.4944156103975	1.98913900736823	2.9126498648972	2.53356334821451	4.4944156103975	3.11103131238874	2.89336221076387	2.90496571868403	2.611172380044	3.14241343787374	3.11103131238874	2.64846544302731	2.93922657772821	4.16912328147676	4.22496636500027	2.88166461932035	3.18745105402733	2.73984810269933	5.94063660720115	3.68481873755322	3.5837597536395	1.0703893278914	0	1.0496307677246	0	0	2.48542682717024	0.978195629681652	1.10433665981474	1.13750352374994	1.1243281350022	1.77399632511117	1.6507645591169	2.15055967657538	0.20163386116965	2.90110824301451	1.9297909977186	0.978195629681652	1.54596836910529	1.88752527074159	0.594548549550354	1.15704371014558	2.114367024952	1.98913900736823	1.25701061820602	1.60407132366886	0	1.56559717585423	3.10433665981474	0.871843648509318	0	0	2.61823865559545	1.40053792958373	1.15055967657538	1.01435529297707	1.21412480535285	2.38681094647222	1.75702324650746	0	1.87970576628229	0.594548549550354	1.46466826700344	0.678071905112638	1.41683974191283	1.13750352374994	1.73984810269933	0.545968369105292	0	1.28688114778816	0	1.4541758931858	1.03562390973072	2.11103131238874	0	0.432959407276106	0	0	0	2.82578562746479	2.29278174922785	1.92599941855622	1.43829285157915	1.58014548442338	0.855989697308481	1.09761079662642	1.64616265715789	1.40053792958373	1.83187724119167	0.823749360308273	1.97085365434048	2.114367024952	1.61353165291793	0	1.02147972741045	0	2.28983446517751	0.895302621333307
"CD38"	3.03913839390696	0	1.28095631383106	0.925999418556223	2.25398926623079	2.87578006306849	3.87282875953489	1.7311832415722	2.72683121703249	1	3.55458885167764	1.68257329734758	5.51254295509686	3.47897180503294	2.73768676140986	2.9560566524124	3.78972925137577	1.64616265715789	4.25247621413522	4.21256933885081	2.76341157447001	2.87578006306849	2.58736499093646	3.26153081524341	1.03562390973072	1.71369581484336	1.80322703643493	2.22650852980868	1.95233356636969	2.54843662469604	5.33163356717103	2.18903382439002	3.51601514700366	1.80322703643493	2.59931779369823	2.05311133645956	2.74631276642546	1.84799690655495	2.78031009904338	5.59902017739168	3.99276843076892	2.85996954822103	5.08576455377831	3.31179371775365	4.39506279951758	3.64731450954714	3.83794324189103	0	0	1.52606881166759	1.34482849699744	1.90689059560852	1.20163386116965	2.35614381022528	2.29572302453997	1.88752527074159	0.773996325111173	2.16992500144231	1.08406426478847	1.27500704749987	1.21412480535285	3.30012372456901	1.36176835941915	1.4541758931858	1.31034012061215	1.31614574229336	0.992768430768924	1.46988597627446	2.35049724708413	0	0	2.43028527297778	0	0.963474123974886	0.918386234446348	0.790772037862	0	0	0	0	1.9560566524124	1.33913738491959	1.31034012061215	2.51601514700366	0.823749360308273	0	0.6959938131099	0	1.37295209791183	0.632268215499513	2.25096157353322	2.59454854955035	2.46727948045998	0	0	0.963474123974886	0	1.16349873228288	0.948600847493356	0	0	0	0	0	0	1.26303440583379	0.773996325111173	1.23878685958712	0.400537929583729	1.43829285157915	1.31034012061215	0.773996325111173	1.30451104180995	0.823749360308273	1.42223300068305	0.941106310946431	1.31034012061215	2.03210084316702	0	0	1.71808758396052	0	1.95977015521147	0
"CD226"	2.06004738366994	1.0496307677246	2.17312743348066	0.545968369105292	2.26002565596146	0.739848102699327	1.16349873228288	0	1.13750352374994	0	1.70043971814109	1.20789285164133	3.75702324650746	2.17632277264046	2.29278174922785	2.31614574229336	1.91073266190291	2.3533232911629	2.04264433740849	1.85199883711245	1.15055967657538	1.89530262133331	1.82374936030827	1.63226821549951	1.39506279951758	1.80322703643493	1.94485844580754	1.21412480535285	1.44360665147561	1.6959938131099	3.23572705983806	2.06695024392463	2.36737106564853	2.16671544496642	1.57531233068744	2.19849415363908	2.46988597627446	2.19219416528334	2.05658352836637	2.60407132366886	2.86591881455221	1.81557542886257	3.03738222200308	1.94110631094643	3.58496250072116	2.43028527297778	1.9560566524124	1.20163386116965	0.6959938131099	0	0	0	0	0.765534746362977	0.790772037862	0.594548549550354	1.0496307677246	1.21412480535285	1.55581615506164	1.4905701304462	0.250961573533219	1.73984810269933	1.37295209791183	1.05658352836637	1.75274859140713	1.20789285164133	1.13750352374994	0.748461233004036	1.44360665147561	0.659924558402378	0	1.54101915313356	0	0	1.90689059560852	0	1.55581615506164	0	1.53106949272595	0	1.18269229751619	0.879705766282288	0.956056652412403	1.31614574229336	0	0	0.400537929583729	0	0.978195629681652	0.7311832415722	0	1.23878685958712	1.77820857639809	1.41142624572647	0.475084882948783	0	0	0.713695814843359	0	0.678071905112638	0	0.6959938131099	0	0	0	1.67807190511264	0.669026765509631	1.19534759832222	0.75702324650746	1.94860084749336	1.02856915219677	0.910732661902913	0.903038270112912	1.0703893278914	1.27500704749987	0.948600847493356	1.66448284036468	1.6959938131099	0.739848102699327	1.77820857639809	0	0	1.17632277264046	0
"CD3G"	4.73930807086039	0	3.62058641045188	1.10433665981474	2.77820857639809	3.16510798514454	3.98823022306046	2.69376571221778	3.5197934862411	2.72027846523333	2.15704371014558	2.22032995487956	4.53791724903408	2.62293035092018	3.5668151540109	3.23112515787905	2.88362081628567	3	2.86393845042397	3.24944534108584	2.20476675065461	2.64154602908752	2.32192809488736	1.88752527074159	1.80322703643493	2.34766565630097	2.38404980679516	1.9560566524124	2.33628338786443	2.29572302453997	4.06781078378962	3.04264433740849	3.15218341905505	2.94673086014031	2.73335434061383	3.31903981556254	3.17152710603881	2.50842865253186	3.10768786931437	3.25398926623079	4.44161626940656	3.01970191444255	3.51349074558812	2.67807190511264	5.09339115325301	3.4235781709818	2.90303827011291	0	0	2.19534759832222	0	1.33913738491959	2.81557542886257	0.669026765509631	0.863938450423971	0.765534746362977	1.0703893278914	1.88362081628567	1.59454854955035	2.0036022366802	0.411426245726465	2.18903382439002	1.49569516262407	0.831877241191673	1.84799690655495	1.66902676550963	0.432959407276106	0.978195629681652	2.47767732756531	1.96347412397489	0	1.790772037862	0	1.17632277264046	2.99638874644762	1.40053792958373	2.05658352836637	0	1.24488705912353	0	1.4594316186373	1.15055967657538	1.25701061820602	1.55090066464752	1.11103131238874	0.956056652412403	1.62760683812965	1	1.35049724708413	0.678071905112638	1.66902676550963	0.807354922057604	1.02856915219677	0	0	0	0	1.25701061820602	0	1.31034012061215	0	0	0	0	0	2	0.948600847493356	1.28688114778816	1.13093086982645	1.83592407425437	1.02147972741045	1.14404636961671	1.62293035092018	0.815575428862573	1.47508488294878	0.879705766282288	1.89917563048051	1.75702324650746	0.782408564927373	2.0071955014042	2.01435529297707	2.5033487351675	1.59931779369823	1.55581615506164
"KLRK1"	5.30888505741176	3.08065766334523	4.21179097625254	1.76128527336162	4.10181813422741	4.59036248846375	5.54936113292434	4.22419466397043	4.31903981556254	1.4905701304462	2.22958792274065	2.23572705983806	5.52950864107431	3.30742852519225	3.66902676550963	3.79493566280354	2.93734439215023	3.52857131887076	2.95419631038688	3.16027483140859	2.47248777146274	3.08915913191124	3.01613970265525	2.22342254993494	2.48026512205446	2.41142624572647	3.51727569320958	2.15704371014558	2.68257329734758	3.29278174922785	4.58496250072116	3.27500704749987	3.32768736417605	3.78135971352466	3.02856915219677	3.43162295971329	4.05658352836637	3.55949181320504	3.38404980679516	4.0574502721839	4.9546616208379	3.73984810269933	4.26528685756517	3.54473265593262	6.10768786931437	4.45746296464855	4.11270013274936	0	0	2.61353165291793	1.66902676550963	3.28243980500639	1.15055967657538	1.05658352836637	1.27500704749987	0.799087306074004	0.831877241191673	1.91838623444635	1.6959938131099	2.44360665147561	0.485426827170242	2.6507645591169	1.81147103052984	1.61353165291793	2.11769504266975	2.08065766334523	1.02147972741045	1.32192809488736	2.66448284036468	3.94860084749336	1.54101915313356	3.41278152533848	0	2.02502879449152	3.0496307677246	0.799087306074004	2.9126498648972	2.55336050333533	1.68706068833989	0	1.26303440583379	1.23878685958712	1.57531233068744	2.31324585178756	3.07895134139482	2.49569516262407	1.91838623444635	3.01435529297707	1.72683121703249	1.22032995487956	1.46988597627446	1.25701061820602	2.9560566524124	2.21723071622067	1.90689059560852	2.19219416528334	1.71369581484336	2.12763327972587	1.42223300068305	1.04264433740849	2.31614574229336	3.78240856492737	1.54101915313356	1.10433665981474	1.63691458035588	2.90689059560852	1.58014548442338	2.16992500144231	1.99638874644762	2.0496307677246	2.01792190799726	1.57531233068744	2.84599177066457	2.55336050333533	2.13750352374994	0.941106310946431	2.56315813040281	2.86591881455221	1.56071495447448	1.6507645591169	2.34766565630097	0	2.10433665981474	2.98185265328974
"CD96"	4.00090140274153	1.790772037862	1.71808758396052	1.35614381022528	3.05484847699562	3.60762622084549	2.18903382439002	3.77505054148317	2.72683121703249	1.83995958748953	2.28688114778816	2.17632277264046	5.38335869538511	3.23878685958712	3.5197934862411	3.64500988439109	3.06522762277562	3.29425313644451	3.11935617703968	3.44360665147561	2.38128337250378	3.14893410452634	2.97269265400426	2.54101915313356	2.22650852980868	2.70487196445635	3.27500704749987	2.47767732756531	2.43028527297778	2.75274859140713	4.30305008468167	3.37155886261196	3.51727569320958	3.23878685958712	2.96901230751632	3.5765221379205	3.74416109557041	3.25550073314839	3.43162295971329	3.8569856897822	4.65248649491816	3.39780296186249	4.29572302453997	3.40053792958373	5.76447355099267	4.09929520433777	3.68481873755322	0	0	0.356143810225275	1.22032995487956	0.495695162624069	3.17791779219584	0.933572638261024	1.99276843076892	1.28095631383106	1.16992500144231	2.06350294230616	2.19534759832222	2.41413553298445	0.16349873228288	2.54843662469604	1.95977015521147	1.56559717585423	2.37573453858316	2.15380533607904	0.895302621333307	1.77820857639809	1.6959938131099	0	0	1.41683974191283	0	0.422233000683048	1.37295209791183	1.82781902461732	1.08406426478847	0	0	0	1.36737106564853	1.48026512205446	1.46988597627446	2.10768786931437	0.863938450423971	1.05658352836637	0.238786859587116	1.35614381022528	1.74416109557041	0.956056652412403	0.887525270741587	2.11103131238874	2.06695024392463	1.26303440583379	0	1.43829285157915	0	0	0.356143810225275	0	0.604071323668861	0	0.941106310946431	0	0.748461233004036	2.95791459863299	1.31034012061215	1.85996954822103	1.13750352374994	2.0703893278914	2.41683974191283	1.38404980679516	1.94485844580754	2.05658352836637	2.04264433740849	1.23878685958712	2.38956681176273	2.30158764660319	0.641546029087524	1.4594316186373	0.839959587489532	0	1.06350294230616	0
"PTPRC"	7.04494049127973	5.06177619758669	5.48026512205446	3.57288966842058	4.93640237772506	5.42155994490182	5.98481717429359	5.38818953715608	5.70514852825302	4.20554891117303	5.28318097894557	4.90496571868403	8.07398085696268	5.66192057913509	6.30231905094883	6.73606362787181	6.01457846492289	6.31867837373655	5.86913111964429	5.8245132973348	5.16791986555194	5.90376136512808	5.51506901403224	5.49920809085669	5.13010717865883	5.97085365434048	5.95419631038687	5.35191096110308	5.55305325276641	5.67072705449947	7.21159631996932	6.48478262307787	6.27164977245721	6.10265813136374	5.55826763405574	6.42425028608405	6.45532722030456	6.13237119873254	5.95373084981149	6.94145848842673	7.11748726632592	5.98709343705815	6.41937034252815	6.10433665981474	8.24526746651951	6.63023071585969	6.23878685958712	2.35614381022528	0.748461233004036	3.31324585178756	2.5385381636298	3.27202318906105	4.34340782229781	3.88557436437143	3.95698592461258	4.74308405554959	4.67185946824748	4.96716860753263	5.44790974874208	5.32589006103978	3.674686619928	5.69766263347052	4.85349670370232	4.42894634476948	4.98641093525204	4.94392132655349	4.53729606709084	4.1554254317472	6.75074047846627	4.22958792274065	2.11103131238874	4.69655030107857	1.86789646399265	2.94673086014031	4.60999129521268	3.09761079662642	3.43562859405209	3.36737106564853	3.83289001416474	1.89141918684608	4.37225564844579	4.24792751344359	4.00270252037982	5.14200491598488	4.03562390973072	2.41683974191283	3.82680268428583	4.11270013274936	4.75060650483559	4.2502036564993	3.43028527297778	4.26077843189343	5.35684807923652	4.92409988564074	2.71149490665009	3.92124588858559	3.26603689399532	3.50080205305716	1.63691458035588	2.81352468929781	2.86195536414487	1.30451104180995	2.21101219348551	1.43295940727611	1.30451104180995	5.48607074373567	5.6906964439777	4.31324585178756	4.86987140617771	5.03913839390696	4.21334728173344	5.13627342985058	4.42894634476948	4.72246602447109	4.5795422249369	4.03298241669943	5.06565847093199	5.12267271882414	3.73660487531425	4.54596836910529	4.0686708106651	2.78240856492737	4.16349873228288	3.86393845042397
"PTPRCAP"	7.26847182291237	4.24107745817504	5.88093036107688	4.06608919045777	4.82273014794452	6.80889983925777	8.27826359181454	5.39780296186249	6.60762622084549	4.21179097625254	4.4235781709818	4.58916423669977	7.13576058101617	5.01569380710515	5.42088657497553	5.7292808460274	5.55243855525354	4.93168305705981	4.75274859140713	5.34518344718767	4.57349571549561	5.04220656012069	5.03694284479826	4.57712666130705	3.99548451887751	4.27127625917593	4.42155994490182	4.28688114778816	4.77663042305105	3.62410089462811	6.01814452894376	5.56193705962243	5.40837220357268	4.16751850373522	4.5298209465287	5.467605550083	4.96439863220318	4.20633064787105	5.1243281350022	5.79856900355688	6.71740225068988	4.8011586560937	5.02591469875079	4.55826763405574	6.8626993409766	5.61470984411521	5.04483123344781	0	3.97544676564096	3.96624587322494	2.32768736417605	2.51853513898218	3.92029330021101	2.62058641045188	2.47767732756531	2.51096191927738	1.92599941855622	4.17712050284652	3.56437816856506	4.0686708106651	4.28318097894557	4.4262647547021	3.65306001710456	2.69376571221778	3.1811025507538	2.83794324189103	1.7311832415722	2.54596836910529	4.45022149589718	5.42155994490182	2.87578006306849	5.58044701959866	3.24184018356467	2.30451104180995	5.37121034345557	3.78135971352466	3.20633064787105	1.52606881166759	5.04832338653781	2.77188557851537	2.89530262133331	3.01256867350306	2.78659636189081	4.23878685958712	3.38956681176273	2.42492208821069	4.1243281350022	4.17951105027151	3.1407786557828	2.35895882583233	4.2861418728343	1.81557542886257	5.46368784220126	3.8972404255748	2.31324585178756	2.1407786557828	3.63807383718072	2.90496571868403	3.41953889151378	3.70818723602071	3.12267271882414	0	3.96532254836725	3.611172380044	2.68481873755322	3.9136075118231	2.52857131887076	3.31324585178756	3.30742852519225	4.14974711950468	3.04264433740849	3.04788732939655	3.5765221379205	2.40053792958373	3.51853513898218	1.36737106564853	3.63226821549951	4.17232749165762	4.41006969175638	3.50842865253186	3.92789645372882	2.69821847822441	3.86987140617771	1.86789646399265
