"BC_HKB0022_649_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0728_1447_T"	"BC_HKB0738_1475_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0763_1511_T"	"BC_HKB0838_1563_T"	"BC_HKB0890_1550_T"	"HKB0033_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0097_3000_T"	"HKB0102_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0143_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0162_3006_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0220_3000_T"	"HKB0552_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0683_3000_T"	"HKB0719_3002_T"	"HKB0751_3000_T"	"BC_HKB0112_933_T"	"HKB0211_3002_T"	"HKB0005_3001_T"	"HKB0006_3006_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0035_3006_T"	"HKB0038_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0056_3002_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0070_3002_T"	"HKB0078_3000_T"	"HKB0080_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0092_3000_T"	"HKB0094_3006_T"	"HKB0096_3001_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0106_3006_T"	"HKB0108_3000_T"	"HKB0109_3006_T"	"HKB0115_3006_T"	"HKB0123_3006_T"	"HKB0125_3006_T"	"HKB0137_3002_T"	"HKB0141_3006_T"	"HKB0159_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0182_3006_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0196_3006_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0214_3006_T"	"HKB0217_3005_T"	"HKB0219_3001_T"	"HKB0221_3001_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0226_3001_T"	"HKB0227_3006_T"	"HKB0228_3002_T"	"HKB0230_3006_T"	"HKB0232_3000_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0585_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0620_3000_T"	"HKB0629_3000_T"	"HKB0638_3000_T"	"HKB0650_3000_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0674_3000_T"	"HKB0692_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0713_3000_T"	"HKB0718_3000_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"HKB0752_3000_T"
"FXYD1"	2.73768676140986	4.48800077083407	4.23955079661364	2.20163386116965	3.93073733756289	5.73498052343589	2.40871186102943	0	2.90881290773955	0	2.33342373372519	3.44360665147561	3.66106547980695	3.18745105402733	3.95046841415012	4.88557436437143	2.16992500144231	2.68257329734758	4.94345253855882	3.28835856219366	2.76765479823735	4.97819562968165	2.12763327972587	3.19219416528334	2.39780296186249	6.64875303298957	3.93640237772506	3.13257684267001	4.87872534148011	4.42223300068305	2.64154602908752	3.10433665981474	2.73984810269933	2.73335434061383	1.24488705912353	3.26603689399532	3.39369076418745	3.68481873755322	1.7311832415722	0.910732661902913	0.632268215499513	1.04264433740849	1.92599941855622	1.58976348698498	1.57046293102604	0.321928094887362	0.263034405833794	0.31034012061215	1.62760683812965	1.02856915219677	0.831877241191673	0.863938450423971	0.956056652412403	2.44095219802964	1.84799690655495	0.669026765509631	0.641546029087524	0.704871964456353	2.19534759832222	2.06350294230616	1.48542682717024	2.28983446517751	0.411426245726465	2.57288966842058	2.19219416528334	1.38404980679516	2.13093086982645	3.07210580048042	1.28688114778816	0.84799690655495	1.51601514700366	1.14404636961671	1.08406426478847	0.632268215499513	2.25096157353322	0.545968369105292	2.90110824301451	0.669026765509631	1.02147972741045	2.68032435684402	0.678071905112638	1.33342373372519	1.61823865559545	0.799087306074004	2.62293035092018	1.52105073690096	2.52356195605701	0.594548549550354	1.37295209791183	1.54596836910529	0.53605290024021	0.604071323668861	0.189033824390017	0	1.66902676550963	1.64616265715789	0.443606651475615	1.11103131238874	1.71369581484336	0.704871964456353	0.321928094887362	0.722466024471091	1.58014548442338	2.0071955014042	0.475084882948783	0.941106310946431	0.839959587489532	0.516015147003665	1.90303827011291	1.26303440583379	1.30451104180995	1.33913738491959	0.6959938131099	1.15704371014558	2.56071495447448	0.356143810225275	0.839959587489532	0.985500430304885	0.903038270112912	0.839959587489532	1.36737106564853	1.92599941855622	2.22650852980868	0.594548549550354	1.1243281350022	0.526068811667588	0.485426827170242
"SDPR"	4.20633064787105	4.55458885167764	4.98367769469807	3.88264304936184	4.29057185085208	6.15400794755902	5.59365255839793	3.5298209465287	4.13750352374993	3.35191096110308	3.32624970083746	3.74523733212975	5.29020320512607	4.22265002245148	4.26603689399532	5.62702310555406	4.07724299893246	3.75808993420181	6.1606782132205	4.16108148227718	3.68032435684402	6.39266088071179	2.92789645372882	4.21179097625254	3.31759350462347	7.64630668900955	3.99095486039699	2.65306001710456	4.71149490665009	5.26528685756517	3.32624970083746	5.44691786486603	4.18189764310839	3.52356195605701	2.70265754339091	4.09339115325301	3.78135971352466	4.00988458893184	3.27202318906105	2.19534759832222	1.44890095114513	1.31614574229336	1.99276843076892	2.53605290024021	1.81966818349646	1.18269229751619	0.641546029087524	1.54596836910529	3.27500704749987	0.918386234446348	1.22650852980868	0.879705766282288	2	2.39780296186249	2.21723071622067	0.970853654340484	1.58496250072116	0.6959938131099	1.36737106564853	2.62760683812965	2.18903382439002	2.15380533607904	0.704871964456353	3.89433274227769	3.1586601753465	2.51349074558812	3.29719141656586	3.04788732939655	1.46466826700344	1	2.8011586560937	1.85598969730848	0.516015147003665	1.29865831556452	3.18586654531133	2.32481060342048	3.53729606709084	1.37295209791183	2.46205231879643	3.66334461936608	1.67807190511264	2.5033487351675	1.53106949272595	2.79285535236249	3.07895134139482	1.37295209791183	2.59693514238723	1.30451104180995	1.66902676550963	1.91073266190291	1.29865831556452	1.35614381022528	1.31614574229336	1.70487196445635	1.28688114778816	2.27798474729977	0.37851162325373	2.87970576628229	3.46205231879643	2.24184018356467	1.90303827011291	0.879705766282288	2.63459326844576	3.94392132655349	1.67355642399014	1.73984810269933	1.42223300068305	1.97819562968165	1.98185265328974	1.18903382439002	1.58496250072116	2.79701297783614	1.36176835941915	1.74416109557041	1.52105073690096	1.13750352374994	0.956056652412403	2.47767732756531	1.07724299893246	2.52356195605701	2.31903981556254	3.70043971814109	3.61706334388818	1.4541758931858	2.21412480535285	0.687060688339892	1.61823865559545
"ITGA7"	4.41142624572646	4.50525580093216	4.97956810009519	3.36876834909033	4.21723071622067	5.33306587807636	3.78764141448333	3.16671544496642	2.29278174922785	5.28762004411207	2.98550043030489	3.64731450954714	3.77082904603249	2.68481873755322	3.90207357931074	2.46466826700344	2.58496250072116	3.55704241526372	5.80374366850523	3.08746284125034	1.39506279951758	4.21955576916691	2.87381319835909	3.56315813040281	2.45154083301783	6.85274796480088	2.81352468929781	2.49825086752783	4.31686980506433	2.74846123300404	3.84197311892718	3.61941301059794	3.55336050333533	2.62993940943954	3.07553263116736	2.86987140617771	3.79181407116183	3.36036427654347	1.38404980679516	1.60880924267552	0.963474123974886	1.18269229751619	2.01077983875324	1.85598969730848	1.799087306074	1.91073266190291	1.58014548442338	1.32768736417605	1.71808758396052	0.632268215499513	0.839959587489532	1.39506279951758	1.46988597627446	1.799087306074	2.53106949272595	1.35049724708413	1.26303440583379	0.970853654340484	1.81147103052984	1.20163386116965	1.87970576628229	1.56559717585423	1.01435529297707	1.6915341649192	1.94485844580754	1.50589092972996	2.29865831556452	1.84398384404833	1.68257329734758	1.76553474636298	1.11769504266975	1.94110631094643	1.21412480535285	1.18903382439002	2.76765479823735	1.41683974191283	2.87970576628229	1.33913738491959	2.46988597627446	3.10601323762212	0.839959587489532	1.97819562968165	1.07724299893246	2.32481060342048	2.54101915313356	1.55090066464752	1.77399632511117	1.18269229751619	2.22342254993494	1.54596836910529	1.09761079662642	1.07724299893246	1.32192809488736	1.47508488294878	1.60880924267552	2.29865831556452	1.0703893278914	1.6915341649192	2.08065766334523	1.29278174922785	1.21412480535285	0.659924558402378	1.41683974191283	1.41142624572647	0.992768430768924	1.78240856492737	0.992768430768924	0.669026765509631	1.28688114778816	1.33342373372519	1.58976348698498	2.30742852519225	1.10433665981474	1.13093086982645	1.62760683812965	1.36176835941915	1.02856915219677	1.95977015521147	0.925999418556223	1.16349873228288	1.39506279951758	2.74631276642546	3.03033607837096	0.887525270741587	1.68257329734758	1.64616265715789	1.18903382439002
"CD300LG"	3.38266725274504	3.03738222200308	3.74953426766926	2.39506279951758	4.03826057517535	5.15785216914174	3.03386345186628	2.28688114778816	1.35614381022528	3.45285896471381	1.94110631094643	1.79493566280354	2.76765479823735	1.34482849699744	3.06695024392463	2.4541758931858	1.19534759832222	2.4931349223055	4.95093492831454	1.94485844580754	1.38956681176273	3.64500988439109	1.57046293102604	1.97452931248388	1.81557542886257	6.53465305587746	1.55581615506164	2.10433665981474	3.63575439127776	1.80322703643493	2.28392177230762	2.49825086752783	3.02147972741045	1.51096191927738	0.464668267003444	1.48542682717024	2.4594316186373	1.6915341649192	0.189033824390017	0.0565835283663675	0.0565835283663675	0.389566811762726	0.356143810225275	0.678071905112638	0.298658315564515	0.070389327891398	0.356143810225275	0.176322772640463	0.963474123974886	0.150559676575381	0.070389327891398	0	0.659924558402378	0.389566811762726	0.918386234446348	0.0426443374084937	0.250961573533219	0.0143552929770701	0.189033824390017	0.443606651475615	0.214124805352847	0.150559676575381	0.124328135002202	1.58496250072116	1.90689059560852	0.189033824390017	1.44360665147561	1.55090066464752	0.0976107966264223	0.238786859587116	0.632268215499513	0.584962500721156	0	0	1.6959938131099	0.176322772640463	0.678071905112638	0.250961573533219	0.37851162325373	2.03913839390696	0.111031312388744	0.286881147788162	0.575312330687437	0.516015147003665	1.03562390973072	0.0285691521967709	0.604071323668861	0.0143552929770701	0.238786859587116	0.333423733725192	0.0976107966264223	0.0976107966264223	0.20163386116965	0.516015147003665	0.75702324650746	0.584962500721156	0.0426443374084937	0.37851162325373	1.11769504266975	0.137503523749935	0.790772037862	0.150559676575381	0.189033824390017	0.978195629681652	0.411426245726465	0.632268215499513	0.298658315564515	0.16349873228288	0.31034012061215	0.0976107966264223	0.485426827170242	1.73984810269933	0	0.495695162624069	0.0285691521967709	0.286881147788162	0.0285691521967709	0.31034012061215	0.137503523749935	0.150559676575381	0.263034405833794	1.77399632511117	1.02856915219677	0	0.189033824390017	0.0565835283663675	0.150559676575381
"AVPR2"	3.07210580048042	4.27649666564036	0.782408564927373	3.58736499093646	2.92219784839637	2.57288966842058	2.61823865559545	3.10936055940423	2.15380533607904	1.02856915219677	0.903038270112912	0.807354922057604	1.16349873228288	0.773996325111173	1.0071955014042	0.887525270741587	0.918386234446348	0.831877241191673	1.87970576628229	1.05658352836637	0.713695814843359	1.26903314645524	0.839959587489532	1.26303440583379	0.84799690655495	3.03913839390696	0.963474123974886	0.545968369105292	1.50080205305716	1.4905701304462	0.75702324650746	1.0071955014042	0.84799690655495	0.516015147003665	0.575312330687437	0.613531652917927	0.443606651475615	5.26453643099903	0.111031312388744	0.111031312388744	0.124328135002202	0.176322772640463	0.344828496997441	0.432959407276106	0.124328135002202	0.214124805352847	0.31034012061215	0.0426443374084937	0.321928094887362	0.0976107966264223	0.137503523749935	0.111031312388744	0.250961573533219	0.344828496997441	0.6959938131099	0	0.070389327891398	0.0976107966264223	0.0976107966264223	0.344828496997441	0.321928094887362	0.263034405833794	0.0840642647884745	0.422233000683048	0.505890929729957	0.176322772640463	0.704871964456353	0.400537929583729	0.16349873228288	0.454175893185802	0.356143810225275	0.422233000683048	0.16349873228288	0	0.823749360308273	0.238786859587116	0.910732661902913	0.321928094887362	0.263034405833794	0.55581615506164	0.20163386116965	0.485426827170242	0.475084882948783	0.432959407276106	0.16349873228288	0.238786859587116	0.321928094887362	0.111031312388744	0.16349873228288	0.411426245726465	0.0565835283663675	0	0.22650852980868	0.333423733725192	0.176322772640463	0.111031312388744	0	0.0565835283663675	0.516015147003665	0.16349873228288	0.0426443374084937	0.0840642647884745	0.495695162624069	0.432959407276106	0.0426443374084937	0.124328135002202	0	0.176322772640463	0.150559676575381	0.263034405833794	0.111031312388744	0.704871964456353	0.0426443374084937	0.250961573533219	0.20163386116965	0	0.0565835283663675	0.443606651475615	0.0840642647884745	0.070389327891398	0.0840642647884745	0.53605290024021	0.454175893185802	0.124328135002202	0.0426443374084937	0.189033824390017	0.263034405833794
"CLDN5"	2.97085365434048	4.30085587126876	4.39231742277876	2.32768736417605	2.61823865559545	4.53605290024021	4.11186596386756	2.77188557851537	2.62993940943954	2.88166461932035	3.39369076418745	3.04614178164472	4.04788732939655	2.90303827011291	3.18903382439002	4.10349763970334	3.1243281350022	3.29425313644451	5.51853513898218	4.28021399581062	3.16832111573972	4.47053686509258	3.34766565630097	4.11852584893567	2.91838623444635	6.18169891109611	3.47638168756724	2.46466826700344	4.44757919654888	3.83289001416474	3.36036427654347	3.46858331700683	3.67016051412663	2.90110824301451	2.44095219802964	3.08406426478847	3.4594316186373	3.09761079662642	2.0703893278914	2.01077983875324	1.93734439215023	1.49569516262407	2.7311832415722	2.15055967657538	2.34482849699744	2.57046293102604	1.16992500144231	2.28095631383106	2.37851162325373	1.09761079662642	1.66902676550963	0.704871964456353	1.85996954822103	2.32768736417605	2.26303440583379	1.31034012061215	2.38404980679516	1.52105073690096	1.4905701304462	2.14730669878029	2.55826763405574	2.59931779369823	2.08746284125034	3.12763327972587	2.08065766334523	2.22032995487956	2.85199883711245	2.35614381022528	1.6915341649192	1.83187724119167	2.1243281350022	2.66902676550963	0.956056652412403	1.36737106564853	3.16671544496642	1.85199883711245	3.10768786931437	2.12763327972587	2.97452931248388	2.77820857639809	1.76977173924945	2.95977015521147	1.54596836910529	2.31614574229336	3.0232553523003	2.67581593117227	2.62527048937469	1.78659636189081	1.98550043030488	2.32768736417605	1.70929063572336	2.48026512205446	1.76128527336162	1.92599941855622	1.35614381022528	3.05484847699562	1.16992500144231	2.44625622988956	2.37851162325373	2.75488750216347	1.89530262133331	1.86789646399265	1.89141918684608	2	1.56071495447448	2.03913839390696	1.63226821549951	1.64154602908752	1.87970576628229	2.26603689399532	2.04264433740849	3.47897180503294	2.02147972741045	1.65535182861255	2.89336221076387	0.687060688339892	1.72683121703249	1.59931779369823	1.52606881166759	1.85598969730848	2.22650852980868	2.80529245560071	3.39917109381982	2.28095631383106	2.15380533607904	1.84799690655495	1.71808758396052
"PLIN4"	9.11460127728422	9.22274661101248	8.53126448050023	3.93922657772821	9.14847658217828	9.82062574567295	6.60836572316364	7.35385255868613	6.00495075995105	9.62001816407657	6.11207455130967	7.6313953536956	6.84008551556895	4.94063660720115	7.52262076104208	5.44857062600553	4.53106949272595	6.6612080315625	10.3519551173519	4.80322703643493	2.18903382439002	8.20413093284513	5.67948009950545	6.08852325661663	5.58195375084882	10.8629395015706	3.79701297783614	5.59454854955035	7.74933313445228	2.24184018356467	7.74839414183092	7.49345520092618	6.70915275690251	5.84297883178833	5.97521745704302	4.04001567884788	7.28216176658182	5.76234881564413	2.30742852519225	0.286881147788162	0.31034012061215	2.63226821549951	3.95977015521147	3.79493566280354	3.69041709553247	2.43295940727611	2.18586654531133	4.37781785308364	2.15055967657538	0.84799690655495	1.02856915219677	1.19534759832222	2.59454854955035	3.14567745519564	4.57288966842058	1.31034012061215	0.941106310946431	0.678071905112638	3.73226919950145	3.17632277264046	4.29425313644451	1.79493566280354	0.773996325111173	3.7235585614721	5.5385381636298	2.25096157353322	3.71149490665009	3.56437816856506	2.74846123300404	2.10433665981474	1.68257329734758	5.27686882997646	1.10433665981474	2.38681094647222	6.37642931106992	2.99276843076892	5.05484847699562	2	4.48026512205446	5.99819550315325	0.941106310946431	3.37712374912949	1.33342373372519	3.68929916053589	3.84498815668261	0.37851162325373	2.22032995487956	0.799087306074004	4.29645740737124	3.10936055940423	2.1407786557828	1.19534759832222	1.75274859140713	3.35755200461808	4.5668151540109	3.15380533607904	0.333423733725192	3.66562016406638	3.50207595604579	0.475084882948783	2.85996954822103	0.895302621333307	3.71039319217052	2.57288966842058	3.21723071622067	4.33771109212829	0.263034405833794	1.0496307677246	2.799087306074	1.89917563048051	2.43562859405209	4.58736499093646	2.03562390973072	1.70929063572336	0.27500704749987	2.28392177230762	0.815575428862573	0.773996325111173	0.831877241191673	2.10433665981474	1.97085365434048	5.87872534148011	4.95233356636969	1.48026512205446	1.46988597627446	0.0565835283663675	0.7311832415722
"BTNL9"	3.4369613378336	3.94579495674006	5.00045077177086	1.07724299893246	3.67807190511264	4.80374366850523	2.56315813040281	3.4995270242151	2.09761079662642	3.66106547980695	2.73984810269933	2.71369581484336	3.27798474729977	1.93357263826102	3.43429461795993	2.98913900736823	1.92219784839637	3.30742852519225	5.70293453197598	2.06004738366994	1.50589092972996	3.94579495674006	2.79701297783614	2.03210084316702	1.73552217729654	6.5581145385984	2.04614178164472	2.75060650483559	3.66220549965362	1.88752527074159	2.53605290024021	3.01970191444255	3.18586654531133	2.02147972741045	1.08406426478847	2.04614178164472	3.57167680997093	2.87184364850932	1.87184364850932	0.464668267003444	1.99276843076892	0.475084882948783	1.50589092972996	1.54596836910529	1.31614574229336	1.16349873228288	3.65535182861255	0.910732661902913	1.54596836910529	0.918386234446348	0.575312330687437	0.505890929729957	1.08406426478847	1.26303440583379	1.799087306074	0.475084882948783	0.641546029087524	0.214124805352847	0.286881147788162	0.454175893185802	0.925999418556223	2.81147103052984	0.748461233004036	2.32768736417605	2.28688114778816	1.49569516262407	1.73552217729654	2.3533232911629	1.48542682717024	0.84799690655495	1.26903314645524	1.33913738491959	0.0976107966264223	0.344828496997441	1.95977015521147	1.25701061820602	1.79493566280354	0.622930350920177	1.85199883711245	2.22032995487956	1.07724299893246	0.739848102699327	0.963474123974886	1.16992500144231	2.47767732756531	0.722466024471091	1.52606881166759	1.27500704749987	1.29865831556452	1.29278174922785	1.59454854955035	0.948600847493356	0.956056652412403	0.773996325111173	1.35049724708413	1.49569516262407	0.356143810225275	2.37295209791183	1.60407132366886	1.24488705912353	1.68706068833989	1.75702324650746	0.75702324650746	1.65535182861255	0.782408564927373	1.6959938131099	1.85598969730848	0.687060688339892	0.622930350920177	1.19534759832222	1.39506279951758	2.59693514238723	1.11103131238874	1.0496307677246	0.344828496997441	0.687060688339892	0.687060688339892	0.464668267003444	0.565597175854225	0.659924558402378	1.28095631383106	2.56071495447448	1.70487196445635	0.765534746362977	1.6507645591169	0.505890929729957	1.10433665981474
"AQP7"	4.85049941375812	4.57106999816771	6.47232529665646	1.81966818349646	5.17152710603881	6.95721814916694	3.72465027173297	4.69877410890368	3.90977310414164	4.89965902637744	2.91456452349394	3.69265037003553	3.37155886261196	2.14730669878029	4.23572705983806	2.93545974780529	1.90303827011291	3.92029330021101	6.91061275207939	1.85996954822103	0.422233000683048	4.67355642399014	2.99819550315325	2.91073266190291	2.19849415363908	7.87405920314115	1.67807190511264	3.07210580048042	4.53791724903408	1.44890095114513	4.36597242759338	4.33413917883824	3.04264433740849	2.9126498648972	3.16027483140859	2.74631276642546	4.19927972133662	2.54596836910529	1.35614381022528	0.0565835283663675	0.137503523749935	0.613531652917927	1.03562390973072	1.83592407425437	1.10433665981474	0.464668267003444	0.773996325111173	0.545968369105292	0.464668267003444	1.78659636189081	0.22650852980868	0.389566811762726	0.704871964456353	0.925999418556223	2.38956681176273	0.422233000683048	0.641546029087524	0.111031312388744	1.4276061727819	0.55581615506164	0.526068811667588	0.948600847493356	0.176322772640463	1.03562390973072	2.5385381636298	0.37851162325373	1.1243281350022	2	0.6959938131099	1.06350294230616	0.0976107966264223	1.83592407425437	0.070389327891398	0.815575428862573	2.76553474636298	0.918386234446348	2.53106949272595	0.669026765509631	1.99638874644762	3.35191096110308	0.111031312388744	0.887525270741587	0.464668267003444	1.28095631383106	1.8073549220576	0	0.925999418556223	0.22650852980868	1.85598969730848	0.992768430768924	0.84799690655495	0	0.411426245726465	0.53605290024021	1.26303440583379	0.918386234446348	0	0.863938450423971	0.75702324650746	0.214124805352847	0.918386234446348	0	1.51601514700366	0.464668267003444	0.31034012061215	1.64616265715789	0.070389327891398	0.16349873228288	1.15055967657538	0.344828496997441	1.23266075679027	2.08746284125034	0.871843648509318	0.584962500721156	0.137503523749935	0.53605290024021	0.20163386116965	0.903038270112912	0.124328135002202	0.333423733725192	0.839959587489532	2.8094144442359	2.16671544496642	0.070389327891398	0.495695162624069	0.0976107966264223	0.454175893185802
"LIPE"	5.16430358309365	5.53760669149529	5.67185946824748	5.01301553583926	5.08958289312471	6.41396635150775	4.57228336665041	5.50811168119346	4.14649230697719	6.30103884990315	3.71149490665009	4.83086375675176	4.51475349843975	2.95046841415012	5.2460279805281	3.20320115631661	2.95791459863299	4.46727948045998	7.69139457853808	3.10433665981474	1.29865831556452	5.09929520433777	4.00629802390037	4.15946772926677	3.55458885167764	7.98834385241041	2.17632277264046	3.24488705912353	4.63633460244218	1.85598969730848	5.27984269352035	4.86789646399265	4.09845324630927	3.4931349223055	3.29572302453997	2.71149490665009	4.33342373372519	5.47670570666818	1.20789285164133	0.20163386116965	2.21412480535285	2.34482849699744	2.67807190511264	2.60880924267552	2.03562390973072	1.50589092972996	1.20789285164133	1.50589092972996	1.97819562968165	2.43829285157915	1.43829285157915	0.27500704749987	2.26303440583379	2.22958792274065	3.09423606984577	2.09761079662642	1.89530262133331	1.54101915313356	2.15704371014558	2.4032677223393	2.49825086752783	1.4905701304462	1.44890095114513	1.76128527336162	3.57410150808939	1.58014548442338	1.74416109557041	1.90689059560852	1.92219784839637	1.37851162325373	1.60407132366886	3.20006486151431	0.7311832415722	1.4541758931858	4.03474394932473	2.29278174922785	2.49569516262407	1.90303827011291	3.08065766334523	3.95977015521147	1.07724299893246	2.75488750216347	1.16349873228288	2.55581615506164	1.96716860753263	1.87184364850932	1.30451104180995	0.871843648509318	2.20789285164133	2.13093086982645	1.98913900736823	2.02856915219677	1.09085343045111	2.57773093149008	2.62058641045188	2.53605290024021	2.15704371014558	1.58496250072116	1.93357263826102	0.55581615506164	1.65535182861255	1.02856915219677	1.58496250072116	1.11103131238874	0.948600847493356	2.44360665147561	1.28095631383106	0.765534746362977	1.71808758396052	1.0703893278914	1.52606881166759	2.73335434061383	0.678071905112638	0.678071905112638	1.44890095114513	2.02856915219677	0.895302621333307	0.992768430768924	1.17632277264046	1.24488705912353	0.970853654340484	3.55949181320504	3.03562390973072	1.02856915219677	1.13093086982645	2.24184018356467	2.07382023329167
