"BC_HKB0056_809_T"	"BC_HKB0662_1294_T"	"BC_HKB0892_1559_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0182_3006_T"	"HKB0210_3006_T"	"HKB0211_3002_T"	"HKB0626_3000_T"	"HKB0644_3000_T"	"HKB0659_3000_T"	"HKB0677_3000_T"	"HKB0710_3000_T"	"BC_HKB0759_1488_T"	"HKB0007_3005_T"	"HKB0016_3006_T"	"HKB0098_3005_T"	"HKB0102_3006_T"	"HKB0121_3006_T"	"HKB0137_3002_T"	"HKB0155_3000_T"	"HKB0159_3006_T"	"HKB0179_3006_T"	"HKB0194_3006_T"	"HKB0214_3006_T"	"HKB0217_3005_T"	"HKB0228_3002_T"	"HKB0558_3000_T"	"HKB0599_3000_T"	"HKB0620_3000_T"	"HKB0653_3000_T"	"HKB0698_3000_T"	"HKB0704_3000_T"	"HKB0713_3000_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"BC_HKB0733_1459_T"	"BC_HKB0834_1553_T"	"BC_HKB2108_1624_T"	"BC_HKB2109_1628_T"	"HKB0006_3006_T"	"HKB0033_3006_T"	"HKB0035_3006_T"	"HKB0078_3000_T"	"HKB0094_3006_T"	"HKB0104_3006_T"	"HKB0191_3001_T"	"HKB0196_3006_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0232_3000_T"	"HKB0540_3000_T"	"HKB0638_3000_T"	"HKB0683_3000_T"	"HKB0748_3000_T"	"BC_HKB0022_649_T"	"BC_HKB0543_1306_T"	"BC_HKB0873_1549_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"HKB0040_3002_T"	"HKB0050_3005_T"	"HKB0069_3000_T"	"HKB0167_3006_T"	"HKB0674_3000_T"	"HKB0736_3000_T"	"BC_HKB0112_933_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0728_1447_T"	"BC_HKB0761_1499_T"	"BC_HKB0775_1470_T"	"BC_HKB0890_1550_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0064_3004_T"	"HKB0074_3000_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0573_3000_T"	"HKB0719_3002_T"	"BC_HKB0187_1214_T"	"BC_HKB0215_1134_T"	"BC_HKB0729_1445_T"	"BC_HKB0913_1654_T"	"BC_HKB0917_1656_T"	"HKB0038_3006_T"	"HKB0209_3004_T"	"HKB0576_3000_T"	"HKB0665_3000_T"	"HKB0701_3000_T"	"HKB0737_3000_T"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0049_3006_T"	"HKB0067_3006_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0097_3000_T"	"HKB0101_3000_T"	"HKB0108_3000_T"	"HKB0115_3006_T"	"HKB0123_3006_T"	"HKB0141_3006_T"	"HKB0164_3006_T"	"HKB0168_3006_T"	"HKB0208_3006_T"	"HKB0219_3001_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0226_3001_T"	"HKB0552_3000_T"	"HKB0564_3000_T"	"HKB0579_3000_T"	"HKB0605_3000_T"	"HKB0656_3000_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0744_3000_T"	"HKB0751_3000_T"	"BC_HKB0726_1446_T"	"BC_HKB0838_1563_T"	"BC_HKB0902_1617_T"	"HKB0100_3006_T"	"HKB0127_3006_T"
"ROPN1"	3.36876834909033	3.54473265593262	0	4.45022149589718	5.13955135239879	0.0565835283663675	1.44360665147561	4.20241772157518	5.55979769575487	1.18903382439002	4.20241772157518	4.79285535236249	6.72137265947682	5.55305325276641	2.57046293102604	0.0426443374084937	5.41953889151378	1.4594316186373	3.87970576628229	3.13914201914569	2.84599177066457	3.92219784839637	0	0.238786859587116	0	0.27500704749987	0	0.0285691521967709	0	0.111031312388744	0.250961573533219	0.124328135002202	0.895302621333307	0.31034012061215	0.0565835283663675	0.111031312388744	0.526068811667588	0.22650852980868	1.06350294230616	0.925999418556223	0.250961573533219	0.0565835283663675	0.150559676575381	0.150559676575381	1.13750352374994	0	0	0	0.918386234446348	0.0976107966264223	0.454175893185802	0.0565835283663675	0	0.422233000683048	0.20163386116965	0	0.422233000683048	0.0976107966264223	0.0426443374084937	0	0.214124805352847	0	0.790772037862	0.422233000683048	0	0	0.722466024471091	0	2.1407786557828	0.321928094887362	0.0426443374084937	0.411426245726465	0.150559676575381	0.238786859587116	0.189033824390017	2.08065766334523	1.18269229751619	0	1.27500704749987	0	0	3.37712374912949	1.05658352836637	1.4594316186373	0.516015147003665	1.20163386116965	0	0.807354922057604	0.443606651475615	1.29278174922785	0.0426443374084937	1.0496307677246	1.57046293102604	0.22650852980868	2.5033487351675	2.13422093976063	0.948600847493356	0	0	0.992768430768924	0	0.333423733725192	0.238786859587116	0	0.189033824390017	0	0.475084882948783	0.0426443374084937	0.238786859587116	0	0.20163386116965	0.333423733725192	1.25096157353322	0.485426827170242	0.111031312388744	0	0.485426827170242	0	0.622930350920177	2.13422093976063	0.545968369105292	0.286881147788162	0.189033824390017	0	0	0.070389327891398	0	1.4541758931858	0.739848102699327	0.111031312388744	0.0976107966264223	0.678071905112638	0.641546029087524	0	0.0565835283663675	0.863938450423971	0	0	0.250961573533219	0.765534746362977
"FOXC1"	5.49153246180432	5.762880292917	2.63691458035588	4.35966172233388	5.91336815967972	2.81352468929781	4.5453506448223	4.81198471935167	6.27891401949994	5.68846014042449	4.38128337250378	7.07606733894594	5.6507645591169	6.04701481951759	3.53106949272595	5.01301553583926	4.91838623444635	3.53231695933277	4.97223312380739	4.83945576522463	5.94462422305503	5.52794609890826	2.52606881166759	2.24184018356467	1.39506279951758	1.37295209791183	1.0496307677246	0.475084882948783	0.55581615506164	2.4276061727819	1.790772037862	1.85996954822103	2.16671544496642	2.76977173924945	1.1243281350022	1.14404636961671	1.98550043030488	0.918386234446348	1.44360665147561	1.46466826700344	1.26903314645524	0.773996325111173	0.910732661902913	1.16349873228288	0.799087306074004	1.23878685958712	2.16671544496642	1.85199883711245	2.10768786931437	1	1.53106949272595	0.411426245726465	1.86789646399265	2	1.40599235967584	1.30451104180995	1.77399632511117	1.10433665981474	1.09085343045111	0.84799690655495	0.678071905112638	1.44890095114513	2.07724299893246	1.38404980679516	3.13750352374994	2.54596836910529	3.21412480535285	5.19888699095693	3.03033607837096	1.49569516262407	0.722466024471091	2	1.41142624572647	1.73552217729654	1.52105073690096	3.77820857639809	3.79181407116183	3.54101915313356	3.21256933885081	4.83995958748953	3.72246602447109	4.8703647195834	2.9126498648972	3.14730669878029	1.56071495447448	2.76977173924945	2.52105073690096	2.41953889151378	2.29278174922785	2.54843662469604	2.47248777146274	4.92837032301897	3.68257329734758	3.83592407425437	2.6507645591169	2.91456452349394	1.97819562968165	1.83592407425437	0.985500430304885	2.64846544302731	1.65535182861255	1.49569516262407	0.978195629681652	1.32768736417605	1.73984810269933	1.19534759832222	2.25701061820602	2.03210084316702	2.23878685958712	1.97452931248388	0.831877241191673	1.27500704749987	2.25398926623079	2.41413553298445	1.15055967657538	0.650764559116902	1.16992500144231	0.948600847493356	1.46988597627446	2.93168305705981	2.65992455840238	1.72246602447109	2.16671544496642	1.65535182861255	1.02856915219677	0.799087306074004	1.91838623444635	2.09423606984577	2.38956681176273	1.41142624572647	1.43829285157915	1.01435529297707	1.90303827011291	0.941106310946431	1.44890095114513	0.895302621333307	2.13750352374994	0	1.50080205305716	1.88752527074159
"ART3"	2.74200621086674	4.76234881564413	0	6.45285896471381	3.62058641045188	6.47248777146274	1.50589092972996	5.85847839042327	4.14974711950468	3.89530262133331	1.18269229751619	1.67355642399014	5.28872767951457	3.56071495447448	2.64846544302731	1.28688114778816	7.90418300324503	0.411426245726465	7.58187845164784	2.38956681176273	0.286881147788162	2.90110824301451	0	0.298658315564515	0	0.344828496997441	0.137503523749935	0.545968369105292	0.111031312388744	0.16349873228288	0.250961573533219	0.0976107966264223	0.298658315564515	0.176322772640463	1.23878685958712	0.189033824390017	0.111031312388744	0	0.321928094887362	0.214124805352847	0.124328135002202	0	0.16349873228288	0.124328135002202	0.545968369105292	1.25701061820602	0	0	0	0	0	0.20163386116965	0.286881147788162	0.124328135002202	0.0565835283663675	0.356143810225275	0	0	0	0.070389327891398	0.111031312388744	0.0976107966264223	0.150559676575381	0	0	0	0	1.16349873228288	0	0.263034405833794	0.678071905112638	0.722466024471091	0.214124805352847	0.37851162325373	0.344828496997441	2.20163386116965	1.91073266190291	1.78659636189081	0	0	2.03913839390696	4.32624970083746	0.0840642647884745	0.22650852980868	0	0.111031312388744	0.37851162325373	0.263034405833794	0.84799690655495	0	0.333423733725192	0.454175893185802	0.594548549550354	1	0.298658315564515	0.137503523749935	0	0	0	1.15055967657538	0	0.22650852980868	0.20163386116965	0.070389327891398	0.150559676575381	0.0840642647884745	0.823749360308273	0.16349873228288	0.189033824390017	0.238786859587116	0	0.0840642647884745	0.22650852980868	0.137503523749935	2.52356195605701	0	0.111031312388744	0.0840642647884745	0.286881147788162	0	0.464668267003444	0.189033824390017	0.137503523749935	0.238786859587116	0.22650852980868	0.298658315564515	0.333423733725192	0	0.584962500721156	0	0.070389327891398	0	0.0976107966264223	0.0840642647884745	0.137503523749935	0	0	0	0	0.16349873228288
"ROPN1B"	1.51096191927738	0	0	4.58014548442338	3.56559717585422	0.22650852980868	0.807354922057604	1.98185265328974	4.65306001710456	0.650764559116902	3.91647664443772	5.50462039240355	6.21451341008002	6.26322224452176	1.65992455840238	0.263034405833794	5.90279715788023	0.0426443374084937	3.11103131238874	4.30231905094883	3.19534759832222	2.30158764660319	1.89530262133331	0.839959587489532	0.37851162325373	0.400537929583729	0.137503523749935	0.622930350920177	0.070389327891398	0	0.485426827170242	1.76977173924945	0.985500430304885	0.53605290024021	0.214124805352847	0.739848102699327	0.411426245726465	1.26903314645524	2.62993940943954	1.02856915219677	1.13750352374994	0	0.422233000683048	0.565597175854225	0.53605290024021	1.84398384404833	1.08406426478847	1.52606881166759	1.14404636961671	0.238786859587116	0.16349873228288	0.137503523749935	0.150559676575381	0.176322772640463	1.17632277264046	0.0565835283663675	0.815575428862573	1.87578006306849	0.526068811667588	0	1.27500704749987	0.263034405833794	1.13750352374994	0.669026765509631	1.39506279951758	2.71369581484336	4.79441586635011	3.20945336562895	4.19534759832222	0.344828496997441	1.29278174922785	0.84799690655495	0.16349873228288	0.871843648509318	1.35614381022528	4.48091134604775	3.66220549965362	2.04614178164472	3.4867143730307	2.46727948045998	2.99457972421575	3.90881290773955	1.39506279951758	1.16992500144231	0.855989697308481	1.83592407425437	0	1.09085343045111	0.176322772640463	2.16992500144231	0.0840642647884745	2.08065766334523	1.09085343045111	0.263034405833794	2.76341157447001	2.799087306074	1.17632277264046	0	2.76977173924945	1.22650852980868	1.24488705912353	0	0.871843648509318	0.344828496997441	1.1243281350022	0.298658315564515	0.475084882948783	0.75702324650746	0.495695162624069	0.389566811762726	0.189033824390017	0.411426245726465	0.815575428862573	0.641546029087524	1.24488705912353	0.389566811762726	0.831877241191673	0.0565835283663675	0.464668267003444	2.04614178164472	0.704871964456353	0.16349873228288	0	0.070389327891398	0.0840642647884745	0.0840642647884745	0.111031312388744	0.887525270741587	2.03562390973072	0.137503523749935	0.739848102699327	0.443606651475615	1.05658352836637	0	0.839959587489532	0	0	0	0.0143552929770701	1.35614381022528
"EN1"	2.66448284036468	5.27276973243651	5.86591881455221	4.72410451986685	0.565597175854225	5.86715516310751	3.22958792274065	2.611172380044	6.36806987653208	6.49984588708321	4.67412163263239	2.47248777146274	6.41531924814038	6.11103131238874	5.37155886261196	2.28095631383106	7.67461600861502	4.86245139132558	5.20945336562895	1.67355642399014	2.16027483140859	0.807354922057604	0.895302621333307	0.422233000683048	0.910732661902913	0.669026765509631	0.565597175854225	0.20163386116965	0.432959407276106	0.918386234446348	0.250961573533219	0.55581615506164	0.367371065648529	0.432959407276106	2.37295209791183	0.31034012061215	0.22650852980868	1.0071955014042	0.176322772640463	0.214124805352847	0.970853654340484	0.150559676575381	0.16349873228288	0.20163386116965	1.44360665147561	1.37851162325373	0	0	1.41142624572647	0.0840642647884745	1.23266075679027	1.47508488294878	0.799087306074004	0.111031312388744	0.111031312388744	1.11103131238874	0.0426443374084937	0.150559676575381	0.454175893185802	1.04264433740849	0.464668267003444	1.02147972741045	0.176322772640463	0.070389327891398	2.66220549965362	2.22342254993494	0.855989697308481	6.30012372456901	1.63691458035588	0.594548549550354	0.0565835283663675	3.75595576955096	0.895302621333307	1.85996954822103	0.454175893185802	1.35049724708413	2.40599235967584	1.67807190511264	1.21412480535285	4.08406426478847	0	5.79051141189419	0.815575428862573	0.389566811762726	0.713695814843359	0.55581615506164	1.35614381022528	0.321928094887362	0.432959407276106	0.516015147003665	1.39506279951758	3.12101540096137	1.41683974191283	0.7311832415722	0.443606651475615	0.176322772640463	0	2.0071955014042	2.02856915219677	2.23572705983806	2.05311133645956	1.53605290024021	1.14404636961671	1.65535182861255	1.29278174922785	1.29865831556452	0.895302621333307	0.432959407276106	0.985500430304885	0.887525270741587	0.333423733725192	0.475084882948783	0.584962500721156	0.176322772640463	1.08406426478847	0.27500704749987	0.263034405833794	0.713695814843359	0.250961573533219	0.389566811762726	0.516015147003665	1.11103131238874	0.669026765509631	0.963474123974886	0.443606651475615	0.432959407276106	0.321928094887362	0.27500704749987	0.748461233004036	0.22650852980868	0.176322772640463	0.238786859587116	0.389566811762726	1.07724299893246	0.516015147003665	0	1.66448284036468	0.594548549550354	1.01435529297707	0.389566811762726
"CXorf61"	0	3.10601323762212	0	4.83693401132109	4.00180224263399	0	0	3.95791459863299	0	4.4535175792155	4.36527259976453	3.81455042346181	4.08406426478847	3.1407786557828	0	1.09085343045111	4.03386345186628	4.63401235640212	4.83995958748953	5.44161626940656	4.31179371775365	5.36036427654347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286881147788162	0	0	0	0	1.24488705912353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99095486039699	0	0	0	0	0	0	0	0	0	0	0	0	0	3.27649666564036	0	0	0	2.38956681176273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111031312388744	0.124328135002202
"KCNK5"	2.54101915313356	2.76977173924945	2.77399632511117	4.87872534148011	4.97865326490861	1.54596836910529	2.0071955014042	4.35191096110308	5.70348834965682	0.839959587489532	4.26753579806874	3.63343121035563	4.97085365434048	5.39882918244463	3.21256933885081	0.887525270741587	5.02059109477325	6.11811050560737	3.46597446450407	3.60999129521268	5.02369891726641	4.36457243229586	1	1.22650852980868	0.454175893185802	1.8073549220576	0.37851162325373	0.389566811762726	0.526068811667588	0.871843648509318	4.18745105402733	2.5033487351675	1.24488705912353	1.4905701304462	4.55151601762801	0.782408564927373	1.96716860753263	0.604071323668861	0.678071905112638	0.464668267003444	2.50080205305716	2.77610398807316	1.08406426478847	3.88947354253111	2.02147972741045	0	0	0.422233000683048	0	1.10433665981474	0.495695162624069	1.34482849699744	1.19534759832222	0.704871964456353	0.411426245726465	0.782408564927373	1.17632277264046	0.495695162624069	0.344828496997441	1.1243281350022	1.58976348698498	1.4905701304462	1.19534759832222	1.0703893278914	0.367371065648529	1.61823865559545	0.389566811762726	4.70376517879341	1.39506279951758	2.27202318906105	1.09761079662642	1.59931779369823	1.75274859140713	1.55090066464752	1.71369581484336	1.76128527336162	2.114367024952	0	1.60880924267552	3.6915341649192	1.0496307677246	2.59454854955035	1.16349873228288	1.86393845042397	0.941106310946431	1.65535182861255	0.782408564927373	1.02856915219677	1.58014548442338	1.49569516262407	0.454175893185802	4.68201139080069	1.82781902461732	2.18903382439002	3.23878685958712	1.50080205305716	0	0	1.87970576628229	0	0.575312330687437	1.790772037862	1.03562390973072	1.58496250072116	1.08406426478847	2.1243281350022	1.54101915313356	0.879705766282288	2.86393845042397	2.65764000520782	0.584962500721156	0.941106310946431	1.4594316186373	1.57531233068744	0.978195629681652	0.773996325111173	0.713695814843359	0.286881147788162	0.6959938131099	2.01077983875324	1.24488705912353	0.526068811667588	2.8499992594661	5.59604063267114	0.765534746362977	0.704871964456353	1.20789285164133	1.32768736417605	1.78240856492737	1.6507645591169	0.659924558402378	0.7311832415722	0.855989697308481	0.823749360308273	1.09085343045111	0	0.356143810225275	0.475084882948783	2.08406426478847	1
"ELF5"	4.6507645591169	3.86096279785812	0	7.57273811686407	4.27276973243651	0.650764559116902	4.603477988254	6.84058911799692	4.79649392942584	1.73552217729654	3.25398926623079	7.73768676140986	5.99276843076892	4.63575439127776	1.65992455840238	0.0565835283663675	5.96509162479079	2.59931779369823	5.89214812751382	7.22612314312524	5.70404195482129	8.1421581252497	0	2.60644222813161	0.871843648509318	2.9297909977186	2.88752527074159	0.863938450423971	2.75274859140713	3.10936055940423	0.475084882948783	0.0840642647884745	2.63691458035588	3.10265813136374	0.584962500721156	4.37225564844579	2.81966818349646	3	2.22650852980868	2.55581615506164	4.33771109212829	2.04264433740849	4.04176864995163	5.11894107272351	2.63923216324928	2.54101915313356	0	1.10433665981474	0	0.250961573533219	1.58976348698498	4.44426950241348	0.070389327891398	1.50080205305716	2.74846123300404	0.526068811667588	0.516015147003665	0.485426827170242	0.20163386116965	1.95977015521147	0.641546029087524	1.6507645591169	2.52857131887076	1.43829285157915	0	0.887525270741587	1.50589092972996	2.62993940943954	0	2.63923216324928	0.389566811762726	2.12763327972587	0.0426443374084937	2.52105073690096	1.36737106564853	3.114367024952	0	1.6507645591169	2.92029330021101	1.31614574229336	2.09761079662642	0	2.38956681176273	1.93734439215023	2.59693514238723	3.63226821549951	1.14404636961671	3.24184018356467	3.99638874644762	4.30085587126876	1.74416109557041	2.64616265715789	4.00270252037982	1.91838623444635	5.28835856219366	4.13010717865883	0	0	1.4541758931858	1.52105073690096	2.09085343045111	0.250961573533219	3.21256933885081	3.03913839390696	0.6959938131099	2.92599941855622	1.73984810269933	0.594548549550354	4.76128527336162	1.25096157353322	0.31034012061215	1.15704371014558	2.0071955014042	1.59454854955035	5.03254169727004	0.31034012061215	4.86690797814317	0.0426443374084937	4.00898878322726	3.48542682717024	1.55581615506164	5.6246858105254	1.41683974191283	0	0.263034405833794	0.214124805352847	3.10601323762212	1.78240856492737	3.13093086982645	3.43295940727611	0.485426827170242	2.52857131887076	4.10349763970334	3.93545974780529	0.925999418556223	0	1.30451104180995	1.86789646399265	0.298658315564515	3.17791779219584
"BCL11A"	3.05484847699562	3.38543103719352	4.94157586181824	3.48542682717024	3.98185265328974	1.75274859140713	2.72900887033786	3.74200621086674	3.17472598770613	0.485426827170242	4.06522762277562	2.34482849699744	3.57288966842058	3.78555055173926	1.26303440583379	3.8569856897822	4.51159454153741	1.34482849699744	4.51601514700366	2.54596836910529	2.64385618977472	2.114367024952	0.75702324650746	0.831877241191673	0.632268215499513	1.0071955014042	0.137503523749935	0.495695162624069	0.286881147788162	1.16992500144231	0.31034012061215	0.505890929729957	1.64616265715789	1.36737106564853	0.111031312388744	0.970853654340484	0.485426827170242	0.22650852980868	0.831877241191673	0.879705766282288	1.05658352836637	0.0976107966264223	0.263034405833794	0.485426827170242	0.22650852980868	0.400537929583729	0	0.432959407276106	0.286881147788162	0.0976107966264223	0.389566811762726	0.475084882948783	0.31034012061215	0.839959587489532	0.344828496997441	0.411426245726465	0.53605290024021	0.150559676575381	0.356143810225275	1.97819562968165	1.33342373372519	0.137503523749935	1.32192809488736	0.650764559116902	1.67355642399014	3.40190347160796	3.92694824794977	4.99729240763651	1.99276843076892	3.6564963705535	1.06350294230616	2.68257329734758	1.29865831556452	2.39231742277876	2.48542682717024	4.22110372536788	2.96716860753263	0.855989697308481	4.52418907844937	1.92219784839637	1.51601514700366	5.62702310555406	1.35049724708413	2.22958792274065	0.575312330687437	1.94110631094643	0.903038270112912	0.910732661902913	1.62760683812965	3.11103131238874	0.263034405833794	3.21412480535285	1.36176835941915	0.815575428862573	2.07724299893246	1.87184364850932	0	0	0	1	0.594548549550354	0.321928094887362	0.22650852980868	0.137503523749935	0.782408564927373	0.238786859587116	0.978195629681652	0.53605290024021	1.01435529297707	0.53605290024021	0.622930350920177	0.565597175854225	0.970853654340484	0.55581615506164	0.485426827170242	0.0976107966264223	0.839959587489532	0.0565835283663675	0.632268215499513	1.77820857639809	0.933572638261024	0.659924558402378	0.31034012061215	2.82578562746479	0.150559676575381	0.22650852980868	0.20163386116965	2.01792190799726	1.18903382439002	0.263034405833794	0.432959407276106	0.344828496997441	0.790772037862	0.31034012061215	1.29278174922785	0.790772037862	0.659924558402378	0.807354922057604	1.20163386116965	1.20163386116965
"GABRP"	3.47248777146274	5.09971599916091	0	9.3654475885501	1.74846123300404	7.50866633534206	1.56071495447448	5.8008998999203	8.23701870432802	5.31469652565629	2.36176835941915	9.94227990170576	8.52524672973023	8.95829170176338	9.64819577536155	0.31034012061215	9.02682771810927	6.65349000917199	7.94731549160306	7.45466943160474	7.69355665122852	9.25785923463963	1.87970576628229	3.50080205305716	1.58976348698498	1.86393845042397	0.150559676575381	0.111031312388744	2.114367024952	0.782408564927373	2.20789285164133	0.432959407276106	4.41818994794577	3.611172380044	1.31034012061215	2.18586654531133	3.78555055173926	0.0976107966264223	3.4276061727819	3.26153081524341	1.71808758396052	1.56559717585423	1.08406426478847	2.51096191927738	1.43829285157915	1.32768736417605	0	0.495695162624069	0.613531652917927	1.37851162325373	2.6667565918848	0.189033824390017	2.77610398807316	3.77294133783134	1.23878685958712	0.963474123974886	2.89530262133331	1.72246602447109	1.50080205305716	0.20163386116965	0.807354922057604	0.250961573533219	4.79597469420667	4.20789285164133	0	4.06263982828646	2.98185265328974	5.46564802598228	0.584962500721156	2.0071955014042	1.18903382439002	4.21412480535285	0.263034405833794	2.78868571061353	2.54101915313356	2.59454854955035	0	0	3.43562859405209	3.09929520433778	3.21878116778407	0	4.55151601762801	4.56315813040281	4.00629802390037	5.86096279785812	0.669026765509631	4.48026512205446	2.15704371014558	4.94251450533924	0.333423733725192	3.29425313644451	3.4867143730307	4.21800615028443	5.6055535954944	5.60614607806572	1.06350294230616	0	0	0	0	3.21567859660793	0.6959938131099	0.321928094887362	2.63923216324928	0.176322772640463	4.48349335128439	2.20476675065461	2.98185265328974	3.13093086982645	1.95233356636969	2.98550043030489	4.99095486039699	3.55704241526372	1.37295209791183	0.37851162325373	2.94110631094643	0.0565835283663675	2.01077983875324	4.98185265328974	3.86492897228979	2.37295209791183	1.94485844580754	3.38543103719352	1.72246602447109	2.10097764772482	0.389566811762726	4.47118746038699	4.81762325751143	2.82781902461732	2.44890095114513	2.68032435684402	2.96901230751632	0.111031312388744	2.11769504266975	0.970853654340484	1.24488705912353	0	0.650764559116902	4.32264926213102
