"BC_HKB0728_1447_T"	"BC_HKB0754_1481_T"	"HKB0036_3006_T"	"HKB0092_3000_T"	"HKB0211_3002_T"	"BC_HKB0740_1454_T"	"HKB0005_3001_T"	"HKB0006_3006_T"	"HKB0007_3005_T"	"HKB0008_3006_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0035_3006_T"	"HKB0038_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0056_3002_T"	"HKB0064_3004_T"	"HKB0065_3006_T"	"HKB0067_3006_T"	"HKB0069_3000_T"	"HKB0070_3002_T"	"HKB0078_3000_T"	"HKB0079_3006_T"	"HKB0080_3006_T"	"HKB0082_3006_T"	"HKB0084_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0094_3006_T"	"HKB0096_3001_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0104_3006_T"	"HKB0106_3006_T"	"HKB0108_3000_T"	"HKB0109_3006_T"	"HKB0115_3006_T"	"HKB0120_3000_T"	"HKB0123_3006_T"	"HKB0124_3003_T"	"HKB0125_3006_T"	"HKB0129_3000_T"	"HKB0137_3002_T"	"HKB0141_3006_T"	"HKB0143_3006_T"	"HKB0147_3000_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0159_3006_T"	"HKB0160_3000_T"	"HKB0162_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0168_3006_T"	"HKB0179_3006_T"	"HKB0182_3006_T"	"HKB0186_3000_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0196_3006_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0210_3006_T"	"HKB0214_3006_T"	"HKB0217_3005_T"	"HKB0219_3001_T"	"HKB0220_3000_T"	"HKB0221_3001_T"	"HKB0222_3006_T"	"HKB0225_3001_T"	"HKB0226_3001_T"	"HKB0227_3006_T"	"HKB0228_3002_T"	"HKB0230_3006_T"	"HKB0232_3000_T"	"HKB0233_3006_T"	"HKB0540_3000_T"	"HKB0552_3000_T"	"HKB0558_3000_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0585_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0620_3000_T"	"HKB0629_3000_T"	"HKB0638_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0653_3000_T"	"HKB0656_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0674_3000_T"	"HKB0692_3000_T"	"HKB0701_3000_T"	"HKB0713_3000_T"	"HKB0718_3000_T"	"HKB0721_3000_T"	"HKB0722_3002_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0748_3000_T"	"HKB0750_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"HKB0074_3000_T"	"HKB0127_3006_T"	"HKB0132_3006_T"	"HKB0161_3001_T"	"HKB0207_3001_T"	"HKB0573_3000_T"	"HKB0719_3002_T"
"DEFB110"	0	0	0.20163386116965	0	0.613531652917927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454175893185802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB105A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB106A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR5H1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR5K4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HIST1H2AA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0	0	0	0	0	0	0	0	0	0	0	0	0.137503523749935	0	0	0	0	0	0	0	0	0	0	0	0.367371065648529	0	0	0	0.978195629681652	0	0	0	0	0	0	0	0	0	0	0.150559676575381	0	0	0	0	0	0	0	0	0.189033824390017	0	0	0	0	0	1.26903314645524	0	2.60407132366886	0	0	0	0	0	0	0	0	0	0	0	0.176322772640463	0	0	0	0	0	0	0	0	0	0	0	0.855989697308481	0	0.16349873228288	0	0	0	0	0	0	0	0	0	0	0	0.333423733725192	0	0	0	0
"LRRC30"	0	0	0	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP6.3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEACAM18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDY2B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
