"BC_HKB0543_1306_T"	"BC_HKB0779_1486_T"	"BC_HKB0831_1520_T"	"BC_HKB0899_M1605_T"	"BC_HKB1385_1721_T"	"HKB0007_3005_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0050_3005_T"	"HKB0054_3000_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0098_3005_T"	"HKB0167_3006_T"	"HKB0194_3006_T"	"HKB0220_3000_T"	"HKB0573_3000_T"	"HKB0659_3000_T"	"HKB0674_3000_T"	"HKB0710_3000_T"	"HKB0718_3000_T"	"HKB0736_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"	"BC_HKB0632_1381_T"	"BC_HKB0668_1298_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"HKB0162_3006_T"	"HKB0692_3000_T"	"BC_HKB0022_649_T"	"BC_HKB0187_1214_T"	"BC_HKB0215_1134_T"	"BC_HKB0729_1445_T"	"HKB0008_3006_T"	"HKB0023_3006_T"	"HKB0033_3006_T"	"HKB0038_3006_T"	"HKB0049_3006_T"	"HKB0064_3004_T"	"HKB0078_3000_T"	"HKB0086_3006_T"	"HKB0088_3000_T"	"HKB0089_3001_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0123_3006_T"	"HKB0143_3006_T"	"HKB0164_3006_T"	"HKB0179_3006_T"	"HKB0191_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0219_3001_T"	"HKB0221_3001_T"	"HKB0564_3000_T"	"HKB0576_3000_T"	"HKB0579_3000_T"	"HKB0599_3000_T"	"HKB0665_3000_T"	"HKB0668_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0722_3002_T"	"HKB0734_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"BC_HKB0112_933_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0689_M1326_T"	"BC_HKB0728_1447_T"	"BC_HKB0741_1471_T"	"BC_HKB0757_1496_T"	"BC_HKB0761_1499_T"	"BC_HKB0772_1460_T"	"BC_HKB0775_1470_T"	"BC_HKB0830_1541_T"	"BC_HKB0838_1563_T"	"BC_HKB0873_1549_T"	"BC_HKB0890_1550_T"	"BC_HKB0917_1656_T"	"BC_HKB2106_1619_T"	"BC_HKB2107_1620_T"	"HKB0052_3000_T"	"HKB0074_3000_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0129_3000_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0161_3001_T"	"HKB0186_3000_T"	"HKB0207_3001_T"	"HKB0552_3000_T"	"HKB0719_3002_T"	"BC_HKB0056_809_T"	"BC_HKB0662_1294_T"	"BC_HKB0882_1555_T"	"BC_HKB0892_1559_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0084_3000_T"	"HKB0091_3001_T"	"HKB0092_3000_T"	"HKB0125_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0182_3006_T"	"HKB0210_3006_T"	"HKB0211_3002_T"	"HKB0626_3000_T"	"HKB0644_3000_T"	"HKB0650_3000_T"	"HKB0677_3000_T"
"C5orf20"	2.05311133645956	2.10097764772482	1.48542682717024	1.62293035092018	0	0.863938450423971	3.37989816352469	1.21412480535285	1.56071495447448	1.29278174922785	0.963474123974886	0.956056652412403	0.641546029087524	0.516015147003665	2.33628338786443	1.44890095114513	1.66902676550963	1.44890095114513	1.49569516262407	2.1243281350022	0.84799690655495	1.39506279951758	2.58496250072116	1.32192809488736	0.895302621333307	0.475084882948783	0	0	0	0.55581615506164	0.0143552929770701	2.08065766334523	0	0	0	0.55581615506164	0.27500704749987	0.16349873228288	0.16349873228288	0.263034405833794	0.887525270741587	0.20163386116965	0.176322772640463	0.367371065648529	0.594548549550354	0.575312330687437	0.333423733725192	0.0840642647884745	0.565597175854225	0.641546029087524	0.263034405833794	0.263034405833794	0.22650852980868	0.124328135002202	0.286881147788162	0.516015147003665	0.389566811762726	0.137503523749935	0.941106310946431	0.214124805352847	0.0426443374084937	0.238786859587116	0.124328135002202	0.0426443374084937	0.356143810225275	0.20163386116965	0.27500704749987	0	0.575312330687437	0.495695162624069	0	1.26903314645524	0.871843648509318	1.25701061820602	0	0	0	0	0	0	0.815575428862573	2.29278174922785	0	0	0.526068811667588	0.790772037862	1.51601514700366	1.35614381022528	0.111031312388744	1.04264433740849	0.722466024471091	0.565597175854225	0.137503523749935	1.08406426478847	1.39506279951758	0.214124805352847	0.176322772640463	0.6959938131099	0	0	0	0	0.250961573533219	0.070389327891398	0.263034405833794	0.263034405833794	0.422233000683048	0.722466024471091	0.659924558402378	0.948600847493356	0.20163386116965	0	0.910732661902913	0.641546029087524	0.124328135002202	0.189033824390017	0.286881147788162	0.0840642647884745	0.070389327891398	0.84799690655495	0.189033824390017
"IRF8"	4.92884403671257	4.5795422249369	4.15137177625395	4.31397137105902	4.52857131887076	3.877744249949	6.45055144330648	4.26453643099903	4.50716034911752	4.73660487531425	4.73281187208294	3.67807190511264	3.6724253419715	3.81762325751143	5.24374523473398	4.33985000288462	4.76075320806299	4.76181714250714	4.97956810009519	5.69877410890368	4.64731450954714	4.20476675065461	5.92623668441333	4.63749432520631	4.23725777090037	4.42559357765306	2.60880924267552	1.79493566280354	1.83995958748953	3.77399632511117	1.65992455840238	4.03033607837096	2.50842865253186	1.89917563048051	1.80322703643493	3.92124588858559	2.90496571868403	3.15380533607904	3.43829285157915	3.54349588342577	3.91169158187234	2.54349588342577	3.30888505741176	3.67016051412663	3.79181407116183	3.43162295971329	3.06004738366994	2.98002530023873	3.72137265947682	3.91838623444635	3.42894634476948	3.78031009904338	2.91456452349394	3.30451104180995	2.74846123300404	3.85099939471647	2.97085365434048	3.71699089440494	4.18745105402733	3.13750352374994	2.32768736417605	3.42223300068305	2.88947354253111	3.19849415363908	3.31469652565629	2.16671544496642	3.92789645372882	2.48800077083407	1.81966818349646	3.877744249949	3.27052894238072	1.63226821549951	3.54225804976692	2.52356195605701	1.74846123300404	1.83187724119167	2.06695024392463	2.03913839390696	1.13750352374994	1.78240856492737	4.08236196955747	4.46923479366766	2.46727948045998	0.765534746362977	3.21412480535285	3.83592407425437	4.35755200461808	4.73552217729654	2.21723071622067	3.91073266190291	3.92504996472736	3.73335434061383	3.07553263116736	3.22804904788446	4.41074812818595	3.65420637794429	2.8972404255748	3.41413553298445	2.20789285164133	3.42088657497553	2.08746284125034	2.86789646399265	2.20789285164133	2.06350294230616	2.73984810269933	2.67355642399014	3.08236196955747	3.69932952567316	3.36317107711924	3.87085786436376	2.39780296186249	1.16349873228288	3.81044310384517	3.31179371775365	3.43429461795993	4.66732447027863	2.91073266190291	3.47767732756531	3.26002565596146	3.94204525991605	2.82984955984469
"CD244"	4.37920505996061	2.78450398292957	3.0496307677246	3.86591881455221	4.97865326490861	0.495695162624069	1.67807190511264	1.08406426478847	1.29865831556452	0.678071905112638	1.06350294230616	0.75702324650746	1.05658352836637	0.333423733725192	1.76553474636298	0.55581615506164	0.650764559116902	0.918386234446348	1.15055967657538	1.56071495447448	1.80322703643493	1.34482849699744	1.95233356636969	0.941106310946431	1.16349873228288	0	0.6959938131099	1.32192809488736	0.613531652917927	1.18903382439002	0.27500704749987	2.05311133645956	0	0	0	0.831877241191673	0.37851162325373	0.432959407276106	0.263034405833794	0.485426827170242	0.432959407276106	0.31034012061215	0.495695162624069	0.895302621333307	0.748461233004036	0.7311832415722	0.863938450423971	0.137503523749935	0.903038270112912	0.565597175854225	0.298658315564515	0.641546029087524	0.713695814843359	0.22650852980868	0.516015147003665	0.739848102699327	0.622930350920177	0.31034012061215	0.75702324650746	0.356143810225275	0.443606651475615	0.37851162325373	0.400537929583729	0.150559676575381	0.411426245726465	0.27500704749987	1.03562390973072	0.16349873228288	3.86789646399265	2.52356195605701	1.59931779369823	0	2.02147972741045	1.61353165291793	0	0	2.48284828306847	3.0071955014042	1.52606881166759	1.32192809488736	3.39917109381982	2.90689059560852	0	1.98550043030488	2.78450398292957	0.807354922057604	1.22032995487956	1.05658352836637	0.422233000683048	0.782408564927373	0.604071323668861	0.516015147003665	0.7311832415722	0.6959938131099	0.918386234446348	0.963474123974886	0.070389327891398	0.748461233004036	1.15704371014558	2.29572302453997	1.83592407425437	0	0.22650852980868	0.389566811762726	0.124328135002202	0.176322772640463	0.464668267003444	0.545968369105292	0.722466024471091	0.53605290024021	0.176322772640463	0.150559676575381	0.464668267003444	0.367371065648529	0.432959407276106	0.22650852980868	0.839959587489532	0.111031312388744	0.356143810225275	0.722466024471091	0.475084882948783
"HLA.DPA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FGD2"	4.70431867776083	3.20006486151431	3.60644222813161	4.94860084749336	3.4905701304462	3.12598165385472	5.19337751056436	3.41142624572647	3.58736499093646	4.44228003525258	3.95326523901484	3.60999129521268	3.13586316536868	3.53356334821451	4.19613488076516	3.39369076418745	3.29278174922785	3.47378691161437	3.47767732756531	4.45220004940622	3.31759350462347	2.68032435684402	4.96716860753263	3.69376571221778	3.75381844317354	1.18269229751619	1.26903314645524	3.30742852519225	1.91838623444635	2.90496571868403	1.43829285157915	3.85996954822103	1.60407132366886	1.23878685958712	2.87184364850932	3.03562390973072	2.4032677223393	2.30451104180995	2.67807190511264	3.22650852980868	3.61706334388818	2.19219416528334	2.60880924267552	2.92029330021101	3.37155886261196	2.76128527336162	2.77399632511117	1.82781902461732	2.88752527074159	2.8499992594661	2.78450398292957	2.97819562968165	2.47248777146274	3.5957423394744	1.89141918684608	2.8094144442359	2.27500704749987	2.67355642399014	2.98913900736823	2.28688114778816	1.91838623444635	2.31903981556254	2.37573453858316	2.52105073690096	2.53605290024021	1.799087306074	3.14893410452634	1.56559717585423	2.10433665981474	2.52356195605701	3.34908214639109	1.03562390973072	2.51349074558812	1.4541758931858	1.87184364850932	3.114367024952	2.4541758931858	2.38404980679516	1.28095631383106	1.07724299893246	2.94110631094643	4.40531168259745	2.22032995487956	1.41142624572647	1.32768736417605	3.64154602908752	4.04351949366274	3.90303827011291	2.06350294230616	3.82476785314329	3.62527048937469	2.65992455840238	2.39506279951758	2.8499992594661	3.60169651648096	2.95046841415012	2.46466826700344	2.47767732756531	1.53605290024021	2.0496307677246	1.57531233068744	3.52481592835751	3.63691458035588	1.6507645591169	2.66902676550963	2.13750352374994	2.75488750216347	3.0686708106651	3.2585189247113	3.81659970653491	2.3533232911629	1.02147972741045	3.69821847822441	1.94485844580754	2.46988597627446	2.02856915219677	2.39231742277876	1.97452931248388	1.64616265715789	2.70929063572336	1.99276843076892
"PIK3CD"	4.02856915219677	3.54966917072649	2.82781902461732	5.20711196120771	3.114367024952	2.65764000520782	4.72955277045397	3.36036427654347	3.17951105027151	3.6564963705535	3.33771109212829	2.76128527336162	2.76765479823735	2.9429835981871	3.99276843076892	3.28688114778816	3.3533232911629	2.92599941855622	2.62993940943954	4.41074812818595	3.20633064787105	2.57531233068744	4.69932952567316	3.32192809488736	3.01613970265525	2.19849415363908	2.21412480535285	2.71808758396052	2.76341157447001	2.73552217729654	1.41142624572647	2.52606881166759	2.85199883711245	3.52230689287139	2.77399632511117	2.77820857639809	2.41953889151378	2.29572302453997	2.18269229751619	2.40053792958373	2.44890095114513	2.06350294230616	2.44095219802964	2.93168305705981	2.44625622988956	2.49569516262407	2.25398926623079	2.02502879449152	2.78450398292957	2.86393845042397	2.29865831556452	2.35049724708413	2.30451104180995	2.68706068833989	1.58496250072116	2.51853513898218	2.81762325751143	2.40599235967584	2.57773093149008	1.76977173924945	2.30451104180995	2.09761079662642	2.18269229751619	2.25398926623079	2.27202318906105	1.92219784839637	2.71149490665009	1.31614574229336	3.69376571221778	2.67129337248158	1.37295209791183	1.77820857639809	3.1243281350022	2.0071955014042	2.22650852980868	2.48542682717024	2.114367024952	4.24488705912353	2.81762325751143	2.611172380044	4.4276061727819	3.85897561429202	3.19849415363908	2.98185265328974	2.60169651648096	2.93168305705981	3.18586654531133	3.1407786557828	2.10768786931437	2.65535182861255	2.94860084749336	2.88166461932035	2.3305584000308	2.29278174922785	3.47508488294878	2.89141918684608	1.58496250072116	2.26603689399532	1.71369581484336	2.66448284036468	2.39506279951758	3.95977015521147	1.98185265328974	1.29278174922785	2.72683121703249	2.93734439215023	2.23572705983806	3.63343121035563	3.91169158187234	2.44095219802964	1.71808758396052	1.4905701304462	3.11935617703968	2.14404636961671	2.39506279951758	1.11769504266975	2.31324585178756	1.43829285157915	0.903038270112912	2.55090066464752	1.51096191927738
"CLEC12A"	2.22032995487956	1.83592407425437	0	0.84799690655495	2.76553474636298	1.63691458035588	2.8499992594661	1.37851162325373	1.7311832415722	1.67355642399014	1.35614381022528	2.28095631383106	2.10097764772482	1.54596836910529	3.56071495447448	1.19534759832222	2.11769504266975	1.64616265715789	2.20789285164133	2.16027483140859	2.47248777146274	2.07724299893246	2.81557542886257	1.78659636189081	2.51601514700366	0	1.58496250072116	1.76553474636298	0	0.748461233004036	0	2.58255600301406	0	0	0	1.13750352374994	0.807354922057604	1.60407132366886	1.25701061820602	0.516015147003665	2.82578562746479	0.687060688339892	0.505890929729957	0.687060688339892	1.55090066464752	0.765534746362977	1.33342373372519	0.356143810225275	0.782408564927373	0.887525270741587	0.641546029087524	1.20163386116965	1.22650852980868	1.28688114778816	1.37851162325373	0.985500430304885	1.0703893278914	1.55090066464752	1.63226821549951	0.516015147003665	0.659924558402378	0.545968369105292	0.765534746362977	1.42223300068305	0.925999418556223	0.7311832415722	0.948600847493356	0.400537929583729	0	0	0.863938450423971	2.57531233068744	0	1.57046293102604	0	0	1.03562390973072	2.0071955014042	1.13750352374994	1.37295209791183	2.46727948045998	0	0	0	1.04264433740849	1.65992455840238	1.38956681176273	1.65535182861255	1	0.887525270741587	1.14404636961671	1.09085343045111	1.13093086982645	0.839959587489532	1.29278174922785	0.687060688339892	0.978195629681652	1.70929063572336	0	1.63226821549951	2.03562390973072	0	0.632268215499513	0.475084882948783	0.344828496997441	0.782408564927373	0.650764559116902	0.545968369105292	0.650764559116902	1.42223300068305	0.16349873228288	0.367371065648529	1.80322703643493	0.575312330687437	0.22650852980868	0.948600847493356	0.748461233004036	0.526068811667588	0.505890929729957	1.09085343045111	0.516015147003665
"ADAMDEC1"	4.88655014732434	3.16027483140859	3.58856473740135	3.71808758396052	3.39094277280254	4.84899843040002	6.15785216914174	4.45680614923047	3.25247621413522	3.70929063572336	3.43829285157915	4.22110372536788	5.03210084316702	4.73443866613717	5.88337643667284	5.46074256378964	3.50080205305716	4.27649666564036	6.11332544304199	4.86294724802092	5.85424505422013	3.54473265593262	5.07081863753328	3.88947354253111	4.48349335128439	2.13093086982645	1.44890095114513	0	1.98185265328974	2.03562390973072	1.05658352836637	3.60644222813161	1.35614381022528	0	1.02856915219677	1.81147103052984	2.23572705983806	1.63226821549951	3.57531233068744	1.44360665147561	3.59454854955035	2.37295209791183	1.71369581484336	3.4276061727819	2.1407786557828	1.58496250072116	1.42223300068305	0.367371065648529	3.31469652565629	3.86888427302877	1.23878685958712	3.78135971352466	1.93734439215023	1.29865831556452	1.50080205305716	1.84799690655495	1.42223300068305	1.86393845042397	2.62760683812965	3.34482849699744	0.464668267003444	2.41413553298445	2.47508488294878	1.21412480535285	2.78450398292957	0.863938450423971	3.70154905694307	1.27500704749987	2.31324585178756	2.16671544496642	0	0.565597175854225	1.70487196445635	0	0	0	1.19534759832222	0.704871964456353	1.66902676550963	0	2.74846123300404	3.02856915219677	0	1.96347412397489	0.713695814843359	1.38956681176273	2.01077983875324	2.92599941855622	0.855989697308481	1.85199883711245	2.36176835941915	4.62877359520165	0.0285691521967709	0.790772037862	2.37016428054021	1.83187724119167	1	1.43829285157915	1.94485844580754	3.56803210477128	2.25701061820602	2.05658352836637	3.33342373372519	3.04788732939655	3.28540221886225	2.97819562968165	3.32337006906127	4.48413813120167	3.08915913191124	4.17552460108987	2.41142624572647	1.6507645591169	4.67807190511264	2.38681094647222	2.37016428054021	4.14241343787374	3.44890095114513	3.66562016406638	3.54101915313356	3.02680005934372	2.54596836910529
"AIF1"	6.43729433149714	5.15583017155653	4.40531168259745	5.29939120612683	5.98071082890019	4.87430516598223	6.12184429787638	5.34269695998193	5.38162946703366	5.83390207666916	5.53138146051631	5.53636379239547	5.50557340028202	5.5505928897043	6.89687728548624	5.87061131304455	5.84849775538515	5.48735771531155	6.33628338786443	6.1168637576909	6.45746296464855	5.85474373899554	5.89481776330794	5.78004757606187	5.94040169796984	5.09676785471469	5.13627342985058	3.39917109381982	4.94345253855882	5.52669484554198	3.50589092972996	6.5552026338783	2.53106949272595	3.81864608282254	4.71039319217052	6.14649230697719	4.9429835981871	5.13051908302734	4.81455042346181	5.41244282477561	5.75194568161502	4.22110372536788	5.46695333712393	5.50589092972996	5.58165253046128	5.06091204958787	4.90303827011291	5.04395687279021	5.29682445864937	6.19574129324645	4.97361127551947	5.78109738148632	5.17432651517391	5.45680614923047	4.74038793246835	5.81378119121704	4.36876834909033	6.25077213159993	5.86071454954969	5.31469652565629	4.41818994794577	5.20828313841252	4.6667565918848	5.4432751117658	4.93828579188405	4.24107745817504	5.22187708107703	4.73172632271578	2.88557436437143	5.14445431392619	5.62087961135541	2.42223300068305	4.28466218548316	3.64500988439109	3.82578562746479	5.96301164759943	4.97361127551947	4.3110671022556	3.4032677223393	3.26753579806873	4.81864608282254	0	3.5981269599196	4.50271248596606	4.03562390973072	5.00495075995105	5.43962313755712	6.02014657311178	3.98550043030489	4.72410451986685	5.31034012061215	5.17552460108987	4.94157586181824	5.18863829456139	6.08767498668722	6.4110872267986	4.93545974780529	5.17032569441556	3.77505054148317	5.45975946661982	4.34624777408278	5.00495075995105	4.5552026338783	3.90785207184596	4.72846476509253	4.83086375675176	4.96439863220318	4.60288440871842	5.09718938723511	6.08214904135387	4.38404980679516	3.71259578044703	5.4867143730307	4.01077983875324	4.97911075501579	4.52356195605701	5.07895134139482	4.06177619758669	3.88752527074159	4.8801957289431	4.90255600534463
"CSF2RB"	5.18070484019556	3.87676249078156	2.91838623444635	8.29236765104867	4.26228280642066	3.19377174339668	5.5552026338783	3.611172380044	3.41142624572647	4.07724299893246	3.78135971352466	3.49825086752783	3.47508488294878	2.95046841415012	4.76181714250714	3.4541758931858	4.15299460549244	3.86987140617771	4.80580834870147	4.51916444980607	5.20711196120771	3.19534759832222	4.49313492230551	3.63343121035563	3.08406426478847	1.8073549220576	0.622930350920177	1.97452931248388	0.545968369105292	3.02856915219677	1.4594316186373	4.31903981556254	2.03210084316702	1.20163386116965	0.75702324650746	2.82578562746479	2.30742852519225	2.20163386116965	2.08746284125034	3.22032995487956	3.01256867350306	1.77399632511117	2.02147972741045	2.64616265715789	2.34198574722862	2.64154602908752	2.07724299893246	2.08746284125034	2.74416109557041	2.90496571868403	2.55090066464752	2.38956681176273	2.31324585178756	2.22650852980868	1.83995958748953	2.23878685958712	2.37016428054021	2.6959938131099	3.1586601753465	1.77399632511117	1.61823865559545	1.91838623444635	1.72246602447109	2.10768786931437	2.23266075679027	1.76128527336162	2.8094144442359	1.40599235967584	2.83592407425437	4.17152710603881	3.25701061820602	0.298658315564515	3.1554254317472	1.16349873228288	2.39780296186249	3.26002565596146	2.39780296186249	1.55581615506164	0.400537929583729	1.56071495447448	3.16510798514454	4.5765221379205	2.56071495447448	2.10768786931437	1.57046293102604	2.90881290773955	3.25247621413522	4.15137177625395	1.9560566524124	3.52230689287139	3.4154882710497	3.02147972741045	2.6915341649192	3.799087306074	4.30597052098439	2.85798099512757	2.48800077083407	3.0232553523003	0.613531652917927	2.95233356636969	1.56071495447448	2.85399564717639	2.9429835981871	2.12763327972587	2.87970576628229	2.20476675065461	2.80529245560071	3.02147972741045	2.95419631038688	3.3743439890385	2.02502879449152	1.53605290024021	3.53231695933277	2.58736499093646	2.51096191927738	1.87578006306849	2.53106949272595	1.14404636961671	1.72683121703249	2.94860084749336	2.32768736417605
