"BC_HKB2119_1690_T"	"HKB0036_3006_T"	"HKB0092_3000_T"	"HKB0143_3006_T"	"HKB0211_3002_T"	"HKB0233_3006_T"	"BC_HKB0662_1294_T"	"BC_HKB0913_1654_T"	"HKB0004_3006_T"	"HKB0125_3006_T"	"HKB0160_3000_T"	"BC_HKB0075_849_T"	"BC_HKB0187_1214_T"	"BC_HKB0199_1263_T"	"BC_HKB0561_1308_T"	"BC_HKB0588_M1349_T"	"BC_HKB0668_1298_T"	"BC_HKB0689_M1326_T"	"BC_HKB0754_1481_T"	"BC_HKB0759_1488_T"	"BC_HKB0761_1499_T"	"BC_HKB0772_1460_T"	"BC_HKB0833_1552_T"	"BC_HKB0876_1543_T"	"BC_HKB0895_1582_T"	"BC_HKB0921_1575_T"	"BC_HKB0922_1579_T"	"BC_HKB0923_1584_T"	"BC_HKB1384_1734_T"	"BC_HKB2109_1628_T"	"BC_HKB2123_1695_T"	"HKB0044_3006_T"	"HKB0089_3001_T"	"HKB0106_3006_T"	"HKB0162_3006_T"	"HKB0668_3000_T"	"HKB0692_3000_T"	"BC_HKB0056_809_T"	"BC_HKB0555_1321_T"	"BC_HKB0728_1447_T"	"BC_HKB0733_1459_T"	"BC_HKB0775_1470_T"	"BC_HKB0838_1563_T"	"BC_HKB1372_1697_T"	"BC_HKB2113_1657_T"	"HKB0065_3006_T"	"HKB0086_3006_T"	"HKB0157_3006_T"	"HKB0208_3006_T"	"HKB0210_3006_T"	"HKB0677_3000_T"
"CDY2B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB128"	0	0	0	0	0.55581615506164	0	0	0	0	0.432959407276106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2T27"	0	0	0	0	0	0	0	0	0.0565835283663675	0.0840642647884745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR8H3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP10.9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB136"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR52A5"	0	0.0565835283663675	0	0	0	0.0976107966264223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEACAM18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FLJ40434"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR2T11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070389327891398	0	0	0
