"BC_HKB0056_809_T"	"BC_HKB0543_1306_T"	"BC_HKB0561_1308_T"	"BC_HKB0662_1294_T"	"BC_HKB0689_M1326_T"	"BC_HKB0728_1447_T"	"BC_HKB0779_1486_T"	"BC_HKB0876_1543_T"	"BC_HKB0882_1555_T"	"BC_HKB0895_1582_T"	"BC_HKB0923_1584_T"	"BC_HKB2107_1620_T"	"HKB0004_3006_T"	"HKB0005_3001_T"	"HKB0007_3005_T"	"HKB0019_3006_T"	"HKB0036_3006_T"	"HKB0040_3002_T"	"HKB0044_3006_T"	"HKB0056_3002_T"	"HKB0065_3006_T"	"HKB0069_3000_T"	"HKB0079_3006_T"	"HKB0082_3006_T"	"HKB0092_3000_T"	"HKB0125_3006_T"	"HKB0132_3006_T"	"HKB0134_3006_T"	"HKB0157_3006_T"	"HKB0161_3001_T"	"HKB0162_3006_T"	"HKB0182_3006_T"	"HKB0210_3006_T"	"HKB0217_3005_T"	"HKB0228_3002_T"	"HKB0232_3000_T"	"HKB0620_3000_T"	"HKB0626_3000_T"	"HKB0650_3000_T"	"HKB0659_3000_T"	"HKB0668_3000_T"	"HKB0677_3000_T"	"HKB0692_3000_T"	"HKB0704_3000_T"	"HKB0710_3000_T"	"HKB0721_3000_T"	"HKB0748_3000_T"	"BC_HKB0199_1263_T"	"BC_HKB0567_M1337_T"	"BC_HKB0738_1475_T"	"BC_HKB0761_1499_T"	"BC_HKB0772_1460_T"	"BC_HKB0890_1550_T"	"BC_HKB0892_1559_T"	"BC_HKB0899_M1605_T"	"HKB0008_3006_T"	"HKB0049_3006_T"	"HKB0052_3000_T"	"HKB0054_3000_T"	"HKB0070_3002_T"	"HKB0074_3000_T"	"HKB0086_3006_T"	"HKB0089_3001_T"	"HKB0115_3006_T"	"HKB0120_3000_T"	"HKB0124_3003_T"	"HKB0127_3006_T"	"HKB0129_3000_T"	"HKB0141_3006_T"	"HKB0155_3000_T"	"HKB0158_3006_T"	"HKB0160_3000_T"	"HKB0168_3006_T"	"HKB0186_3000_T"	"HKB0211_3002_T"	"HKB0214_3006_T"	"HKB0220_3000_T"	"HKB0230_3006_T"	"HKB0552_3000_T"	"HKB0564_3000_T"	"HKB0573_3000_T"	"HKB0579_3000_T"	"HKB0644_3000_T"	"HKB0656_3000_T"	"HKB0674_3000_T"	"HKB0719_3002_T"	"BC_HKB0022_649_T"	"BC_HKB0187_1214_T"	"BC_HKB0729_1445_T"	"HKB0016_3006_T"	"HKB0023_3006_T"	"HKB0031_3001_T"	"HKB0033_3006_T"	"HKB0038_3006_T"	"HKB0064_3004_T"	"HKB0067_3006_T"	"HKB0078_3000_T"	"HKB0084_3000_T"	"HKB0088_3000_T"	"HKB0091_3001_T"	"HKB0098_3005_T"	"HKB0101_3000_T"	"HKB0102_3006_T"	"HKB0123_3006_T"	"HKB0137_3002_T"	"HKB0143_3006_T"	"HKB0159_3006_T"	"HKB0164_3006_T"	"HKB0167_3006_T"	"HKB0179_3006_T"	"HKB0191_3001_T"	"HKB0194_3006_T"	"HKB0196_3006_T"	"HKB0207_3001_T"	"HKB0208_3006_T"	"HKB0209_3004_T"	"HKB0219_3001_T"	"HKB0221_3001_T"	"HKB0226_3001_T"	"HKB0558_3000_T"	"HKB0576_3000_T"	"HKB0599_3000_T"	"HKB0605_3000_T"	"HKB0638_3000_T"	"HKB0653_3000_T"	"HKB0665_3000_T"	"HKB0698_3000_T"	"HKB0701_3000_T"	"HKB0718_3000_T"	"HKB0722_3002_T"	"HKB0726_3000_T"	"HKB0734_3000_T"	"HKB0736_3000_T"	"HKB0737_3000_T"	"HKB0744_3000_T"	"HKB0751_3000_T"	"HKB0752_3000_T"
"ARNTL2"	1.99638874644762	2.74846123300404	0	2.90881290773955	2.62058641045188	2.26603689399532	0.739848102699327	2.24488705912353	1.37851162325373	1.58014548442338	0.807354922057604	0	4.12267271882414	5.77294133783134	2.02147972741045	2.13422093976063	3.10265813136374	3.53480866123175	2.43295940727611	3.34056226902641	4.18428029441938	2.83187724119167	3.17951105027151	2.69376571221778	3.01435529297707	5.24069594421251	1.58976348698498	3.67807190511264	3.43295940727611	3.03913839390696	2.78450398292957	2.96901230751632	3.02680005934372	2.35049724708413	2.37573453858316	1.52105073690096	1.18903382439002	2.20163386116965	4.68706068833989	5.58225490835766	2.30742852519225	5.99684064779537	1.4276061727819	1.84398384404833	4.34553831007001	3.87578006306849	2.55336050333533	2.23266075679027	0.704871964456353	0	1.50589092972996	1.40053792958373	2.3305584000308	0.84799690655495	1.52606881166759	1.97452931248388	2.72465027173297	1.94485844580754	2.0071955014042	1.85996954822103	1.72246602447109	2.02502879449152	1.41683974191283	3.0232553523003	2.89141918684608	1.31034012061215	1.38956681176273	2.60169651648096	3.23878685958712	2.65306001710456	2.03210084316702	2.30158764660319	2.22650852980868	2.77188557851537	2.10097764772482	2.71808758396052	2.1407786557828	2.96347412397489	1.50589092972996	1.81966818349646	2.9429835981871	2.35614381022528	2.85996954822103	1.39506279951758	2.87970576628229	1.68257329734758	2.86591881455221	2.58014548442338	0.7311832415722	1.78240856492737	3.05311133645956	1.70929063572336	1.80322703643493	3.11769504266975	2.32481060342048	1.67355642399014	1.4905701304462	4.1407786557828	2.16992500144231	3.48155728070859	2.43295940727611	1.97085365434048	1.13093086982645	0.978195629681652	1.94485844580754	2.39506279951758	1.41142624572647	2.4032677223393	3.96532254836725	1.18269229751619	2.57531233068744	1.94110631094643	3.44493204894218	1.89917563048051	2.05658352836637	2.87578006306849	1.58496250072116	1.62760683812965	1.40599235967584	1.63226821549951	3.71699089440494	2.21723071622067	2.10433665981474	1.58496250072116	2.95046841415012	1.6915341649192	2.88752527074159	2.70043971814109	3.02856915219677	1.58014548442338	1.85996954822103	3.07724299893246	3.10433665981474	2.53605290024021	1.76553474636298	2.55581615506164	2.75702324650746
"IL8"	2.65764000520782	2.20163386116965	0	2.18586654531133	0	0	0	4.97819562968165	0.910732661902913	4.78816365703777	4.75274859140713	3.73226919950145	5.7062542535732	6.79168385815205	2.17312743348066	3.7158933705476	4.37642931106992	3.14404636961671	3.56071495447448	3.37016428054021	4.58315800387441	3.90303827011291	5.91719303692495	3.70597790168252	6.161686174584	6.86282329982368	4.01970191444255	4.57106999816771	3.50462039240355	2.78450398292957	3.28243980500639	6.89178370321831	0.454175893185802	2.63691458035588	2.38681094647222	2.27202318906105	3.65878273401283	4.10517519226548	4.06091204958787	2.66220549965362	3.4369613378336	3.70154905694307	4.0241423458978	1.51096191927738	1.64616265715789	2.74200621086674	2.19534759832222	1.38404980679516	2.37573453858316	0	1.58496250072116	4.18030701996943	0	0	0.748461233004036	2.46205231879643	2.4032677223393	0.622930350920177	1.81147103052984	1.49569516262407	2.28392177230762	1.83187724119167	3.02680005934372	0.53605290024021	1.66902676550963	1.15055967657538	1.92599941855622	2.06695024392463	1.06350294230616	1.47508488294878	1.4905701304462	3.1586601753465	4.35402893805439	3.59931779369823	2.89917563048051	1.15055967657538	1.26303440583379	2.55336050333533	0.956056652412403	2.4032677223393	2.29865831556452	2.114367024952	3.65992455840238	3.86096279785812	2.04264433740849	1.44890095114513	5.58616424593091	1.06350294230616	3.26753579806873	2.36176835941915	3.65306001710456	2.31903981556254	2.52356195605701	2.81762325751143	2.27500704749987	1.59931779369823	1.44360665147561	2.96347412397489	3.25398926623079	3.73226919950145	0.356143810225275	1.06350294230616	1.17632277264046	0.903038270112912	1.86393845042397	1.89141918684608	1.11103131238874	3.53231695933277	3.48026512205446	2.20163386116965	0.903038270112912	0.475084882948783	1.88752527074159	0.613531652917927	0.641546029087524	1.89141918684608	3.78555055173926	1.89530262133331	0.475084882948783	1.11769504266975	6.13832300405648	1.83995958748953	1.36737106564853	1.28688114778816	0.516015147003665	2.98913900736823	3.28835856219366	5.42492208821069	4.03650333373899	2.57773093149008	2.08406426478847	3.72683121703249	0.650764559116902	1.49569516262407	3.31324585178756	1.18269229751619	1.65992455840238
"GSDMC"	2.67129337248158	0	1.44890095114513	1.35049724708413	0.495695162624069	0	0	2.66902676550963	2.60880924267552	1.97819562968165	0.565597175854225	0.604071323668861	1.96716860753263	1.9297909977186	2.63226821549951	4.68313498512609	2.88557436437143	2.87970576628229	3.25096157353322	4.36597242759338	1.48542682717024	2.37573453858316	3.66789212523023	2.67807190511264	4.268284666521	2.62293035092018	0.659924558402378	3.17791779219584	1.44890095114513	3.05658352836637	2.35895882583233	3.49185309632967	0.214124805352847	1.75274859140713	2.01435529297707	0.575312330687437	1.07724299893246	2.71149490665009	3.4931349223055	3.39917109381982	1.43295940727611	1.51601514700366	0.526068811667588	0.0976107966264223	2.67581593117227	0.22650852980868	0.475084882948783	0	0.855989697308481	0	0	0	0	1.34482849699744	1.58976348698498	0.214124805352847	0.150559676575381	0.464668267003444	0.516015147003665	0.669026765509631	0.298658315564515	0.432959407276106	1.52606881166759	0.7311832415722	0.27500704749987	0.27500704749987	0.286881147788162	0.286881147788162	0.367371065648529	0.150559676575381	0.641546029087524	0.0285691521967709	0.782408564927373	0.298658315564515	4.35049724708413	0.263034405833794	0.443606651475615	0.495695162624069	0.356143810225275	0.782408564927373	0.863938450423971	0.27500704749987	0.622930350920177	0.464668267003444	1.31034012061215	1.4594316186373	0	1.53605290024021	0	1.09761079662642	0.321928094887362	0.400537929583729	0.189033824390017	1.33913738491959	0.238786859587116	0.20163386116965	0.31034012061215	0.765534746362977	0.286881147788162	2.70043971814109	0.678071905112638	0.27500704749987	0.214124805352847	0.214124805352847	0.505890929729957	0.748461233004036	0.137503523749935	0.53605290024021	1.93734439215023	0.22650852980868	0.432959407276106	0.31034012061215	0.0143552929770701	0.137503523749935	0.584962500721156	1.35049724708413	1.11103131238874	0.189033824390017	0.443606651475615	1.10433665981474	0.454175893185802	0.367371065648529	1.44360665147561	0.298658315564515	0.176322772640463	1.23266075679027	2.44360665147561	1.05658352836637	1.58496250072116	2.82374936030827	0.333423733725192	0.925999418556223	0.443606651475615	0.37851162325373	1.9297909977186	0.687060688339892	3.44360665147561
"ERO1L"	2.52356195605701	3.3533232911629	3.30305008468167	2.77820857639809	3.16832111573972	1.40053792958373	1.65992455840238	3.90881290773955	3.50080205305716	3.30158764660319	4.04351949366274	3.41142624572647	4.4262647547021	6.55750199425594	4.69488019279919	5.28392177230762	5.19337751056436	5.48220292629596	4.82068956055921	5.56468301696364	5.98891186495402	4.58856473740135	6.3684191550814	5.73876783680019	5.95303237725324	6.16087986183931	4.96901230751632	4.93545974780529	4.86344293434804	4.77768271707355	6.42794133250948	5.54966917072649	4.7235585614721	5.80219321694183	3.84899843040002	5.2253520607761	3.18903382439002	6.456149034648	6.13586316536868	4.80064109732908	4.96947286459633	4.15218341905505	5.56163163037584	4.40599235967584	5.72574115650395	5.41278152533848	4.68594014844598	2.15380533607904	2.14404636961671	0	2.26002565596146	1.21412480535285	2.92599941855622	3.52356195605701	2.76765479823735	4.80529245560071	4.5765221379205	4.28021399581062	3.82171021503467	4.6876206320849	4.41413553298445	5.07852444538908	4.90689059560852	4.00090140274153	4.78972925137577	4.56010351346474	4.48413813120167	4.28466218548316	4.50716034911752	3.4262647547021	4.89287670006069	3.96901230751632	5.28540221886225	4.27575204882853	4.44824022521607	4.3037807481771	4.71094415457587	5.1168637576909	4.22496636500027	4.90207357931074	5.41650199286742	4.77610398807316	3.0071955014042	4.56620629346551	4.67185946824748	4.38887833881199	2.68481873755322	2.83794324189103	3.15055967657538	4.45088131527337	5.59514556799086	4.4757334309664	3.95326523901484	4.9387562614923	4.77820857639809	4.61294219630467	3.44360665147561	5.06047978140759	4.76447355099267	3.25550073314839	4.23802251782572	4.40599235967584	3.31759350462347	4.37016428054021	4.61882595258744	5.44194819050336	4.22496636500027	4.7771566660045	4.98002530023873	4.03474394932473	4.29057185085208	4.92409988564074	4.27276973243651	4.74469931420784	4.5981269599196	4.6564963705535	4.61058195849253	4.39094277280254	4.38128337250378	4.24412594328373	5.18586654531133	4.06263982828646	4.28021399581062	4.45680614923047	4.76712507726907	5.10433665981474	4.89433274227769	4.81864608282254	5.66789212523023	3.90977310414164	5.37225564844579	4.76765479823735	4.92837032301897	4.51349074558812	5.13709360897494	4.65363331138625	4.24412594328373
"CASP14"	4.88068552526112	0	11.0745696574699	1.33342373372519	4.81249822533356	3.48413813120167	3.07210580048042	7.97050858077913	6.94602898951548	5.43396093112118	2.7311832415722	6.87835751033694	0	2.48800077083407	0.176322772640463	5.68088692071969	5.86690797814317	1.88752527074159	5.601993581249	4.50080205305716	0.432959407276106	3.08236196955747	4.27351588970212	7.35120427725799	1	3.22342254993494	0.37851162325373	0.505890929729957	0	6.19100984858729	0.37851162325373	3.93828579188405	0	4.93781516880342	2.81147103052984	4.71204544855369	0.176322772640463	11.0929949281974	2.45680614923047	0.389566811762726	0	0.356143810225275	4.14159627838382	1.60880924267552	0.176322772640463	0.214124805352847	0	0	0	0	0	1.67355642399014	0	0	0	0.111031312388744	0	0	0	0.0840642647884745	0	0.111031312388744	0.0840642647884745	0	0.286881147788162	0.6959938131099	0	0	0	0	0	0	0.485426827170242	0	0	0.584962500721156	0	0	0	4.05398016818765	0.411426245726465	0.124328135002202	0	0	0.356143810225275	0	0	0	0	2.90689059560852	1.02856915219677	0	0	4.88557436437143	0	0	0.367371065648529	0	0.0840642647884745	0.263034405833794	2.877744249949	0	0	0	0.27500704749987	1.22650852980868	0	0	0.7311832415722	0.31034012061215	0	1.39506279951758	0	0	0	0.903038270112912	0.839959587489532	0	0	0.678071905112638	0.0976107966264223	0	2.09761079662642	0.27500704749987	0	2.9429835981871	2.52857131887076	5.16188768237689	4.22032995487956	1.83592407425437	0	0.0976107966264223	0	0	0.669026765509631	0.070389327891398	0.584962500721156
"FAM83A"	1.70043971814109	0.918386234446348	1.04264433740849	0.6959938131099	1.98185265328974	0	0.978195629681652	2.18269229751619	0	2.8011586560937	4.92076967302065	2.59931779369823	0.903038270112912	1.13750352374994	1.46988597627446	0.0840642647884745	0.238786859587116	4.84498815668261	5.53200519379057	2.03562390973072	0.298658315564515	1.99638874644762	2.40871186102943	4.32048467801769	3.15055967657538	1.55090066464752	0.992768430768924	0.263034405833794	0.124328135002202	3.56803210477128	1.10433665981474	1.38404980679516	0.0285691521967709	1.48026512205446	0.0426443374084937	0.0285691521967709	0.124328135002202	2.22342254993494	2.88947354253111	1.33342373372519	2.17951105027151	0.831877241191673	2.19219416528334	2.80529245560071	0.704871964456353	3.4154882710497	2.05658352836637	1.4541758931858	0	1.94485844580754	0.622930350920177	1.28688114778816	0	1.94485844580754	3.42492208821069	0.298658315564515	0.411426245726465	2.03210084316702	1.98913900736823	0.238786859587116	0.344828496997441	0.27500704749987	0.238786859587116	0.333423733725192	0.344828496997441	0.565597175854225	2.49825086752783	0.150559676575381	0.070389327891398	0.16349873228288	0.070389327891398	0.0426443374084937	1.78240856492737	0.475084882948783	0.31034012061215	1.29278174922785	0.790772037862	1.66902676550963	0.22650852980868	2.12101540096137	1.1243281350022	0.895302621333307	0	0.356143810225275	0.925999418556223	0.298658315564515	0.650764559116902	2.34482849699744	0	1.60407132366886	0.748461233004036	0	0.0426443374084937	3.50207595604579	0.0285691521967709	0.176322772640463	0	0.918386234446348	1.09761079662642	0.298658315564515	1.13093086982645	0.0565835283663675	0	0.485426827170242	1.58976348698498	0.978195629681652	0.27500704749987	1.21412480535285	0.137503523749935	0.250961573533219	3.05137210172103	4.88215391728701	0.250961573533219	0.0285691521967709	0	0.286881147788162	1.40599235967584	0.526068811667588	0.575312330687437	2.114367024952	0.871843648509318	0.464668267003444	1.43295940727611	0.400537929583729	2.68929916053589	0.604071323668861	0.250961573533219	0	0.505890929729957	0.613531652917927	0.400537929583729	0.27500704749987	0.137503523749935	1.0703893278914	2.6915341649192	0.516015147003665	1.11769504266975
"CCL7"	2.29572302453997	0	0	3.22187708107703	0	0	0	0	0	0	0	0	1.91456452349394	2.68481873755322	0.16349873228288	1.1243281350022	3.77505054148317	0.137503523749935	0.604071323668861	4.87921563716567	2.26603689399532	2.1243281350022	1.01435529297707	1.63226821549951	0.344828496997441	2.24792751344359	0.189033824390017	2.06695024392463	0	0	0.214124805352847	0.411426245726465	0	1.6959938131099	3.02147972741045	0.111031312388744	0.0840642647884745	0.545968369105292	0	4.07980475463526	0.669026765509631	0.575312330687437	0	3.94392132655349	3.33913738491959	0.748461233004036	0	1.51096191927738	0	0	0	0	0	0	1.50589092972996	0.389566811762726	0.238786859587116	0	0.75702324650746	0	0	0	0	0	0.238786859587116	0	0	0	0.0976107966264223	0	0	0	0	0.124328135002202	0.641546029087524	0	0.189033824390017	0	0	0.137503523749935	0.765534746362977	0.321928094887362	2.48800077083407	0.659924558402378	0	0.176322772640463	0	0	0	0.137503523749935	0.0976107966264223	0	0.37851162325373	0.765534746362977	0.389566811762726	0	0	1.23266075679027	0	0.565597175854225	0.189033824390017	0	0.111031312388744	0	0.485426827170242	1.32192809488736	0.263034405833794	0.0976107966264223	1.09761079662642	0.37851162325373	0.22650852980868	0.31034012061215	0	0	0	0.111031312388744	0.0976107966264223	0	0	0	3.31759350462347	0.748461233004036	0.298658315564515	0.613531652917927	0.0840642647884745	0	0.31034012061215	0	1.86393845042397	0.214124805352847	0.0840642647884745	0	0	0.432959407276106	0	0.475084882948783	0.070389327891398
"CDK12"	5.20750245925879	5.23802251782572	7.46605606259469	5.32984117653063	7.50064273606281	5.56498780095989	8.06231602735572	4.28762004411207	4.54225804976692	4.55581615506164	6.64875303298957	7.16852169899217	4.56437816856506	4.91981677005279	6.8095430668046	4.49313492230551	4.7839804136838	6.49185309632967	8.38581927010017	5.73849764388979	4.65592421308382	6.92231679921813	4.32984117653063	8.03044643943744	5.19021976366016	5.53791724903408	3.98550043030489	4.66845955691538	4.70873904135958	5.15055967657538	4.57288966842058	7.72519581722666	4.31469652565629	5.16148463864166	8.11077038474323	5.58285703484424	4.94532677726463	3.33913738491959	4.65535182861255	4.02147972741045	7.19751159210762	4.25927248703759	4.43962313755712	3.98093926608551	4.33342373372519	4.99095486039699	6.00697118436404	5.18824265626441	5.32264926213102	3.82374936030827	4.69320814891002	4.49121175600309	6.8891084419241	7.59215800212536	6.32282949762889	4.67072705449947	5.11270013274936	4.9217219470096	4.98093926608551	4.77925972037238	5.02103547951136	5.43195718768673	4.97085365434048	4.18030701996943	4.79337571126475	5.16751850373522	4.24260250592898	5.06953032516231	4.70210340662939	5.04308198189566	5.08533966935737	4.32624970083746	4.79025073883523	4.74362267606765	5.10977842907866	5.39369076418745	4.73822740036724	4.90448409790142	4.93357263826102	5.46172499150271	4.39780296186249	4.87578006306849	4.59753117422421	4.06004738366994	4.85399564717639	4.16671544496642	4.79805051476751	5.22804904788446	5.02945288578697	6.11811050560737	4.8011586560937	4.51664555778096	5.54194842533373	4.86245139132558	4.72191944555154	4.93451650158608	4.5077946401987	4.70873904135958	4.97315203787724	4.9676297534662	4.75915583380027	4.88215391728701	4.78555055173926	4.57167680997093	5.11353381959191	4.34482849699744	5.45022149589718	4.95046841415012	4.95837871156634	4.35120427725799	5.39746072605472	5.80838505065609	5.31723170022261	4.53729606709084	5.16952419715	5.25927248703759	4.74899785009815	4.80992886572143	4.75702324650746	4.52105073690096	4.97819562968165	5.09381367340273	4.18903382439002	5.15299460549244	5.04483123344781	4.268284666521	7.53403046657407	5.18942924580976	7.43929068104202	4.51412226017071	4.96439863220318	4.74792441623844	5.08746284125034	4.80683958179819	4.51916444980607	5.21101219348551	4.63865311646611
"RARRES1"	4.44028782084042	3.99638874644762	7.77794567069515	6.79129314859221	4.34198574722862	5.54442356218942	4.63517394667492	5.36176835941915	3.4032677223393	5.85723458049979	3.96993327469786	6.45038647903429	7.96618818273044	8.22173210845561	4.33413917883824	3.99819550315325	7.09476389154737	5.51475349843975	5.74011804283313	4.99050111136325	5.48284828306847	4.99276843076892	5.81172789780389	8.57444215467101	5.06047978140759	10.7021034066294	3.71808758396052	5.3327079336406	4.57167680997093	3.71479501111816	3.81864608282254	6.28484722941863	3.01256867350306	5.88288755322496	5.64673869830785	3.18745105402733	2.45680614923047	7.37182019673837	8.86659893736892	6.57924050057297	6.11727946005392	6.10915157917052	2.17951105027151	2.22958792274065	6.69027740102343	3.81044310384517	3.95791459863299	4.33628338786443	4.77346892790519	3.66334461936608	3.82273014794452	5.86591881455221	5.86937792403133	3.09592441999854	3.42088657497553	2.53605290024021	3.611172380044	4.20006486151431	4	5.54225804976692	4.97773784924282	4.00090140274153	3.87381319835909	3.37295209791183	4.34766565630097	3.50207595604579	3.71918344048179	2.68257329734758	2.84197311892718	2.68929916053589	5.44691786486603	2.70929063572336	3.22342254993494	3.47248777146274	5.08618931310448	4.13668357769724	4.00270252037982	2.39506279951758	1.54101915313356	4.31759350462347	4.67638025546692	4.99593670350459	8.55435861601352	4.38404980679516	4.9481335778404	5.13422093976063	3.82984955984469	4.84498815668261	3.16992500144231	3.62175885670973	3.65764000520782	2.11769504266975	2.10433665981474	3.39780296186249	4.52042224852645	2.10768786931437	2.08065766334523	2.4541758931858	4.63981097771678	5.34731131636529	3.1554254317472	2.66220549965362	1.4276061727819	1.22650852980868	3.66220549965362	4.8972404255748	1.6507645591169	4.44228003525258	5.79623433517576	2.86195536414487	4.4154882710497	4.07724299893246	2.54349588342577	3.23878685958712	2.75915583380027	4.50525580093216	2.93922657772821	2.56559717585422	1.85996954822103	3.98550043030489	3.91552090075196	2.67581593117227	4.75328361646088	3.13586316536868	3.6959938131099	2.03562390973072	3.10936055940423	2.76553474636298	4.65306001710456	3.79597469420667	2.48284828306847	3.37573453858316	4.54411440220947	3.85399564717639	1.17632277264046	3.98093926608551	4.79856900355688
"BNIP3"	4.26453643099903	6.33574763429973	5.30852106219326	4.67863534782274	5.76633013095037	6.5882648943075	5.5512083739461	6.23285259178037	5.03342300153745	4.87332106291482	5.77741971551583	5.48607074373567	4.29351763041742	5.58646452588639	4.6724253419715	5.70182625841205	6.27407525450688	4.78868571061353	4.87233628810464	5.34447345945636	4.78659636189081	4.65878273401283	6.51743318407169	5.66533591718518	5.86814347966673	7.21596974625896	5.37016428054021	5.50620838930675	5.14812063112396	5.20750245925879	5.5579614268932	5.05528243550119	4.86344293434804	6.87725345387661	3.51222688651396	5.64241277290506	4.4541758931858	5.56651075585788	4.89627184880738	4.43028527297778	4.28466218548316	5.29498826769145	5.65535182861255	5.51727569320958	4.5453506448223	5.70071713282148	5.19770815795585	5.76048710181103	5.67214243285383	5.02989454966334	5.44658708530688	5.96023367169445	7.3730391304604	5.07937811111865	4.60762622084549	5.17472598770613	4.96578428466209	5.34056226902641	3.37851162325373	4.93310047493137	4.93026424523502	4.9560566524124	6.29001884693262	4.99909803370561	5.64529816394863	4.56254772419912	4.18745105402733	5.33521168170579	5.13668357769724	3.87085786436376	5.2098432305255	6.5298209465287	5.55366768848306	4.90592847817314	5.43662826729284	5.18428029441938	5.23802251782572	5.29130885982897	5.65191274464578	5.1554254317472	5.18903382439002	5.32264926213102	5.35755200461808	5.77030048949942	4.93545974780529	5.19258872156664	5.87921563716567	5.31070365722511	5.43229133824778	5.80915716469159	6.20437551131909	5.65706830120158	5.19021976366016	5.17432651517391	5.3547342399706	5.08746284125034	4.77557736093065	6.02989454966334	4.60940039000643	5.42425028608405	4.44559429134118	5.54720302475693	3.90207357931074	4.46988597627446	4.98868468677217	4.45154083301783	5.07124781946144	5.04351949366274	6.62950233949197	5.25927248703759	3.60880924267552	6.42088657497553	5.0241423458978	4.45022149589718	5.74308405554959	4.799087306074	5.42794133250948	4.68369645430652	4.6450098843911	5.83010317592004	5.69988472869748	5.43329332581501	5.37086174008529	4.38750040648098	5.83970769835037	4.82374936030827	5.88630626345243	5.96555343498708	6.54411440220947	5.28318097894557	4.90785207184596	4.14893410452634	5.27612440527424	4.00450139223494	5.762880292917	5.43895814789755	4.75435307169213
