RunFolder,SampleID,Description,SampleType
210520_N06_0319_AH53CWDSX2,I3-97832,I3-97832-P01-A09-SC689824,
210517_N03_0311_AH3NWKDSX2,I3-97875,I3-97875-P02-D02-SC695917,
210517_N03_0311_AH3NWKDSX2,I3-97876,I3-97876-P02-E02-SC695921,
210517_N03_0311_AH3NWKDSX2,I3-97877,I3-97877-P02-F02-SC695924,
210520_N05_0312_BH53N3DSX2,I3-97878,I3-97878-P02-G02-SC695925,
210517_N03_0311_AH3NWKDSX2,I3-97889,I3-97889-P02-B04-SC695941,
210517_N03_0310_BH3NWNDSX2,I3-97918,I3-97918-P02-G07-SC740131,
210517_N03_0310_BH3NWNDSX2,I3-97919,I3-97919-P02-H07-SC740133,
210517_N04_0319_AH3NT3DSX2,I3-97950,I3-97950-P02-G11-SC740170,
210517_N04_0318_BH3TKCDSX2,I3-97955,I3-97955-P02-D12-SC740175,
210517_N04_0318_BH3TKCDSX2,I3-97958,I3-97958-P02-G12-SC740178,
210517_N04_0318_BH3TKCDSX2,I3-97959,I3-97959-P02-H12-SC740179,
210517_N06_0317_AH3TKFDSX2,I3-98038,I3-98038-P03-G10-SC740317,
210517_N06_0317_AH3TKFDSX2,I3-98046,I3-98046-P03-G11-SC740327,
210517_N06_0317_AH3TKFDSX2,I3-98054,I3-98054-P03-G12-SC740337,
210517_N06_0316_BH3NNTDSX2,I3-98076,I3-98076-P04-E03-SC740364,
210517_N06_0316_BH3NNTDSX2,I3-98077,I3-98077-P04-F03-SC740366,
210517_N07_0068_BH3NTVDSX2,I3-98125,I3-98125-P04-F09-SC740436,
210623_N01_0393_BHGYL3DRXY,I3-00798,I3-00798-P02-D02-SC695917,topoff
210623_N01_0393_BHGYL3DRXY,I3-00800,I3-00800-P02-E02-SC695921,topoff
210623_N01_0393_BHGYL3DRXY,I3-00801,I3-00801-P02-F02-SC695924,topoff
210623_N01_0393_BHGYL3DRXY,I3-00802,I3-00802-P02-G02-SC695925,topoff
210623_N01_0393_BHGYL3DRXY,I3-00797,I3-00797-P02-B04-SC695941,topoff
210623_N01_0393_BHGYL3DRXY,I3-00803,I3-00803-P02-G07-SC740131,topoff
210623_N01_0393_BHGYL3DRXY,I3-00806,I3-00806-P02-H07-SC740133,topoff
210623_N01_0393_BHGYL3DRXY,I3-00804,I3-00804-P02-G11-SC740170,topoff
210623_N01_0393_BHGYL3DRXY,I3-00799,I3-00799-P02-D12-SC740175,topoff
210623_N01_0393_BHGYL3DRXY,I3-00805,I3-00805-P02-G12-SC740178,topoff
210623_N01_0393_BHGYL3DRXY,I3-00807,I3-00807-P02-H12-SC740179,topoff
210623_N01_0393_BHGYL3DRXY,I3-00808,I3-00808-P03-G10-SC740317,topoff
210623_N01_0393_BHGYL3DRXY,I3-00809,I3-00809-P04-E03-SC740364,topoff
210623_N01_0393_BHGYL3DRXY,I3-00810,I3-00810-P04-F03-SC740366,topoff
210623_N01_0393_BHGYL3DRXY,I3-00811,I3-00811-P04-F09-SC740436,topoff
