Flowcell,SampleID,Description
210517_N07_0069_AH3NNNDSX2,I3-98094,I3-98094-P04-G05-SC740388
210517_N03_0310_BH3NWNDSX2,I3-97913,I3-97913-P02-B07-SC740124
210517_N06_0317_AH3TKFDSX2,I3-98043,I3-98043-P03-D11-SC740323
210517_N06_0316_BH3NNTDSX2,I3-98069,I3-98069-P04-F02-SC740355
210517_N06_0317_AH3TKFDSX2,I3-98051,I3-98051-P03-D12-SC740334
210517_N06_0316_BH3NNTDSX2,I3-98068,I3-98068-P04-E02-SC740354
210517_N04_0318_BH3TKCDSX2,I3-97957,I3-97957-P02-F12-SC740177
210517_N06_0316_BH3NNTDSX2,I3-98070,I3-98070-P04-G02-SC740356
210517_N05_0310_BH3NJ2DSX2,I3-98029,I3-98029-P03-F09-SC740295
210517_N03_0310_BH3NWNDSX2,I3-97908,I3-97908-P02-E06-SC707278
210517_N05_0309_AH3NVGDSX2,I3-98006,I3-98006-P03-G06-SC740253
210517_N02_0358_BH3NJFDSX2,I3-97851,I3-97851-P01-D11-SC689853
210517_N07_0068_BH3NTVDSX2,I3-98121,I3-98121-P04-B09-SC740430
210517_N05_0310_BH3NJ2DSX2,I3-98015,I3-98015-P03-H07-SC740268
210517_N03_0311_AH3NWKDSX2,I3-97897,I3-97897-P02-B05-SC703967
210517_N02_0358_BH3NJFDSX2,I3-97856,I3-97856-P01-A12-SC689860
210520_N06_0319_AH53CWDSX2,I3-97833,I3-97833-P01-B09-SC689825
210517_N05_0309_AH3NVGDSX2,I3-97990,I3-97990-P03-G04-SC740218
210517_N02_0358_BH3NJFDSX2,I3-97848,I3-97848-P01-A11-SC689850
210520_N06_0319_AH53CWDSX2,I3-97824,I3-97824-P01-A08-SC682708
210517_N05_0309_AH3NVGDSX2,I3-97981,I3-97981-P03-F03-SC740208
210520_N05_0312_BH53N3DSX2,I3-98137,I3-98137-P04-B11-SC740457
210517_N02_0358_BH3NJFDSX2,I3-97854,I3-97854-P01-G11-SC689858
210517_N05_0309_AH3NVGDSX2,I3-98004,I3-98004-P03-E06-SC740246
210517_N03_0311_AH3NWKDSX2,I3-97887,I3-97887-P02-H03-SC695939
210517_N01_0371_AH3NJJDSX2,I3-97772,I3-97772-P01-E01-SC666770
210517_N01_0370_BH3NGNDSX2,I3-97806,I3-97806-P01-G05-SC682687
210517_N03_0310_BH3NWNDSX2,I3-97916,I3-97916-P02-E07-SC740127
210517_N06_0317_AH3TKFDSX2,I3-98041,I3-98041-P03-B11-SC740321
210517_N05_0309_AH3NVGDSX2,I3-97982,I3-97982-P03-G03-SC740209
210517_N04_0318_BH3TKCDSX2,I3-97974,I3-97974-P03-G02-SC740199
210517_N01_0370_BH3NGNDSX2,I3-97804,I3-97804-P01-E05-SC682684
210517_N03_0310_BH3NWNDSX2,I3-97904,I3-97904-P02-A06-SC707145
210517_N07_0068_BH3NTVDSX2,I3-98136,I3-98136-P04-A11-SC740456
210517_N07_0068_BH3NTVDSX2,I3-98113,I3-98113-P04-B08-SC740417
210517_N07_0068_BH3NTVDSX2,I3-98112,I3-98112-P04-A08-SC740415
