RunFolder,USU_SampleID,CGR_SampleID
211025_N08_0086_BHMTCVDSX2,I3-11698,SC797757
211025_N08_0086_BHMTCVDSX2,I3-11694,SC797753
211025_N08_0086_BHMTCVDSX2,I3-11697,SC797756
211025_N08_0086_BHMTCVDSX2,I3-11702,SC797761
211025_N08_0086_BHMTCVDSX2,I3-11710,SC797774
211025_N08_0086_BHMTCVDSX2,I3-11709,SC797770
211025_N08_0086_BHMTCVDSX2,I3-11703,SC797762
211025_N08_0086_BHMTCVDSX2,I3-11705,SC797765
211025_N08_0086_BHMTCVDSX2,I3-11704,SC797763
211025_N08_0086_BHMTCVDSX2,I3-11696,SC797755
211025_N08_0086_BHMTCVDSX2,I3-11706,SC797766
211025_N08_0086_BHMTCVDSX2,I3-11701,SC797760
211025_N08_0086_BHMTCVDSX2,I3-11695,SC797754
211028_N01_0464_AHMY5YDSX2,I3-12050,SC818999
211028_N01_0464_AHMY5YDSX2,I3-12025,SC818971
211028_N01_0464_AHMY5YDSX2,I3-12043,SC818992
211028_N01_0464_AHMY5YDSX2,I3-12029,SC818975
211028_N01_0464_AHMY5YDSX2,I3-12031,SC818978
211028_N01_0464_AHMY5YDSX2,I3-12036,SC818984
211028_N01_0464_AHMY5YDSX2,I3-12030,SC818977
211028_N01_0464_AHMY5YDSX2,I3-12047,SC818996
211028_N01_0464_AHMY5YDSX2,I3-12034,SC818982
211028_N01_0464_AHMY5YDSX2,I3-12033,SC818981
211028_N01_0464_AHMY5YDSX2,I3-12032,SC818980
211028_N01_0464_AHMY5YDSX2,I3-12046,SC818995
211028_N01_0464_AHMY5YDSX2,I3-12035,SC818983
211028_N01_0464_AHMY5YDSX2,I3-12037,SC818985
211028_N01_0464_AHMY5YDSX2,I3-12039,SC818987
211028_N01_0464_AHMY5YDSX2,I3-12028,SC818974
211028_N01_0464_AHMY5YDSX2,I3-12048,SC818997
211028_N01_0464_AHMY5YDSX2,I3-12044,SC818993
211028_N01_0464_AHMY5YDSX2,I3-12045,SC818994
211028_N01_0464_AHMY5YDSX2,I3-12049,SC818998
211028_N01_0464_AHMY5YDSX2,I3-12042,SC818991
211028_N01_0464_AHMY5YDSX2,I3-12026,SC818972
211028_N01_0464_AHMY5YDSX2,I3-12040,SC818988
211028_N01_0464_AHMY5YDSX2,I3-12041,SC818990
211028_N01_0464_AHMY5YDSX2,I3-12027,SC818973
211028_N01_0464_AHMY5YDSX2,I3-12038,SC818986
211028_N02_0426_BHMVHTDSX2,I3-11734,SC797810
211028_N02_0426_BHMVHTDSX2,I3-11735,SC797811
211028_N02_0426_BHMVHTDSX2,I3-11737,SC797813
211028_N02_0426_BHMVHTDSX2,I3-11749,SC797831
211028_N02_0426_BHMVHTDSX2,I3-11741,SC797817
211028_N02_0426_BHMVHTDSX2,I3-11746,SC797826
211028_N02_0426_BHMVHTDSX2,I3-11759,SC797849
211028_N02_0426_BHMVHTDSX2,I3-11743,SC797820
211028_N02_0426_BHMVHTDSX2,I3-11751,SC797834
211028_N02_0426_BHMVHTDSX2,I3-11745,SC797825
211028_N02_0426_BHMVHTDSX2,I3-11753,SC797836
211028_N02_0426_BHMVHTDSX2,I3-11744,SC797822
211028_N02_0426_BHMVHTDSX2,I3-11757,SC797847
211028_N02_0426_BHMVHTDSX2,I3-11742,SC797818
211028_N02_0426_BHMVHTDSX2,I3-11736,SC797812
211028_N02_0426_BHMVHTDSX2,I3-11752,SC797835
211028_N02_0426_BHMVHTDSX2,I3-11738,SC797814
211028_N02_0426_BHMVHTDSX2,I3-11760,SC797851
211028_N02_0426_BHMVHTDSX2,I3-11750,SC797833
211028_N02_0426_BHMVHTDSX2,I3-11758,SC797848
211028_N02_0427_AHMYHLDSX2,I3-11711,SC797775
211028_N02_0427_AHMYHLDSX2,I3-11712,SC797777
211028_N02_0427_AHMYHLDSX2,I3-11727,SC797799
211028_N02_0427_AHMYHLDSX2,I3-11717,SC797787
