RunFolder,SampleID,Description
211025_N08_0086_BHMTCVDSX2,I3-11698,I3-11698-P05-E01-SC797757
211025_N08_0086_BHMTCVDSX2,I3-11694,I3-11694-P05-A01-SC797753
211025_N08_0086_BHMTCVDSX2,I3-11697,I3-11697-P05-D01-SC797756
211025_N08_0086_BHMTCVDSX2,I3-11702,I3-11702-P05-A02-SC797761
211025_N08_0086_BHMTCVDSX2,I3-11710,I3-11710-P05-A03-SC797774
211025_N08_0086_BHMTCVDSX2,I3-11709,I3-11709-P05-H02-SC797770
211025_N08_0086_BHMTCVDSX2,I3-11703,I3-11703-P05-B02-SC797762
211025_N08_0086_BHMTCVDSX2,I3-11705,I3-11705-P05-D02-SC797765
211025_N08_0086_BHMTCVDSX2,I3-11704,I3-11704-P05-C02-SC797763
211025_N08_0086_BHMTCVDSX2,I3-11696,I3-11696-P05-C01-SC797755
211025_N08_0086_BHMTCVDSX2,I3-11706,I3-11706-P05-E02-SC797766
211025_N08_0086_BHMTCVDSX2,I3-11701,I3-11701-P05-H01-SC797760
211025_N08_0086_BHMTCVDSX2,I3-11695,I3-11695-P05-B01-SC797754
211028_N01_0464_AHMY5YDSX2,I3-12050,I3-12050-P08-E09-SC818999
211028_N01_0464_AHMY5YDSX2,I3-12025,I3-12025-P08-D06-SC818971
211028_N01_0464_AHMY5YDSX2,I3-12043,I3-12043-P08-F08-SC818992
211028_N01_0464_AHMY5YDSX2,I3-12029,I3-12029-P08-H06-SC818975
211028_N01_0464_AHMY5YDSX2,I3-12031,I3-12031-P08-B07-SC818978
211028_N01_0464_AHMY5YDSX2,I3-12036,I3-12036-P08-G07-SC818984
211028_N01_0464_AHMY5YDSX2,I3-12030,I3-12030-P08-A07-SC818977
211028_N01_0464_AHMY5YDSX2,I3-12047,I3-12047-P08-B09-SC818996
211028_N01_0464_AHMY5YDSX2,I3-12034,I3-12034-P08-E07-SC818982
211028_N01_0464_AHMY5YDSX2,I3-12033,I3-12033-P08-D07-SC818981
211028_N01_0464_AHMY5YDSX2,I3-12032,I3-12032-P08-C07-SC818980
211028_N01_0464_AHMY5YDSX2,I3-12046,I3-12046-P08-A09-SC818995
211028_N01_0464_AHMY5YDSX2,I3-12035,I3-12035-P08-F07-SC818983
211028_N01_0464_AHMY5YDSX2,I3-12037,I3-12037-P08-H07-SC818985
211028_N01_0464_AHMY5YDSX2,I3-12039,I3-12039-P08-B08-SC818987
211028_N01_0464_AHMY5YDSX2,I3-12028,I3-12028-P08-G06-SC818974
211028_N01_0464_AHMY5YDSX2,I3-12048,I3-12048-P08-C09-SC818997
211028_N01_0464_AHMY5YDSX2,I3-12044,I3-12044-P08-G08-SC818993
211028_N01_0464_AHMY5YDSX2,I3-12045,I3-12045-P08-H08-SC818994
211028_N01_0464_AHMY5YDSX2,I3-12049,I3-12049-P08-D09-SC818998
211028_N01_0464_AHMY5YDSX2,I3-12042,I3-12042-P08-E08-SC818991
211028_N01_0464_AHMY5YDSX2,I3-12026,I3-12026-P08-E06-SC818972
211028_N01_0464_AHMY5YDSX2,I3-12040,I3-12040-P08-C08-SC818988
211028_N01_0464_AHMY5YDSX2,I3-12041,I3-12041-P08-D08-SC818990
211028_N01_0464_AHMY5YDSX2,I3-12027,I3-12027-P08-F06-SC818973
211028_N01_0464_AHMY5YDSX2,I3-12038,I3-12038-P08-A08-SC818986
