"ID"	"State"	"InitialState"
"BC_HKB0831_1520_T"	"S01"	"IS04"
"BC_HKB0921_1575_T"	"S01"	"IS04"
"BC_HKB1385_1721_T"	"S01"	"IS04"
"BC_HKB0779_1486_T"	"S01"	"IS04"
"BC_HKB0632_1381_T"	"S01"	"IS04"
"BC_HKB0899_M1605_T"	"S01"	"IS04"
"BC_HKB0543_1306_T"	"S01"	"IS04"
"HKB0040_3002_T"	"S01"	"IS04"
"HKB0044_3006_T"	"S01"	"IS04"
"HKB0050_3005_T"	"S01"	"IS04"
"HKB0054_3000_T"	"S01"	"IS04"
"HKB0069_3000_T"	"S01"	"IS04"
"HKB0070_3002_T"	"S01"	"IS04"
"HKB0079_3006_T"	"S01"	"IS04"
"HKB0082_3006_T"	"S01"	"IS04"
"HKB0091_3001_T"	"S01"	"IS04"
"HKB0094_3006_T"	"S01"	"IS04"
"HKB0098_3005_T"	"S01"	"IS04"
"HKB0167_3006_T"	"S01"	"IS04"
"HKB0194_3006_T"	"S01"	"IS04"
"HKB0659_3000_T"	"S01"	"IS04"
"HKB0674_3000_T"	"S01"	"IS04"
"HKB0683_3000_T"	"S01"	"IS04"
"HKB0710_3000_T"	"S01"	"IS04"
"HKB0718_3000_T"	"S01"	"IS04"
"HKB0736_3000_T"	"S01"	"IS04"
"HKB0748_3000_T"	"S01"	"IS04"
"HKB0751_3000_T"	"S01"	"IS04"
"HKB0752_3000_T"	"S01"	"IS04"
"BC_HKB2112_1636_T"	"S02"	"IS02"
"BC_HKB0757_1496_T"	"S02"	"IS02"
"HKB0031_3001_T"	"S02"	"IS02"
"HKB0067_3006_T"	"S02"	"IS02"
"HKB0074_3000_T"	"S02"	"IS02"
"HKB0129_3000_T"	"S02"	"IS02"
"HKB0160_3000_T"	"S02"	"IS02"
"HKB0164_3006_T"	"S02"	"IS02"
"HKB0719_3002_T"	"S02"	"IS02"
"BC_HKB0022_649_T"	"S03"	"IS06"
"BC_HKB0567_M1337_T"	"S03"	"IS06"
"BC_HKB0772_1460_T"	"S03"	"IS06"
"BC_HKB0689_M1326_T"	"S03"	"IS06"
"BC_HKB0199_1263_T"	"S03"	"IS06"
"BC_HKB0738_1475_T"	"S03"	"IS06"
"BC_HKB0761_1499_T"	"S03"	"IS06"
"BC_HKB0876_1543_T"	"S03"	"IS06"
"BC_HKB0890_1550_T"	"S03"	"IS06"
"BC_HKB0913_1654_T"	"S03"	"IS06"
"BC_HKB0215_1134_T"	"S03"	"IS06"
"HKB0007_3005_T"	"S03"	"IS06"
"HKB0008_3006_T"	"S03"	"IS06"
"HKB0016_3006_T"	"S03"	"IS06"
"HKB0023_3006_T"	"S03"	"IS06"
"HKB0033_3006_T"	"S03"	"IS06"
"HKB0038_3006_T"	"S03"	"IS06"
"HKB0049_3006_T"	"S03"	"IS06"
"HKB0052_3000_T"	"S03"	"IS06"
"HKB0064_3004_T"	"S03"	"IS06"
"HKB0088_3000_T"	"S03"	"IS06"
"HKB0100_3006_T"	"S03"	"IS06"
"HKB0101_3000_T"	"S03"	"IS06"
"HKB0102_3006_T"	"S03"	"IS06"
"HKB0120_3000_T"	"S03"	"IS06"
"HKB0124_3003_T"	"S03"	"IS06"
"HKB0141_3006_T"	"S03"	"IS06"
"HKB0143_3006_T"	"S03"	"IS06"
"HKB0155_3000_T"	"S03"	"IS06"
"HKB0168_3006_T"	"S03"	"IS06"
"HKB0179_3006_T"	"S03"	"IS06"
"HKB0186_3000_T"	"S03"	"IS06"
"HKB0191_3001_T"	"S03"	"IS06"
"HKB0207_3001_T"	"S03"	"IS06"
"HKB0208_3006_T"	"S03"	"IS06"
"HKB0209_3004_T"	"S03"	"IS06"
"HKB0220_3000_T"	"S03"	"IS06"
"HKB0221_3001_T"	"S03"	"IS06"
"HKB0552_3000_T"	"S03"	"IS06"
"HKB0573_3000_T"	"S03"	"IS06"
"HKB0576_3000_T"	"S03"	"IS06"
"HKB0579_3000_T"	"S03"	"IS06"
"HKB0638_3000_T"	"S03"	"IS06"
"HKB0665_3000_T"	"S03"	"IS06"
"HKB0701_3000_T"	"S03"	"IS06"
"HKB0737_3000_T"	"S03"	"IS06"
"BC_HKB0882_1555_T"	"S04"	"IS01"
"HKB0078_3000_T"	"S04"	"IS01"
"HKB0162_3006_T"	"S04"	"IS01"
"HKB0564_3000_T"	"S04"	"IS01"
"HKB0692_3000_T"	"S04"	"IS01"
"BC_HKB0741_1471_T"	"S05"	"IS05"
"BC_HKB0759_1488_T"	"S05"	"IS05"
"BC_HKB2113_1657_T"	"S05"	"IS05"
"BC_HKB0715_1407_T"	"S05"	"IS05"
"HKB0006_3006_T"	"S05"	"IS05"
"HKB0147_3000_T"	"S05"	"IS05"
"HKB0210_3006_T"	"S05"	"IS05"
"HKB0230_3006_T"	"S05"	"IS05"
"HKB0734_3000_T"	"S05"	"IS05"
